orf	hap alpha | growth (culture turbidity) | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [7.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [7.0] | Brett CL~Rao R, 2011
YAL002W	-1.79660930246895	-1.0487401652724726	-0.6254724881852401	-0.11340887443917115	0.5842256097064781	1.3765413181532553
YAL004W	0.3094925901200312	-0.09297924710791942	-0.5556576627547817	0.24464600028242822	-0.551985856530964	1.033818450646017
YAL005C	-0.12339424203018205	0.09307554496144727	-0.3772419977658335	-0.050719262566872876	-0.0874869529151193	1.4450156747719731
YAL007C	0.19078130754455866	-0.012695329982098708	-0.3129680314965263	-0.1854377355337351	-0.08973738008352095	1.1780386861530963
YAL008W	0.5878500802970004	0.5046899137176465	-0.30521082867091753	-0.05564232923425866	-0.143571766338236	1.1403320568799409
YAL009W	0.8907685254895862	0.8258255822209363	0.19235832400012065	-0.29786195668594306	-0.013757970436152869	1.0341022243552351
YAL010C	-2.99907272510843	-1.0130584243276628	-2.2666749717171095	-1.73024307880782	-0.37500636262709125	0.8103200707555885
YAL011W	0.6820004078568581	0.8691534105110638	-0.023735183284629837	-0.06812876117093514	0.24227599612366518	0.67451591281219
YAL012W	0.1205343617651406	1.3518090963315887	0.8690894953891128	0.1635104633497963	0.1303825976793247	-0.6582551762853774
YAL013W	-0.3137416434011978	-0.40137143670234937	0.13140887322749836	-0.5817086718505387	-0.23670072552443674	0.5283504246144782
YAL014C	0.5499852746479276	0.37470642884726846	-0.07803560306387336	-0.42072356955180756	-0.21429389384964692	1.0963012008098598
YAL015C	-0.38230764281978974	-0.16051968532488167	-0.9424096322028741	0.34125529879661637	0.08507593943738063	1.1724416921544663
YAL016W	-0.12932836592800645	0.00579003975220328	-0.6987270789829393			
YAL017W	-0.6361041779811432	-0.08915620343526202	-0.953491350525169	-0.7213506717010962	0.16888138072301076	1.6202964901463148
YAL018C	-0.800867251210894	-0.18728099103348905	-1.03549606611015	-0.47246838021654386	0.109251563414014	1.5543997858687162
YAL019W	-0.20321734583092985	-0.13120968383450177	-0.7218834375892061	-0.08235296710265223	-0.07301278865762263	1.2721564781825199
YAL020C	-0.44473340348447726	-0.8333753717127275	-1.7303198049180375	-1.4689804495685463	0.14085527351925273	2.1099181042187425
YAL021C	-3.788093404985061	-1.002863641200574	-0.7928064348518921	-1.3282531236005737	-0.07668013590693476	0.7086792384423816
YAL022C	-2.469988819147059	-1.5584793216269017	-1.6848847597966288	-2.2624374626763477	0.1464439963682387	1.3061853493145672
YAL023C	-0.6105198498398783	-0.5632136188448799	-0.7174507502602874	2.4686204990471743	2.571199261361993	1.0499273526782649
YAL024C	0.12427762360324007	0.2998356340332012	-0.5617553782616262	-0.0688236603530268	0.0754293409867221	-1.2890199373125097
YAL026C	-5.002837305132349	-1.0423684258180428	-0.9767629590019877	-1.1958219670522814	1.5715503438312595	1.162670883213145
YAL027W	-0.23320388193527006	0.3784167842289844	-0.8968266461418629	-0.23009206834447135	0.03737402525661371	-0.6479268246069304
YAL028W	0.38931569392077997	0.18227989732347183	-0.114605273527447	-0.011828954379600957	-0.10247844704259534	1.3511816902984441
YAL029C	-0.15000194329709798	0.19374902834144542	-0.12236247635305321	0.03504714245552808	0.027991127673690414	1.4581013533268365
YAL030W	0.00043390617354290364	0.11601380699739584	-0.6432032375009114	0.14611509551055904	-0.03228014729270179	1.235871395478903
YAL031C	0.5244009465066618	1.0424647236715692	0.08375748444163104	0.5929538778068048	0.18802407960894585	1.1608151712903765
YAL034C	0.08230375622559281	0.5034155658267616	-0.007112605801187393	0.5784821878164026	0.009983924824317583	1.2391111675380047
YAL035W	0.04034545807391776	0.5811507871708126	0.11700263940851593	-0.11314893903618671	-0.25260464852887937	0.771081453679884
YAL036C	-0.39049462782499533	-0.21531664463298267	-0.3462131864634099	0.030950369236005505	-0.24169574223514773	0.9860431082221883
YAL037W	0.21738900881147555	0.4498929544095483	0.37963936364690243	-0.11594726026825153	-0.19915593630741124	0.5053184478504471
YAL039C	-3.563771102384379	-0.6190568480949123	-0.9387105546268917			
YAL040C	0.2900485007326698	0.35813990626574843	-0.12236247635305321	0.5356672136849172	0.029283796991193142	-0.3487262506980109
YAL042C-A	0.14779963626723255	0.6206555717882798	0.13805790422087713	0.14267045443270715	0.08581335702734998	0.7234091182219632
YAL042W	0.1437061437646312	0.11601380699739584	-0.15228311582324808	0.2092081845207235	0.14802517046091743	1.0840763499093684
YAL044C	0.39033906704643007	0.6678064437510632	0.5990573864283417	-0.8732334924541183	-0.21094928894775727	0.0013738740057814916
YAL045C	0.19794491942411221	0.07778337027081211	0.04275512664913994	0.26842140469924575	-0.07822077880246525	0.9922206606485711
YAL046C	0.3678248582821164	0.9519860234186583	0.6456006033819803	0.10084895034077329	0.1370601000707999	0.6291821306515187
YAL047C	-0.5270499362260872	-0.003082025592480832	0.692497881236015	0.1231273461432441	0.17459277459615727	-0.2636220283877827
YAL048C	0.05160256245607458	0.18482859310524297	-0.14785042849433058	-0.0941462417739723	0.006351422639057532	1.3312687511496841
YAL049C	0.26037068008880165	0.39254729931967197	-0.6354460346753051	0.5454277348855069	0.0493264411155979	1.0279170428400741
YAL051W	-0.5839121485729624	0.03955293354423253	-1.055443159090281	0.24970486057307192	0.08535959682130821	1.5554928002624935
YAL053W	0.18771118816760646	0.29442251172144634	0.0017527688566488355	-0.3344645850134545	-0.07850664556502761	1.0383912098193078
YAL054C	-0.11435531857560854	-0.2223487833968444	0.6370300024315166	0.12024107719102699	0.13781973905891232	-0.4624871017590293
YAL055W	0.07616351747169031	-0.04837707092690715	-0.4747611190020307	-0.6623709900236628	-0.6940685069561453	0.5398364155259587
YAL056C-A	-0.363282230809231	-0.0702562346308117	0.7570217402534934	0.11420615469076617	0.21903193358191228	-0.7366431979876479
YAL056W	-0.5460473429238896	-0.40519448037500816	-1.0155489731300187	0.2960335855792853	-0.49013101907636986	-7.959096434286067
YAL058W	0.06797653246648475	-0.5721340540810823	0.05494501680366363	0.1930934508445756	0.1767766884153404	-0.39371498045809344
YAL059W	0.08742062185384618	-0.06239489772665327	-0.10019903970846328	-0.14970078557511568	-0.3487144530039449	
YAL060W	-0.2676898527469205	-0.25099838557779247	0.052728673139204894	-0.44787570319117675	-0.2774149362321593	0.36796551764634294
YAL061W	-0.6289405661015895	-0.308344040667666	-0.6830974234611724	-0.28434298746375286	-0.18997270152352788	1.122820109847898
YAL062W	-1.2050996358428903	-0.6333027528436146	-0.8725948067724155	0.16465060927007025	0.03220096079037084	0.7338291780840696
YAL064C-A	0.36010311940351575	0.3923586011992037	0.5193022596627852	0.13779757032131773	0.0723854459363974	-0.7885320521194531
YAL065C	-0.2697365989982216	-0.28285708284994493	-0.32072523432213124	-0.24407806160579718	-0.08814408899399595	1.0427948589415825
YAL066W	-0.20424071895658186	-0.22423707986918512	-0.18996095811905173	-0.2792837511005215	-0.223679619457381	1.2749235231757297
YAL067C	-0.24210552460565365	-0.006323590527667395	-0.05808851008374216	0.3690686255690929	-0.1669478010236546	0.9527798524196448
YAL068C	-0.04561788448073445	-0.3593179563031096	0.05383684497143619	0.0831271491825094	-0.08816205182531117	1.1930143326172808
YAR002C-A	-1.1952221743268645	-0.4213365346990701	-1.346229664210963	-0.01844759057687447	0.06787950388721335	-1.4822980234957586
YAR002W	0.12426205437726882	0.13640337325157328	-0.34288867096672115	0.3708188295872295	-0.10746250792808543	0.6817709016068486
YAR003W	-0.14079158516624232	-0.386079262011717	-0.7728593418717609	-0.2843500269404933	-0.16530973026530407	1.117836234388383
YAR014C	0.8559738392174627	-0.08278446398083071	0.13140887322749836	0.5519159345863552	0.29587804399621004	0.4714351642544837
YAR015W	0.6983743778672683	0.40019338666498955	0.16465402819438454	0.15138997466890586	-0.2664663767377849	0.5376891899990678
YAR018C	0.6748367959773045	0.10199598019764834	-0.09798269604400454	0.7679985182090973	0.1369644367793224	0.6230847490001795
YAR020C	0.2225058744397289	-0.29050317019525973	-0.6587176431521251	0.059122135673588296	-0.4575158495616782	1.1508086345966853
YAR023C	0.140636024387679	-0.3300079548127283	-1.247156886065983	0.06601705220693986	-0.30842966845793995	1.2975881624973042
YAR027W	0.23990321757579014	-0.03945663569070469	-0.17223020880337925	-0.03309205684351536	-0.16816736030710275	0.8527479321695816
YAR028W	-0.05585161573724117	0.0038711925994213245	-0.06473754107711838	-0.11967994704282363	-0.23278130266933655	0.49703544561345997
YAR029W	0.20408515817801662	-0.14777620641602182	-0.14120139750095567	-0.1453242639033442	-0.10653795205340329	0.6531199146820564
YAR030C	-0.703646804274085	-0.4434249171015891	-0.9324360857128091	0.2909150685084209	0.12200608274499838	1.2025429353546877
YAR031W	-0.6412210436093975	-0.6154618823712084	-0.9135971645649067	0.17595892322865977	-0.6051626220244689	0.4099613976685774
YAR035W	-0.5214863879082738	-0.32491056324918466	-0.8925418997525467	0.18862878366474095	0.07096986822969024	1.1286802992546687
YAR042W	-0.28252876306885355	-0.1235635964891842	-0.5988763642117327	0.09440730650779983	0.016198847713986234	1.3623999807463232
YAR047C	0.23990321757579014	-0.2662905602684249	-0.28858825118747766	-0.06342758511377361	-0.11122261687669242	1.1695577373502466
YAR050W	-0.2809304703710396	-0.6418707304098171	0.040467305901501924	0.09685139489208522	0.268752996297343	0.7595329573396734
YBL001C	-0.17594613556264233	-0.08388020096596867	-0.5221354648298415	-0.7396232553620434	-0.31504937350990536	1.6775123947118096
YBL002W	0.007427793821749377	0.06686403346946036	0.2556990929370284	-1.2500704550402328	-0.33080893188905064	0.903983861229238
YBL003C	0.5284903254058122	0.03990165007450239	0.4300222987911619	-1.4054462479961265	-0.5249025293101133	1.1418985807169124
YBL005W	0.7138683414501441	0.07054072211422548	0.28659181296181013	-0.8930528503712758	-0.39059658772968364	1.0513455957380116
YBL006C	-0.2260483020611099	-0.9785411045258151	-0.9204308908636551	-1.2493672643910068	-0.2836618975869462	1.2914025474900939
YBL007C	0.26194679963396483	-0.7628420373661803	-1.5360786685004109	-1.9496166505540455	0.03104263208427761	1.9159191981847352
YBL008W	0.3982246925097974	-0.4748347601928068	-0.2749937046315737	-0.5449714807562419	-0.4183950018309264	1.2959036887089959
YBL009W	0.2118446331354963	-0.15496284809812041	0.3307242701400721	-2.07986910067204	-0.46648553184295327	1.0127871416529322
YBL010C	-0.2551075586302213	-0.10839145859774575	-0.3809116018594029	-0.47769116937462275	-0.19998474665240154	1.505110516028346
YBL011W	-0.3112219851085048	-0.3571807235602776	-0.07750095875885014	-0.22962755243045935	-0.4492513539712197	1.044656728799055
YBL012C	-0.4154344914253175	-0.34247396898121163	-0.16466256168591814	-0.0680805700570519	-0.4683452084683158	1.2522128454527484
YBL013W	-0.07173362924582959	0.17839025569404218	0.11999178711387214	-1.1224818674872759	-0.29527989768437674	1.1907327860682444
YBL015W	-0.7390944870054185	0.13426999195684425	-0.572887790584843	-0.5691025881865059	-0.18288062864363738	1.6610953964752992
YBL016W	-0.6378881106785131	0.934562553634353	-0.2639605903370092	-0.04150769589875961	-0.07749995643925975	1.8464827276437354
YBL017C	-0.2260483020611099	0.22251051943124012	-0.08301751590613497	-0.3823492807191355	0.1168457649108984	1.1699717538663899
YBL019W	-0.2921831618390879	0.016615955324317817	0.028416938468976527	-1.6012859844937322	-0.7915637763620755	0.8822322657391065
YBL021C	-0.11081331911463449	-0.2419778126909279	0.015177201315500124	-1.3150914767085873	-0.6997490787363666	0.9817236921202483
YBL022C	-0.7721619168944084	-1.3143453340811557	-1.3441024797749708	-0.9912043235475364	0.005651750499897344	0.9829492961671248
YBL024W	0.11865460344834816	-0.17579741708512964	-0.056538041599175734	-1.0508514254763741	-0.28456860854474847	1.0957748045882858
YBL025W	0.027468660421136406	-0.11329371012410061	0.24466597864246004	-2.509008355248068	-0.44544248932433506	0.9254864017323451
YBL027W	-0.30621176845865805	-0.40130098729747554	-0.3125062932330975	-0.1636727795428504	-0.11040144874143872	1.5044866003472603
YBL028C	-0.0687274992559221	-0.20643648912485135	-0.2165181988703781	-0.8533334442204332	-0.352744253927588	1.3460124786185348
YBL029W	-0.2941872484990252	-0.18069966861148587	-0.30036986750907313	-0.8461269729374873	-0.42904715636571017	1.444826700945068
YBL031W	-1.0387054426662556	-1.5729391020964016	-0.6611527049413669	-1.7500273991283255	-1.0190051657526948	1.1972108488868622
YBL032W		-5.22634205211271	-6.141300575052051		-0.4845269183204366	1.6321520518946118
YBL033C						
YBL036C	-0.24308303867058945	-0.3792408554288766	-0.07860427018830736	-1.725228704577846	-0.8433390887763766	1.1052164353800513
YBL037W	-1.0367013560063174	-0.6611203181943083	-1.000972625213985	-0.5382339857333257	-0.40810165304442503	1.7272330063668373
YBL038W	-0.18797065552227513	-0.4258122449292526	-0.039988370157328944	-1.042841874850021	-0.5019163795831431	0.8714178581638372
YBL039C	-0.2611198186100372	-0.5116016466404704	-0.13928639880841742	-0.965148542611505	-0.4311241764832036	0.8748886489828817
YBL042C	-0.2621218619400073	-0.08633132672914678	-0.05102148445189476	-0.745293425821533	-0.22857749238160063	1.0507017183912684
YBL043W	-0.15289913897334687	-0.5017971435877606	-0.16576587311537536	-1.0390048274212325	-0.5698587474992237	1.0413245671564337
YBL044W	0.2519263663342704	-0.1512861594533539	0.2435626672130041	-2.868277974225131	-0.8911155309718022	0.9037294825731371
YBL045C	-0.2691361652497924	-0.3204138371126127	-0.33677914468114095	-0.08473787992713475	-0.4924615449056242	1.4544363221162846
YBL046W						
YBL047C	-0.1899747421822144	-0.07039900926849106	-0.6412930992111484	-1.3232125838458035	-0.3340743432535532	2.1110084315082074
YBL048W	-0.22103808541126316	-0.28977476507289235	-0.21100164172309327	-0.6843177734103241	-0.38877265701067076	1.4951074889207283
YBL049W	0.2008221565058346	-0.04343662587353723	0.1530911299975683	-1.0788975136396894	-0.3504559288946341	1.1354549200977844
