ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YDL056W	1.066	0.600	0.934	0.421	NaN	NaN	NaN	NaN
YDL057W	0.078	0.226	0.067	0.323	NaN	NaN	NaN	NaN
YDL058W	NaN	NaN	NaN	NaN	0.293	-0.175	-0.445	-0.232
YDL059C	0.478	-0.233	0.450	-0.082	NaN	NaN	NaN	NaN
YDL060W	NaN	NaN	NaN	NaN	-0.337	-0.734	0.163	0.132
YDL061C	0.065	0.317	-0.062	-0.325	NaN	NaN	NaN	NaN
YDL062W	0.062	-0.344	-0.185	0.228	NaN	NaN	NaN	NaN
YDL063C	0.148	0.232	0.195	0.026	NaN	NaN	NaN	NaN
YDL064W	NaN	NaN	NaN	NaN	0.009	0.060	0.392	-0.056
YDL065C	-0.044	0.062	-0.461	0.352	NaN	NaN	NaN	NaN
YDL066W	0.173	0.292	0.518	0.110	NaN	NaN	NaN	NaN
YDL067C	-0.014	0.269	0.483	-0.251	NaN	NaN	NaN	NaN
YDL068W	0.404	0.712	0.789	-0.337	NaN	NaN	NaN	NaN
YDL069C	0.444	0.522	0.511	0.268	NaN	NaN	NaN	NaN
YDL070W	-0.330	0.044	-0.052	0.752	NaN	NaN	NaN	NaN
YDL071C	0.088	0.600	-0.235	0.705	NaN	NaN	NaN	NaN
YDL072C	0.360	0.184	-0.097	-0.366	NaN	NaN	NaN	NaN
YDL073W	0.543	0.503	-0.260	-0.157	NaN	NaN	NaN	NaN
YDL074C	0.170	0.011	0.147	-0.022	NaN	NaN	NaN	NaN
YDL075W	0.221	0.002	0.103	-0.154	NaN	NaN	NaN	NaN
YDL076C	0.011	0.244	0.242	0.245	NaN	NaN	NaN	NaN
YDL077C	0.279	0.825	0.433	-0.249	NaN	NaN	NaN	NaN
YDL078C	-0.139	0.141	-0.419	0.022	NaN	NaN	NaN	NaN
YDL079C	0.129	0.216	-0.099	0.139	NaN	NaN	NaN	NaN
YDL080C	0.203	0.012	0.149	-0.059	NaN	NaN	NaN	NaN
YDL081C	-0.122	0.553	0.083	-0.163	NaN	NaN	NaN	NaN
YDL082W	0.304	0.488	0.083	0.090	NaN	NaN	NaN	NaN
YDL083C	-0.389	0.184	0.023	0.134	NaN	NaN	NaN	NaN
