ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YDR084C	-0.032	-0.039	0.162	-0.567	NaN	NaN	NaN	NaN
YDR085C	0.026	-0.533	0.062	-0.048	NaN	NaN	NaN	NaN
YDR086C	NaN	NaN	NaN	NaN	0.026	-0.256	-0.585	-0.519
YDR087C	NaN	NaN	NaN	NaN	-0.687	0.645	0.684	-0.172
YDR088C	NaN	NaN	NaN	NaN	-0.531	-1.054	-0.025	-0.336
YDR089W	-0.136	-0.504	-0.054	-0.102	NaN	NaN	NaN	NaN
YDR090C	0.253	0.266	0.202	-0.092	NaN	NaN	NaN	NaN
YDR091C	NaN	NaN	NaN	NaN	0.055	-0.146	0.189	-0.419
YDR092W	-0.169	0.118	-0.035	-0.054	NaN	NaN	NaN	NaN
YDR093W	0.110	0.410	-0.288	-0.164	NaN	NaN	NaN	NaN
YDR094W	-0.059	-0.325	-0.025	-0.438	NaN	NaN	NaN	NaN
YDR095C	0.060	-0.167	-0.563	-0.165	NaN	NaN	NaN	NaN
YDR096W	0.654	0.064	-0.072	0.621	NaN	NaN	NaN	NaN
YDR097C	0.497	0.105	0.253	0.675	NaN	NaN	NaN	NaN
YDR098C	0.048	0.134	0.257	0.123	NaN	NaN	NaN	NaN
YDR099W	-0.067	0.168	0.038	0.351	NaN	NaN	NaN	NaN
YDR100W	0.496	0.166	0.425	0.120	NaN	NaN	NaN	NaN
YDR101C	-0.676	0.531	0.989	-0.321	NaN	NaN	NaN	NaN
YDR102C	0.018	-0.151	-0.369	-1.027	NaN	NaN	NaN	NaN
YDR103W	-0.064	0.276	-0.110	0.164	NaN	NaN	NaN	NaN
YDR104C	-0.054	-0.166	-0.238	-0.202	NaN	NaN	NaN	NaN
YDR105C	-0.253	0.173	-0.444	-0.091	NaN	NaN	NaN	NaN
YDR107C	0.030	-0.300	-0.169	0.153	NaN	NaN	NaN	NaN
YDR108W	0.500	0.081	-0.095	-0.486	NaN	NaN	NaN	NaN
YDR109C	0.137	-0.130	0.045	-0.034	NaN	NaN	NaN	NaN
YDR110W	-0.148	-0.358	-0.066	-0.155	NaN	NaN	NaN	NaN
YDR111C	-0.019	-0.160	-0.017	-0.172	NaN	NaN	NaN	NaN
YDR112W	0.119	-0.243	-0.404	-0.133	NaN	NaN	NaN	NaN
YDR113C	NaN	NaN	NaN	NaN	-0.086	-0.039	-0.222	-0.045
YDR114C	0.413	0.425	0.209	0.128	NaN	NaN	NaN	NaN
YDR115W	0.441	0.043	0.168	-0.006	NaN	NaN	NaN	NaN
YDR116C	0.369	0.358	-0.038	0.504	NaN	NaN	NaN	NaN
YDR117C	-0.116	-0.211	-0.267	-0.498	NaN	NaN	NaN	NaN
YDR118W	NaN	NaN	NaN	NaN	-0.714	-0.624	-1.200	-0.203
YDR119W	-0.023	0.569	-0.316	-0.066	NaN	NaN	NaN	NaN
YDR120C	-0.386	0.396	0.327	-0.330	NaN	NaN	NaN	NaN
YDR121W	-0.188	0.258	0.505	0.554	NaN	NaN	NaN	NaN
YDR122W	0.717	0.226	-0.275	0.750	NaN	NaN	NaN	NaN
YDR123C	0.761	0.389	-0.186	0.085	NaN	NaN	NaN	NaN
YDR124W	0.145	-0.185	-0.034	-0.021	NaN	NaN	NaN	NaN
YDR125C	-0.241	0.102	0.234	-0.207	NaN	NaN	NaN	NaN
YDR126W	-0.062	-0.630	-0.353	0.005	NaN	NaN	NaN	NaN
YDR127W	0.355	0.431	0.544	-0.191	NaN	NaN	NaN	NaN
YDR128W	0.525	0.061	0.862	0.201	NaN	NaN	NaN	NaN
YDR129C	-0.146	-0.270	-0.102	0.011	NaN	NaN	NaN	NaN
YDR130C	-0.327	-0.426	-0.196	-0.272	NaN	NaN	NaN	NaN
YDR131C	0.033	0.144	-0.064	-1.260	NaN	NaN	NaN	NaN
YDR132C	0.569	0.305	0.117	0.405	NaN	NaN	NaN	NaN
YDR133C	0.022	0.130	0.087	0.279	NaN	NaN	NaN	NaN
YDR134C	-0.396	-0.186	-0.456	-0.264	NaN	NaN	NaN	NaN
YDR135C	-0.713	-0.339	0.083	-0.186	NaN	NaN	NaN	NaN
YDR136C	-0.253	-0.285	-0.113	-0.004	NaN	NaN	NaN	NaN
YDR137W	-0.110	-0.334	-0.884	-0.798	NaN	NaN	NaN	NaN
YDR138W	0.040	0.029	0.121	0.153	NaN	NaN	NaN	NaN
YDR139C	0.141	0.055	0.347	0.386	NaN	NaN	NaN	NaN
YDR140W	-0.430	0.404	1.051	-0.166	NaN	NaN	NaN	NaN
YDR141C	NaN	NaN	NaN	NaN	-0.498	-0.027	0.528	-0.375
YDR142C	0.040	0.076	-0.038	0.001	NaN	NaN	NaN	NaN
YDR143C	0.388	-0.448	0.208	-0.095	NaN	NaN	NaN	NaN
YDR144C	-0.148	0.385	-0.392	0.000	NaN	NaN	NaN	NaN
YDR145W	NaN	NaN	NaN	NaN	-0.881	-0.293	0.046	-0.753
YDR146C	0.178	0.059	0.359	-0.025	NaN	NaN	NaN	NaN
YDR147W	0.004	0.071	-0.233	-0.521	NaN	NaN	NaN	NaN
YDR148C	0.315	0.171	0.052	-0.124	NaN	NaN	NaN	NaN
YDR149C	-0.307	-0.062	0.360	0.351	NaN	NaN	NaN	NaN
YDR150W	1.420	-0.005	0.494	0.965	NaN	NaN	NaN	NaN
YDR151C	0.050	0.090	-0.152	-0.114	NaN	NaN	NaN	NaN
YDR152W	-0.496	-0.362	-0.248	-0.327	NaN	NaN	NaN	NaN
YDR153C	-0.015	-0.291	0.192	-0.066	NaN	NaN	NaN	NaN
YDR154C	-0.113	-0.062	0.097	0.001	NaN	NaN	NaN	NaN
YDR155C	-0.114	0.239	-0.079	0.312	NaN	NaN	NaN	NaN
YDR156W	-0.199	-0.346	-0.268	-0.339	NaN	NaN	NaN	NaN
YDR157W	-0.221	-0.133	-0.306	-0.047	NaN	NaN	NaN	NaN
YDR158W	0.021	-0.099	0.087	0.236	NaN	NaN	NaN	NaN
YDR159W	0.156	0.154	0.426	0.311	NaN	NaN	NaN	NaN
YDR160W	NaN	NaN	NaN	NaN	-0.309	0.065	-0.106	0.123
YDR161W	-0.093	0.468	1.249	0.045	NaN	NaN	NaN	NaN
YDR162C	0.539	0.091	0.270	0.156	NaN	NaN	NaN	NaN
YDR163W	0.153	-0.113	-0.043	0.395	NaN	NaN	NaN	NaN
YDR164C	NaN	NaN	NaN	NaN	0.002	-0.219	0.315	-0.358
YDR165W	0.241	0.201	-0.119	-0.195	NaN	NaN	NaN	NaN
YDR166C	NaN	NaN	NaN	NaN	-0.069	-0.272	-0.090	0.050
YDR167W	NaN	NaN	NaN	NaN	-0.359	-0.616	-0.045	-0.047
YDR168W	NaN	NaN	NaN	NaN	-0.014	0.193	-0.110	-0.122
YDR169C	-0.146	-0.274	-0.123	-0.381	NaN	NaN	NaN	NaN
YDR170C	NaN	NaN	NaN	NaN	-0.275	-0.125	-0.170	0.079
YDR171W	0.153	0.439	-0.094	-0.213	NaN	NaN	NaN	NaN
YDR172W	NaN	NaN	NaN	NaN	-0.157	-0.129	0.395	-0.175
YDR173C	-0.141	-0.336	0.026	-0.183	NaN	NaN	NaN	NaN
YDR174W	-0.965	0.638	0.467	-0.086	NaN	NaN	NaN	NaN
YDR175C	0.210	-0.139	0.039	-0.324	NaN	NaN	NaN	NaN
YDR176W	-0.047	0.030	0.203	0.036	NaN	NaN	NaN	NaN
YDR177W	NaN	NaN	NaN	NaN	-0.906	-2.451	-0.944	0.127
YDR178W	0.246	0.298	0.225	0.254	NaN	NaN	NaN	NaN
YDR179C	0.113	0.263	-0.484	-0.236	NaN	NaN	NaN	NaN
YDR179W-A	-0.092	-0.100	-0.196	-0.281	NaN	NaN	NaN	NaN
YDR180W	NaN	NaN	NaN	NaN	-0.367	-0.325	0.367	0.083
YDR181C	-0.235	-0.016	-0.119	0.075	NaN	NaN	NaN	NaN
YDR182W	NaN	NaN	NaN	NaN	0.041	-0.284	-0.180	-0.595
YDR183W	0.559	0.314	-0.090	-0.070	NaN	NaN	NaN	NaN
YDR184C	-0.299	-0.116	0.001	-0.359	NaN	NaN	NaN	NaN
YDR185C	0.016	0.094	0.069	0.109	NaN	NaN	NaN	NaN
YDR186C	-0.043	-0.054	-0.031	-0.152	NaN	NaN	NaN	NaN
YDR187C	-0.086	0.277	-0.132	-0.300	NaN	NaN	NaN	NaN
YDR188W	NaN	NaN	NaN	NaN	0.102	-0.103	0.265	0.031
YDR189W	NaN	NaN	NaN	NaN	-0.089	-0.206	-0.629	-0.172
YDR190C	NaN	NaN	NaN	NaN	-0.041	0.261	-0.154	-0.645
YDR191W	0.254	0.127	0.007	0.386	NaN	NaN	NaN	NaN
YDR192C	-0.109	-0.066	-0.602	-0.066	NaN	NaN	NaN	NaN
YDR193W	0.109	0.354	-0.454	0.343	NaN	NaN	NaN	NaN
YDR194C	0.100	-0.062	-0.221	-0.015	NaN	NaN	NaN	NaN
YDR195W	-1.075	-0.501	-0.367	-0.619	NaN	NaN	NaN	NaN
YDR196C	NaN	NaN	NaN	NaN	-0.320	-0.175	0.128	-0.267
YDR197W	0.019	0.356	-0.119	0.067	NaN	NaN	NaN	NaN
YDR198C	-0.239	-0.182	-0.037	-0.191	NaN	NaN	NaN	NaN
YDR199W	-0.341	0.110	-0.227	-0.120	NaN	NaN	NaN	NaN
YDR200C	-0.147	0.141	-0.245	-0.392	NaN	NaN	NaN	NaN
YDR201W	NaN	NaN	NaN	NaN	-0.243	-0.298	-0.599	-0.006
YDR202C	-0.298	0.446	0.457	-0.403	NaN	NaN	NaN	NaN
YDR203W	-1.209	0.173	0.652	-0.257	NaN	NaN	NaN	NaN
YDR204W	0.234	0.397	0.971	-0.052	NaN	NaN	NaN	NaN
YDR205W	-0.268	-0.859	-0.596	-0.460	NaN	NaN	NaN	NaN
YDR206W	-0.311	0.333	-0.134	-0.609	NaN	NaN	NaN	NaN
YDR207C	-0.016	0.451	-0.092	-0.025	NaN	NaN	NaN	NaN
YDR208W	NaN	NaN	NaN	NaN	-0.102	-0.372	-0.388	0.375
YDR209C	0.051	-0.034	-0.604	-0.023	NaN	NaN	NaN	NaN
YDR210W	0.288	-0.219	-0.560	-0.093	NaN	NaN	NaN	NaN
YDR211W	NaN	NaN	NaN	NaN	-0.235	0.240	0.162	-0.597
YDR212W	NaN	NaN	NaN	NaN	-0.106	-0.122	-0.395	-0.557
YDR213W	0.227	-0.056	-0.032	0.295	NaN	NaN	NaN	NaN
YDR214W	0.289	0.081	-0.479	0.144	NaN	NaN	NaN	NaN
YDR215C	-0.106	-0.233	-0.449	0.384	NaN	NaN	NaN	NaN
YDR216W	-0.147	-0.190	-0.215	0.333	NaN	NaN	NaN	NaN
YDR217C	0.367	0.433	0.001	0.158	NaN	NaN	NaN	NaN
YDR218C	-0.023	-0.469	0.064	-0.490	NaN	NaN	NaN	NaN
YDR219C	0.227	0.118	0.034	-0.283	NaN	NaN	NaN	NaN
YDR220C	0.160	-0.097	0.090	-0.376	NaN	NaN	NaN	NaN
YDR221W	0.399	-0.035	-0.269	0.204	NaN	NaN	NaN	NaN
YDR222W	-0.037	-0.000	0.279	-0.117	NaN	NaN	NaN	NaN
YDR223W	0.201	0.049	-0.032	-0.078	NaN	NaN	NaN	NaN
YDR224C	NaN	NaN	NaN	NaN	-0.148	0.022	-0.523	-0.186
YDR225W	-0.090	0.206	-0.211	0.065	NaN	NaN	NaN	NaN
YDR226W	-0.045	0.121	-0.325	0.205	NaN	NaN	NaN	NaN
YDR227W	0.003	0.121	0.216	-0.000	NaN	NaN	NaN	NaN
YDR228C	NaN	NaN	NaN	NaN	0.003	-0.125	0.101	-0.155
YDR229W	0.158	0.038	0.025	0.017	NaN	NaN	NaN	NaN
YDR230W	0.303	0.211	0.827	0.257	NaN	NaN	NaN	NaN
YDR231C	0.186	-0.046	-0.098	0.291	NaN	NaN	NaN	NaN
YDR232W	NaN	NaN	NaN	NaN	-0.579	-0.204	-0.281	-0.074
YDR233C	0.474	0.150	-0.037	0.781	NaN	NaN	NaN	NaN
YDR234W	0.116	0.253	0.373	0.679	NaN	NaN	NaN	NaN
YDR235W	NaN	NaN	NaN	NaN	-0.190	-0.423	0.136	-0.597
YDR236C	NaN	NaN	NaN	NaN	-0.156	-0.432	-0.007	-0.315
YDR237W	0.166	0.152	0.104	-0.011	NaN	NaN	NaN	NaN
YDR238C	NaN	NaN	NaN	NaN	-0.506	-0.236	-0.334	-0.296
YDR239C	0.746	0.045	-0.391	0.028	NaN	NaN	NaN	NaN
YDR240C	NaN	NaN	NaN	NaN	0.041	0.503	0.119	0.067
YDR241W	-0.375	-0.318	0.060	-0.195	NaN	NaN	NaN	NaN
YDR242W	0.672	0.414	0.436	0.598	NaN	NaN	NaN	NaN
YDR243C	NaN	NaN	NaN	NaN	-0.052	-0.334	0.532	0.068
YDR244W	0.466	0.436	-0.216	0.241	NaN	NaN	NaN	NaN
YDR245W	-0.207	0.013	0.155	-0.051	NaN	NaN	NaN	NaN
YDR246W	NaN	NaN	NaN	NaN	0.006	-0.284	-0.201	-0.026
YDR247W	0.069	0.156	-0.156	0.050	NaN	NaN	NaN	NaN
YDR248C	0.243	-0.170	-0.431	-0.126	NaN	NaN	NaN	NaN
YDR249C	0.023	0.010	0.028	0.014	NaN	NaN	NaN	NaN
YDR250C	0.238	-0.124	0.243	-0.394	NaN	NaN	NaN	NaN
YDR251W	-0.136	-0.159	-0.110	-0.547	NaN	NaN	NaN	NaN
YDR252W	-0.093	0.170	0.047	0.089	NaN	NaN	NaN	NaN
YDR253C	-0.267	-0.203	0.400	-0.196	NaN	NaN	NaN	NaN
YDR254W	0.234	0.026	0.071	-0.459	NaN	NaN	NaN	NaN
YDR255C	-0.054	-0.227	-0.132	-0.724	NaN	NaN	NaN	NaN
YDR256C	-0.065	-0.002	-0.174	0.046	NaN	NaN	NaN	NaN
YDR257C	0.080	-0.108	0.239	-0.387	NaN	NaN	NaN	NaN
YDR258C	-0.028	0.160	-0.133	-0.017	NaN	NaN	NaN	NaN
YDR259C	0.293	0.094	-0.108	-0.355	NaN	NaN	NaN	NaN
YDR260C	0.151	0.286	-0.047	-0.115	NaN	NaN	NaN	NaN
YDR261C	0.146	0.352	-0.132	-0.259	NaN	NaN	NaN	NaN
YDR262W	0.108	0.236	-0.204	0.076	NaN	NaN	NaN	NaN
YDR263C	0.112	0.402	0.391	0.320	NaN	NaN	NaN	NaN
YDR264C	0.107	-0.001	0.534	-0.580	NaN	NaN	NaN	NaN
YDR265W	0.051	-0.025	-0.278	0.440	NaN	NaN	NaN	NaN
YDR266C	-0.079	0.163	0.035	-0.131	NaN	NaN	NaN	NaN
YDR267C	NaN	NaN	NaN	NaN	-0.245	-0.535	0.107	0.625
YDR268W	0.605	0.020	0.468	0.300	NaN	NaN	NaN	NaN
YDR269C	-0.237	0.084	0.486	-0.232	NaN	NaN	NaN	NaN
YDR270W	-0.068	0.378	0.617	-0.457	NaN	NaN	NaN	NaN
YDR271C	0.070	0.179	0.299	-0.264	NaN	NaN	NaN	NaN
YDR272W	0.080	0.284	0.262	0.052	NaN	NaN	NaN	NaN
YDR273W	-0.106	0.035	-0.560	-0.121	NaN	NaN	NaN	NaN
YDR274C	0.116	-0.172	0.036	-0.493	NaN	NaN	NaN	NaN
YDR275W	0.034	0.257	0.202	0.028	NaN	NaN	NaN	NaN
YDR276C	2.126	0.779	-0.214	1.540	NaN	NaN	NaN	NaN
YDR277C	-0.071	-0.085	-0.033	-0.381	NaN	NaN	NaN	NaN
YDR278C	0.060	-0.049	-0.112	0.476	NaN	NaN	NaN	NaN
YDR279W	-0.147	0.319	-0.470	0.224	NaN	NaN	NaN	NaN
YDR280W	NaN	NaN	NaN	NaN	0.098	-0.122	0.239	-0.193
YDR281C	0.694	0.245	0.134	0.571	NaN	NaN	NaN	NaN
YDR282C	0.275	0.324	0.244	-0.225	NaN	NaN	NaN	NaN
YDR283C	0.287	0.090	0.286	-0.300	NaN	NaN	NaN	NaN
YDR284C	0.180	-0.144	0.110	-0.425	NaN	NaN	NaN	NaN
YDR285W	0.129	0.008	-0.116	-0.299	NaN	NaN	NaN	NaN
YDR286C	-0.074	-0.029	-0.109	0.211	NaN	NaN	NaN	NaN
YDR287W	-0.110	0.127	-0.192	-0.247	NaN	NaN	NaN	NaN
YDR288W	NaN	NaN	NaN	NaN	-0.213	-0.132	0.258	-0.382
YDR289C	0.261	0.319	0.545	-0.466	NaN	NaN	NaN	NaN
YDR290W	0.307	0.073	-0.073	0.111	NaN	NaN	NaN	NaN
YDR291W	0.445	0.185	0.643	0.361	NaN	NaN	NaN	NaN
YDR292C	NaN	NaN	NaN	NaN	-0.115	0.144	0.260	0.016
YDR293C	0.170	0.026	0.743	0.214	NaN	NaN	NaN	NaN
YDR294C	-0.686	-0.211	-0.916	-0.530	NaN	NaN	NaN	NaN
YDR295C	0.002	0.345	-0.335	-0.046	NaN	NaN	NaN	NaN
YDR296W	0.321	0.083	0.341	-0.232	NaN	NaN	NaN	NaN
YDR297W	1.284	0.214	-0.563	1.935	NaN	NaN	NaN	NaN
YDR298C	0.048	0.314	0.001	0.181	NaN	NaN	NaN	NaN
YDR299W	NaN	NaN	NaN	NaN	-0.396	-0.150	-0.375	-0.181
YDR300C	-0.165	0.397	-0.098	-0.658	NaN	NaN	NaN	NaN
YDR301W	NaN	NaN	NaN	NaN	0.464	-0.650	-0.149	0.349
YDR302W	NaN	NaN	NaN	NaN	-0.106	0.013	-0.080	-0.228
YDR303C	NaN	NaN	NaN	NaN	-0.372	-0.214	-0.492	-0.258
YDR304C	0.108	0.134	-0.138	0.296	NaN	NaN	NaN	NaN
YDR305C	0.100	0.041	0.057	0.128	NaN	NaN	NaN	NaN
YDR306C	0.135	0.023	-0.247	0.115	NaN	NaN	NaN	NaN
YDR307W	0.139	-0.191	-0.149	-0.059	NaN	NaN	NaN	NaN
YDR308C	NaN	NaN	NaN	NaN	-0.406	-0.056	-0.557	0.751
YDR309C	0.249	0.252	-0.240	0.294	NaN	NaN	NaN	NaN
YDR310C	0.188	-0.205	-0.529	1.406	NaN	NaN	NaN	NaN
YDR311W	NaN	NaN	NaN	NaN	-0.003	-0.316	-0.037	0.417
YDR312W	0.226	0.563	-0.075	0.188	NaN	NaN	NaN	NaN
YDR313C	0.498	0.337	0.209	0.398	NaN	NaN	NaN	NaN
YDR314C	0.179	-0.148	0.425	-0.061	NaN	NaN	NaN	NaN
YDR315C	0.248	0.174	0.386	0.379	NaN	NaN	NaN	NaN
YDR316W	-0.124	0.106	0.366	-0.025	NaN	NaN	NaN	NaN
YDR317W	-1.229	-0.947	-1.235	-1.354	NaN	NaN	NaN	NaN
YDR318W	0.161	0.135	0.227	0.160	NaN	NaN	NaN	NaN
YDR319C	0.574	0.421	-0.164	0.338	NaN	NaN	NaN	NaN
YDR320C	-0.064	-0.200	-0.114	-0.139	NaN	NaN	NaN	NaN
YDR321W	0.138	-0.132	0.003	0.265	NaN	NaN	NaN	NaN
YDR322W	0.055	0.555	0.420	-0.016	NaN	NaN	NaN	NaN
YDR323C	0.590	1.554	0.681	-0.699	NaN	NaN	NaN	NaN
YDR324C	NaN	NaN	NaN	NaN	-0.864	-0.477	-0.287	-0.798
YDR325W	NaN	NaN	NaN	NaN	-0.047	-0.177	0.167	-0.141
YDR326C	1.226	0.172	-0.573	-0.932	NaN	NaN	NaN	NaN
YDR327W	-0.161	0.138	-0.185	0.069	NaN	NaN	NaN	NaN
YDR328C	NaN	NaN	NaN	NaN	-0.115	-0.391	-0.106	0.011
YDR329C	0.002	-0.035	0.237	0.146	NaN	NaN	NaN	NaN
YDR330W	-0.261	-0.061	-0.130	0.278	NaN	NaN	NaN	NaN
YDR331W	NaN	NaN	NaN	NaN	-0.206	0.228	0.321	-0.373
YDR332W	0.391	0.576	0.361	-0.330	NaN	NaN	NaN	NaN
YDR333C	0.052	-0.363	-0.132	-0.366	NaN	NaN	NaN	NaN
YDR334W	0.073	0.095	0.279	-0.274	NaN	NaN	NaN	NaN
YDR335W	-0.921	-0.185	-1.082	-0.427	NaN	NaN	NaN	NaN
YDR336W	0.300	0.459	0.263	0.224	NaN	NaN	NaN	NaN
YDR337W	0.143	-0.120	0.458	-0.089	NaN	NaN	NaN	NaN
YDR338C	0.164	-0.067	-0.319	0.334	NaN	NaN	NaN	NaN
YDR339C	NaN	NaN	NaN	NaN	-0.332	-0.137	-0.344	-0.291
YDR340W	-0.180	0.104	-0.070	-0.230	NaN	NaN	NaN	NaN
YDR341C	NaN	NaN	NaN	NaN	0.181	0.027	0.205	0.028
YDR344C	-0.032	-0.270	0.071	0.022	NaN	NaN	NaN	NaN
YDR345C	0.177	0.170	0.054	-0.084	NaN	NaN	NaN	NaN
YDR346C	-0.788	0.602	-0.056	-0.683	NaN	NaN	NaN	NaN
YDR347W	1.096	0.149	0.916	0.508	NaN	NaN	NaN	NaN
YDR348C	0.111	0.130	-0.011	-0.109	NaN	NaN	NaN	NaN
YDR349C	0.904	0.725	0.556	0.263	NaN	NaN	NaN	NaN
YDR350C	-0.101	0.210	0.125	-0.047	NaN	NaN	NaN	NaN
YDR351W	-0.052	0.294	0.419	0.050	NaN	NaN	NaN	NaN
YDR352W	0.573	0.184	-0.277	0.308	NaN	NaN	NaN	NaN
YDR353W	NaN	NaN	NaN	NaN	-0.493	-0.286	-0.640	-0.565
YDR354W	0.257	-0.102	-0.141	0.006	NaN	NaN	NaN	NaN
YDR355C	-0.287	0.559	-0.292	-0.759	NaN	NaN	NaN	NaN
YDR356W	NaN	NaN	NaN	NaN	-0.154	0.412	-0.110	0.026
YDR357C	-0.411	0.290	-0.105	-0.274	NaN	NaN	NaN	NaN
YDR358W	0.147	0.094	-0.281	0.001	NaN	NaN	NaN	NaN
YDR359C	0.367	-0.083	0.367	-0.140	NaN	NaN	NaN	NaN
YDR360W	-0.006	0.057	0.108	0.188	NaN	NaN	NaN	NaN
YDR361C	NaN	NaN	NaN	NaN	0.009	-0.365	0.442	-0.052
YDR362C	NaN	NaN	NaN	NaN	0.084	-0.797	0.132	-0.009
YDR363W	-0.392	0.341	0.384	-0.423	NaN	NaN	NaN	NaN
YDR363W-A	-0.381	0.314	0.256	0.210	NaN	NaN	NaN	NaN
YDR364C	-0.261	0.189	0.038	-0.011	NaN	NaN	NaN	NaN
YDR365C	NaN	NaN	NaN	NaN	0.058	0.063	-0.090	0.112
YDR367W	NaN	NaN	NaN	NaN	-0.604	-0.637	-0.644	-0.017
YDR368W	-0.079	0.835	-0.253	0.036	NaN	NaN	NaN	NaN
YDR369C	-0.019	0.498	-0.559	0.033	NaN	NaN	NaN	NaN
YDR370C	0.357	0.351	0.050	0.237	NaN	NaN	NaN	NaN
YDR371W	-0.043	0.372	0.143	0.425	NaN	NaN	NaN	NaN
YDR372C	-0.361	-0.581	-0.253	-0.327	NaN	NaN	NaN	NaN
YDR373W	NaN	NaN	NaN	NaN	-0.012	0.043	-0.243	-0.075
YDR374C	0.211	-0.250	-0.038	-0.375	NaN	NaN	NaN	NaN
YDR375C	0.443	0.240	-0.253	-0.002	NaN	NaN	NaN	NaN
YDR376W	NaN	NaN	NaN	NaN	-0.185	0.229	-0.148	-0.452
YDR377W	0.529	-0.180	0.376	-0.228	NaN	NaN	NaN	NaN
YDR378C	0.176	-0.145	0.612	0.564	NaN	NaN	NaN	NaN
YDR379W	0.057	-0.266	-0.115	-0.226	NaN	NaN	NaN	NaN
YDR380W	0.048	0.177	-0.089	-0.242	NaN	NaN	NaN	NaN
YDR381W	NaN	NaN	NaN	NaN	-0.119	-0.188	0.012	-0.330
YDR382W	-0.151	0.091	0.280	0.061	NaN	NaN	NaN	NaN
YDR383C	0.306	0.031	0.279	0.369	NaN	NaN	NaN	NaN
YDR384C	-0.034	0.103	0.159	-0.041	NaN	NaN	NaN	NaN
YDR385W	0.111	-0.547	-0.028	0.286	NaN	NaN	NaN	NaN
YDR386W	0.035	-0.100	-0.476	-0.087	NaN	NaN	NaN	NaN
YDR387C	-0.117	0.118	0.160	-0.180	NaN	NaN	NaN	NaN
YDR388W	0.085	0.910	0.006	-0.725	NaN	NaN	NaN	NaN
YDR389W	-0.066	0.588	0.161	-0.349	NaN	NaN	NaN	NaN
YDR390C	NaN	NaN	NaN	NaN	0.098	0.121	-0.065	0.041
YDR391C	-0.049	0.053	0.015	0.084	NaN	NaN	NaN	NaN
YDR392W	-0.002	-0.023	-0.006	-0.457	NaN	NaN	NaN	NaN
YDR393W	0.502	0.318	0.398	-0.240	NaN	NaN	NaN	NaN
YDR394W	NaN	NaN	NaN	NaN	-0.166	-0.192	-0.332	-0.215
YDR395W	0.000	-0.297	-0.305	-0.129	NaN	NaN	NaN	NaN
YDR396W	-0.342	-0.475	-0.232	-0.170	NaN	NaN	NaN	NaN
YDR397C	NaN	NaN	NaN	NaN	-0.184	-0.949	-0.659	-0.054
YDR398W	NaN	NaN	NaN	NaN	-0.682	-0.728	-0.642	-0.171
YDR399W	0.458	0.047	-0.157	0.649	NaN	NaN	NaN	NaN
YDR400W	-0.003	-0.052	-0.529	-0.259	NaN	NaN	NaN	NaN
YDR401W	-0.041	0.131	-0.156	-0.093	NaN	NaN	NaN	NaN
YDR402C	0.312	0.015	0.207	0.088	NaN	NaN	NaN	NaN
YDR403W	0.156	0.020	-0.261	-0.000	NaN	NaN	NaN	NaN
YDR404C	NaN	NaN	NaN	NaN	0.623	0.198	0.036	0.119
YDR405W	0.789	0.389	0.337	0.045	NaN	NaN	NaN	NaN
YDR406W	-0.032	-0.453	0.049	0.173	NaN	NaN	NaN	NaN
YDR407C	NaN	NaN	NaN	NaN	-0.406	-0.175	0.820	-0.263
YDR408C	0.168	0.030	-0.022	-0.404	NaN	NaN	NaN	NaN
YDR409W	-0.065	-0.118	-0.530	-0.279	NaN	NaN	NaN	NaN
YDR410C	-0.022	0.016	-0.029	-0.256	NaN	NaN	NaN	NaN
YDR411C	-0.116	-0.067	-0.022	-0.148	NaN	NaN	NaN	NaN
YDR412W	NaN	NaN	NaN	NaN	-0.265	-0.740	0.182	-0.060
YDR413C	-0.026	-0.175	0.196	0.305	NaN	NaN	NaN	NaN
YDR414C	-0.322	-1.008	-1.249	-2.003	NaN	NaN	NaN	NaN
YDR415C	-0.458	-0.088	-0.170	-0.130	NaN	NaN	NaN	NaN
YDR416W	NaN	NaN	NaN	NaN	-0.373	-0.346	-0.090	-0.088
YDR417C	0.389	0.368	0.851	0.669	NaN	NaN	NaN	NaN
YDR418W	0.138	0.316	0.525	0.555	NaN	NaN	NaN	NaN
YDR419W	0.038	0.006	-0.304	-0.001	NaN	NaN	NaN	NaN
YDR420W	-0.298	0.119	-0.040	0.129	NaN	NaN	NaN	NaN
YDR421W	-0.025	-0.383	0.218	-0.005	NaN	NaN	NaN	NaN
YDR422C	-0.125	0.146	0.180	0.117	NaN	NaN	NaN	NaN
YDR423C	0.073	0.024	0.414	0.076	NaN	NaN	NaN	NaN
