orf	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YAL001C					0.0853175103380205	0.4451057219908707	0.3009665087487808	-0.12417875628239695
YAL002W	1.1118002055134872	1.7535361176447937	1.4018120689480067	0.1806767101738137				
YAL003W					0.9755918286800048	-0.022356857536645094	-1.0458594950550049	1.3758383800914127
YAL004W	0.962442509093408	0.07728904457589213	-0.4514015079407885	0.8217419641062198				
YAL005C	-1.1114166292689849	-1.1788737836932521	0.699369468738776	0.26991695215696815				
YAL007C	-0.660896714458899	-0.6078779060491917	0.25847379641600277	0.17111598494171257				
YAL008W	-0.297262722560037	-0.8124518615944467	-0.3739720685986413	0.9664900588239329				
YAL009W	0.07336294309957891	-0.22902281194881233	0.4865529202423693	-0.3952732159952131				
YAL010C	-0.022238503174158496	0.23103456488991622	0.4023472204750489	0.0374764445010603				
YAL011W	-0.18054253888253932	-0.452242333915949	1.245306351307181	1.183497025007686				
YAL012W	-0.6762073530814159	-1.0425107531014524	-0.1488783713440345	-0.2399528287658395				
YAL013W	-0.3616717243307523	1.754862722777094	0.21166880880293962	-0.7741942689520114				
YAL014C	0.4816684379913848	0.39219929100378004	0.2813823177147803	0.5287398250364606				
YAL015C	0.9287017914157369	0.9619042527839555	0.699359736097711	-1.024578750561105				
YAL016W	0.2526542730359122	-0.10282463690513335	0.45565679348053	0.02829316968604131				
YAL017W	0.5732322763650485	-0.6611526424140669	-0.5746043802741304	-0.20321849070894157				
YAL018C	0.8033567903525729	-0.850233984929388	0.1510945130370665	0.0506276562144048				
YAL019W	-0.45660482174780725	-0.6019010637713633	-0.3591892178396083	-0.11006476459988253				
YAL020C	-0.9287629784620093	-0.15643139865987948	-0.8536279456114089	0.391796200368256				
YAL021C	-0.08940753925176421	0.1493696165529078	0.718984963432337	-0.07566506050878499				
YAL022C	0.24396666352711543	-0.013832334043835904	0.231622932710629	0.7720988739253447				
YAL023C	-0.1672313617890902	0.6942876148013837	0.8453898225190655	0.6080614522444063				
YAL024C	0.02955813255540186	0.2537378354555058	-0.02175734545510977	-0.36115352539322126				
YAL025C					0.07128256202254042	0.39048237344249387	1.237342585957401	1.243606509860874
YAL026C	-0.27614980394114685	-0.7813034330772028	-0.9823112977584413	-1.0986013572163704				
YAL027W	0.43869587708900115	1.2140017034712267	-0.1928460406486289	-0.01174440253122534				
YAL028W	-0.019310501534560036	-0.38191681146895656	0.451916993477503	0.9400852489287862				
YAL029C	0.11256155955476671	-0.5356475837708891	0.14094138142082593	0.7948988684840819				
YAL030W	-0.19297457643249946	-0.5338034264704276	0.2150405218202677	-0.6584246602820141				
YAL031C	0.4786607086811714	-0.31686551892818254	1.3108937869692263	0.7317460769338429				
YAL032C					0.09623803103464419	0.07442876933700418	0.7358613694031542	0.22491089863492744
YAL033W					0.49948260085737395	0.45162746894089595	1.7463230443247497	0.7626267414798377
YAL034C	-0.4237522940427249	0.22977508744477798	0.5836265253347541	-0.17161296086619082				
YAL034C-B					-0.22062490838011592	-0.043729272826336325	0.6473242480357562	0.06847276768205629
YAL034W-A					0.665457050606997	0.8336289261445483	0.9044431262758186	2.2231422550475797
YAL035W	-0.24576424653291096	0.5057990210922113	0.9393134913085345	0.13061170041373668				
YAL036C	0.15537647912659822	0.1426903102597603	-0.7965233054989187	0.48769743510344116				
YAL037W	-0.5391656440360438	-0.344450930322804	0.4045532405758574	-0.6042474000469175				
YAL038W					0.37197697558022025	0.24492159076431266	1.3671391732950648	-0.05885705095526879
YAL039C	0.026605985522425907	0.33030638898129355	0.275181045025732	-0.7559162744717465				
YAL040C	-1.302954777384232	-1.2161379326207353	-0.893336956840346	-1.879672521771721				
YAL041W					0.31319729627733867	1.129591480086869	2.9993403975518933	1.4097240824575181
YAL042C-A	0.6272892495201159	0.12684068347964234	-0.043108888953273	0.06244335472384753				
YAL042W	-0.009164201015310973	0.04290276098943324	0.506817679117359	0.20445625049776192				
YAL043C					1.0254360841377095	-0.9635715939349203	0.10920529794633037	-0.2359820847744779
YAL044C	-0.05513108310461615	-0.3155975164193249	0.8744571650675943	0.3967469935990175				
YAL045C	0.16599942100903523	0.038002077946644376	0.09365098281752054	-0.30372258117502887				
YAL046C	0.22483415147452296	-0.12980614921701839	-0.266343595448458	0.8012799363178418				
YAL047C	0.8633824822998439	-0.09367826370215349	0.7621007265644332	-0.3606673852021574				
YAL048C	-0.6604628563114701	-0.13438900119573935	0.7737008133289378	-0.08841666790118596				
YAL049C	0.5528351818196653	0.12329806625673699	-0.16520105723910478	-0.47395702298903225				
YAL051W	0.5694299957395442	-1.5992049478968173	-0.6279058768428882	0.6698040987961826				
