orf	hom | growth (pooled culture, barseq) | POTASSIUM METABISULFITE [60 mg/L] | SD + His + Leu + Ura | Valero E~Gonzalez R, 2020
YAL002W	-3.484518
YAL004W	-3.1488788
YAL005C	-2.6753964
YAL007C	-1.7549455
YAL008W	2.0238507
YAL009W	-3.3582616
YAL010C	1.4255419
YAL011W	29.083769
YAL012W	0.5842589
YAL013W	-3.6251993
YAL014C	-2.1190894
YAL015C	-2.1185338
YAL016C-B	-2.074703
YAL016W	29.083769
YAL017W	-2.2727022
YAL018C	-1.861536
YAL019W	-0.41820827
YAL020C	-1.6067108
YAL021C	29.083769
YAL022C	-1.952037
YAL023C	-3.088159
YAL024C	-2.8080711
YAL026C	-6.248636
YAL027W	29.083769
YAL028W	29.083769
YAL029C	-2.0370376
YAL030W	-2.2665913
YAL031C	-2.2585456
YAL034C	-1.7452163
YAL035W	29.083769
YAL036C	-2.0324318
YAL037C-A	-2.219857
YAL037W	-1.9757767
YAL039C	29.083769
YAL040C	1.7280954
YAL042W	-1.9872772
YAL043C-A	-1.9275731
YAL044C	29.083769
YAL044W-A	0.3761044
YAL045C	-1.7248102
YAL046C	-3.2705572
YAL047C	29.083769
YAL048C	-1.7382163
YAL049C	-1.849836
YAL051W	-1.1866914
YAL053W	-3.3740964
YAL054C	-2.105414
YAL055W	-1.8874505
YAL056W	2.3488042
YAL058C-A	-2.2064815
YAL058W	-1.9516438
YAL059W	-2.5359697
YAL060W	-1.9787257
YAL061W	-1.9790145
YAL062W	-2.041994
YAL064C-A	-2.1090472
YAL065C	-1.5688419
YAL066W	-2.5154357
YAL067C	-1.9035119
YAL067W-A	-2.2407556
YAL068C	-1.8525976
YAR002C-A	-1.5905124
YAR002W	-1.3948495
YAR003W	-2.415742
YAR014C	-3.2707858
YAR015W	29.083769
YAR018C	-2.233353
YAR020C	-1.5754421
YAR023C	-2.2112696
YAR027W	-1.9622282
YAR028W	-1.808058
YAR029W	-1.867356
YAR030C	-2.132198
YAR031W	-1.6437738
YAR035C-A	-2.992301
YAR035W	-1.5377629
YAR037W	-1.5856581
YAR040C	-1.592082
YAR042W	-2.07563995
YAR043C	-2.6399024
YAR047C	-2.383019
YAR050W	-1.876531
YBL001C	-1.9263395
YBL002W	-2.1389573
YBL003C	-1.4676194
YBL005W	-2.309099
YBL006C	29.083769
YBL007C	-0.5481866
YBL008W	-1.737668
YBL008W-A	-0.44755328
YBL009W	-1.9357475
YBL010C	-1.6467147
YBL011W	-3.3390143
YBL012C	-0.5150734
YBL013W	-1.3613622
YBL015W	-1.553642
YBL016W	29.083769
YBL017C	-4.35272
YBL019W	-2.1771758
YBL021C	-1.240529
YBL022C	-4.8705726
YBL024W	4.8721137
YBL025W	29.083769
YBL027W	29.083769
YBL028C	1.4721599
YBL029C-A	-2.049056
YBL029W	-2.9084272
YBL031W	-3.0007043
YBL032W	-2.010485
YBL033C	29.083769
YBL036C	-2.5070736
YBL037W	-2.8628695
YBL038W	1.0329484
YBL039C	29.083769
YBL039W-B	-2.1196313
YBL042C	29.083769
YBL043W	-1.7622726
YBL044W	-1.3675914
YBL045C	29.083769
YBL046W	-3.7143657
YBL047C	0.92528653
YBL048W	-3.3294806
YBL049W	-5.916585
YBL051C	0.19740303
YBL052C	-3.2695673
YBL053W	-2.5343318
YBL054W	-1.6329628
YBL055C	-1.4805925
YBL056W	-4.149964
YBL057C	-2.0123196
YBL058W	29.083769
YBL059W	-2.2991793
YBL060W	-2.6772811
YBL061C	-3.531224
YBL062W	-3.7469137
YBL063W	-2.2717257
YBL064C	-1.4891287
YBL065W	-2.3226213
YBL066C	-2.4784899
YBL067C	-1.7662373
YBL068W	-1.5256226
YBL069W	-2.3552911
YBL070C	-1.859912
YBL071C	1.4775602
YBL071C-B	-4.615409
YBL071W-A	29.083769
YBL072C	-4.4258327
YBL075C	29.083769
YBL078C	-6.7061734
YBL079W	-3.4157474
YBL080C	29.083769
YBL081W	-2.0232034
YBL082C	-4.9966016
YBL083C	-6.6445622
YBL085W	-1.8767793
YBL086C	0.5007821
YBL087C	-4.7059546
YBL088C	-1.8789241
YBL089W	-0.58186495
YBL090W	0.8449983
YBL091C	-1.6390579
YBL091C-A	-1.6901776
YBL093C	29.083769
YBL094C	-1.0246418
YBL095W	-1.6850303
YBL096C	-1.7635151
YBL098W	-2.0853293
YBL099W	0.5842589
YBL100C	4.6857886
YBL100W-C	1.1344854
YBL101C	29.083769
YBL102W	-1.7920197
YBL103C	29.083769
YBL104C	-1.8695103
YBL106C	-1.7036467
YBL107C	-1.9377836
YBR001C	-2.163931
YBR003W	-3.2333689
YBR005W	-1.2983832
YBR006W	1.1251619
YBR007C	-2.070546
YBR008C	-2.2753208
YBR009C	-3.1706326
YBR010W	-1.4771454
YBR012C	-2.2709863
YBR013C	-2.3338397
YBR014C	-1.2400768
YBR015C	29.083769
YBR016W	-1.4787451
YBR017C	29.083769
YBR018C	-2.3142188
YBR019C	-1.0304381
YBR020W	-2.4178474000000003
YBR021W	29.083769
YBR022W	-1.6556844
YBR023C	-3.8487084
YBR024W	-1.3792105
YBR025C	-1.6431457
YBR026C	-0.7971674
YBR027C	-3.8833456
YBR028C	-1.6724663
YBR030W	-1.580044
YBR031W	-0.25358778
YBR032W	-1.4910238
YBR033W	-1.5820391
YBR034C	-4.1436653
YBR035C	2.2723217
YBR036C	29.083769
YBR037C	29.083769
YBR039W	29.083769
YBR040W	-2.1056674
YBR041W	-3.000702
YBR042C	-3.7796645
YBR043C	-2.509531
YBR044C	0.8726113
YBR045C	-2.529665
YBR046C	-2.4368086
YBR047W	-2.5973508
YBR048W	0.92651033
YBR050C	-1.7351235
YBR051W	-1.6345657
YBR052C	-1.7027104
YBR053C	-1.573422
YBR054W	-1.049052
YBR056W	-5.3464894
YBR056W-A	-2.0499396
YBR057C	29.083769
YBR058C	-2.8611307
YBR058C-A	-1.949179
YBR059C	-3.4398155
YBR061C	29.083769
YBR062C	-1.5031936
YBR063C	-0.7048029
YBR064W	-1.6525123
YBR065C	-0.93801445
YBR066C	-2.191687
YBR067C	-1.867252
YBR068C	0.32122383
YBR069C	-1.5688373
YBR071W	-1.389461
YBR072C-A	-2.307151
YBR072W	-1.765511
YBR073W	-2.2622614
YBR074W	-1.2337163333333334
YBR076W	-2.0189986
YBR077C	-2.322636
YBR078W	-0.4412798
YBR081C	29.083769
YBR082C	29.083769
YBR083W	-1.7541174
YBR084C-A	-0.10259631
YBR084W	-1.0678126
YBR085C-A	-2.0981004
YBR085W	29.083769
YBR086C	29.083769
YBR089C-A	-2.1137824
YBR090C	-2.4330826
YBR092C	-2.0992012
YBR093C	-1.9881971
YBR094W	-1.3088064
YBR095C	29.083769
YBR096W	29.083769
YBR097W	29.083769
YBR098W	-2.03396305
YBR099C	-2.6196055
YBR101C	-3.6636639
YBR103W	-4.3930197
YBR104W	-2.0975688
YBR105C	-1.5763134
YBR106W	-1.0007
YBR107C	-1.1436632
YBR108W	-1.3686914
YBR111C	29.083769
YBR111W-A	-0.08201221
YBR112C	29.083769
YBR113W	-1.0007005
YBR114W	-1.1161978
YBR115C	29.083769
YBR116C	-1.6555797
YBR117C	29.083769
YBR118W	29.083769
YBR119W	0.58425975
YBR120C	0.2134235
YBR121C	13.8476175
YBR122C	29.083769
YBR125C	-3.7988603
YBR126C	29.083769
YBR127C	29.083769
YBR128C	-2.271818
YBR129C	-2.120198
YBR130C	-1.3173559
YBR131W	-1.5856612
YBR132C	29.083769
YBR133C	29.083769
YBR134W	-0.41574043
YBR137W	-1.3152219
YBR138C	-1.3792137
YBR139W	-1.7662475
YBR141C	-1.4254965
YBR144C	-1.987763
YBR145W	-2.8001113
YBR146W	-1.2157109
YBR147W	-1.4291145
YBR148W	-3.9482338
YBR149W	-2.585659
YBR150C	-3.3957713
YBR151W	-1.5283216
YBR156C	0.7038218
YBR157C	-2.72863
YBR158W	29.083769
YBR159W	-3.8833532
YBR161W	-0.8307913
YBR162C	-1.4157465
YBR162W-A	-2.0694914
YBR163W	3.584256
YBR164C	-1.9392959
YBR165W	29.083769
YBR166C	29.083769
YBR168W	-2.0007172
YBR169C	-0.44725147
YBR170C	0.4368862
