orf	hom | growth (pooled culture, barseq) | POTASSIUM METABISULFITE [60 mg/L] | SD + His + Leu + Ura | Valero E~Gonzalez R, 2020
YAL002W	-0.15782766594832895
YAL004W	-0.1241646004996153
YAL005C	-0.07667649714335056
YAL007C	0.015640487550413945
YAL008W	0.39463633725435315
YAL009W	-0.14516473069964833
YAL010C	0.3346287210613062
YAL011W	3.108621475968019
YAL012W	0.25025191200595703
YAL013W	-0.17193735221057158
YAL014C	-0.020881467985321547
YAL015C	-0.020825743865006303
YAL016C-B	-0.016429716556308534
YAL016W	3.108621475968019
YAL017W	-0.03628812412131566
YAL018C	0.0049499514696727445
YAL019W	0.14970907328540012
YAL020C	0.030507745033659134
YAL021C	3.108621475968019
YAL022C	-0.004126881886425206
YAL023C	-0.11807468429962198
YAL024C	-0.08998315831251211
YAL026C	-0.4350559668797084
YAL027W	3.108621475968019
YAL028W	3.108621475968019
YAL029C	-0.012652050463218177
YAL030W	-0.03567522900462326
YAL031C	-0.034868282361678375
YAL034C	0.016616281487366553
YAL035W	3.108621475968019
YAL036C	-0.012190109942433677
YAL037C-A	-0.030987994022535922
YAL037W	-0.006507864426107174
YAL039C	3.108621475968019
YAL040C	0.3649734432279583
YAL042C-A	-0.0016732654231790024
YAL042W	-0.007661311592567277
YAL044C	3.108621475968019
YAL044W-A	0.22937497463706727
YAL045C	0.01866291930515719
YAL046C	-0.13636838343943505
YAL047C	3.108621475968019
YAL048C	0.017318349237918335
YAL049C	0.0061234075670235635
YAL051W	0.07263375579738827
YAL053W	-0.14675288818771076
YAL054C	-0.019509888368765035
YAL055W	0.0023508465094336417
YAL056C-A	-0.029646492994320896
YAL056W	0.4272276762227709
YAL058W	-0.004087445737922785
YAL059W	-0.06269264148108536
YAL060W	-0.006803635539875351
YAL061W	-0.006832600849355244
YAL062W	-0.013149154548765979
YAL064C-A	-0.01987428159037998
YAL065C	0.03430582123921199
YAL066W	-0.060633175882538214
YAL067C	0.0007399620853318887
YAL067W-A	-0.0330840273213475
YAL068C	0.005846431809891604
YAR002C-A	0.03213236992659312
YAR002W	0.051756457365083934
YAR003W	-0.05063435706779779
YAR014C	-0.13639131096626025
YAR015W	3.108621475968019
YAR018C	-0.03234158064559973
YAR020C	0.033643851586756014
YAR023C	-0.030126717365237584
YAR027W	-0.005149012294914228
YAR028W	0.010313548493102405
YAR029W	0.004366232282785422
YAR030C	-0.022196200173161946
YAR031W	0.026790496885273404
YAR035C-A	-0.10846056852356603
YAR035W	0.03742290175626892
YAR042W	-0.01652368832471987
YAR047C	-0.047352390924754156
YAR050W	0.003446022052597931
YBL001C	-0.0015495410264531988
YBL002W	-0.022874126822634042
YBL003C	0.04445797165067291
YBL005W	-0.039938555478927454
YBL006C	3.108621475968019
YBL007C	0.13667284560488935
YBL008W	0.017373341201865122
YBL008W-A	0.14676590397674025
YBL009W	-0.002493120083194763
YBL010C	0.026495538164188016
YBL011W	-0.14323431518319188
YBL012C	0.1399939470102566
YBL013W	0.055115079276948545
YBL015W	0.0358303011822994
YBL016W	3.108621475968019
YBL017C	-0.2449043266861214
YBL019W	-0.026707266297557316
YBL021C	0.06723409255065885
YBL022C	-0.2968425566860336
YBL024W	0.6803039940243295
YBL025W	3.108621475968019
YBL027W	3.108621475968019
YBL028C	0.3393042916891951
YBL029C-A	-0.013857440613679812
YBL029W	-0.10004841279553335
YBL031W	-0.10930338079902488
YBL032W	-0.009988947012746614
YBL033C	3.108621475968019
YBL036C	-0.05979449577726838
YBL037W	-0.09547918537277442
YBL038W	0.2952534017146996
YBL039C	3.108621475968019
YBL039W-B	-0.02093581805875355
YBL042C	3.108621475968019
YBL043W	0.014905613176832828
YBL044W	0.05449031921527183
YBL045C	3.108621475968019
YBL046W	-0.18088033133525724
YBL047C	0.28445541215882864
YBL048W	-0.14227812899555825
YBL049W	-0.4017527813599276
YBL051C	0.2114520505147216
YBL052C	-0.13626910102996775
YBL053W	-0.06252836765699554
YBL054W	0.027874790378304135
YBL055C	0.04315682948857532
YBL056W	-0.22456883399599645
YBL057C	-0.01017294894062694
YBL058W	3.108621475968019
YBL059W	-0.03894365526962056
YBL060W	-0.07686552387041701
YBL061C	-0.1625120625707962
YBL062W	-0.18414474578453707
YBL063W	-0.036190185670113714
YBL064C	0.04230068795539532
YBL065W	-0.041294779870825526
YBL066C	-0.05692768235420458
YBL067C	0.014507972032459595
YBL068W	0.03864051791512944
YBL069W	-0.04457141029896497
YBL070C	0.005112831187800762
YBL071C	0.3398459168996672
YBL071C-B	-0.2712508231610776
YBL071W-A	3.108621475968019
YBL072C	-0.2522371936612309
YBL075C	3.108621475968019
YBL078C	-0.48094486019560906
YBL079W	-0.1509302915988867
YBL080C	3.108621475968019
YBL081W	-0.011264543938263398
YBL082C	-0.30948268476236057
YBL083C	-0.47476554068235266
YBL085W	0.0034211187065319327
YBL086C	0.24187957354891987
YBL087C	-0.28033212969170057
YBL088C	0.0032060051477628537
YBL089W	0.1332950622582043
YBL090W	0.2764028725828453
YBL091C	0.027263479928820118
YBL091C-A	0.022136409530551376
YBL093C	3.108621475968019
YBL094C	0.08888658410450456
YBL095W	0.022652660006610675
YBL096C	0.014780996151109886
YBL098W	-0.017495485490264022
YBL099W	0.25025191200595703
YBL100C	0.6616164449059961
YBL100W-C	0.3054370950272389
YBL101C	3.108621475968019
YBL102W	0.01192211609362732
YBL103C	3.108621475968019
YBL104C	0.004150165917783474
YBL106C	0.02078552085355754
YBL107C	-0.002697331532751684
YBR001C	-0.02537887387719899
YBR003W	-0.13263856827831444
YBR005W	0.06143158282866283
YBR006W	0.30450199093120045
YBR007C	-0.016012788607873744
YBR008C	-0.03655075763725777
YBR009C	-0.12634640641846573
YBR010W	0.0435025577375649
YBR012C	-0.03611602725657685
YBR013C	-0.04241993370693835
YBR014C	0.0672794461273445
YBR015C	3.108621475968019
YBR016W	0.04334211519748522
YBR017C	3.108621475968019
YBR018C	-0.04045204783168103
YBR019C	0.08830524191842981
YBR020W	-0.050845518988085224
YBR021W	3.108621475968019
YBR022W	0.025595918578170274
YBR023C	-0.19435428521983597
YBR024W	0.053324977015209545
YBR025C	0.026853492421576475
YBR026C	0.1117012184353779
YBR027C	-0.19782823680403766
YBR028C	0.02391277132345817
YBR030W	0.033182302218003994
YBR031W	0.16621975001526157
YBR032W	0.04211061815624237
YBR033W	0.03298220287955744
YBR034C	-0.22393710340451073
YBR035C	0.41955683383254583
YBR036C	3.108621475968019
YBR037C	3.108621475968019
YBR039W	3.108621475968019
YBR040W	-0.019535303221335017
YBR041W	-0.1093031501196211
YBR042C	-0.18742950013950435
YBR043C	-0.06004096167586922
YBR044C	0.2791723292679862
YBR045C	-0.06206030911724199
YBR046C	-0.05274723999262265
YBR047W	-0.06884888302442727
YBR048W	0.28457815366070366
YBR050C	0.017628542829190685
YBR051W	0.027714026892967075
YBR052C	0.020879427429963487
YBR053C	0.03384645831002596
YBR054W	0.086438353503859
YBR056W	-0.34457481914686167
YBR056W-A	-0.013946061622878021
YBR057C	3.108621475968019
YBR058C	-0.09530479174353736
YBR058C-A	-0.003840237653414209
YBR059C	-0.15334421114560887
YBR061C	3.108621475968019
YBR062C	0.040890043283290246
YBR063C	0.12096495225621204
YBR064W	0.025914065594102458
YBR065C	0.0975749082117561
YBR066C	-0.028162672803529704
YBR067C	0.0043766630036507735
YBR068C	0.22387070630436742
YBR069C	0.034306282598019495
YBR071W	0.0522968990899194
YBR072C-A	-0.03974318005348823
YBR072W	0.014580816576348984
YBR073W	-0.03524095998274981
YBR074W	0.06791737163093393
YBR076W	-0.010842821870046275
YBR077C	-0.04129625421310167
YBR078W	0.14739510511841616
YBR081C	3.108621475968019
YBR082C	3.108621475968019
YBR083W	0.01572354216530423
YBR084C-A	0.18136349882889086
YBR084W	0.08455675175514452
YBR085C-A	-0.018776367982988523
YBR085W	3.108621475968019
YBR086C	3.108621475968019
YBR089C-A	-0.020349200335010354
YBR090C	-0.05237353935854325
YBR092C	-0.018886773151532445
YBR093C	-0.007753573324529071
YBR094W	0.06038618388901266
YBR095C	3.108621475968019
YBR096W	3.108621475968019
YBR097W	3.108621475968019
YBR098W	-0.012343687262866897
YBR099C	-0.07108092690559933
YBR101C	-0.1757951743816964
YBR103W	-0.24894620093282302
YBR104W	-0.018723050952103765
YBR105C	0.0335564642108909
YBR106W	0.09128783634309891
YBR107C	0.07694928602371565
YBR108W	0.05437999428304228
YBR111C	3.108621475968019
YBR111W-A	0.1834279892266241
YBR112C	3.108621475968019
YBR113W	0.09128778619540243
YBR114W	0.07970393910885917
YBR115C	3.108621475968019
YBR116C	0.025606419505810656
YBR117C	3.108621475968019
YBR118W	3.108621475968019
YBR119W	0.25025199725704106
YBR120C	0.21305882984839053
YBR121C	1.580505674443595
YBR122C	3.108621475968019
YBR125C	-0.18935475044322456
YBR126C	3.108621475968019
YBR127C	3.108621475968019
YBR128C	-0.0361994429348817
YBR129C	-0.020992655457930342
YBR130C	0.059528708427106614
YBR131W	0.032618922936804066
YBR132C	3.108621475968019
YBR133C	3.108621475968019
YBR134W	0.14995658626790323
YBR137W	0.05974273879563195
YBR138C	0.05332465606995214
YBR139W	0.014506949019451652
YBR141C	0.048682704457775366
YBR144C	-0.007710035094455557
YBR145W	-0.08918482704382043
YBR146W	0.06972323364208298
YBR147W	0.04831983572613303
YBR148W	-0.20433622431994528
YBR149W	-0.06767624934929854
YBR150C	-0.14892678080005853
YBR151W	0.03836982064959526
YBR156C	0.2622435200420208
YBR157C	-0.08201558197274667
YBR158W	3.108621475968019
YBR159W	-0.19782899904902398
YBR161W	0.10832889617283824
YBR162C	0.04966058453890104
YBR162W-A	-0.01590701708648345
YBR163W	0.5511377999572187
YBR164C	-0.0028490082554887605
YBR165W	3.108621475968019
YBR166C	3.108621475968019
YBR168W	-0.009009281673626664
YBR169C	0.14679617412928225
YBR170C	0.23547110915142264
YBR171W	-0.14159156691275437
YBR172C	0.41447877779280484
YBR173C	-0.12088558304112396
YBR174C	-0.25346895147049536
YBR175W	-0.04993728402781424
YBR176W	0.05942451154338542
YBR177C	-0.06254498660360505
YBR178W	-0.046423555290774174
YBR179C	-0.19320049704903988
YBR180W	0.014508313036795577
YBR181C	-0.042053524547925394
YBR182C	0.0493433100928874
YBR182C-A	0.021569509881059414
YBR183W	-0.05746630873242788
YBR184W	-0.023806563061220417
YBR185C	-0.05457721970259303
YBR186W	-0.022312994158235903
YBR187W	0.03460771037194924
YBR188C	-0.0021334608041263985
YBR189W	3.108621475968019
YBR191W	3.108621475968019
YBR194W	-0.00020009660311763863
YBR195C	-0.13959127559603945
YBR196C-A	3.108621475968019
YBR196C-B	0.22683497776370104
YBR197C	0.0002872286816189428
YBR199W	0.0025276973757976237
YBR200W	3.108621475968019
YBR200W-A	0.012205440549132135
YBR201W	0.040963429422301495
YBR203W	-0.16543787977352425
YBR204C	0.02407295309551619
YBR205W	-0.008072793501165671
YBR206W	0.011515398216193382
YBR207W	-0.04558265865732043
YBR208C	-0.07539834268531391
YBR209W	3.108621475968019
YBR210W	-0.06258363041850329
YBR212W	0.08858306015686243
YBR213W	0.2546641420353836
YBR214W	-0.03331556926547948
YBR215W	-0.02458112432178633
YBR216C	-0.02832775902030231
YBR217W	-0.27189271367586787
YBR218C	0.13146799011167515
YBR219C	-0.005873094884215436
YBR220C	-0.10222379980923588
YBR221C	0.023533273615667046
YBR221W-A	0.06296355483760255
YBR222C	0.018378642043419484
YBR223C	0.002262185382078236
YBR224W	-0.007233180648741502
YBR225W	-0.21912560243057563
YBR226C	-0.15319600464346741
YBR227C	0.03249483747666371
YBR228W	0.024972382120287354
YBR229C	-0.12509672582248357
YBR230C	0.03893471439122851
YBR230W-A	-0.0871157631761693
YBR231C	-0.3725276566646196
YBR232C	0.008321391132754572
YBR233W	-0.009714939999245557
YBR235W	0.062132888334228274
YBR238C	-0.13817471349575114
