orf	hap alpha | growth (colony size) | palmitoleate [0.5 mM] | Ruggles KV~Sturley SL, 2014
YAL013W	-2.096689858076978
YBL002W	-4.127961906060921
YBL006C	-6.605558492352596
YBL021C	-4.089366405080247
YBL094C	-4.2857596114850365
YBL100C	-9.975790925154302
YBR101C	-7.380693336359143
YBR126C	-4.338234973246347
YBR130C	-4.643123011597236
YBR133C	-5.159420196205011
YBR144C	-4.539653563268759
YBR156C	-2.4221592779035097
YBR161W	-2.7298645635879266
YBR196C-A	-6.797445128246774
YCL036W	-5.789585548739949
YCL061C	-5.98184682096683
YCR031C	-3.209030211103571
YCR033W	-6.956719950078309
YCR034W	-3.6215908484484833
YCR081W	-2.9522858444322346
YDL009C	-9.430339936041877
YDL041W	-8.056409672440783
YDL045W-A	-4.144586014299915
YDL051W	-3.5451377265585897
YDL100C	-4.812977907767692
YDL142C	-2.2721019572680197
YDL185W	-9.920614089965776
YDL198C	-3.7438888769776058
YDR083W	-3.3658795365491523
YDR127W	-7.194800257884042
YDR136C	-7.286688663309961
YDR149C	-7.186612584574557
YDR176W	-7.535953814809213
YDR200C	-2.6199808666832847
YDR230W	-7.658812461494503
YDR237W	-5.517627797657291
YDR268W	-4.278585814882132
YDR375C	-3.4724354514828386
YDR417C	-6.0732106295665895
YDR484W	-4.4589192767134085
YDR497C	-2.155386387167778
YDR529C	-4.288274982359794
YEL031W	-4.142165976570214
YEL044W	-6.227110539641854
YER058W	-8.82127789277504
YER061C	-10.254039091120298
YER083C	-4.219655987867653
YER084W	-4.640753062974688
YER087W	-6.8835658321633275
YER090W	-8.61287168682899
YER116C	-7.518759022291456
YER122C	-3.8054798436752924
YFL016C	-7.993870007137204
YGL020C	-8.456585703114866
YGL026C	-4.627768756951921
YGL054C	-2.472428929973804
YGL058W	-2.7637943146174466
YGL070C	-5.876313570643877
YGL148W	-4.585248842389012
YGL200C	-5.0271897761829125
YGL220W	-4.841688474153897
YGL244W	-5.043094229040088
YGL252C	-4.778620194946278
YGR020C	-5.067593133808362
YGR056W	-5.249843450244609
YGR062C	-3.923455284196095
YGR101W	-3.7670311571942476
YGR105W	-3.4592373884878014
YGR188C	-5.016302097529834
YGR215W	-8.288965413936724
YGR219W	-0.03423958127443927
YGR220C	-2.4076673835338998
YGR222W	-7.324334303975783
YGR252W	-5.446804069320772
YGR255C	-4.515529006429999
YGR257C	-3.5179259145581807
YHL023C	-7.993870007137204
YHL031C	-4.210933888147634
YHL033C	-4.4196870894082245
YHL038C	-4.353702100153365
YHR006W	-4.341369973629564
YHR009C	-4.112939058356606
YHR116W	-4.2235979288090615
YHR134W	-5.438565427001049
YHR191C	-6.9074490732126455
YJL046W	-3.922670636723031
YJL124C	-4.425653918998975
YJL166W	-3.384066032112434
YJL179W	-3.381972854597499
YJL209W	-4.052448360302523
YJR004C	-4.41619733257789
YJR075W	-3.240904219329139
YJR090C	-9.14432915288534
YKL011C	-2.372063393910276
YKL155C	-4.119473011783146
YKL201C	-4.828861695189869
YKL212W	-7.9775800722603165
YKR020W	-6.483278799924237
YLL043W	-4.28014004169745
YLR039C	-4.4715491676455
YLR067C	-6.314058275687064
YLR079W	-4.6936371764643345
YLR148W	-4.557899180317935
YLR184W	0.0
YLR202C	-6.600614141675232
YLR242C	-4.111801679339122
YLR261C	-4.357437458043356
YLR264W	-3.582942470894164
YLR288C	-4.549344952157476
YLR337C	-15.814372562840987
YLR374C	-4.868407653308591
YML041C	-4.453674553091665
YML094C-A	-2.0826562068684304
YMR031W-A	-2.190454012214367
YMR035W	-4.005721401127058
YMR064W	-4.276491976631362
YMR066W	-3.3624136862872374
YMR091C	-8.03468571356481
YMR098C	-3.137657152600849
YMR135W-A	-6.81100206695848
YMR143W	-5.7041252525827435
YMR179W	-4.867412149817964
YMR216C	-3.6203838443170775
YMR272C	-11.011627898464814
YNL097C	-3.3205660698205985
YNL107W	-4.188167534040171
YNL147W	-8.115937209420345
YNL198C	-4.294744972136567
YNL199C	-3.440967204447248
YNL238W	-2.3284649154768196
YNL296W	-5.671048018928821
YNL315C	-4.732951412421757
YOL001W	-2.4190727204549396
YOL023W	-6.026280670132118
YOL096C	-3.3941976827115714
YOR065W	-2.6424101562466884
YOR125C	-4.00866811554674
YOR147W	-4.643123011597236
YOR158W	-2.7694441264324903
YOR221C	-3.22397331006021
YOR331C	-5.634087439045114
YPL042C	-4.576010533267611
YPL055C	-9.795328775272418
YPL086C	-3.6998537034199543
YPL098C	-4.542093658231614
YPL132W	-3.5015427869065716
YPL180W	-7.055125483798052
YPR087W	-3.8391288091974056
YPR100W	-3.7498130231763116
YPR124W	-4.192378277576068
YPR135W	-7.727320390705422
YPR153W	-3.6112559812208813
