orf	hap alpha | growth (colony size) | palmitoleate [0.5 mM] | Ruggles KV~Sturley SL, 2014
YAL013W	-0.992019466119369
YBL002W	-1.97741202821243
YBL006C	-3.17932156584531
YBL021C	-1.95868892333125
YBL094C	-2.05396144235644
YBL100C	-4.81425863648719
YBR101C	-3.55534806148941
YBR126C	-2.0794178213895
YBR130C	-2.2273223847198
YBR133C	-2.47778386576417
YBR144C	-2.17712820965204
YBR156C	-1.14990828549446
YBR161W	-1.29917952670072
YBR196C-A	-3.27240789761601
YCL036W	-2.78348405589527
YCL061C	-2.87675212789919
YCR031C	-1.53162808795624
YCR033W	-3.34967387728489
YCR034W	-1.73176582128228
YCR081W	-1.40707855283694
YDL009C	-4.549654322067
YDL041W	-3.88314553811027
YDL045W-A	-1.98547656719252
YDL051W	-1.69467756531289
YDL100C	-2.30972087560022
YDL142C	-1.07711381771818
YDL185W	-4.78749174278205
YDL198C	-1.79109394908813
YDR083W	-1.60771743247156
YDR127W	-3.46516927078742
YDR136C	-3.50974535371002
YDR149C	-3.46119733980554
YDR176W	-3.63066663873442
YDR200C	-1.24587372862577
YDR230W	-3.69026672861537
YDR237W	-2.65155433954517
YDR268W	-2.05048135419125
YDR375C	-1.65940888666495
YDR417C	-2.92107372309273
YDR484W	-2.13796311329949
YDR497C	-1.02049380230893
YDR529C	-2.05518167661967
YEL031W	-1.98430258009355
YEL044W	-2.99573227355399
YER058W	-4.25419158093195
YER061C	-4.94923990274892
YER083C	-2.02189384259568
YER084W	-2.22617269640133
YER087W	-3.31418600467253
YER090W	-4.15309142281325
YER116C	-3.6223252544917
YER122C	-1.82097240900996
YFL016C	-3.85280685399009
YGL020C	-4.07727536160956
YGL026C	-2.21987386577868
YGL054C	-1.1742946503333
YGL058W	-1.31563922461826
YGL070C	-2.8255567796321
YGL148W	-2.199246984415
YGL200C	-2.41363742486693
YGL220W	-2.32364868925695
YGL244W	-2.42135285105279
YGL252C	-2.29305356867875
YGR020C	-2.4332375410243
YGR056W	-2.52164918752612
YGR062C	-1.87820360151036
YGR101W	-1.80232052546818
YGR105W	-1.65300636016819
YGR188C	-2.40835569139659
YGR215W	-3.99596090332419
YGR219W	0.008498
YGR220C	-1.14287810707172
YGR222W	-3.52800767083497
YGR252W	-2.61719696472097
YGR255C	-2.16542512000617
YGR257C	-1.68147681400393
YHL023C	-3.85280685399009
YHL031C	-2.01766265544452
YHL033C	-2.11893114483247
YHL038C	-2.08692109591457
YHR006W	-2.08093864478824
YHR009C	-1.97012427844795
YHR116W	-2.02380612179419
YHR134W	-2.61320030810786
YHR191C	-3.32577202935693
YJL046W	-1.87782296033303
YJL124C	-2.12182571993571
YJL166W	-1.61653990284247
YJL179W	-1.6155244792529
YJL209W	-1.94077957102805
YJR004C	-2.11723822515313
YJR075W	-1.54709052227701
YJR090C	-4.4109073242532
YKL011C	-1.12560621747388
YKL155C	-1.97329397160351
YKL201C	-2.31742627675474
YKL212W	-3.84490442620815
YKR020W	-3.12000233308497
YLL043W	-2.05123532682881
YLR039C	-2.14409001323733
YLR067C	-3.03791158305358
YLR079W	-2.25182736542378
YLR148W	-2.18597936051039
YLR184W	0.025108
YLR202C	-3.17692300658453
YLR242C	-1.96957252329274
YLR261C	-2.08873315938741
YLR264W	-1.71301706538974
YLR288C	-2.18182960971156
YLR337C	-7.64661923764831
YLR374C	-2.33661045891769
YML041C	-2.13541883979746
YML094C-A	-0.985211586528038
YMR031W-A	-1.03750549551146
YMR035W	-1.91811180573958
YMR064W	-2.04946561007141
YMR066W	-1.60603611013327
YMR091C	-3.87260700511719
YMR098C	-1.49700422698586
YMR135W-A	-3.27898451869664
YMR143W	-2.74202631995529
YMR179W	-2.3361275291515
YMR216C	-1.73118029021337
YMR272C	-5.3167546217267
YNL097C	-1.58573536802023
YNL107W	-2.00661844498254
YNL147W	-3.91202300542815
YNL198C	-2.05832034030048
YNL199C	-1.6441432915903
YNL238W	-1.10445611283401
YNL296W	-2.7259801876563
YNL315C	-2.2708991366005
YOL001W	-1.14841096229971
YOL023W	-2.89830748013086
YOL096C	-1.62145487873259
YOR065W	-1.25675442534522
YOR125C	-1.91954128953258
YOR147W	-2.2273223847198
YOR158W	-1.31838001088827
YOR221C	-1.53887715072019
YOR331C	-2.70805020110221
YPL042C	-2.19476537836741
YPL055C	-4.72671444938068
YPL086C	-1.76973199880813
YPL098C	-2.1783119267369
YPL132W	-1.67352917737508
YPL180W	-3.39741149130487
YPR087W	-1.83729589476881
YPR100W	-1.79396781800527
YPR124W	-2.008661123296
YPR135W	-3.72350068364165
YPR153W	-1.72675226275554
