ORF	hap alpha | growth (colony size) | palmitoleate [0.5 mM] | Ruggles KV~Sturley SL, 2014
YLR242C	-1.970
YDL185W	-4.787
YEL044W	-2.996
YDR127W	-3.465
YPR087W	-1.837
YMR272C	-5.317
YGL020C	-4.077
YCL036W	-2.783
YGL252C	-2.293
YGR188C	-2.408
YBR144C	-2.177
YPL180W	-3.397
YDL045W-A	-1.985
YJL179W	-1.616
YMR135W-A	-3.279
YGL200C	-2.414
YNL296W	-2.726
YML094C-A	-0.985
YBL100C	-4.814
YDR497C	-1.020
YKL212W	-3.845
YOL023W	-2.898
YDL041W	-3.883
YER116C	-3.622
YPL042C	-2.195
YOR331C	-2.708
YHL033C	-2.119
YKR020W	-3.120
YHR191C	-3.326
YMR091C	-3.873
YDR417C	-2.921
YDL198C	-1.791
YLR184W	0.025
YJL046W	-1.878
YLL043W	-2.051
YGR062C	-1.878
YKL155C	-1.973
YJL124C	-2.122
YER084W	-2.226
YPL132W	-1.674
YGR252W	-2.617
YOL096C	-1.621
YBL094C	-2.054
YDL142C	-1.077
YDR529C	-2.055
YGR056W	-2.522
YBL006C	-3.179
YGL244W	-2.421
YHL031C	-2.018
YEL031W	-1.984
YER061C	-4.949
YHL038C	-2.087
YLR374C	-2.337
YDR230W	-3.690
YDL051W	-1.695
YGR220C	-1.143
YGL026C	-2.220
YGR257C	-1.681
YBR101C	-3.555
YDR484W	-2.138
YER090W	-4.153
YPL055C	-4.727
YGL148W	-2.199
YKL011C	-1.126
YPR100W	-1.794
YER087W	-3.314
YGR222W	-3.528
YNL147W	-3.912
YOR065W	-1.257
YFL016C	-3.853
YLR337C	-7.647
YLR079W	-2.252
YAL013W	-0.992
YNL315C	-2.271
YMR066W	-1.606
YJL209W	-1.941
YDL100C	-2.310
YDR149C	-3.461
YDR268W	-2.050
YDR200C	-1.246
YGR105W	-1.653
YGR101W	-1.802
YDL009C	-4.550
YOL001W	-1.148
YHL023C	-3.853
YMR035W	-1.918
YCR034W	-1.732
YLR202C	-3.177
YPL098C	-2.178
YER058W	-4.254
YDR375C	-1.659
YHR134W	-2.613
YKL201C	-2.317
YGR020C	-2.433
YNL097C	-1.586
YDR136C	-3.510
YPR135W	-3.724
YMR098C	-1.497
YCL061C	-2.877
YLR288C	-2.182
YJR004C	-2.117
YMR064W	-2.049
YDR237W	-2.652
YBL021C	-1.959
YJR090C	-4.411
YER122C	-1.821
YOR158W	-1.318
YDR176W	-3.631
YOR147W	-2.227
YLR264W	-1.713
YPR153W	-1.727
YBR196C-A	-3.272
YHR006W	-2.081
YOR221C	-1.539
YGL054C	-1.174
YMR031W-A	-1.038
YPR124W	-2.009
YLR067C	-3.038
YMR179W	-2.336
YJL166W	-1.617
YGR219W	0.008
YER083C	-2.022
YNL238W	-1.104
YHR116W	-2.024
YML041C	-2.135
YOR125C	-1.920
YDR083W	-1.608
YMR216C	-1.731
YJR075W	-1.547
YLR039C	-2.144
YNL198C	-2.058
YBR133C	-2.478
YLR148W	-2.186
YMR143W	-2.742
YNL199C	-1.644
YGL220W	-2.324
YPL086C	-1.770
YCR033W	-3.350
YGR215W	-3.996
YGR255C	-2.165
YCR031C	-1.532
YNL107W	-2.007
YHR009C	-1.970
YBR126C	-2.079
YLR261C	-2.089
YBR156C	-1.150
YGL070C	-2.826
YBR161W	-1.299
YCR081W	-1.407
YGL058W	-1.316
YBR130C	-2.227
YBL002W	-1.977
