orf	hap a (post-SGA) | multiple aggregates of mHtt103QP (mHtt103QP-GFP) | expression of mutant huntingtin fragment [GAL] | SC - Ura, Gal [2%], Raf [2%] | Yang J~Nystrom T, 2016
YAL013W	1.2369517585880803
YAL040C	2.0246742804116233
YDR083W	0.5469561781414112
YDR333C	1.2116352533271495
YGL213C	0.7612852733616192
YGR135W	1.0813396274519387
YLR021W	0.5587574303737622
YLR039C	1.6512239429898776
YML017W	1.288063200325316
YMR247C	1.7128158544373717
YOR026W	0.8535965062025125
YOR293W	0.7578766597478961
YPL106C	1.1029939933233257
YPL178W	1.5439907196648501
YPR095C	1.189033824390017
YPR120C	0.7982579326445002
