orf	hap a (post-SGA) | multiple aggregates of mHtt103QP (mHtt103QP-GFP) | expression of mutant huntingtin fragment [GAL] | SC - Ura, Gal [2%], Raf [2%] | Yang J~Nystrom T, 2016
YAL013W	17.133203112608882
YAL040C	28.044065132146738
YDR083W	7.575971519285237
YDR333C	16.782540426109236
YGL213C	10.544675751971793
YGR135W	14.977796298211606
YLR021W	7.739432422328694
YLR039C	22.871348864842545
YML017W	17.84115530765803
YMR247C	23.72446760742655
YOR026W	11.823292392319724
YOR293W	10.497462536928563
YPL106C	15.277734146372078
YPL178W	21.38604551093926
YPR095C	16.469484666313804
YPR120C	11.056789564583166
