orf	het | growth (relative abundance in pooled culture) | sodium arsenite [450 mM] | Pan X~Boeke JD, 2010
YAL012W	-1.0
YAL024C	-1.0
YAL038W	-2.0
YAL055W	-1.0
YAL056W	-1.0
YAR003W	-1.0
YBL024W	-1.0
YBL027W	1.0
YBL051C	-1.0
YBL067C	1.0
YBL072C	1.0
YBL086C	-2.0
YBL104C	-1.0
YBR031W	1.0
YBR048W	1.0
YBR095C	-1.5
YBR112C	-2.0
YBR140C	-1.0
YBR171W	-1.0
YBR175W	-1.0
YBR181C	1.0
YBR189W	1.0
YBR191W	1.0
YBR200W	-1.0
YBR267W	1.0
YCL008C	-1.0
YCL010C	-1.0
YCL016C	-1.0
YCR017C	-1.0
YCR028C	-1.0
YCR047C	1.0
YCR063W	-1.0
YCR065W	-1.0
YCR066W	-1.0
YCR082W	-1.0
YCR084C	-2.0
YDL013W	-1.0
YDL020C	-1.0
YDL040C	-1.0
YDL061C	1.0
YDL063C	1.0
YDL065C	-1.0
YDL074C	-1.0
YDL081C	1.0
YDL082W	1.0
YDL083C	1.0
YDL101C	-1.0
YDL143W	-2.0
YDL191W	1.0
YDR001C	-1.0
YDR004W	-1.0
YDR017C	1.0
YDR025W	1.0
YDR035W	-2.0
YDR135C	-1.0
YDR136C	-1.0
YDR140W	1.0
YDR150W	-1.0
YDR161W	1.0
YDR195W	-1.0
YDR212W	-2.0
YDR228C	-2.0
YDR244W	-1.0
YDR264C	-2.0
YDR265W	-1.0
YDR293C	-1.0
YDR295C	-1.0
YDR300C	-2.0
YDR329C	-1.0
YDR334W	-2.0
YDR349C	1.0
YDR369C	-1.0
YDR378C	1.0
YDR382W	1.0
YDR414C	1.0
YDR418W	1.0
YDR432W	1.0
YDR450W	1.0
YDR463W	-1.0
YDR469W	-1.0
YDR488C	-1.0
YDR497C	-1.0
YDR525W	-1.0
YEL003W	-1.0
YEL053C	-1.0
YEL061C	-1.0
YEL062W	1.0
YER007W	-2.0
YER014W	-1.0
YER016W	-1.0
YER074W	1.0
YER083C	-1.0
YER095W	-1.0
YER110C	-1.0
YER116C	-1.0
YER117W	1.0
YER167W	-1.0
YER177W	-1.0
YFL001W	-1.0
YFL023W	-1.0
YFR001W	1.0
YFR036W	-1.0
YFR040W	-1.0
YGL019W	1.0
YGL031C	1.0
YGL038C	-1.0
YGL054C	1.0
YGL058W	-1.0
YGL076C	1.0
YGL084C	-1.0
YGL092W	-2.0
YGL094C	-1.0
YGL127C	-1.0
YGL135W	1.0
YGL153W	-1.0
YGL163C	-1.0
YGL207W	-2.0
YGL246C	1.0
YGR057C	-1.0
YGR072W	1.0
YGR077C	-1.0
YGR078C	-1.0
YGR085C	1.0
YGR097W	1.0
YGR118W	1.0
