orf	hap a | growth (culture turbidity) | caspofungin [0.007-0.12 ug/ml] | Markovich S~Osherov N, 2004
YAL021C	-12.575888642943015
YBL061C	-12.575888642943015
YBR023C	-12.575888642943015
YBR036C	12.832539431574503
YBR147W	12.832539431574503
YDL006W	-12.575888642943015
YDR245W	-12.575888642943015
YDR432W	-12.575888642943015
YDR433W	-12.575888642943015
YDR484W	12.832539431574503
YGL206C	-12.575888642943015
YGR229C	-12.575888642943015
YHR142W	-12.575888642943015
YJL095W	-12.575888642943015
YJR102C	-12.575888642943015
YJR118C	-12.575888642943015
YKR020W	12.832539431574503
YLL028W	-12.575888642943015
YLR056W	12.832539431574503
YLR322W	-12.575888642943015
YLR332W	-12.575888642943015
YLR337C	12.832539431574503
YLR342W	-12.575888642943015
YML008C	-12.575888642943015
YMR015C	-12.575888642943015
YNL080C	12.832539431574503
YNR052C	-12.575888642943015
YOR008C	12.832539431574503
