orf	hom | growth (spot assay) | temperature [50ºC], growth phase [log] | YPD | Jarolim S~Dawes IW, 2013	hom | growth (spot assay) | temperature [50ºC], growth phase [stationary] | YPD | Jarolim S~Dawes IW, 2013
YAL002W	-2.0	0.0
YAL012W	-2.0	0.0
YAL013W	-1.0	0.0
YAL021C	-2.0	3.0
YAL026C	-1.0	0.0
YAL033W	-2.0	3.0
YAL047C	-4.0	0.0
YAL048C	-1.0	-3.0
YAL055W	-1.0	0.0
YAL059W	0.0	1.0
YAL064W	2.0	3.0
YAR002W	-1.0	0.0
YAR003W	-1.0	-1.0
YAR018C	0.0	1.0
YBL007C	-3.0	-3.0
YBL026W	0.0	3.0
YBL027W	-1.0	3.0
YBL030C	-1.0	-2.0
YBL033C	0.0	3.0
YBL034C	0.0	3.0
YBL038W	-3.0	-3.0
YBL045C	-1.0	-3.0
YBL051C	0.0	-1.0
YBL072C	0.0	3.0
YBL082C	-2.0	0.0
YBL089W	2.0	0.0
YBL093C	0.0	2.0
YBL099W	0.0	-3.0
YBL100C	-2.0	-3.0
YBL104C	0.0	2.0
YBR003W	-2.0	-3.0
YBR006W	0.0	-2.0
YBR009C	-2.0	0.0
YBR031W	0.0	2.0
YBR035C	-2.0	2.0
YBR059C	1.0	0.0
YBR073W	0.0	2.0
YBR077C	3.0	3.0
YBR078W	-3.0	-3.0
YBR084C-A	1.0	3.0
YBR101C	0.0	2.0
YBR105C	-1.0	0.0
YBR120C	0.0	-2.0
YBR127C	-4.0	0.0
YBR133C	-3.0	0.0
YBR134W	-3.0	0.0
YBR153W	0.0	3.0
YBR156C	0.0	1.0
YBR162C	0.0	1.0
YBR163W	-2.0	-3.0
YBR175W	-1.0	0.0
YBR179C	-3.0	0.0
YBR188C	-2.0	0.0
YBR189W	-1.0	0.0
YBR200W	-2.0	0.0
YBR207W	0.0	2.0
YBR216C	0.0	1.0
YBR219C	0.0	3.0
YBR224W	0.0	1.0
YBR225W	0.0	2.0
YBR226C	0.0	2.0
YBR231C	0.0	3.0
YBR240C	0.0	-2.0
YBR245C	0.0	1.0
YBR249C	3.0	0.0
YBR261C	0.0	2.0
YBR266C	-2.0	0.0
YBR267W	-2.0	0.0
YBR278W	-1.0	0.0
YBR279W	-1.0	0.0
YBR288C	1.0	0.0
YCL004W	2.0	0.0
YCL007C	-3.0	0.0
YCL008C	-3.0	0.0
YCL011C	0.0	3.0
YCL016C	-3.0	0.0
YCL027W	-2.0	0.0
YCL029C	-3.0	0.0
YCL037C	0.0	1.0
YCL039W	-2.0	0.0
YCL058C	0.0	2.0
YCL063W	2.0	1.0
YCR003W	0.0	2.0
YCR017C	-1.0	-1.0
YCR018C	-1.0	-1.0
YCR028C-A	0.0	-3.0
YCR047C	-4.0	0.0
YCR051W	0.0	2.0
YCR053W	0.0	2.0
YCR061W	-1.0	0.0
YCR063W	0.0	2.0
YCR064C	0.0	-3.0
YCR067C	0.0	1.0
YCR086W	0.0	1.0
YCR095C	2.0	3.0
YCR101C	0.0	2.0
YDL004W	0.0	2.0
YDL007W	0.0	-3.0
YDL017W	3.0	3.0
YDL020C	0.0	2.0
YDL023C	-1.0	-3.0
YDL032W	0.0	-3.0
YDL035C	0.0	2.0
YDL039C	0.0	3.0
YDL040C	0.0	3.0
YDL060W	0.0	3.0
YDL061C	0.0	3.0
YDL063C	0.0	3.0
YDL074C	0.0	-3.0
YDL081C	0.0	2.0
YDL107W	0.0	-3.0
YDL113C	0.0	1.0
YDL115C	-3.0	0.0
YDL116W	-1.0	0.0
YDL117W	0.0	3.0
YDL118W	0.0	2.0
YDL119C	0.0	1.0
YDL133W	0.0	-2.0
YDL136W	0.0	1.0
