orf	hom | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012	het | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012
YAL001C		-0.40530299999999997
YAL002W		
YAL003W		-0.1403737
YAL004W	-0.14032595	
YAL005C	-0.06258545	
YAL007C	0.902134	
YAL008W	-0.0020758	
YAL009W	0.531785	
YAL010C		
YAL011W	0.22099449999999998	
YAL012W	2.429505	
YAL013W	1.581115	
YAL014C	0.9062954999999999	
YAL015C	0.23361300000000002	
YAL016C-B		
YAL016W	0.21487499999999998	
YAL017W	1.262155	
YAL018C	-0.130688	
YAL019W	0.16155985	
YAL020C	-0.0549476	
YAL021C		
YAL022C	-0.01855415	
YAL023C	0.190412	
YAL024C	0.134853	
YAL025C		-0.022329999999999996
YAL026C	0.7998495	
YAL027W	0.06739865	
YAL028W	0.07291639999999999	
YAL029C	-0.1261435	
YAL030W	-0.272801	
YAL031C	-0.048193885000000006	
YAL032C		0.10102817
YAL033W		-0.304882
YAL034C	1.121905	
YAL034C-B		-0.3734375
YAL034W-A		
YAL035W	-0.32484	
YAL036C	-0.0002137000000000007	
YAL037C-A		
YAL037W	0.19774	
YAL038W		0.028017735000000002
YAL039C		
YAL040C		
YAL041W		
YAL042C-A	-0.2628435	
YAL042W	-0.062119815	
YAL043C		-0.6403669999999999
YAL044C	-0.04942589	
YAL044W-A		
YAL045C	-0.4903105	
YAL046C	-0.21010199999999998	
YAL047C	-0.14341399999999999	
YAL048C	-0.010879449999999999	
YAL049C	-0.300644	
YAL051W	-0.30622	
YAL053W	0.969975	
YAL054C	0.2769145	
YAL055W	0.03082115	
YAL056C-A	-0.376123	
YAL056W	-0.1864005	
YAL058W	0.6010475	
YAL059W	-0.2391225	
YAL060W	-0.162705	
YAL061W	-0.06612843	
YAL062W	-0.1234321	
YAL064C-A	0.3245735	
YAL065C	-0.755907	
YAL066W	-0.1188799	
YAL067C	-0.1110085	
YAL067W-A		
YAL068C	-0.03613935	
YAR002C-A	0.157161	
YAR002W	0.073625	
YAR003W	-0.201507	
YAR007C		0.0344865
YAR008W		0.22153692500000002
YAR014C	-0.08176255	
YAR015W	0.32463200000000003	
YAR018C	0.27850400000000003	
YAR019C		-0.2594085
YAR020C	0.714264	
YAR023C	-0.2343345	
YAR027W	0.654874	
YAR028W	0.284162	
YAR029W	-0.278294	
YAR030C	-0.195748	
YAR031W	-0.2280795	
YAR035C-A		
YAR035W	-0.10098965	
YAR042W	-0.17551182499999998	
YAR047C	1.0964345	
YAR050W	0.4179625	
YBL001C	0.03889349999999999	
YBL002W	-0.5346434999999999	
YBL003C	-0.0282681	
YBL004W		0.08866115
YBL005W	-0.3939515	
YBL006C	0.3849855	
YBL007C	0.224836	
YBL008W	0.339515	
YBL008W-A		
YBL009W	-0.325552	
YBL010C	0.1313447	
YBL011W	0.1879675	
YBL012C	-0.2759485	
YBL013W	0.1518398	
YBL014C		0.1773147
YBL015W	-0.07172700000000001	
YBL016W		-0.08645720000000001
YBL017C	-0.5226715	
YBL018C		-0.308803
YBL019W	-0.4952305	
YBL020W		-0.052784499999999984
YBL021C	0.5759175	
YBL022C	0.424959	
YBL023C		-0.11728535
YBL024W	0.4778905	
YBL025W	0.1552488	
YBL026W		0.29667350000000003
YBL027W		
YBL028C	0.025062	
YBL029C-A		
YBL029W	-0.654857	
YBL030C		-0.17561749999999998
YBL031W	-0.1340556	
YBL032W	-0.14471	
YBL033C		
YBL034C		0.01671025
YBL035C		-0.2184085
YBL036C	0.21404299999999998	
YBL037W	-0.2067095	
YBL038W		
YBL039C	-0.13959265	
YBL039W-B		
YBL040C		0.12781415000000002
YBL041W		-0.404687
YBL042C		
YBL043W	0.7261775	
YBL044W	-0.29588800000000004	
YBL045C		
YBL046W	0.04242349999999999	
YBL047C	0.07623980000000001	
YBL048W	-0.2387425	
YBL049W	-0.0501593	
YBL050W		-0.03360975
YBL051C	0.039810200000000004	
YBL052C	-0.3323885	
YBL053W	-0.263325	
YBL054W	-0.0806225	
YBL055C	0.30342865	
YBL056W	0.497488	
YBL057C	-0.0254043	
YBL058W		
YBL059W	-0.06214999999999998	
YBL060W	-0.44513199999999997	
YBL061C	0.584344	
YBL062W	-0.253772	
YBL063W	-0.271255	
YBL064C	-0.002958499999999996	
YBL065W		
YBL066C	0.1633155	
YBL067C	0.18982415	
YBL068W	0.46740899999999996	
YBL069W	-0.26874	
YBL070C	-0.39472450000000003	
YBL071C	-0.029680660000000005	
YBL071C-B		
YBL071W-A		
YBL072C	0.040517649999999995	
YBL073W		-0.07847384099999999
YBL074C		0.572245
YBL075C	-0.522384	
YBL076C		-0.24927
YBL077W		-0.04288305
YBL078C	-0.08748375	
YBL079W	0.453212	
YBL080C		
YBL081W	-0.5708854999999999	
YBL082C	-0.1058576	
YBL083C	-0.0893237	
YBL084C		-0.1841318
YBL085W	-0.185454095	
YBL086C	-0.222672	
YBL087C	0.1426465	
YBL088C	0.023953000000000002	
YBL089W	-0.24799749999999998	
YBL090W		
YBL091C	0.009017900000000002	
YBL091C-A	-0.40165399999999996	
YBL092W		0.09698715
YBL093C		
YBL094C	-0.0086779	
YBL095W	-0.044074100000000005	
YBL096C	0.1335413	
YBL097W		-0.38167449999999997
YBL098W	0.062179649999999996	
YBL099W	1.53368	
YBL100C		
YBL100W-C		
YBL101C	-0.6425815	
YBL102W	-0.19118045	
YBL103C	-0.5690865	
YBL104C	-0.0473211336	
YBL105C		-0.1440328
YBL106C	-0.207862	
YBL107C	0.09066175	
