ORF	hom | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012	het | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012
YGL165C	4.242	NaN
YOR158W	NaN	3.236
YOL027C	3.173	NaN
YML081W	3.126	NaN
YER154W	3.057	NaN
YGL166W	2.920	NaN
YDR518W	2.770	NaN
YJR116W	2.751	NaN
YMR291W	2.732	NaN
YBR151W	2.705	NaN
YLR056W	2.613	NaN
YHR116W	2.582	NaN
YOL075C	2.538	NaN
YDR462W	2.468	NaN
YAL012W	2.430	NaN
YLR067C	2.398	NaN
YMR138W	2.379	NaN
YPL084W	2.379	NaN
YOR028C	2.369	NaN
YER048C	2.345	NaN
YGR112W	2.335	NaN
YKL155C	2.275	NaN
YLR369W	2.202	NaN
YOL008W	2.200	NaN
YPL188W	2.192	NaN
YOL023W	2.189	NaN
YCL061C	2.188	NaN
YKL208W	2.180	NaN
YER050C	2.179	NaN
YLL046C	2.168	NaN
YPL132W	2.157	NaN
YJL082W	2.129	NaN
YOR150W	2.124	NaN
YDL193W	NaN	2.123
YDR204W	2.105	NaN
YIL098C	2.102	NaN
YKL213C	2.059	NaN
YMR151W	2.059	NaN
YDL032W	2.045	NaN
YIR021W	2.035	NaN
YOR200W	2.035	NaN
YOR330C	2.020	NaN
YNL099C	2.017	NaN
YNL213C	NaN	2.009
YHR008C	2.007	NaN
YJR144W	2.002	NaN
YNL177C	2.001	NaN
YBR264C	1.984	NaN
YDR395W	1.982	NaN
YNL315C	1.965	NaN
YNL252C	1.958	NaN
YDR230W	1.942	NaN
YLL009C	1.935	NaN
YLR025W	1.925	NaN
YHR168W	1.906	NaN
YJL180C	1.903	NaN
YOL051W	1.897	NaN
YPL013C	1.888	NaN
YOR334W	1.886	NaN
YKL206C	1.873	NaN
YGR222W	1.858	NaN
YJL022W	1.849	NaN
YJL023C	1.826	NaN
YPR085C	NaN	1.820
YNR037C	1.816	NaN
YER071C	1.799	NaN
YPR067W	1.795	NaN
YER077C	1.793	NaN
YDL068W	1.765	NaN
YBR037C	1.761	NaN
YMR188C	1.760	NaN
YLR169W	1.753	NaN
YOL048C	1.744	NaN
YGR171C	1.736	NaN
YJL102W	1.718	NaN
YLR330W	1.714	NaN
YMR139W	1.711	NaN
YMR293C	1.708	NaN
YLR038C	1.685	NaN
YEL007W	1.674	NaN
YPR133W-A	1.660	NaN
YCR024C-A	1.657	NaN
YIL170W	1.654	NaN
YLR304C	1.638	NaN
YOR303W	1.631	NaN
YOR350C	1.629	NaN
YIR039C	1.626	NaN
YKL087C	1.626	NaN
YKL126W	1.612	NaN
YJR137C	1.592	NaN
YER155C	1.588	NaN
YKL138C	1.581	NaN
YAL013W	1.581	NaN
YOL001W	1.578	NaN
YDR202C	1.575	NaN
YOL033W	1.571	NaN
YCR024C	1.558	NaN
YMR031W-A	1.557	NaN
YKL134C	1.545	NaN
YDR197W	1.543	NaN
YBL099W	1.534	NaN
YDR512C	1.444	NaN
YPR100W	1.524	NaN
YJR122W	1.512	NaN
YDR533C	1.500	NaN
YLR393W	1.484	NaN
YLR202C	1.474	NaN
YPL148C	1.472	NaN
YJL003W	1.467	NaN
YML034W	1.465	NaN
YFR010W	1.448	NaN
YBR282W	1.442	NaN
YLL053C	1.430	NaN
YDL067C	1.406	NaN
YNL237W	1.405	NaN
YLR027C	1.379	NaN
YML103C	1.370	NaN
YNR045W	1.353	NaN
YKR042W	1.351	NaN
YCR061W	1.336	NaN
YJL096W	1.330	NaN
YDL241W	1.327	NaN
YNL070W	1.306	NaN
YMR015C	1.304	NaN
YHL038C	1.291	NaN
YKL190W	1.290	NaN
YNL055C	1.285	NaN
YDR335W	1.279	NaN
YHL040C	1.273	NaN
YLR425W	1.262	NaN
YAL017W	1.262	NaN
YIL041W	1.257	NaN
YPR191W	1.251	NaN
YOR290C	1.251	NaN
YOR179C	1.247	NaN
YFL003C	1.244	NaN
YDL198C	1.242	NaN
YJL046W	1.242	NaN
YFR039C	1.241	NaN
YNL189W	NaN	1.241
YER016W	1.239	NaN
YPL097W	1.236	NaN
YEL031W	1.235	NaN
YDR006C	1.225	NaN
YDL202W	1.225	NaN
YDR035W	1.203	NaN
YOR065W	1.202	NaN
YBR039W	NaN	1.196
YKL016C	1.195	NaN
YDR377W	1.193	NaN
YKR049C	1.192	NaN
YPL011C	NaN	1.189
YNR060W	1.188	NaN
YDR375C	1.185	NaN
YNL201C	1.184	NaN
YDR507C	1.184	NaN
YMR170C	1.183	NaN
YER151C	1.182	NaN
YPL107W	1.178	NaN
YJR120W	1.172	NaN
YOR143C	NaN	1.169
YER058W	1.167	NaN
YLR201C	1.161	NaN
YKL170W	1.160	NaN
YDL069C	1.158	NaN
YMR286W	1.157	NaN
YFL025C	1.156	NaN
YNR064C	1.156	NaN
YGR062C	1.155	NaN
YGR166W	1.146	NaN
YMR307W	1.141	NaN
YER061C	1.140	NaN
YIL039W	1.139	NaN
YJL159W	1.138	NaN
YCR026C	1.137	NaN
YPL104W	1.135	NaN
YPR047W	1.135	NaN
YBR021W	NaN	1.132
YOL037C	1.127	NaN
YPR166C	1.125	NaN
