orf	hom | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012	het | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012
YAL001C		-0.8957328417799154
YAL002W		
YAL003W		-0.20929760710980888
YAL004W	-0.06946753527983328	
YAL005C	0.07916477386907825	
YAL007C	1.9236149579348856	
YAL008W	0.19485336611240617	
YAL009W	1.2155435272007091	
YAL010C		
YAL011W	0.6213421820003981	
YAL012W	4.843800429562701	
YAL013W	3.221760890855784	
YAL014C	1.9315713430176056	
YAL015C	0.6454675322746508	
YAL016C-B		
YAL016W	0.609642290491638	
YAL017W	2.6119402526281315	
YAL018C	-0.05104070802812082	
YAL019W	0.5077088856753507	
YAL020C	0.09376760357088122	
YAL021C		
YAL022C	0.1633483563496189	
YAL023C	0.5628714030042946	
YAL024C	0.4566479742380225	
YAL025C		0.0965551427024152
YAL026C	1.7280568971410672	
YAL027W	0.32768178798196707	
YAL028W	0.33823119175228505	
YAL029C	-0.04235206402753902	
YAL030W	-0.3227470046184343	
YAL031C	0.10668005275481547	
YAL032C		0.41617775285699193
YAL033W		-0.6355407350525479
YAL034C	2.3437958316617773	
YAL034C-B		-0.8131689201208906
YAL034W-A		
YAL035W	-0.4222405341918254	
YAL036C	0.19841352102350385	
YAL037C-A		
YAL037W	0.5768818295058379	
YAL038W		0.22700677372183561
YAL039C		
YAL040C		
YAL041W		
YAL042C-A	-0.3037092287056181	
YAL042W	0.08005502290620245	
YAL043C		-1.5047866987994822
YAL044C	0.10432457847779121	
YAL044W-A		
YAL045C	-0.738604109304218	
YAL046C	-0.20287258714842052	
YAL047C	-0.07537158789420152	
YAL048C	0.17802163968359733	
YAL049C	-0.3759801248534874	
YAL051W	-0.3866408969840285	
YAL053W	2.0533203815554093	
YAL054C	0.7282558078145766	
YAL055W	0.257749149422988	
YAL056C-A	-0.5202886649612908	
YAL056W	-0.15755761393249157	
YAL058W	1.3479667211913124	
YAL059W	-0.2583569733776831	
YAL060W	-0.11225411213564133	
YAL061W	0.0723909391411255	
YAL062W	-0.03716812974584084	
YAL064C-A	0.8193752014604622	
YAL065C	-1.24639890219684	
YAL066W	-0.028464764090774617	
YAL067C	-0.013415409401330347	
YAL067W-A		
YAL068C	0.12972715655227465	
YAR002C-A	0.49929871037290613	
YAR002W	0.3395859663454883	
YAR003W	-0.18643977931807604	
YAR007C		0.24376742730300152
YAR008W		0.7284174919807029
YAR014C	0.04250001539981716	
YAR015W	0.8194870477964803	
YAR018C	0.7312947779188619	
YAR019C		-0.517718309810149
YAR020C	1.564425707546658	
YAR023C	-0.24920278095282106	
YAR027W	1.4508777776985884	
YAR028W	0.7421123261101462	
YAR029W	-0.3332490887850523	
YAR030C	-0.17542912890563234	
YAR031W	-0.23724382656319862	
YAR035C-A		
YAR035W	0.005739661771566298	
YAR042W	-0.13673952157622904	
YAR047C	2.29509870172079	
YAR050W	0.9979259275184075	
YBL001C	0.2731827010564122	
YBL002W	-0.823364512974103	
YBL003C	0.14477622445624194	
YBL004W		0.38413464446592344
