orf	hom | growth (relative abundance in pooled culture) | vulpinic acid [14-56 uM] | YPD | Kwon Y~Kwak YS, 2016	het | growth (relative abundance in pooled culture) | vulpinic acid [14-56 uM] | YPD | Kwon Y~Kwak YS, 2016
YBR211C		13.422630296486178
YEL011W		15.863108532210937
YER133W		13.219257110175782
YGL219C	34.57150132938423	
YGL263W		20.54069181735006
YGR006W		14.642869414348556
YHL019C		19.320452699487678
YIL050W		14.032749855417366
YJR067C		12.202391178623797
YJR068W		10.372032501830228
YJR121W		17.083347650073318
YJR127C		19.727199072108473
YKR038C		14.846242600658954
YLR431C	33.20683680322433	
YLR443W	32.297060452451056	
YNL103W		11.9990179923134
YNL294C	27.293290523198078	
YNL322C		17.896840395314904
YOR272W		17.49009402269411
YOR290C		16.47322809114213
YPR023C	21.379744243171825	
YPR184W		17.083347650073318
YPR187W		15.863108532210937
