orf	hap a | growth (spot assay) | glucose [30% w/v] | Teixeira MC~Sa Correia I, 2010
YBR011C	-10.420903900105696
YBR058C-A	-10.420903900105696
YBR097W	-10.420903900105696
YBR194W	-10.420903900105696
YCR063W	-10.420903900105696
YCR077C	-10.420903900105696
YDL022W	-10.420903900105696
YDL023C	-10.420903900105696
YDL117W	-10.420903900105696
YDR138W	-10.420903900105696
YDR176W	-10.420903900105696
YEL009C	-10.420903900105696
YEL036C	-10.420903900105696
YGL024W	-10.420903900105696
YGL135W	-10.420903900105696
YGR240C	-10.420903900105696
YGR252W	-10.420903900105696
YGR262C	-10.420903900105696
YJL128C	-10.420903900105696
YJL129C	-10.420903900105696
YJL184W	-10.420903900105696
YJR032W	-10.420903900105696
YKL096C-B	-10.420903900105696
YLR125W	-10.420903900105696
YLR337C	-10.420903900105696
YLR338W	-10.420903900105696
YML009W-B	-10.420903900105696
YML034W	-10.420903900105696
YMR143W	-10.420903900105696
YMR231W	-10.420903900105696
YNL064C	-10.420903900105696
YOL145C	-10.420903900105696
YOR036W	-10.420903900105696
YOR331C	-10.420903900105696
YOR332W	-10.420903900105696
YPL031C	-10.420903900105696
YPL045W	-10.420903900105696
YPL075W	-10.420903900105696
YPL077C	-10.420903900105696
YPL084W	-10.420903900105696
YPL271W	-10.420903900105696
YPR099C	-10.420903900105696
