orf	hap alpha | growth (streaks on agar) | EtOH (ethanol [6%]) | van Voorst F~Brandt A, 2006
YBL099W	-9.948781878680688
YBR081C	-9.948781878680688
YBR097W	-9.948781878680688
YBR126C	-9.948781878680688
YBR171W	-9.948781878680688
YCR034W	-9.948781878680688
YCR046C	-9.948781878680688
YCR077C	-9.948781878680688
YDL044C	-9.948781878680688
YDL047W	-9.948781878680688
YDL077C	-9.948781878680688
YDL114W	-9.948781878680688
YDR176W	-9.948781878680688
YDR392W	-9.948781878680688
YEL003W	-9.948781878680688
YER111C	-9.948781878680688
YER155C	-9.948781878680688
YFR019W	-9.948781878680688
YFR048W	-9.948781878680688
YGL058W	-9.948781878680688
YGR229C	-9.948781878680688
YGR252W	-9.948781878680688
YHR012W	-9.948781878680688
YHR030C	-9.948781878680688
YHR039C-A	-9.948781878680688
YKL041W	-9.948781878680688
YLR240W	-9.948781878680688
YLR371W	-9.948781878680688
YLR372W	-9.948781878680688
YLR386W	-9.948781878680688
YLR417W	-9.948781878680688
YML008C	-9.948781878680688
YML094W	-9.948781878680688
YML097C	-9.948781878680688
YNL073W	-9.948781878680688
YNR052C	-9.948781878680688
YOL004W	-9.948781878680688
YOL095C	-9.948781878680688
YOL143C	-9.948781878680688
YOR008C	-9.948781878680688
YOR069W	-9.948781878680688
YOR270C	-9.948781878680688
YPL045W	-9.948781878680688
YPL120W	-9.948781878680688
YPL268W	-9.948781878680688
YPR141C	-9.948781878680688
