ORF	hap a | growth (culture turbidity) | pyocyanin [75 ug/ml] | Ran H~Lau GW, 2003
YLR447C	-1.000
YGR020C	-1.000
YEL051W	-1.000
YGR105W	-1.000
YLR262C	-1.000
YPL085W	-1.000
YLR268W	-1.000
YIL076W	-1.000
YPR173C	-1.000
YMR077C	-1.000
YPL065W	-1.000
YLR417W	-1.000
YDR069C	-1.000
YBR111C	-1.000
YJR078W	-1.000
YBR003W	-1.000
YDL119C	-1.000
YBR290W	-1.000
YCR034W	-1.000
YDL019C	-1.000
YCR094W	-1.000
YPL256C	-1.000
YDR293C	-1.000
YGL025C	-1.000
YDR227W	-1.000
YDR505C	-1.000
YJL048C	-1.000
YDL151C	-1.000
YCR089W	-1.000
YMR307W	-1.000
YER083C	-1.000
YPL066W	-1.000
YLR428C	-1.000
YGL024W	-1.000
YOL070C	-1.000
YOR125C	1.000
YBR120C	1.000
YBR126C	1.000
YER050C	1.000
YNL252C	1.000
YNL177C	1.000
YGR215W	1.000
YJL023C	1.000
YGR101W	1.000
YGR150C	1.000
YNL184C	1.000
YNL213C	1.000
