orf	hap a | growth (culture turbidity) | pyocyanin [75 ug/ml] | Ran H~Lau GW, 2003
YBR003W	-9.849348752784142
YBR111C	-9.849348752784142
YBR120C	10.050355870187897
YBR126C	10.050355870187897
YBR290W	-9.849348752784142
YCR034W	-9.849348752784142
YCR089W	-9.849348752784142
YCR094W	-9.849348752784142
YDL019C	-9.849348752784142
YDL119C	-9.849348752784142
YDR069C	-9.849348752784142
YDR227W	-9.849348752784142
YDR293C	-9.849348752784142
YDR505C	-9.849348752784142
YEL051W	-9.849348752784142
YER050C	10.050355870187897
YER083C	-9.849348752784142
YGL024W	-9.849348752784142
YGL025C	-9.849348752784142
YGR020C	-9.849348752784142
YGR101W	10.050355870187897
YGR105W	-9.849348752784142
YGR150C	10.050355870187897
YGR215W	10.050355870187897
YIL076W	-9.849348752784142
YJL023C	10.050355870187897
YJL048C	-9.849348752784142
YJR078W	-9.849348752784142
YLR262C	-9.849348752784142
YLR268W	-9.849348752784142
YLR417W	-9.849348752784142
YLR428C	-9.849348752784142
YLR447C	-9.849348752784142
YMR077C	-9.849348752784142
YMR307W	-9.849348752784142
YNL177C	10.050355870187897
YNL184C	10.050355870187897
YNL213C	10.050355870187897
YNL252C	10.050355870187897
YOL070C	-9.849348752784142
YOR125C	10.050355870187897
YPL065W	-9.849348752784142
YPL066W	-9.849348752784142
YPL085W	-9.849348752784142
YPL256C	-9.849348752784142
YPR173C	-9.849348752784142
