ORF	hom | growth (culture turbidity) | sodium arsenite [400 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | cadmium dichloride [5 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | silver(1+) nitrate [10 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | mercury dichloride [19 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | chromium trioxide [400 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | zinc sulfate [1 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | copper(II) sulfate [5 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | sodium arsenite [1.25 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | cadmium dichloride [25 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | chromium trioxide [900 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | copper(II) sulfate [7 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | silver(1+) nitrate [20 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | mercury dichloride [49 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | zinc sulfate [2 mM] | Jin YH~Freedman JH, 2008
YAL002W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.196	-0.397	-0.214	-0.661	0.017	0.000	-0.116
YAL007C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	-0.340	0.205	-0.783	0.023	0.004	-0.110
YAL012W	0.031	0.129	-0.053	-0.062	-0.954	-0.018	-0.239	-0.504	-0.816	-0.868	-0.925	-0.048	-0.000	-0.043
YAL014C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	-0.594	0.190	0.063	-0.008	-0.044	-0.085
YAL016W	0.015	-0.177	-0.121	-0.024	-0.913	-0.107	-0.064	-0.602	-0.936	-0.913	-0.098	-0.170	-0.052	-0.491
YAL021C	0.009	-0.039	-0.073	-0.011	-0.564	-0.063	0.011	0.248	-0.908	-0.630	-0.715	-0.071	0.044	-0.906
YAL023C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.240	-0.764	-0.115	0.030	-0.048	-0.116	-0.074
YAL024C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	-0.624	0.104	-0.039	-0.029	-0.031	0.098
YAL026C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.317	-0.366	0.097	-0.286	0.066	-0.070	-0.709
YAL034C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.072	-0.343	0.115	-0.648	0.004	-0.054	-0.084
YAL035W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.310	-0.672	0.113	-0.180	0.161	0.083	-0.430
YAL040C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	-0.654	-0.405	-0.909	0.018	-0.009	-0.003
YAL047C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.121	-0.790	-0.272	0.264	-0.031	0.118	0.058
YAL056C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.125	-0.069	0.499	-0.753	-0.052	-0.026	-0.081
YAL056W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.021	-0.500	0.004	-0.002	0.032	0.030	-0.083
YAL058W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.005	-0.237	0.253	-0.722	-0.052	-0.048	-0.113
YAR014C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	-0.184	0.337	-0.780	-0.004	-0.032	-0.115
YAR018C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.211	-0.211	0.352	-0.907	-0.064	-0.048	0.024
YBL007C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.164	-0.106	-0.821	-0.413	0.028	0.213	0.155
YBL008W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.051	-0.090	0.193	-0.504	-0.016	0.096	0.001
YBL017C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.085	-0.012	0.596	-0.513	0.001	0.118	0.013
YBL025W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.006	-0.626	-0.503	-0.298	-0.044	-0.024	-0.722
YBL046W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.086	-0.524	0.003	-0.558	-0.138	0.047	-0.048
