ORF	hap alpha | growth (exponential growth rate) | standard [standard] | Yoshikawa K~Shimizu H, 2011
YAL068C	0.355
YAL067C	0.355
YAL066W	0.351
YAL065C	0.328
YAL062W	0.354
YAL061W	0.330
YAL060W	0.338
YAL059W	0.325
YAL058W	0.310
YAL056W	0.345
YAL055W	0.335
YAL053W	0.342
YAL051W	0.345
YAL049C	0.338
YAL048C	0.339
YAL046C	0.340
YAL045C	0.331
YAL044C	0.338
YAL042W	0.359
YAL042C-A	0.356
YAL040C	0.345
YAL037W	0.342
YAL036C	0.335
YAL035W	0.336
YAL034C	0.308
YAL031C	0.300
YAL030W	0.328
YAL029C	0.357
YAL028W	0.346
YAL023C	0.348
YAL022C	0.327
YAL021C	0.297
YAL020C	0.316
YAL019W	0.336
YAL018C	0.342
YAL017W	0.336
YAL015C	0.342
YAL014C	0.340
YAL013W	0.272
YAL011W	0.325
YAL009W	0.318
YAL008W	0.335
YAL007C	0.309
YAL004W	0.336
YAL005C	0.349
YAL002W	0.337
YAR002W	0.330
YAR003W	0.288
YAR014C	0.309
YAR015W	0.334
YAR018C	0.310
YAR020C	0.328
YAR023C	0.351
YAR027W	0.341
YAR028W	0.338
YAR029W	0.341
YAR031W	0.341
YAR030C	0.345
YAR035W	0.345
YAR037W	0.342
YAR040C	0.345
YAR042W	0.346
YAR043C-A	0.312
YAR047C	0.329
YLL001W	0.333
YLL002W	0.312
YLL005C	0.338
YLL010C	0.327
YLL012W	0.344
YLL013C	0.348
YLL014W	0.332
YLL015W	0.335
YLL016W	0.336
YLL017W	0.337
YLL019C	0.361
YLL020C	0.363
YLL021W	0.346
YLL023C	0.333
YLL024C	0.329
YLL025W	0.336
YLL026W	0.340
YLL028W	0.339
YLL029W	0.326
YLL032C	0.334
YLL038C	0.351
YLL039C	0.347
YLL040C	0.343
YLL041C	0.319
YLL043W	0.328
YLL045C	0.324
YLL046C	0.325
YLL047W	0.333
YLL051C	0.331
YLL052C	0.331
YLL053C	0.334
YLL054C	0.338
YLL055W	0.327
YLL056C	0.339
YLL057C	0.339
YLL058W	0.342
YLL060C	0.337
YLL061W	0.341
YLL062C	0.340
YLL063C	0.332
YLR001C	0.334
YLR003C	0.345
YLR004C	0.337
YLR011W	0.345
YLR012C	0.352
YLR013W	0.352
YLR014C	0.296
YLR015W	0.263
YLR016C	0.339
YLR017W	0.341
YLR018C	0.330
YLR019W	0.330
YLR020C	0.348
YLR021W	0.311
YLR023C	0.362
YLR024C	0.331
YLR025W	0.329
YLR028C	0.344
YLR042C	0.342
YLR043C	0.340
YLR044C	0.345
YLR046C	0.336
YLR047C	0.335
YLR048W	0.230
YLR049C	0.336
YLR053C	0.338
YLR054C	0.363
YLR055C	0.317
YLR056W	0.366
YLR057W	0.354
YLR058C	0.343
YLR059C	0.332
YLR061W	0.184
YLR062C	0.275
YLR063W	0.342
YLR064W	0.346
YLR065C	0.359
YLR068W	0.239
YLR072W	0.334
YLR073C	0.333
YLR074C	0.291
YLR077W	0.335
YLR079W	0.266
YLR080W	0.340
YLR081W	0.353
YLR082C	0.334
YLR083C	0.330
YLR084C	0.336
YLR085C	0.326
YLR087C	0.262
YLR089C	0.250
YLR090W	0.337
YLR092W	0.324
YLR093C	0.332
YLR094C	0.333
YLR095C	0.335
YLR096W	0.347
YLR097C	0.341
YLR098C	0.336
YLR099C	0.330
YLR102C	0.338
YLR104W	0.357
YLR107W	0.326
YLR108C	0.334
YLR109W	0.344
YLR111W	0.361
YLR112W	0.337
YLR113W	0.293
YLR114C	0.192
YLR118C	0.341
YLR119W	0.334
YLR120C	0.337
YLR121C	0.331
YLR122C	0.342
YLR123C	0.324
YLR124W	0.345
YLR125W	0.268
YML089C	0.347
YML088W	0.327
YML087C	0.313
YML084W	0.330
YML083C	0.333
YML082W	0.301
YML081W	0.321
YML080W	0.332
YML079W	0.338
YML078W	0.327
YML063W	0.235
YML062C	0.324
YML060W	0.338
YML059C	0.335
YML058W	0.339
YML057W	0.318
YML057C-A	0.325
YML056C	0.330
YML055W	0.330
YML054C	0.330
YML053C	0.305
YML052W	0.304
YML051W	0.358
YML050W	0.329
YML048W	0.372
YML047W-A	0.327
YML037C	0.328
YML034W	0.328
YML034C-A	0.331
YML032C	0.318
YML030W	0.351
YML029W	0.343
YML028W	0.349
YML026C	0.300
YML024W	0.268
YML020W	0.325
YML019W	0.357
YML018C	0.350
YML017W	0.368
YML016C	0.319
YML014W	0.281
YML013W	0.313
YML012C-A	0.262
YML012W	0.337
YML011C	0.336
YML009W-B	0.319
YML009C	0.345
YML008C	0.364
YML007W	0.349
YML006C	0.328
YML005W	0.365
YML004C	0.352
YML003W	0.337
YML002W	0.323
YMR002W	0.338
YMR003W	0.342
YMR006C	0.334
YMR007W	0.340
YMR008C	0.337
YMR009W	0.343
YMR010W	0.336
YMR011W	0.338
YMR012W	0.336
YMR014W	0.220
YMR016C	0.342
YMR017W	0.335
YMR018W	0.337
YMR019W	0.328
YMR020W	0.345
YMR022W	0.329
YMR023C	0.331
YMR024W	0.335
YMR025W	0.335
YMR026C	0.333
YMR027W	0.331
YMR029C	0.326
YMR030W	0.335
YMR031W-A	0.328
YMR031C	0.330
YMR032W	0.273
YMR034C	0.313
YMR036C	0.318
YMR039C	0.340
YMR040W	0.335
YMR041C	0.323
YMR042W	0.337
YMR044W	0.350
YMR140W	0.331
YMR141C	0.339
YMR143W	0.266
YMR144W	0.361
YMR145C	0.348
YMR147W	0.340
YMR148W	0.337
YMR153W	0.333
YMR153C-A	0.334
YMR155W	0.337
YMR156C	0.338
YMR157C	0.335
YMR158W-B	0.341
YMR159C	0.349
YMR160W	0.337
YMR161W	0.343
YMR162C	0.329
YMR163C	0.353
YMR164C	0.337
YMR166C	0.321
YMR167W	0.313
YMR169C	0.339
YMR170C	0.341
YMR172C-A	0.338
YMR173W-A	0.333
YMR174C	0.338
YMR175W	0.342
YMR176W	0.322
YMR177W	0.322
YMR178W	0.349
YMR179W	0.248
YMR180C	0.331
YMR182C	0.308
YMR183C	0.333
YMR184W	0.327
YMR185W	0.332
YMR186W	0.340
YMR187C	0.325
YMR188C	0.306
YMR189W	0.334
YMR190C	0.326
YMR192W	0.329
YMR194W	0.309
YMR193C-A	0.316
YMR195W	0.338
YMR196W	0.329
YMR198W	0.329
YMR199W	0.327
YMR201C	0.314
YMR202W	0.327
YMR204C	0.337
YMR205C	0.265
YMR206W	0.335
YMR207C	0.339
YMR210W	0.345
YMR214W	0.358
YMR215W	0.341
YMR216C	0.333
YMR219W	0.329
YMR221C	0.344
YMR222C	0.328
YMR223W	0.305
YMR224C	0.316
YMR225C	0.330
YMR226C	0.357
YMR230W	0.296
YMR232W	0.338
YMR233W	0.336
YMR234W	0.339
YMR237W	0.340
YMR238W	0.298
YMR241W	0.331
YMR242C	0.329
YMR243C	0.337
YMR244W	0.343
YMR245W	0.346
YMR244C-A	0.335
YMR246W	0.333
YMR247C	0.338
YMR250W	0.351
YMR251W	0.345
YMR251W-A	0.339
YMR252C	0.333
YMR253C	0.330
YMR254C	0.337
YMR255W	0.340
YMR258C	0.338
YMR259C	0.332
YMR261C	0.334
YMR262W	0.331
YMR263W	0.282
YMR264W	0.324
YMR265C	0.311
YMR269W	0.208
YMR272C	0.323
YMR273C	0.321
YMR274C	0.327
YMR275C	0.316
YMR276W	0.331
YMR278W	0.334
YMR280C	0.333
YMR283C	0.318
YMR284W	0.332
YMR285C	0.318
YMR289W	0.324
YMR291W	0.333
YMR292W	0.336
YMR294W	0.326
YMR294W-A	0.347
YMR295C	0.358
YMR297W	0.351
YMR299C	0.344
YMR300C	0.345
YMR302C	0.350
YMR303C	0.349
YMR304W	0.303
YMR304C-A	0.343
YMR305C	0.339
YMR306C-A	0.338
YMR307W	0.310
YMR310C	0.336
YNL339C	0.323
YNL338W	0.348
YNL336W	0.347
YNL335W	0.339
YNL334C	0.333
YNL333W	0.318
YNL332W	0.329
YNL329C	0.309
YNL328C	0.343
YNL327W	0.335
YNL326C	0.306
YNL324W	0.326
YNL325C	0.332
YNL323W	0.328
YNL322C	0.302
YNL321W	0.331
YNL320W	0.319
YNL319W	0.329
YNL318C	0.334
YNL314W	0.334
YNL311C	0.359
YNL307C	0.246
YNL305C	0.308
YNL304W	0.351
YNL303W	0.332
YNL302C	0.221
YNL301C	0.332
YNL299W	0.302
YNL298W	0.314
YNL296W	0.318
YNL297C	0.309
YNL295W	0.314
YNL294C	0.297
YNL293W	0.334
YNL292W	0.314
YNL291C	0.305
YNL289W	0.325
YNL288W	0.305
YNL286W	0.295
YNL285W	0.344
YNL283C	0.316
YNL281W	0.353
YNL280C	0.350
YNL278W	0.347
YNL275W	0.338
YNL273W	0.354
YNL271C	0.355
YNL270C	0.340
YNL269W	0.343
YNL266W	0.329
YNL265C	0.307
YNL264C	0.339
YNL259C	0.330
YNL257C	0.339
YNL255C	0.329
YNL254C	0.337
YNL253W	0.322
YNL249C	0.313
YNL248C	0.264
YNL246W	0.364
YOR001W	0.266
YOR002W	0.342
YOR003W	0.340
YOR005C	0.345
YOR006C	0.316
YOR007C	0.335
YOR008C	0.318
YOR009W	0.337
YOR010C	0.343
YOR011W	0.342
YOR012W	0.335
YOR013W	0.333
YOR014W	0.328
YOR015W	0.325
YOR016C	0.346
YOR017W	0.340
YOR018W	0.340
YOR019W	0.341
YOR021C	0.331
YOR022C	0.338
YOR023C	0.347
YOR024W	0.332
YOR025W	0.328
YOR026W	0.260
YOR027W	0.329
YOR028C	0.332
YOR029W	0.335
YOR030W	0.310
YOR031W	0.335
YOR032C	0.338
YOR033C	0.312
YOR034C	0.324
YOR035C	0.282
YOR036W	0.322
YOR037W	0.349
YOR038C	0.330
YOR039W	0.331
YOR040W	0.335
YOR041C	0.346
YOR042W	0.345
YOR043W	0.311
YOR044W	0.337
YOR045W	0.343
YOR047C	0.357
YOR049C	0.342
YOR050C	0.338
YOR051C	0.329
YOR052C	0.336
YOR053W	0.346
YOR054C	0.330
YOR055W	0.343
YOR058C	0.340
YOR059C	0.349
YOR061W	0.366
YOR062C	0.342
YOR064C	0.339
YOR066W	0.348
YOR067C	0.335
YOR068C	0.327
YOR069W	0.326
YOR070C	0.307
YOR071C	0.344
YOR072W	0.344
YOR073W	0.291
YOR076C	0.325
YOR078W	0.300
YOR079C	0.341
YOR080W	0.311
YOR081C	0.346
YOR082C	0.332
YOR083W	0.313
YOR084W	0.336
YOR085W	0.348
YOR086C	0.334
YOR087W	0.335
YOR089C	0.337
YOR090C	0.334
YOR091W	0.334
YOR092W	0.335
YOR093C	0.338
YOR094W	0.334
YOR289W	0.329
YOR291W	0.340
YOR292C	0.334
YOR293W	0.245
YOR295W	0.237
YOR296W	0.346
YOR297C	0.342
YOR298W	0.352
YOR299W	0.349
YOR301W	0.348
YOR302W	0.351
YOR303W	0.345
YOR304C-A	0.361
YOR304W	0.340
YOR307C	0.349
YOR308C	0.340
YOR311C	0.349
YOR312C	0.348
YOR313C	0.345
YOR314W	0.342
YOR315W	0.336
YOR316C	0.348
YOR320C	0.349
YOR321W	0.344
