orf	het | chronological lifespan (relative abundance of dead cells) | nutrient starvation (7 d) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012	het | growth (pooled culture, microarray) | nutrient starvation (48 h) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012
YEL047C	-1.0	0.0
YEL051W	-1.0	0.0
YEL058W	-1.0	0.0
YEL063C	0.0	-1.0
YEL071W	-1.0	0.0
YER002W	-1.0	0.0
YER003C	-1.0	0.0
YER008C	0.0	-1.0
YER014W	-1.0	0.0
YER022W	-1.0	0.0
YER025W	-1.0	0.0
YER028C	-1.0	0.0
YER032W	0.0	-1.0
YER038C	0.0	-1.0
YER041W	-1.0	0.0
YER044C	-1.0	0.0
YER048C	-1.0	0.0
YER049W	-1.0	0.0
YER050C	-1.0	0.0
YER053C	0.0	-1.0
YER061C	-1.0	0.0
YER062C	0.0	-1.0
YER063W	-1.0	0.0
YER069W	0.0	-1.0
YER071C	0.0	-1.0
YER074W	-1.0	0.0
YER080W	-1.0	0.0
YER082C	0.0	-1.0
YER089C	-1.0	0.0
YER095W	-1.0	0.0
YER103W	-1.0	0.0
YER114C	-1.0	0.0
YER120W	-1.0	0.0
YER123W	-1.0	0.0
YER124C	-1.0	0.0
YER137C	-1.0	0.0
YER145C	-1.0	0.0
YER147C	-1.0	0.0
YER161C	-1.0	0.0
YER171W	-1.0	0.0
YER176W	-1.0	0.0
YER178W	-1.0	0.0
YER179W	-1.0	0.0
YER187W	-1.0	0.0
YFL004W	-1.0	0.0
YFL024C	0.0	-1.0
YFL026W	-1.0	0.0
YFL029C	0.0	-1.0
YFL030W	-1.0	0.0
YFL041W	-1.0	0.0
YFL048C	0.0	-1.0
YFL051C	0.0	-1.0
YFL052W	-1.0	0.0
YFR003C	-1.0	0.0
YFR007W	-1.0	0.0
YFR009W	-1.0	0.0
YFR017C	-1.0	0.0
YFR042W	-1.0	0.0
YFR047C	-1.0	0.0
YFR051C	-1.0	0.0
YGL009C	-1.0	0.0
YGL014W	-1.0	0.0
YGL025C	-1.0	0.0
YGL030W	-1.0	0.0
YGL086W	-1.0	0.0
YGL088W	0.0	-1.0
YGL095C	0.0	-1.0
YGL107C	-1.0	0.0
YGL115W	-1.0	0.0
YGL135W	-1.0	0.0
YGL138C	0.0	-1.0
YGL147C	-1.0	0.0
YGL148W	-1.0	0.0
YGL153W	-1.0	0.0
YGL167C	-1.0	0.0
YGL169W	-1.0	0.0
YGL173C	-1.0	0.0
YGL181W	-1.0	0.0
YGL209W	-1.0	0.0
YGL211W	-1.0	0.0
YGL216W	-1.0	0.0
YGL221C	-1.0	0.0
YGL222C	-1.0	0.0
YGL236C	-1.0	0.0
YGL247W	-1.0	0.0
YGL259W	-1.0	0.0
YGR004W	-1.0	0.0
YGR007W	-1.0	0.0
YGR008C	-1.0	0.0
YGR012W	-1.0	0.0
YGR028W	-1.0	0.0
YGR031W	-1.0	0.0
YGR036C	-1.0	0.0
YGR038W	-1.0	0.0
YGR043C	-1.0	0.0
YGR044C	-1.0	0.0
YGR049W	-1.0	0.0
YGR051C	0.0	-1.0
YGR054W	0.0	-1.0
YGR055W	-1.0	0.0
YGR083C	-1.0	0.0
YGR092W	-1.0	0.0
YGR109C	-1.0	0.0
YGR122W	-1.0	0.0
YGR124W	-1.0	0.0
YGR168C	-1.0	0.0
YGR171C	-1.0	0.0
YGR179C	-1.0	0.0
YGR193C	-1.0	0.0
YGR195W	-1.0	0.0
YGR196C	0.0	-1.0
YGR200C	-1.0	0.0
YGR201C	-1.0	0.0
YGR205W	-1.0	0.0
YGR207C	-1.0	-1.0
YGR216C	-1.0	0.0
YGR220C	-1.0	0.0
YGR222W	-1.0	0.0
YGR227W	-1.0	0.0
YGR239C	-1.0	0.0
YGR243W	-1.0	0.0
YGR244C	-1.0	0.0
YGR245C	-1.0	0.0
YGR251W	-1.0	0.0
YGR252W	-1.0	0.0
YGR255C	0.0	-1.0
YGR258C	-1.0	0.0
YGR260W	-1.0	0.0
YGR262C	-1.0	0.0
YGR284C	-1.0	0.0
YGR285C	-1.0	0.0
YGR287C	-1.0	0.0
YHL006C	0.0	-1.0
YHL023C	-1.0	0.0
YHL041W	-1.0	0.0
YHL046C	-1.0	0.0
YHR003C	-1.0	0.0
YHR005C	-1.0	0.0
YHR006W	0.0	-1.0
YHR008C	-1.0	0.0
YHR010W	-1.0	0.0
YHR015W	-1.0	0.0
YHR024C	-1.0	0.0
YHR025W	-1.0	0.0
YHR028C	0.0	-1.0
YHR033W	-1.0	0.0
YHR041C	-1.0	0.0
YHR049W	-1.0	0.0
YHR064C	-1.0	0.0
YHR075C	-1.0	0.0
YHR088W	-1.0	0.0
YHR092C	-1.0	0.0
YHR101C	-1.0	0.0
YHR111W	-1.0	0.0
YHR113W	-1.0	0.0
YHR120W	-1.0	0.0
YHR121W	-1.0	0.0
YHR126C	-1.0	0.0
YHR131C	-1.0	0.0
YHR132C	-1.0	0.0
YHR140W	-1.0	0.0
YHR148W	-1.0	0.0
YHR170W	-1.0	0.0
YHR176W	0.0	-1.0
YHR178W	0.0	-1.0
YHR184W	0.0	-1.0
YHR193C	0.0	-1.0
YHR196W	-1.0	0.0
YHR209W	-1.0	0.0
YIL006W	-1.0	0.0
YIL010W	-1.0	0.0
YIL014W	-1.0	0.0
YIL017C	-1.0	0.0
YIL018W	-1.0	0.0
YIL022W	-1.0	0.0
YIL023C	-1.0	0.0
YIL029C	-1.0	0.0
YIL038C	0.0	-1.0
YIL047C	0.0	-1.0
YIL052C	-1.0	0.0
YIL054W	-1.0	0.0
YIL059C	-1.0	0.0
YIL070C	-1.0	0.0
YIL072W	-1.0	0.0
YIL073C	-1.0	0.0
YIL078W	-1.0	0.0
YIL085C	-1.0	0.0
YIL088C	-1.0	0.0
YIL091C	-1.0	0.0
YIL097W	0.0	-1.0
YIL108W	-1.0	0.0
YIL111W	-1.0	0.0
YIL116W	-1.0	0.0
YIL117C	0.0	-1.0
YIL120W	-1.0	0.0
YIL128W	0.0	-1.0
YIL132C	-1.0	0.0
YIL135C	-1.0	0.0
YIL164C	-1.0	0.0
YIR003W	0.0	-1.0
YIR009W	-1.0	0.0
YIR010W	-1.0	0.0
YIR011C	-1.0	0.0
YIR015W	-1.0	0.0
YIR016W	-1.0	0.0
YIR027C	-1.0	0.0
YJL001W	-1.0	0.0
YJL007C	-1.0	0.0
YJL011C	-1.0	0.0
YJL014W	-1.0	0.0
YJL019W	0.0	-1.0
YJL023C	-1.0	0.0
YJL025W	0.0	-1.0
YJL026W	0.0	-1.0
YJL027C	0.0	-1.0
YJL033W	-1.0	0.0
YJL038C	-1.0	0.0
