orf	het | cell death (frequency of dead cells) | periodic starvation | grape juice | Davey HM~Griffith GW, 2012	het | growth (pooled culture, microarray) | periodic starvation | grape juice | Davey HM~Griffith GW, 2012
YAL003W	2.5382322491883347	0.0
YAL012W	2.5382322491883347	0.0
YAL022C	2.5382322491883347	0.0
YAL024C	2.5382322491883347	0.0
YAL025C	2.5382322491883347	0.0
YAL026C	2.5382322491883347	0.0
YAL029C	2.5382322491883347	0.0
YAL043C	0.0	-5.932455634115292
YAL053W	2.5382322491883347	0.0
YAL061W	2.5382322491883347	0.0
YAL065C	2.5382322491883347	0.0
YAL068C	2.5382322491883347	0.0
YAR003W	2.5382322491883347	0.0
YBL004W	2.5382322491883347	0.0
YBL006C	2.5382322491883347	0.0
YBL010C	0.0	-5.932455634115292
YBL035C	2.5382322491883347	0.0
YBL056W	2.5382322491883347	0.0
YBL078C	2.5382322491883347	0.0
YBL079W	2.5382322491883347	0.0
YBL082C	2.5382322491883347	0.0
YBL084C	2.5382322491883347	0.0
YBL087C	2.5382322491883347	0.0
YBL091C-A	2.5382322491883347	0.0
YBL099W	0.0	-5.932455634115292
YBR001C	2.5382322491883347	0.0
YBR002C	2.5382322491883347	0.0
YBR010W	0.0	-5.932455634115292
YBR012C	2.5382322491883347	0.0
YBR013C	0.0	-5.932455634115292
YBR021W	0.0	-5.932455634115292
YBR030W	2.5382322491883347	0.0
YBR031W	0.0	-5.932455634115292
YBR035C	0.0	-5.932455634115292
YBR042C	0.0	-5.932455634115292
YBR063C	2.5382322491883347	0.0
YBR067C	2.5382322491883347	0.0
YBR072W	0.0	-5.932455634115292
YBR074W	2.5382322491883347	0.0
YBR076W	2.5382322491883347	0.0
YBR077C	2.5382322491883347	0.0
YBR085W	2.5382322491883347	0.0
YBR086C	2.5382322491883347	0.0
YBR094W	0.0	-5.932455634115292
YBR104W	2.5382322491883347	0.0
YBR106W	2.5382322491883347	0.0
YBR107C	2.5382322491883347	0.0
YBR110W	0.0	-5.932455634115292
YBR121C	2.5382322491883347	0.0
YBR135W	2.5382322491883347	0.0
YBR138C	2.5382322491883347	0.0
YBR143C	2.5382322491883347	0.0
YBR145W	2.5382322491883347	0.0
YBR146W	2.5382322491883347	0.0
YBR148W	2.5382322491883347	0.0
YBR150C	2.5382322491883347	0.0
YBR153W	2.5382322491883347	0.0
YBR162C	0.0	-5.932455634115292
YBR162W-A	2.5382322491883347	0.0
YBR165W	2.5382322491883347	0.0
YBR166C	2.5382322491883347	0.0
YBR168W	2.5382322491883347	0.0
YBR171W	2.5382322491883347	0.0
YBR175W	2.5382322491883347	0.0
YBR177C	0.0	-5.932455634115292
YBR181C	2.5382322491883347	0.0
YBR185C	0.0	-5.932455634115292
YBR188C	0.0	-5.932455634115292
YBR191W	2.5382322491883347	0.0
YBR198C	0.0	-5.932455634115292
YBR201W	0.0	-5.932455634115292
YBR206W	0.0	-5.932455634115292
YBR262C	2.5382322491883347	0.0
YBR268W	2.5382322491883347	0.0
YBR276C	2.5382322491883347	0.0
YBR289W	2.5382322491883347	0.0
YCL001W	2.5382322491883347	0.0
YCL004W	2.5382322491883347	0.0
YCL010C	2.5382322491883347	0.0
YCL034W	0.0	-5.932455634115292
YCL035C	2.5382322491883347	0.0
YCL043C	0.0	-5.932455634115292
YCL055W	2.5382322491883347	0.0
YCL056C	2.5382322491883347	0.0
YCL058C	2.5382322491883347	0.0
YCL069W	2.5382322491883347	0.0
YCR002C	2.5382322491883347	0.0
YCR008W	2.5382322491883347	0.0
YCR012W	2.5382322491883347	0.0
YCR051W	2.5382322491883347	0.0
YCR075C	2.5382322491883347	0.0
YCR088W	2.5382322491883347	0.0
YCR091W	2.5382322491883347	0.0
YCR100C	2.5382322491883347	0.0
YCR101C	2.5382322491883347	0.0
YCR102C	2.5382322491883347	0.0
YCR105W	2.5382322491883347	0.0
YCR107W	2.5382322491883347	0.0
YDL005C	2.5382322491883347	0.0
YDL024C	2.5382322491883347	0.0
YDL028C	2.5382322491883347	0.0
YDL031W	2.5382322491883347	0.0
YDL033C	2.5382322491883347	0.0
YDL044C	2.5382322491883347	0.0
YDL046W	2.5382322491883347	0.0
YDL049C	2.5382322491883347	0.0
YDL056W	2.5382322491883347	0.0
YDL060W	2.5382322491883347	0.0
YDL067C	2.5382322491883347	0.0
YDL088C	2.5382322491883347	0.0
YDL100C	2.5382322491883347	0.0
YDL116W	2.5382322491883347	0.0
YDL119C	2.5382322491883347	0.0
YDL121C	2.5382322491883347	0.0
YDL130W-A	2.5382322491883347	0.0
YDL134C	2.5382322491883347	0.0
YDL136W	2.5382322491883347	0.0
YDL154W	2.5382322491883347	0.0
YDL156W	2.5382322491883347	0.0
YDL157C	2.5382322491883347	0.0
YDL169C	2.5382322491883347	0.0
YDL176W	0.0	-5.932455634115292
YDL191W	2.5382322491883347	0.0
YDL194W	2.5382322491883347	0.0
YDL199C	2.5382322491883347	0.0
YDL212W	2.5382322491883347	0.0
YDL214C	2.5382322491883347	0.0
YDL224C	2.5382322491883347	0.0
YDL233W	2.5382322491883347	0.0
YDL240W	2.5382322491883347	0.0
YDR004W	2.5382322491883347	0.0
YDR028C	2.5382322491883347	0.0
YDR030C	2.5382322491883347	0.0
YDR037W	2.5382322491883347	0.0
YDR072C	2.5382322491883347	0.0
YDR089W	2.5382322491883347	0.0
YDR093W	2.5382322491883347	0.0
YDR098C	2.5382322491883347	0.0
YDR104C	2.5382322491883347	0.0
YDR110W	2.5382322491883347	0.0
YDR121W	2.5382322491883347	0.0
YDR123C	2.5382322491883347	0.0
YDR125C	2.5382322491883347	0.0
YDR129C	2.5382322491883347	0.0
YDR130C	2.5382322491883347	0.0
YDR132C	2.5382322491883347	0.0
YDR137W	2.5382322491883347	0.0
YDR153C	2.5382322491883347	0.0
YDR156W	2.5382322491883347	0.0
YDR161W	2.5382322491883347	0.0
YDR165W	0.0	-5.932455634115292
YDR169C	2.5382322491883347	0.0
YDR197W	2.5382322491883347	0.0
YDR205W	2.5382322491883347	0.0
YDR220C	0.0	-5.932455634115292
YDR222W	2.5382322491883347	0.0
YDR235W	2.5382322491883347	0.0
YDR238C	2.5382322491883347	0.0
YDR242W	2.5382322491883347	0.0
YDR249C	2.5382322491883347	0.0
YDR292C	2.5382322491883347	0.0
YDR302W	2.5382322491883347	0.0
YDR311W	2.5382322491883347	0.0
YDR312W	0.0	-5.932455634115292
YDR314C	2.5382322491883347	0.0
YDR318W	0.0	-5.932455634115292
YDR325W	0.0	-5.932455634115292
YDR329C	2.5382322491883347	0.0
YDR330W	2.5382322491883347	0.0
YDR334W	2.5382322491883347	0.0
YDR350C	2.5382322491883347	0.0
YDR355C	0.0	-5.932455634115292
YDR365C	2.5382322491883347	0.0
YDR371W	2.5382322491883347	0.0
YDR373W	2.5382322491883347	0.0
YDR380W	2.5382322491883347	0.0
YDR395W	2.5382322491883347	0.0
YDR397C	2.5382322491883347	0.0
YDR404C	2.5382322491883347	0.0
YDR410C	0.0	-5.932455634115292
YDR415C	0.0	-5.932455634115292
YDR419W	2.5382322491883347	0.0
YDR420W	2.5382322491883347	0.0
YDR422C	0.0	-5.932455634115292
YDR429C	2.5382322491883347	0.0
YDR438W	2.5382322491883347	0.0
YDR463W	2.5382322491883347	0.0
YDR465C	2.5382322491883347	0.0
YDR475C	0.0	-5.932455634115292
YDR479C	2.5382322491883347	0.0
YDR480W	2.5382322491883347	0.0
YDR481C	2.5382322491883347	0.0
YDR482C	2.5382322491883347	0.0
YDR516C	2.5382322491883347	0.0
YDR518W	2.5382322491883347	0.0
YDR519W	2.5382322491883347	0.0
YDR523C	2.5382322491883347	0.0
YDR527W	2.5382322491883347	0.0
YDR534C	2.5382322491883347	0.0
YEL013W	2.5382322491883347	0.0
YEL017W	2.5382322491883347	0.0
YEL019C	2.5382322491883347	0.0
YEL031W	2.5382322491883347	0.0
YEL042W	2.5382322491883347	0.0
YEL047C	2.5382322491883347	0.0
YEL051W	2.5382322491883347	0.0
YEL058W	2.5382322491883347	0.0
YEL063C	0.0	-5.932455634115292
YEL071W	2.5382322491883347	0.0
YER002W	2.5382322491883347	0.0
YER003C	2.5382322491883347	0.0
YER008C	0.0	-5.932455634115292
YER014W	2.5382322491883347	0.0
YER022W	2.5382322491883347	0.0
YER025W	2.5382322491883347	0.0
YER028C	2.5382322491883347	0.0
YER032W	0.0	-5.932455634115292
YER038C	0.0	-5.932455634115292
YER041W	2.5382322491883347	0.0
YER044C	2.5382322491883347	0.0
YER048C	2.5382322491883347	0.0
YER049W	2.5382322491883347	0.0
YER050C	2.5382322491883347	0.0
YER053C	0.0	-5.932455634115292
YER061C	2.5382322491883347	0.0
YER062C	0.0	-5.932455634115292
YER063W	2.5382322491883347	0.0
YER069W	0.0	-5.932455634115292
YER071C	0.0	-5.932455634115292
YER074W	2.5382322491883347	0.0
YER080W	2.5382322491883347	0.0
YER082C	0.0	-5.932455634115292
YER089C	2.5382322491883347	0.0
YER095W	2.5382322491883347	0.0
YER103W	2.5382322491883347	0.0
YER114C	2.5382322491883347	0.0
YER120W	2.5382322491883347	0.0
YER123W	2.5382322491883347	0.0
YER124C	2.5382322491883347	0.0
YER137C	2.5382322491883347	0.0
YER145C	2.5382322491883347	0.0
YER147C	2.5382322491883347	0.0
YER161C	2.5382322491883347	0.0
YER171W	2.5382322491883347	0.0
YER176W	2.5382322491883347	0.0
YER178W	2.5382322491883347	0.0
YER179W	2.5382322491883347	0.0
YER187W	2.5382322491883347	0.0
YFL004W	2.5382322491883347	0.0
YFL024C	0.0	-5.932455634115292
YFL026W	2.5382322491883347	0.0
YFL029C	0.0	-5.932455634115292
YFL030W	2.5382322491883347	0.0
YFL041W	2.5382322491883347	0.0
YFL048C	0.0	-5.932455634115292
YFL051C	0.0	-5.932455634115292
YFL052W	2.5382322491883347	0.0
YFR003C	2.5382322491883347	0.0
YFR007W	2.5382322491883347	0.0
YFR009W	2.5382322491883347	0.0
YFR017C	2.5382322491883347	0.0
YFR042W	2.5382322491883347	0.0
YFR047C	2.5382322491883347	0.0
YFR051C	2.5382322491883347	0.0
YGL009C	2.5382322491883347	0.0
YGL014W	2.5382322491883347	0.0
YGL025C	2.5382322491883347	0.0
YGL030W	2.5382322491883347	0.0
YGL086W	2.5382322491883347	0.0
YGL088W	0.0	-5.932455634115292
YGL095C	0.0	-5.932455634115292
YGL107C	2.5382322491883347	0.0
YGL115W	2.5382322491883347	0.0
YGL135W	2.5382322491883347	0.0
YGL138C	0.0	-5.932455634115292
YGL147C	2.5382322491883347	0.0
YGL148W	2.5382322491883347	0.0
YGL153W	2.5382322491883347	0.0
YGL167C	2.5382322491883347	0.0
YGL169W	2.5382322491883347	0.0
YGL173C	2.5382322491883347	0.0
YGL181W	2.5382322491883347	0.0
YGL209W	2.5382322491883347	0.0
YGL211W	2.5382322491883347	0.0
YGL216W	2.5382322491883347	0.0
YGL221C	2.5382322491883347	0.0
YGL222C	2.5382322491883347	0.0
YGL236C	2.5382322491883347	0.0
YGL247W	2.5382322491883347	0.0
YGL259W	2.5382322491883347	0.0
YGR004W	2.5382322491883347	0.0
YGR007W	2.5382322491883347	0.0
YGR008C	2.5382322491883347	0.0
YGR012W	2.5382322491883347	0.0
YGR028W	2.5382322491883347	0.0
YGR031W	2.5382322491883347	0.0
YGR036C	2.5382322491883347	0.0
YGR038W	2.5382322491883347	0.0
YGR043C	2.5382322491883347	0.0
YGR044C	2.5382322491883347	0.0
YGR049W	2.5382322491883347	0.0
YGR051C	0.0	-5.932455634115292
YGR054W	0.0	-5.932455634115292
YGR055W	2.5382322491883347	0.0
YGR083C	2.5382322491883347	0.0
YGR092W	2.5382322491883347	0.0
YGR109C	2.5382322491883347	0.0
YGR122W	2.5382322491883347	0.0
YGR124W	2.5382322491883347	0.0
YGR168C	2.5382322491883347	0.0
YGR171C	2.5382322491883347	0.0
