ORF	hap a | growth (colony size) | nicotinamide [120 mM]
YAL002W	1.357
YAL004W	1.013
YAL005C	1.091
YAL007C	1.027
YAL008W	1.126
YAL010C	1.169
YAL011W	1.538
YAL013W	1.482
YAL014C	0.781
YAL015C	0.810
YAL017W	0.869
YAL018C	1.117
YAL019W	1.058
YAL020C	1.009
YAL022C	1.037
YAL023C	1.032
YAL024C	1.434
YAL026C	1.860
YAL027W	0.936
YAL028W	1.134
YAL029C	0.951
YAL030W	1.011
YAL031C	0.994
YAL034C	0.899
YAL036C	1.062
YAL037W	0.946
YAL040C	1.082
YAL042W	1.079
YAL043C-A	1.069
YAL045C	1.039
YAL046C	0.901
YAL048C	0.572
YAL049C	1.002
YAL051W	0.917
YAL053W	0.957
YAL054C	0.945
YAL055W	1.104
YAL056W	0.873
YAL058C-A	0.941
YAL058W	0.813
YAL059W	1.865
YAL060W	1.060
YAL061W	0.896
YAL062W	0.937
YAL064C-A	0.979
YAL065C	1.194
YAL066W	1.097
YAL067C	0.743
YAL068C	1.230
YAR002C-A	1.015
YAR002W	0.993
YAR003W	0.919
YAR014C	0.929
YAR015W	16.617
YAR018C	0.960
YAR020C	0.809
YAR023C	1.029
YAR027W	0.922
YAR028W	0.693
YAR029W	1.086
YAR030C	1.123
YAR031W	0.932
YAR035W	0.876
YAR037W	1.036
YAR040C	1.221
YAR042W	1.223
YAR043C	0.867
YAR044W	1.192
YAR047C	0.907
YAR050W	1.472
YBL001C	0.767
YBL003C	0.826
YBL005W	0.825
YBL007C	1.103
YBL008W	1.434
YBL009W	1.112
YBL010C	0.970
YBL011W	1.065
YBL013W	1.017
YBL015W	0.945
YBL016W	0.864
YBL017C	1.198
YBL019W	0.982
YBL021C	0.736
YBL024W	0.813
YBL025W	0.933
YBL027W	4.430
YBL028C	0.879
YBL029W	1.121
YBL031W	1.089
YBL032W	0.890
YBL036C	1.124
YBL037W	0.928
YBL039C	0.867
YBL042C	0.944
YBL043W	0.912
YBL046W	1.003
YBL047C	0.967
YBL048W	1.095
YBL049W	1.027
YBL051C	1.168
YBL052C	0.938
YBL053W	1.275
YBL054W	0.951
YBL055C	0.952
YBL056W	1.091
YBL057C	1.189
YBL059W	0.887
YBL060W	1.116
YBL061C	0.993
YBL062W	1.044
YBL063W	0.946
YBL064C	0.902
YBL065W	0.986
YBL066C	1.206
YBL067C	1.137
YBL068W	0.968
YBL069W	0.980
YBL070C	1.061
YBL071C	0.909
YBL072C	1.599
YBL075C	0.925
YBL078C	0.999
YBL079W	1.260
YBL081W	1.715
YBL082C	1.314
YBL083C	1.136
YBL085W	1.028
YBL086C	0.923
YBL087C	1.184
YBL088C	1.013
YBL089W	1.377
YBL091C	0.863
YBL091C-A	1.410
YBL094C	1.383
YBL095W	1.400
YBL096C	0.849
YBL098W	1.057
YBL100C	0.845
YBL101C	1.055
YBL102W	1.055
YBL103C	1.151
YBL104C	0.930
YBL106C	0.931
YBL107C	0.877
YBR001C	1.034
YBR005W	0.808
YBR006W	1.085
YBR007C	0.963
YBR008C	0.820
YBR009C	1.276
YBR010W	1.051
YBR012C	1.082
YBR013C	1.045
YBR014C	0.881
YBR015C	1.016
YBR016W	1.062
YBR018C	0.980
YBR019C	1.013
YBR020W	1.058
YBR022W	1.200
YBR023C	1.359
YBR024W	0.970
YBR025C	0.812
YBR026C	1.064
YBR027C	1.183
YBR028C	0.809
YBR030W	1.256
YBR031W	0.928
YBR032W	0.924
YBR033W	1.125
YBR034C	1.118
YBR036C	1.488
YBR040W	0.873
YBR041W	1.029
YBR042C	1.387
YBR043C	1.153
YBR044C	1.158
YBR045C	1.115
YBR046C	1.380
YBR047W	1.031
YBR048W	1.238
YBR050C	0.972
YBR051W	0.917
YBR052C	0.955
YBR053C	1.000
YBR054W	0.972
YBR056W	1.054
YBR057C	0.991
YBR058C	1.011
YBR059C	1.099
YBR061C	0.891
YBR062C	0.949
YBR063C	0.904
YBR064W	0.884
YBR065C	0.983
YBR066C	1.036
YBR067C	0.945
YBR068C	1.069
YBR069C	0.906
YBR071W	0.995
YBR072W	1.153
YBR073W	1.229
YBR074W	1.015
YBR075W	1.033
YBR076W	0.982
YBR077C	1.099
YBR078W	1.612
YBR082C	1.029
YBR083W	0.971
YBR084C-A	1.045
YBR084W	1.082
YBR085W	0.818
YBR086C	1.278
YBR090C	1.025
YBR090C-A	0.785
YBR092C	0.916
YBR093C	0.809
YBR094W	1.162
YBR095C	0.960
YBR098W	1.111
YBR099C	1.057
YBR100W	1.082
YBR101C	0.964
YBR103W	1.055
YBR104W	1.012
YBR105C	0.817
YBR106W	0.656
YBR107C	0.886
YBR108W	0.920
YBR111C	1.172
YBR113W	0.935
YBR114W	1.030
YBR115C	1.050
YBR116C	1.099
YBR118W	0.887
YBR119W	1.000
YBR121C	0.994
YBR122C	0.917
YBR125C	0.833
YBR126C	0.998
YBR128C	0.903
YBR129C	1.257
YBR130C	1.122
YBR131W	1.466
