ORF	growth;nicotinamide, 120 mM
YDL090C	1.191
YCL061C	1.071
YDL013W	1.055
YCL016C	1.022
YBR277C	0.994
YBR278W	0.965
YDL006W	0.923
YCR077C	0.901
YBR245C	0.845
YBR276C	0.813
YCR102W-A	0.794
YCL036W	0.787
YCL035C	0.771
YDL042C	0.768
YBR281C	0.751
YDL133W	0.745
YBR242W	0.738
YCR095C	0.731
YDL110C	0.728
YBR267W	0.720
YCR045C	0.715
YCR036W	0.711
YBR284W	0.706
YBR297W	0.702
YDL127W	0.702
YCL011C	0.701
YBR295W	0.690
YBR291C	0.688
YBR226C	0.682
YDL001W	0.674
YCR019W	0.670
YBR283C	0.670
YDL106C	0.664
YBR246W	0.662
YCL050C	0.658
YBR269C	0.655
YBR287W	0.650
YCL010C	0.647
YDL133C-A	0.646
YCL063W	0.645
YDL162C	0.643
YCR085W	0.637
YDL050C	0.633
YCL076W	0.630
YCR068W	0.629
YDL077C	0.628
YDL183C	0.625
YCL051W	0.625
YCR008W	0.624
YDL002C	0.619
YCR020C-A	0.618
YDL175C	0.615
YCR026C	0.614
YDL146W	0.611
YCR033W	0.607
YDL118W	0.606
YCR087C-A	0.605
YDL023C	0.604
YDL012C	0.602
YDL041W	0.602
YDL054C	0.596
YDL134C	0.592
YDL172C	0.591
YBR298C	0.590
YDL038C	0.589
YCL046W	0.587
YDL160C	0.584
YCL026C	0.583
YDL114W	0.580
YDL035C	0.578
YBR227C	0.577
YCR006C	0.575
YDL157C	0.574
YDL176W	0.573
YCL014W	0.572
YBR292C	0.570
YCL037C	0.569
YCR081W	0.567
YCL001W	0.567
YCR091W	0.565
YDL033C	0.563
YCR089W	0.561
YBR275C	0.561
YCR037C	0.559
YCR010C	0.558
YCR053W	0.557
YDL182W	0.555
YCR048W	0.555
YCR025C	0.554
YCR022C	0.552
YDL173W	0.551
YCL038C	0.550
YCL075W	0.549
YCR027C	0.548
YDL124W	0.546
YCR090C	0.546
YBR261C	0.545
YDL085W	0.545
YBR235W	0.544
YCL034W	0.544
YDL112W	0.543
YDL076C	0.543
YDL020C	0.542
YBR244W	0.542
YCL064C	0.538
YCR099C	0.538
YDL037C	0.536
YCR060W	0.536
YDL034W	0.535
YBR286W	0.534
YDL088C	0.531
YCL039W	0.531
YBR238C	0.530
YDL161W	0.529
YCR007C	0.528
YCR065W	0.527
YDL079C	0.526
YDL052C	0.525
YBR259W	0.523
YBR262C	0.523
YDL167C	0.523
YBR224W	0.521
YDL125C	0.519
YDL169C	0.519
YDL144C	0.518
YCR088W	0.517
YBR249C	0.517
YCL040W	0.516
YBR270C	0.513
YBR230C	0.512
YBR229C	0.512
YDL025C	0.512
YDL113C	0.510
YDL024C	0.507
YCL024W	0.506
YCR061W	0.505
YCR102C	0.505
YDL089W	0.504
YDL119C	0.503
YBR228W	0.502
YCR086W	0.502
YDL177C	0.501
YCR069W	0.500
YDL122W	0.499
YDL061C	0.498
YCL074W	0.497
YCR001W	0.496
YCL009C	0.494
YDL179W	0.493
YBR232C	0.493
YDL036C	0.493
YDL027C	0.492
YBR260C	0.491
YDL131W	0.491
YCL042W	0.490
YDL181W	0.489
YCR075C	0.488
YCR049C	0.487
YBR293W	0.486
YCL045C	0.485
YDL010W	0.485
YDL135C	0.484
YBR288C	0.484
YDL159W	0.483
YDL154W	0.482
YBR225W	0.481
YCL055W	0.481
YDL066W	0.480
YDL081C	0.480
YCR024C-A	0.480
YDL051W	0.479
YCR050C	0.478
YCR032W	0.476
YCL029C	0.476
YCR073C	0.475
YDL080C	0.474
YDL070W	0.474
YDL091C	0.473
YDL099W	0.472
YCL048W	0.472
YDL128W	0.471
YCR062W	0.470
YDL094C	0.470
YDL123W	0.469
YBR300C	0.469
YCR073W-A	0.469
YCL013W	0.468
YDL026W	0.466
YCL026C-A	0.464
YBR241C	0.463
YDL109C	0.463
YCR067C	0.463
YBR240C	0.462
YCR021C	0.462
YCL022C	0.462
YCL049C	0.461
YDL138W	0.460
YBR264C	0.460
YCR087W	0.459
YDL095W	0.458
YDL059C	0.457
YDL137W	0.457
YDL100C	0.456
YCR105W	0.456
YCR015C	0.456
YDL180W	0.455
YDL174C	0.455
YCR011C	0.455
YCR016W	0.454
YDL171C	0.454
YDL048C	0.454
YBR272C	0.453
YDL040C	0.453
YCL062W	0.452
YCR030C	0.451
YCL027W	0.451
YBR250W	0.450
YDL156W	0.450
YDL074C	0.512
YBR294W	0.449
YDL082W	0.448
YCR017C	0.446
YDL142C	0.446
YDL155W	0.445
YDL117W	0.444
YCR043C	0.443
YDL039C	0.443
YBR274W	0.442
YCR100C	0.440
YCL012W	0.439
YCL030C	0.439
YBR233W	0.437
YBR239C	0.436
YDL046W	0.436
YBR271W	0.434
YCL001W-A	0.433
YCR076C	0.432
YDL168W	0.432
YDL086W	0.431
YCR101C	0.430
YDL078C	0.429
YCL023C	0.428
YBR255W	0.428
YDL096C	0.427
YCL033C	0.426
YDL083C	0.425
YCR098C	0.424
YCR092C	0.423
YBR301W	0.421
YDL170W	0.420
YDL130W-A	0.420
YDL019C	0.419
YCL056C	0.419
YDL178W	0.417
YCL069W	0.416
YCR051W	0.415
YCR059C	0.414
YCL028W	0.414
YCR063W	0.412
YBR258C	0.411
YBR266C	0.411
YDL056W	0.410
YCR020C	0.409
YDL129W	0.407
YBR280C	0.406
YDL053C	0.404
YCR014C	0.402
YDL093W	0.399
YCR083W	0.397
YDL134C-A	0.397
YBR263W	0.396
YBR248C	0.392
YCR082W	0.392
YDL011C	0.390
YCL057W	0.389
YCR023C	0.388
YDL065C	0.385
YCL006C	0.383
YDL018C	0.380
YDL149W	0.377
YBR296C	0.371
YCL047C	0.369
YCL002C	0.367
YCR005C	0.366
YCL044C	0.360
YDL130W	0.357
YDL121C	0.356
YBR285W	0.355
YBR273C	0.349
YCR028C-A	0.343
YCR031C	0.341
YDL071C	0.337
YCL025C	0.334
YBR290W	0.323
YCL032W	0.321
YCR079W	0.303
YDL136W	0.289
YDL184C	0.276
YCR106W	0.272
YDL104C	NaN
YDL062W	NaN
YDR126W	Inf
YDR392W	12.568
YDR245W	4.040
YDR408C	3.446
YDR080W	2.479
YDR359C	1.911
YDR075W	1.641
YDR293C	1.486
YDL232W	1.365
YDR207C	1.142
YDR247W	1.098
YDR369C	1.029
YDR173C	0.987
YDR315C	0.928
YDR074W	0.914
YDR076W	0.909
YDR388W	0.895
YDR334W	0.868
YDR058C	0.860
YDR270W	0.825
YDR360W	0.798
YDR158W	0.789
YDR310C	0.761
YDR005C	0.750
YDR174W	0.740
YDL219W	0.733
YDR097C	0.722
YDR159W	0.708
YDR157W	0.703
YDR420W	0.696
YDR312W	0.692
YDL194W	0.689
YDL223C	0.681
YDR277C	0.677
YDR162C	0.675
YDR024W	0.665
YDR406W	0.663
YDR108W	0.658
YDL206W	0.655
YDL188C	0.655
YDR313C	0.649
YDR092W	0.642
YDR279W	0.640
YDR262W	0.637
YDR120C	0.635
YDL192W	0.633
YDR146C	0.624
YDR346C	0.621
YDR217C	0.618
YDR011W	0.617
YDR351W	0.615
YDR128W	0.615
YDR007W	0.614
YDR375C	0.610
YDR250C	0.610
YDR144C	0.607
YDR276C	0.605
YDL200C	0.602
YDR130C	0.598
YDR008C	0.597
YDR216W	0.595
YDR305C	0.594
YDR382W	0.590
YDR049W	0.590
YDR100W	0.588
YDL190C	0.585
YDR186C	0.585
YDR319C	0.583
YDR372C	0.582
YDR132C	0.581
YDR286C	0.579
YDR014W	0.578
YDR265W	0.577
YDR384C	0.575
YDL222C	0.574
YDR223W	0.572
YDR229W	0.570
YDR203W	0.568
YDR335W	0.567
YDR163W	0.567
YDL237W	0.566
YDR025W	0.566
YDR370C	0.564
YDR010C	0.563
YDR151C	0.563
YDL213C	0.562
YDR057W	0.560
YDR199W	0.560
YDR284C	0.559
YDR248C	0.556
YDR352W	0.555
YDL242W	0.554
YDR179W-A	0.553
YDL240W	0.552
YDR152W	0.552
YDR419W	0.552
YDR051C	0.551
YDR215C	0.548
YDR316W	0.547
YDR354W	0.547
YDR363W	0.546
YDR098C	0.544
YDR244W	0.543
YDR320C	0.542
YDR210W	0.540
YDR282C	0.539
YDR165W	0.539
YDR255C	0.538
YDR205W	0.538
YDR400W	0.536
YDL230W	0.536
YDR411C	0.531
YDR333C	0.531
YDR084C	0.530
YDR198C	0.530
YDR090C	0.529
YDR072C	0.528
YDL226C	0.526
YDR059C	0.526
YDR357C	0.524
YDR368W	0.523
YDR321W	0.523
YDR161W	0.521
YDL211C	0.520
YDR150W	0.519
YDR089W	0.519
YDR148C	0.517
YDR383C	0.513
YDR259C	0.513
YDL186W	0.513
YDR257C	0.513
YDR253C	0.512
YDR169C	0.511
YDR273W	0.510
YDR112W	0.510
YDR153C	0.508
YDR104C	0.508
YDR272W	0.508
YDR256C	0.508
YDL231C	0.507
YDR403W	0.507
YDR095C	0.507
YDR192C	0.506
YDR061W	0.505
YDL239C	0.505
YDR281C	0.505
YDR066C	0.504
YDR142C	0.503
YDL199C	0.503
YDR018C	0.503
YDR124W	0.502
YDR063W	0.501
YDR254W	0.500
YDR409W	0.500
YDR202C	0.500
YDR249C	0.500
YDR123C	0.498
YDR345C	0.497
YDR263C	0.497
YDR111C	0.496
YDR154C	0.495
YDR133C	0.495
YDR380W	0.494
YDR344C	0.493
YDL224C	0.493
YDR109C	0.493
YDR218C	0.492
YDR222W	0.491
YDR415C	0.491
YDR393W	0.490
YDR193W	0.490
YDR389W	0.489
YDR183W	0.487
YDR213W	0.487
YDR225W	0.486
YDR019C	0.485
YDR414C	0.485
YDR185C	0.485
YDR309C	0.484
YDR329C	0.484
YDR143C	0.483
YDR304C	0.482
YDL215C	0.482
YDR117C	0.481
YDL210W	0.481
YDR125C	0.480
YDR071C	0.480
YDR056C	0.479
YDR358W	0.479
YDL216C	0.478
YDR266C	0.478
YDR336W	0.478
YDR294C	0.477
YDL218W	0.477
YDL233W	0.477
YDR233C	0.475
YDL229W	0.474
YDR252W	0.474
YDR001C	0.473
YDR338C	0.471
YDR239C	0.469
YDR067C	0.469
YDR260C	0.468
YDR285W	0.467
YDR094W	0.467
YDL204W	0.467
YDR107C	0.467
YDR191W	0.466
YDR102C	0.466
YDR134C	0.466
YDL234C	0.465
YDR386W	0.464
YDL214C	0.464
YDR099W	0.463
YDR093W	0.463
YDR387C	0.462
YDR073W	0.462
YDR349C	0.461
YDR374C	0.460
YDR119W	0.460
YDR139C	0.460
YDR363W-A	0.460
YDR131C	0.460
YDL241W	0.459
YDL227C	0.458
YDR121W	0.458
YDR147W	0.456
YDL191W	0.456
YDR274C	0.456
YDR221W	0.455
YDR149C	0.455
YDR206W	0.454
YDR155C	0.453
YDR306C	0.452
YDR371W	0.451
YDR110W	0.450
YDR171W	0.449
YDR015C	0.449
YDR332W	0.448
YDR009W	0.448
YDR340W	0.447
YDR379W	0.446
YDR101C	0.444
YDL236W	0.443
YDR314C	0.443
YDR241W	0.443
YDR220C	0.441
YDR214W	0.441
YDR184C	0.439
YDR219C	0.438
YDR275W	0.438
YDR122W	0.437
YDR391C	0.436
YDR399W	0.434
YDL197C	0.433
YDR077W	0.432
YDR421W	0.432
YDR103W	0.431
YDR105C	0.430
YDR385W	0.429
YDR401W	0.428
YDR135C	0.428
YDR287W	0.428
YDR289C	0.426
YDR410C	0.425
YDR116C	0.424
YDR181C	0.422
YDL238C	0.421
YDR227W	0.420
YDL203C	0.419
YDR055W	0.418
YDR291W	0.417
YDL189W	0.416
YDR330W	0.416
YDR020C	0.414
YDR068W	0.413
YDL187C	0.412
YDR006C	0.412
YDR297W	0.411
YDR378C	0.410
YDL185W	0.409
YDR261C	0.409
YDL201W	0.408
YDR003W	0.408
YDR251W	0.407
YDR004W	0.407
YDR085C	0.405
YDR127W	0.405
YDR209C	0.403
YDR083W	0.400
YDR402C	0.399
YDR348C	0.398
YDR318W	0.397
YDR234W	0.396
YDR179C	0.395
YDR022C	0.391
YDR096W	0.390
YDR278C	0.388
YDR422C	0.386
YDR307W	0.382
YDR317W	0.379
YDR178W	0.376
YDR070C	0.370
YDR156W	0.369
YDR258C	0.365
YDR048C	0.340
YDR395W	0.330
YDL243C	0.274
YER095W	2.994
YDR532C	2.438
YER111C	2.090
YFL025C	1.698
YEL059W	1.610
YDR455C	1.337
YDR463W	1.304
YEL031W	1.276
YFL036W	1.163
YER151C	1.156
YER056C-A	1.065
YFL023W	1.037
YER162C	0.965
YEL053C	0.937
YER020W	0.899
YER042W	0.878
YEL062W	0.823
YER007W	0.797
YEL033W	0.786
YEL014C	0.762
YEL001C	0.750
YDR530C	0.743
YER031C	0.738
YDR435C	0.722
YDR524C	0.715
YER181C	0.711
YEL013W	0.705
YDR445C	0.699
YER139C	0.698
YFL013W-A	0.685
YER116C	0.680
YER176W	0.677
YDR496C	0.666
YEL038W	0.666
YEL039C	0.661
YER055C	0.658
YDR490C	0.655
YER074W	0.653
YDR536W	0.644
YEL037C	0.635
YDR471W	0.634
YFL027C	0.632
YDR535C	0.632
YFL030W	0.631
YFL034W	0.630
YEL042W	0.629
YER114C	0.628
YFL041W	0.625
YFL020C	0.624
YER134C	0.620
YER085C	0.619
YER090W	0.616
YER066W	0.615
YDR441C	0.612
YER140W	0.610
YER131W	0.610
YEL023C	0.607
YER065C	0.605
YER067C-A	0.603
YER113C	0.603
YDR506C	0.602
YDR540C	0.602
YDR446W	0.600
YEL008W	0.598
YER129W	0.597
YEL052W	0.596
YDR516C	0.596
YFR011C	0.594
YER067W	0.589
YDR528W	0.588
YER179W	0.586
YER087C-A	0.585
YDR447C	0.584
YFL042C	0.583
YER062C	0.582
YER132C	0.581
YFL019C	0.580
YER088C	0.576
YER041W	0.574
YER060W-A	0.571
YER054C	0.569
YFR009W	0.569
YER174C	0.567
YFR008W	0.567
YER158C	0.566
YDR436W	0.565
YER045C	0.564
YDR440W	0.563
YDR533C	0.562
YDR538W	0.561
YFL046W	0.560
YEL010W	0.557
YDR525W-A	0.554
YER185W	0.553
YER098W	0.552
YER078C	0.549
YDR492W	0.546
YEL017C-A	0.545
YER007C-A	0.543
YFL056C	0.542
YER048C	0.541
YFL015C	0.541
YFL043C	0.539
YFL040W	0.538
YER071C	0.538
YER056C	0.537
YER123W	0.536
YER039C-A	0.535
YDR525W	0.534
YER177W	0.533
YER027C	0.533
YER163C	0.532
YDR541C	0.531
YFL014W	0.531
YER052C	0.530
YFL018C	0.529
YER096W	0.528
YDR500C	0.527
YDR508C	0.526
YDR469W	0.526
YFL048C	0.525
YER064C	0.524
YER150W	0.524
YEL020C	0.521
YDR485C	0.520
YDR481C	0.519
YER046W-A	0.519
YEL048C	0.518
YDR512C	0.517
YDR517W	0.516
YDR480W	0.516
YER047C	0.516
YER186C	0.515
YDR428C	0.515
YER046W	0.515
YER001W	0.513
YER063W	0.513
YFL035C-B	0.512
YDR424C	0.511
YDR511W	0.511
YER061C	0.510
YFL051C	0.510
YFL011W	0.509
YDR520C	0.508
YER119C-A	0.508
YDR537C	0.507
YER051W	0.506
YDR497C	0.505
YEL066W	0.503
YER175C	0.503
YER066C-A	0.500
YER002W	0.500
YEL057C	0.500
YER038W-A	0.498
YER079W	0.498
YDR476C	0.497
YDR501W	0.496
YER057C	0.495
YEL004W	0.495
YDR430C	0.495
YDR474C	0.495
YDR467C	0.494
YDR519W	0.494
YDR505C	0.493
YEL064C	0.493
YER152C	0.492
YER005W	0.492
YFL026W	0.491
YER115C	0.491
YEL060C	0.491
YEL006W	0.490
YER004W	0.490
YFR006W	0.489
YER182W	0.487
YER019W	0.486
YDR491C	0.485
YFL049W	0.485
YER024W	0.485
