ORF	growth;nicotinamide, 120 mM
YGL160W	0.488
YGL159W	0.487
YGL109W	0.486
YFR046C	0.486
YGL051W	0.485
YGL053W	0.484
YGR118W	0.484
YGL259W	0.483
YGR037C	0.483
YGL007W	0.482
YGL195W	0.481
YGL196W	0.481
YGL228W	0.480
YGL138C	0.480
YGL179C	0.479
YGR153W	0.478
YGL021W	0.478
YGL060W	0.477
YGR133W	0.476
YGL015C	0.476
YGL014W	0.475
YGR131W	0.475
YGR001C	0.475
YGL032C	0.474
YFR031C-A	0.474
YGL058W	0.473
YGR132C	0.473
YGL085W	0.473
YGR059W	0.472
YGL009C	0.470
YGL139W	0.470
YGL180W	0.470
YGR039W	0.470
YGL248W	0.470
YGL222C	0.469
YFR038W	0.468
YGR142W	0.468
YGL158W	0.467
YGL263W	0.466
YGL249W	0.466
YGR126W	0.465
YGR004W	0.465
YGL017W	0.464
YFR048W	0.463
YFR032C	0.463
YGR137W	0.462
YGL062W	0.462
YGL176C	0.462
YGR014W	0.461
YGL126W	0.461
YFR030W	0.460
YFR057W	0.459
YGL141W	0.458
YGL121C	0.458
YGL165C	0.457
YGR043C	0.456
YGR149W	0.456
YGL089C	0.455
YGL257C	0.455
YGL262W	0.455
YGL039W	0.454
YGL224C	0.453
YGL146C	0.453
YGL164C	0.453
YGL082W	0.452
YGL067W	0.451
YGL027C	0.451
YFR024C-A	0.450
YGL083W	0.449
YGL036W	0.449
YGL004C	0.448
YGR078C	0.448
YGR135W	0.448
YGL242C	0.446
YFR021W	0.445
YGR033C	0.445
YGR052W	0.444
YGL023C	0.444
YFR035C	0.444
YGR017W	0.444
YGL136C	0.443
YGL131C	0.443
YGR108W	0.442
YGL203C	0.442
YGL161C	0.442
YGL108C	0.441
YGL177W	0.441
YGL028C	0.439
YFR015C	0.438
YGL125W	0.438
YGL046W	0.437
YGL010W	0.436
YGR070W	0.435
YGL157W	0.433
YGL170C	0.432
YFR020W	0.432
YGR161C	0.431
YGR121C	0.431
YGR151C	0.429
YGL041C	0.429
YGR088W	0.428
YGL114W	0.427
YGL217C	0.425
YGR042W	0.425
YGR010W	0.425
YGL199C	0.424
YGR086C	0.421
YGL256W	0.420
YGL147C	0.419
YGL251C	0.416
YFR054C	0.416
YGL214W	0.415
YGL227W	0.415
YFR019W	0.414
YFR017C	0.412
YGL231C	0.407
YGR107W	0.406
YGL236C	0.405
YGR084C	0.404
YGR053C	0.404
YFR014C	0.401
YGL241W	0.400
YGR023W	0.399
YGR026W	0.397
YGL260W	0.395
YGR069W	0.394
YGR109C	0.389
YGR019W	0.389
YGL050W	0.385
YGR134W	0.384
YGR066C	0.384
YGL090W	0.383
YGL229C	0.380
YGL250W	0.379
YGR041W	0.375
YGR106C	0.373
YGR157W	0.367
YGL221C	0.358
YFR055W	0.342
YGL084C	0.338
YGL213C	0.310
YGR049W	NaN
YGL115W	NaN
YGR101W	NaN
YHL025W	51.019
YHL031C	3.222
YGR188C	2.241
YHR025W	1.571
YHR116W	1.436
YGR229C	1.357
YIL040W	1.235
YHR041C	1.061
YIL008W	0.945
YGR250C	0.893
YHR012W	0.877
YHL033C	0.859
YGR208W	0.844
YIL023C	0.844
YHL023C	0.833
YHR081W	0.814
YIL010W	0.803
YHL029C	0.788
YHR124W	0.759
YGR200C	0.754
YIL049W	0.749
YHR191C	0.741
YHR150W	0.735
YHR031C	0.731
YGR239C	0.723
YHR146W	0.719
YHR073W	0.714
YHR171W	0.708
YIL017C	0.705
YHR004C	0.702
YHR111W	0.692
YGR210C	0.689
YGR166W	0.682
YHR030C	0.675
YHR015W	0.667
YHL047C	0.666
YIL035C	0.662
YIL034C	0.659
YHR178W	0.655
YHR108W	0.654
YGR260W	0.650
YIL036W	0.646
YHL021C	0.640
YIL050W	0.639
YHR032W	0.635
YHR017W	0.632
YHL037C	0.630
YHL005C	0.628
YGR206W	0.626
YHL046C	0.623
YHR151C	0.617
YHL027W	0.616
YHR033W	0.613
YGR213C	0.612
YHR135C	0.611
YGR168C	0.607
YHR115C	0.604
YGR209C	0.604
YHR206W	0.603
YHR167W	0.601
YGR223C	0.600
YGR261C	0.597
YGR268C	0.594
YHR129C	0.594
YIL005W	0.592
YHR067W	0.591
YIL007C	0.590
YHR105W	0.588
YIL042C	0.587
YGR231C	0.586
YHR077C	0.585
YIL025C	0.584
YGR248W	0.582
YGR170W	0.579
YHR061C	0.577
YHR048W	0.575
YHL017W	0.572
YHR184W	0.572
YGR214W	0.571
YHR200W	0.570
YHR137W	0.569
YHL041W	0.567
YHR198C	0.566
YHR203C	0.565
YGR235C	0.565
YGR227W	0.564
YHL020C	0.563
YGR184C	0.562
YGR243W	0.560
YGR173W	0.559
YHR163W	0.556
YIL058W	0.556
YHR049W	0.554
YGR288W	0.554
YHR131C	0.554
YGR290W	0.552
YGR174C	0.550
YHR049C-A	0.549
YHR194W	0.548
YGR164W	0.547
YHL019C	0.545
YHR021W-A	0.545
YHR204W	0.544
YHR189W	0.543
YHR181W	0.543
YHR209W	0.542
YGR177C	0.540
YHR132C	0.538
YGR192C	0.537
YHR080C	0.537
YGR182C	0.536
YIL043C	0.535
YHR210C	0.534
YHR046C	0.534
YGR202C	0.533
YGR203W	0.531
YHL043W	0.531
YHR086W	0.530
YHR179W	0.528
YHR096C	0.527
YHR022C	0.527
YGR187C	0.526
YHR016C	0.525
YIL014W	0.525
YHR180W	0.525
YHR156C	0.524
YHR138C	0.522
YHL039W	0.521
YHR127W	0.520
YHR006W	0.519
YIL030C	0.519
YGR196C	0.518
YGR237C	0.517
YGR169C	0.516
YHR103W	0.515
YHR110W	0.515
YIL032C	0.515
YGR225W	0.514
YHR028C	0.514
YHR104W	0.512
YGR163W	0.512
YIL029C	0.511
YGR224W	0.508
YIL047C	0.508
YIL053W	0.508
YHR143W	0.507
YHL006C	0.506
YGR238C	0.505
YHR037W	0.505
YGR270W	0.503
YIL045W	0.503
YGR207C	0.502
YIL037C	0.502
YGR189C	0.502
YIL001W	0.501
YHL036W	0.501
YHR152W	0.500
YHR014W	0.499
YGR286C	0.499
YIL002C	0.497
YIL024C	0.496
YHR003C	0.495
YHR079C	0.494
YIL056W	0.492
YHR097C	0.492
YGR236C	0.492
YHL016C	0.491
YHR035W	0.490
YHR112C	0.490
YGR279C	0.488
YHR076W	0.487
YGR201C	0.484
YGR256W	0.484
YHR139C-A	0.483
YHR155W	0.482
YHL028W	0.482
YHR034C	0.481
YGR193C	0.481
YHR195W	0.479
YHL040C	0.478
YHR093W	0.477
YHR133C	0.477
YIL059C	0.477
YHL042W	0.476
YGR205W	0.476
YGR295C	0.475
YIL044C	0.474
YHR029C	0.474
YGR228W	0.474
YHL026C	0.472
YHR005C	0.472
YHR207C	0.472
YHR162W	0.471
YIL052C	0.471
YHR121W	0.470
YHL007C	0.470
YHR130C	0.469
YGR178C	0.469
YGR232W	0.468
YHR114W	0.468
YHR140W	0.468
YHR087W	0.467
YIL012W	0.466
YHL013C	0.465
YGR183C	0.465
YIL027C	0.464
YHR066W	0.464
YHR082C	0.463
YGR259C	0.462
YHR159W	0.461
YGR197C	0.460
YGR284C	0.460
YGR266W	0.458
YGR221C	0.458
YGR249W	0.457
YHR001W-A	0.456
YHR009C	0.456
YGR269W	0.455
YHR160C	0.455
YHR094C	0.454
YGR234W	0.454
YHR154W	0.453
YHR045W	0.453
YHR117W	0.452
YHR078W	0.451
YGR233C	0.450
YIL015C-A	0.450
YHR113W	0.449
YHR157W	0.448
YHR059W	0.447
YHR202W	0.446
YHR139C	0.446
YHR142W	0.445
YHL003C	0.444
YIL057C	0.443
YGR263C	0.441
YGR247W	0.441
YHL002W	0.439
YHR185C	0.438
YHR018C	0.437
YHR161C	0.436
YHR132W-A	0.435
YHR021C	0.433
YHR176W	0.432
YGR242W	0.431
YGR275W	0.430
YHR153C	0.430
YHR079C-B	0.428
YIL028W	0.426
YHL032C	0.424
YIL015W	0.423
YGR241C	0.423
YHL009C	0.422
YHL030W	0.422
YHL044W	0.421
YHR199C	0.420
YGR283C	0.419
YHR043C	0.417
YHL010C	0.416
YIL039W	0.414
YGR217W	0.410
YHR158C	0.409
YHR136C	0.408
YHL008C	0.406
YGR282C	0.405
YHL034C	0.403
YIL009C-A	0.403
YHL012W	0.401
YGR176W	0.400
YIL055C	0.399
YIL013C	0.398
YHR044C	0.397
YHR134W	0.396
YGR281W	0.395
YGR194C	0.393
YGR287C	0.391
YIL016W	0.389
YHR126C	0.387
YGR244C	0.383
YIL041W	0.380
YHR039C	0.378
YHR123W	0.378
YHR182W	0.377
YHL035C	0.376
YHR057C	0.375
YGR199W	0.374
YHR125W	0.372
YHL024W	0.369
YHR047C	0.368
YHL045W	0.367
YGR212W	0.365
YGR230W	0.363
YIL006W	0.358
YHR109W	0.354
YHR050W	0.348
YIL038C	0.347
YHR193C	0.341
YHR106W	0.334
YHL022C	0.325
YHR092C	0.315
YHR075C	0.311
YHR095W	0.307
YHL014C	0.295
YGR181W	0.287
YGR226C	0.283
YIL020C	0.261
YIL054W	0.237
YIL011W	0.212
YJL121C	3.287
YJL155C	2.988
YJR074W	2.757
YJL175W	2.305
YIR002C	2.079
YJR043C	1.906
YJL036W	1.536
YJL124C	1.375
YJL062W	1.301
YJL172W	1.275
YJR075W	1.209
YJL070C	1.201
YJL004C	1.116
YJR033C	1.061
YJL045W	1.032
YJL141C	0.979
YJR025C	0.961
YIL097W	0.837
YIL153W	0.815
YJR088C	0.812
YJL053W	0.788
YIL162W	0.782
YJR010C-A	0.755
YJL139C	0.748
YJR091C	0.733
YJL210W	0.730
YJL153C	0.728
YIL154C	0.724
YIL128W	0.719
YJR084W	0.717
YIR023W	0.716
YJR058C	0.707
YIR018W	0.701
YIL086C	0.696
YJR069C	0.695
YJL123C	0.690
YJL071W	0.688
YJR040W	0.686
YJL151C	0.681
YIR016W	0.671
YJR020W	0.666
YIL160C	0.662
YIL087C	0.660
YJL206C	0.659
YJL068C	0.652
YJL023C	0.648
YJL098W	0.648
YJL135W	0.647
YIR007W	0.644
YJR095W	0.642
YIL155C	0.640
YIL101C	0.637
YJL013C	0.634
YIL099W	0.633
YJL131C	0.633
YJL178C	0.631
YIL073C	0.626
YJR032W	0.625
YJR048W	0.623
YJL212C	0.622
YJR087W	0.621
YJL147C	0.620
YJL078C	0.617
YJL037W	0.615
YJL016W	0.615
YJL065C	0.614
YJL204C	0.613
YJL193W	0.612
YJR082C	0.610
YJL007C	0.607
YIR001C	0.607
YJR059W	0.606
YJL160C	0.604
YIR028W	0.602
YIL093C	0.601
YJL142C	0.600
YJR073C	0.600
YIL132C	0.597
YIL077C	0.597
YIL064W	0.596
YJL049W	0.594
YIL168W	0.592
YJL038C	0.590
YJL211C	0.588
YIL067C	0.586
YJL159W	0.585
YJL196C	0.583
YJL099W	0.579
YJL198W	0.575
YIR025W	0.573
YJL042W	0.570
YIL152W	0.570
YIL076W	0.569
YJR094W-A	0.567
YJL165C	0.566
YJR062C	0.564
YJL084C	0.562
YJL138C	0.562
YIL065C	0.560
YJL192C	0.558
YJL182C	0.558
YJR015W	0.556
YJL126W	0.555
YIL166C	0.554
YJR083C	0.554
YJL021C	0.552
YIR017C	0.551
YIR029W	0.551
YJR078W	0.550
YIR042C	0.549
YJL186W	0.547
YIL095W	0.546
YIL096C	0.543
YJR037W	0.543
YJL215C	0.539
YJL020C	0.538
YIR019C	0.537
YJL064W	0.536
YJR050W	0.535
YJL214W	0.535
YIL098C	0.535
YIR044C	0.534
YJR001W	0.531
YJL163C	0.530
YJL188C	0.529
YIL107C	0.528
YJL130C	0.527
YJR003C	0.527
YJL154C	0.525
YIL146C	0.524
YIR034C	0.524
YJL169W	0.523
YIL145C	0.523
YJL152W	0.522
YIL148W	0.521
YJL122W	0.520
YJL105W	0.517
YIL137C	0.517
YJL022W	0.514
YIL138C	0.514
YJL170C	0.513
YJL171C	0.513
YJL187C	0.512
YIR013C	0.512
YJR049C	0.512
YJL168C	0.510
YIL072W	0.508
YIL113W	0.506
YIL084C	0.505
YJL164C	0.504
YIR037W	0.503
YIL141W	0.503
YJR011C	0.502
YJR031C	0.502
YIL120W	0.501
YJL067W	0.500
YIL167W	0.498
YIR030C	0.498
YJL077C	0.497
YIL112W	0.496
YJR096W	0.495
YJL134W	0.494
YIL079C	0.493
YIL105C	0.490
YIL124W	0.489
YJR036C	0.489
YJL128C	0.488
YJR060W	0.486
YIR020W-B	0.486
YJL089W	0.486
YJL055W	0.486
YIL133C	0.486
YJL132W	0.485
YJL115W	0.484
YIL089W	0.484
YJL046W	0.483
YIL149C	0.483
YIL135C	0.481
YIR020C	0.480
YIR033W	0.479
YJR010W	0.476
YIR043C	0.475
YJL066C	0.475
YJL116C	0.474
YIL139C	0.473
YJL144W	0.472
YJL206C-A	0.471
YIL130W	0.470
YJL149W	0.469
YIL090W	0.469
YIL123W	0.468
YIL117C	0.468
YJL150W	0.467
YIL100W	0.467
YIR039C	0.466
YJL133W	0.465
YJL094C	0.464
YJR061W	0.464
YJL017W	0.463
YIL110W	0.462
YIL119C	0.461
YJR097W	0.460
YJR024C	0.459
YJL024C	0.457
YIL066C	0.457
YIR009W	0.456
YIR031C	0.456
YIR014W	0.456
YIL071C	0.455
YJR035W	0.455
YJL148W	0.454
YJL157C	0.454
YJL101C	0.453
YJR052W	0.453
YJR094C	0.452
YJL158C	0.452
YIL092W	0.450
YJL197W	0.449
YIR032C	0.448
YIL116W	0.447
YIR003W	0.447
YIL140W	0.446
YJL185C	0.446
YIL170W	0.446
YJL137C	0.444
YIL060W	0.443
YJL100W	0.442
YIR038C	0.442
YJR080C	0.441
YJL207C	0.440
YJR070C	0.439
YIR027C	0.439
YIL156W	0.437
YJL044C	0.437
YJL027C	0.437
YJL108C	0.436
YJL095W	0.436
YJL110C	0.435
YJR030C	0.435
YJL199C	0.433
YJL213W	0.432
YJR099W	0.431
YJR051W	0.430
YJL136C	0.430
YJR021C	0.429
YJR014W	0.428
YJR090C	0.428
YJL043W	0.427
YJL057C	0.427
YJL146W	0.426
YIL164C	0.425
YJL181W	0.424
YJR053W	0.420
YIL134W	0.419
YIL114C	0.419
YIR035C	0.418
YJR026W	0.415
YJR009C	0.415
YJL208C	0.413
YJR054W	0.413
YIL163C	0.412
YJL191W	0.410
YJL162C	0.409
YJL051W	0.407
YJL190C	0.406
YJL030W	0.406
YJR079W	0.405
YJL047C	0.404
YJL201W	0.403
YIR024C	0.402
YJL161W	0.400
YJL028W	0.399
YJR077C	0.398
YJL176C	0.396
YJR092W	0.396
YIL159W	0.395
YIL070C	0.393
YJL183W	0.392
YIL157C	0.391
YJR047C	0.391
YJR019C	0.390
YIL108W	0.389
YJR005W	0.385
YJL073W	0.385
YJR098C	0.384
YJR008W	0.381
YJR038C	0.377
YIL103W	0.374
YJL112W	0.372
YJL060W	0.371
YIR036C	0.369
YJL058C	0.368
YJL083W	0.364
YJL093C	0.364
YJL012C	0.362
YJL145W	0.358
YJL216C	0.354
YJL218W	0.351
YIL165C	0.344
YJL217W	0.344
YIL088C	0.342
YJL048C	0.340
YIL074C	0.338
YIR005W	0.333
YJL059W	0.325
YIL173W	0.298
YJL088W	0.289
YIL161W	NaN
YKL212W	Inf
YKR001C	237.373
YLL006W	20.211
YKR046C	3.198
YKR027W	3.172
YKL113C	2.482
YKR020W	2.250
YKL176C	1.853
YKR055W	1.345
YKR053C	1.227
YJR131W	1.161
YJR119C	1.107
YJR107W	1.072
YLL040C	1.041
YKL031W	1.009
YLL029W	0.942
YKL127W	0.936
YKL110C	0.926
YJR150C	0.885
YKR082W	0.871
YKR019C	0.861
YKR036C	0.857
YKR029C	0.851
YKL073W	0.826
YKR028W	0.821
YKL046C	0.805
YKL009W	0.783
YKL220C	0.750
YKL041W	0.745
YKL129C	0.741
YKL140W	0.735
YKL030W	0.727
YKR024C	0.719
YKL051W	0.713
YJR118C	0.707
YJR110W	0.696
YJR133W	0.694
YKL204W	0.688
YKL094W	0.686
YJR140C	0.682
YKR095W	0.671
YLL007C	0.668
YKR093W	0.668
YKL085W	0.666
YKL139W	0.663
YKR010C	0.660
YKR030W	0.651
YKR035W-A	0.633
YKR097W	0.628
YKR041W	0.623
YKL157W	0.619
YKL199C	0.617
YJR126C	0.615
YKL069W	0.613
YKR098C	0.610
YJR109C	0.555
YKL114C	0.606
YKR026C	0.604
YKL115C	0.602
YKL162C	0.601
YLL039C	0.600
YKR064W	0.598
YKR023W	0.596
YKR007W	0.596
YKL177W	0.595
YKL168C	0.594
YKL211C	0.593
YKR058W	0.592
YKL096W	0.591
YKL033W-A	0.587
YKR056W	0.586
YKL174C	0.584
YLL045C	0.581
YLL014W	0.577
YJR129C	0.576
YKL093W	0.575
YLL028W	0.573
YKL074C	0.570
YKL130C	0.569
YKR050W	0.568
YKR091W	0.567
YJR139C	0.567
YKR052C	0.564
YKL197C	0.564
YKR018C	0.563
YKL202W	0.560
YKL214C	0.560
YKR003W	0.558
YKR034W	0.555
YKL213C	0.554
YKL071W	0.554
YKL178C	0.553
YKL222C	0.552
YLL042C	0.552
YKL068W	0.550
YKL218C	0.549
YKR065C	0.548
YKR035C	0.546
YLL002W	0.545
YJR128W	0.544
YKR040C	0.543
YKL217W	0.540
YKR094C	0.540
YKL117W	0.539
YKL034W	0.538
YJR145C	0.537
YKL160W	0.535
YKL006W	0.535
YKL116C	0.534
YKR059W	0.533
YLL010C	0.532
YKL101W	0.532
YKL198C	0.532
YKL010C	0.531
YKL079W	0.530
YKL097C	0.529
YKR045C	0.529
YKL066W	0.527
YKL146W	0.526
YLL005C	0.526
YLL012W	0.526
YKR072C	0.524
YKL216W	0.523
YKL123W	0.523
YKL215C	0.523
YKL017C	0.520
YKL077W	0.520
YLL043W	0.519
YKL205W	0.519
YKR066C	0.519
YKR061W	0.518
YKR033C	0.516
YJR117W	0.515
YJR115W	0.515
YKR054C	0.513
YJR130C	0.513
YKL075C	0.512
YKL201C	0.511
YJR116W	0.510
YKL131W	0.509
YKL107W	0.509
YJR135C	0.507
YJR152W	0.506
YJR142W	0.506
YKL120W	0.505
YKR031C	0.505
YKL053W	0.505
YKL124W	0.504
YKL086W	0.503
YKL023W	0.503
YKR089C	0.502
YKL007W	0.501
YKL166C	0.499
YJR111C	0.499
YKL044W	0.497
YKL040C	0.497
YJR124C	0.495
YKL156W	0.494
YJR147W	0.493
YKR051W	0.491
YKL142W	0.490
YKL026C	0.489
YKL163W	0.489
YKL065C	0.489
YKL084W	0.488
YKL132C	0.486
YKL161C	0.486
YLL017W	0.486
YKL063C	0.485
YKL008C	0.484
YLL021W	0.484
YKL096W-A	0.484
YKL050C	0.483
YKL025C	0.482
YKL151C	0.481
YJR149W	0.480
YKL072W	0.480
YKL081W	0.480
YKL136W	0.479
YKR076W	0.478
YKL055C	0.477
YKL128C	0.476
YKL158W	0.476
YLL015W	0.475
YKL061W	0.475
YLL013C	0.474
YLL026W	0.473
YKL185W	0.473
YKL098W	0.473
YKR088C	0.472
YKL183W	0.471
YKL032C	0.471
YKR057W	0.471
YKL039W	0.471
YKR049C	0.470
YKL105C	0.470
YKL207W	0.469
YJR121W	0.468
YKL133C	0.468
YKL187C	0.467
YKL076C	0.466
YKL029C	0.465
YKR011C	0.465
YKR043C	0.464
YKL148C	0.464
YKL067W	0.464
YKR092C	0.463
YJR137C	0.463
YLL038C	0.463
YKR103W	0.463
YKL027W	0.462
YJR108W	0.461
YKR067W	0.461
YLL016W	0.461
YKR016W	0.461
YKL150W	0.460
YKL005C	0.460
YKL191W	0.460
YKR069W	0.459
YLL020C	0.459
YKL221W	0.459
YKL062W	0.458
YKL070W	0.457
YJR127C	0.457
YLL025W	0.457
YKR014C	0.456
YKR087C	0.455
YKR070W	0.454
YLL023C	0.454
YJR103W	0.453
YKL175W	0.453
YKL147C	0.452
YKR106W	0.452
YKL179C	0.452
YLL001W	0.451
YKL048C	0.451
YKR039W	0.451
YKR084C	0.449
YKR074W	0.449
YKL100C	0.449
YLL024C	0.446
YKL047W	0.446
YKL167C	0.445
YKR100C	0.445
YKL064W	0.445
YKL038W	0.444
YKL149C	0.443
YKR080W	0.442
YKL121W	0.441
YKL109W	0.441
YLL041C	0.441
YJR154W	0.440
YKR090W	0.437
YKL190W	0.436
YLL019C	0.435
YKR044W	0.435
YKL090W	0.434
YLL044W	0.434
YKR096W	0.432
YKR032W	0.431
YKR009C	0.430
YKL037W	0.430
YKR012C	0.429
YKL056C	0.428
YKR102W	0.428
YJR153W	0.427
YKL159C	0.427
YKR099W	0.426
YKL106W	0.425
YKL184W	0.424
YKL137W	0.423
YKR060W	0.423
YKL102C	0.422
YKL200C	0.422
YLL032C	0.421
YKR078W	0.420
YKL091C	0.419
YKR042W	0.419
YKR005C	0.418
YKL043W	0.417
YKR101W	0.415
YKR048C	0.415
YKR021W	0.411
YJR120W	0.408
YKR047W	0.408
YKL171W	0.406
YJR106W	0.404
YJR148W	0.403
YJR125C	0.400
YKR017C	0.397
YKL015W	0.394
YKL020C	0.394
YJR100C	0.393
YJR134C	0.388
YKL103C	0.386
YKR013W	0.382
YKL188C	0.379
YKL092C	0.374
YKL208W	0.370
YKR105C	0.368
YKL206C	0.366
YKL053C-A	0.362
YKL001C	0.361
YKL164C	0.356
YKR015C	0.339
YJR146W	0.324
YKR077W	0.300
YLL009C	NaN
YLR372W	3.292
YLR337C	2.987
YLR357W	2.621
YLR182W	2.465
YLR262C	2.208
YLR261C	2.061
YLR039C	1.661
YLR234W	1.604
YLR055C	1.448
YLR056W	1.321
YLR192C	1.134
YLR135W	1.038
YLR402W	0.957
YLR015W	0.930
YLR177W	0.905
YLR235C	0.836
YLR284C	0.784
YLR032W	0.781
YLR228C	0.767
YLR094C	0.757
YLR210W	0.731
YLR343W	0.730
YLR095C	0.727
YLR042C	0.719
YLR049C	0.715
YLR048W	0.714
YLR059C	0.704
YLR394W	0.698
YLR352W	0.688
YLR043C	0.687
YLR064W	0.687
YLL054C	0.681
YLR142W	0.676
YLR242C	0.668
YLR164W	0.665
YLR338W	0.664
YLR324W	0.661
YLR120C	0.660
YLR114C	0.656
YLR180W	0.653
YLR253W	0.648
YLR063W	0.647
YLL055W	0.646
YLR390W-A	0.645
YLR035C	0.641
YLR366W	0.640
YLR003C	0.634
YLR014C	0.634
YLR286C	0.630
YLR079W	0.623
YLR037C	0.622
YLR381W	0.621
YLR371W	0.619
YLR251W	0.613
YLR233C	0.610
YLR273C	0.609
YLR085C	0.607
YLR386W	0.607
YLR410W	0.605
YLR412W	0.604
YLR330W	0.603
YLR038C	0.602
YLR072W	0.602
YLR080W	0.599
YLR170C	0.597
YLR020C	0.594
YLR297W	0.594
YLR110C	0.590
YLR361C	0.587
YLR247C	0.583
YLR047C	0.582
YLR370C	0.577
YLR258W	0.576
YLR268W	0.573
YLR407W	0.573
YLR414C	0.571
YLR185W	0.571
YLL058W	0.569
YLR385C	0.568
YLR214W	0.567
YLR054C	0.566
YLR172C	0.564
YLR360W	0.561
YLL057C	0.561
YLR023C	0.559
YLR312C	0.558
YLR285W	0.557
YLR024C	0.556
YLR053C	0.556
YLR282C	0.554
YLR325C	0.554
YLR373C	0.553
YLR376C	0.552
YLR408C	0.551
YLR169W	0.551
YLR090W	0.550
YLR011W	0.549
YLR267W	0.549
YLR319C	0.548
YLR250W	0.548
YLR001C	0.547
YLR326W	0.546
YLL060C	0.545
YLR154C	0.545
YLR173W	0.543
YLR404W	0.542
YLR176C	0.541
YLR073C	0.540
YLR187W	0.539
YLR265C	0.538
YLR401C	0.538
YLR006C	0.537
YLR315W	0.537
YLR389C	0.536
YLR126C	0.535
YLR237W	0.534
YLR097C	0.533
YLR374C	0.531
YLR231C	0.528
YLR098C	0.528
YLR300W	0.527
YLL061W	0.527
YLR200W	0.526
YLR341W	0.525
YLR335W	0.525
YLL062C	0.524
YLR329W	0.523
YLR070C	0.522
YLR084C	0.522
YLR303W	0.521
YLR046C	0.520
YLR136C	0.519
YLR219W	0.518
YLR119W	0.518
YLR348C	0.517
YLR398C	0.516
YLR263W	0.516
YLR118C	0.515
YLR050C	0.515
YLR107W	0.514
YLR133W	0.513
YLL046C	0.513
YLR113W	0.513
YLR189C	0.512
YLR362W	0.511
YLR363C	0.510
YLR122C	0.509
YLR013W	0.509
YLR143W	0.509
YLR334C	0.508
YLR351C	0.507
YLR254C	0.507
YLR309C	0.506
YLR125W	0.506
YLR318W	0.505
YLR377C	0.504
YLR236C	0.503
YLR019W	0.503
YLR061W	0.502
YLR087C	0.502
YLR232W	0.502
YLR344W	0.501
YLR017W	0.500
YLR146C	0.498
YLR391W	0.498
YLR082C	0.497
YLL049W	0.496
YLR183C	0.495
YLL051C	0.495
YLR283W	0.494
YLR152C	0.493
YLR287C	0.493
YLR077W	0.492
YLL056C	0.491
YLR221C	0.490
YLR211C	0.489
YLR281C	0.489
YLR004C	0.487
YLR255C	0.486
YLR112W	0.486
YLR380W	0.485
YLR313C	0.485
YLR393W	0.484
YLR109W	0.483
YLR280C	0.482
YLR058C	0.481
YLR016C	0.481
YLR216C	0.480
YLR034C	0.479
YLR124W	0.478
YLR128W	0.478
YLR246W	0.477
YLR299W	0.476
YLR111W	0.475
YLR205C	0.475
YLR345W	0.475
YLR123C	0.474
YLL059C	0.474
YLR199C	0.473
YLR174W	0.473
YLR350W	0.472
YLR104W	0.472
YLL047W	0.472
YLR364W	0.471
YLR311C	0.471
YLR218C	0.470
YLR257W	0.470
YLR217W	0.470
YLR406C	0.469
YLR290C	0.469
YLR144C	0.468
YLR191W	0.468
YLR365W	0.467
YLR262C-A	0.466
YLR194C	0.466
YLR209C	0.466
YLR224W	0.465
YLR241W	0.465
YLR138W	0.464
YLR137W	0.464
YLR239C	0.463
YLR149C	0.463
YLR269C	0.462
YLR266C	0.461
YLR342W	0.460
YLR028C	0.460
YLR356W	0.459
YLR134W	0.459
YLR036C	0.458
YLR121C	0.457
YLR294C	0.457
YLR400W	0.457
YLR271W	0.456
YLR220W	0.456
YLR354C	0.456
YLR040C	0.455
YLR099C	0.455
YLR289W	0.455
YLR102C	0.455
YLR328W	0.454
YLR353W	0.454
YLR225C	0.453
YLR248W	0.453
YLR018C	0.452
YLL053C	0.451
YLR327C	0.450
YLL052C	0.450
YLR096W	0.448
YLR130C	0.447
YLR349W	0.447
YLR171W	0.446
YLR287C-A	0.445
YLR346C	0.445
YLR390W	0.445
YLR190W	0.444
YLR188W	0.443
YLR278C	0.442
YLR387C	0.441
YLR062C	0.441
YLR307W	0.440
YLL063C	0.438
YLR292C	0.437
YLR150W	0.436
YLR368W	0.436
YLR093C	0.435
YLR388W	0.434
YLR108C	0.434
YLR375W	0.431
YLR405W	0.431
YLR206W	0.429
YLR213C	0.429
YLR091W	0.429
YLL048C	0.428
YLR264W	0.427
YLR165C	0.427
YLR392C	0.426
YLR207W	0.425
YLR030W	0.424
YLR193C	0.423
YLR092W	0.422
YLR413W	0.420
YLR395C	0.418
YLR012C	0.417
YLR296W	0.416
YLR021W	0.416
YLR168C	0.415
YLR083C	0.413
YLR179C	0.412
YLR081W	0.411
YLR178C	0.410
YLR057W	0.409
YLR320W	0.407
YLR332W	0.404
YLR041W	0.402
YLR089C	0.402
YLR367W	0.401
YLR333C	0.400
YLR181C	0.399
YLR252W	0.398
YLR151C	0.393
YLR279W	0.389
YLR031W	0.386
YLR306W	0.379
YLR184W	0.364
YLR044C	0.355
YLR384C	0.341
YLR065C	0.332
YLR131C	0.310
YML008C	Inf
YMR104C	40.674
YML097C	7.626
YMR031W-A	4.549
YMR116C	2.954
YMR166C	2.815
YMR205C	2.286
YML096W	1.924
YML071C	1.728
YMR078C	1.417
YMR167W	1.256
YML001W	1.232
YLR455W	0.865
YMR202W	1.087
YML063W	1.077
YMR123W	1.050
YMR103C	1.000
YMR201C	0.943
