ORF	hap a | abundance of a specific protein/peptide (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | number of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | size of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | peroxisome inheritance | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | transport to/from peroxisomes (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010
YLR119W	-2.449	0.000	0.000	0.000	0.000
YML088W	0.205	0.000	0.000	0.000	0.000
YML087C	NaN	0.000	0.000	0.000	0.000
YLR120C	-1.629	0.000	0.000	0.000	0.000
YLR121C	1.524	0.000	0.000	0.000	0.000
YLR122C	0.435	0.000	0.000	0.000	0.000
YLR123C	-2.220	0.000	0.000	0.000	0.000
YLR124W	-2.181	0.000	0.000	0.000	0.000
YLR125W	-2.120	0.000	0.000	0.000	0.000
YML089C	-1.978	0.000	-1.000	0.000	0.000
YML060W	-0.223	0.000	0.000	0.000	0.000
YML059C	0.652	0.000	0.000	0.000	0.000
YML058W	0.154	0.000	0.000	0.000	0.000
YML063W	-1.297	0.000	0.000	0.000	0.000
YML062C	-1.518	0.000	0.000	0.000	0.000
YML057W	1.283	0.000	0.000	0.000	0.000
YML048W	0.209	0.000	0.000	0.000	0.000
YML047W-A	1.150	0.000	0.000	0.000	0.000
YML037C	0.636	0.000	0.000	0.000	0.000
YML057C-A	1.524	0.000	0.000	0.000	0.000
YML056C	0.458	0.000	0.000	0.000	0.000
YML055W	0.963	0.000	0.000	0.000	0.000
YML054C	0.843	0.000	0.000	0.000	0.000
YML053C	1.013	0.000	0.000	0.000	0.000
YML052W	0.488	0.000	0.000	0.000	0.000
YML051W	0.820	0.000	0.000	0.000	0.000
YML050W	0.583	0.000	0.000	0.000	0.000
YML034W	0.773	0.000	0.000	0.000	0.000
YML020W	0.685	0.000	0.000	0.000	0.000
YML019W	-0.054	0.000	0.000	0.000	0.000
YML018C	0.233	0.000	0.000	0.000	0.000
YML034C-A	0.599	0.000	0.000	0.000	0.000
YML030W	0.764	0.000	0.000	0.000	0.000
YML029W	0.700	0.000	0.000	0.000	0.000
YML028W	0.919	0.000	0.000	0.000	0.000
YML017W	0.253	0.000	0.000	0.000	0.000
YML008C	0.041	0.000	0.000	0.000	0.000
YML007W	-0.330	0.000	0.000	0.000	0.000
YML006C	-1.224	0.000	0.000	0.000	-0.500
YML016C	-0.757	0.000	0.000	0.000	0.000
YML014W	-1.824	0.000	-1.000	0.000	0.000
YML013W	-2.492	0.000	0.000	0.000	0.000
YML012C-A	-5.440	0.000	0.000	0.000	0.000
YML012W	0.317	0.000	0.000	0.000	0.000
YML011C	-0.132	0.000	0.000	0.000	0.000
YML009W-B	0.432	0.000	0.000	0.000	0.000
YML009C	-0.933	0.000	0.000	0.000	0.000
YML005W	-0.816	0.000	0.000	0.000	0.000
YMR009W	0.617	0.000	0.000	0.000	0.000
YMR010W	0.741	0.000	0.000	0.000	0.000
YMR011W	0.096	0.000	0.000	0.000	0.000
YML004C	-0.992	0.000	0.000	0.000	0.000
YML003W	-0.080	0.000	0.000	0.000	0.000
YML002W	0.670	0.000	0.000	0.000	0.000
YMR002W	-0.024	0.000	0.000	0.000	0.000
YMR003W	-0.192	0.000	0.000	0.000	0.000
YMR006C	-0.161	0.000	0.000	0.000	0.000
YMR007W	0.350	0.000	0.000	0.000	0.000
YMR008C	0.555	0.000	1.000	0.000	0.000
YMR012W	0.135	0.000	0.000	0.000	0.000
YMR024W	-0.419	0.000	0.000	0.000	0.000
YMR025W	0.401	0.000	0.000	0.000	0.000
YMR026C	0.190	0.000	0.000	0.000	-1.000
YMR016C	-2.823	0.000	0.000	0.000	0.000
YMR017W	0.385	0.000	0.000	0.000	0.000
YMR018W	0.444	0.000	0.000	0.000	0.000
YMR019W	0.540	0.000	0.000	0.000	0.000
YMR020W	0.523	0.000	0.000	0.000	0.000
YMR022W	0.876	0.000	0.000	0.000	0.000
YMR023C	0.116	0.000	0.000	0.000	0.000
YMR027W	0.286	0.000	0.000	0.000	0.000
YMR040W	0.270	0.000	0.000	0.000	0.000
YMR042W	-0.873	0.000	0.000	0.000	0.000
YMR029C	0.418	0.000	0.000	0.000	0.000
YMR030W	-0.105	0.000	0.000	0.000	0.000
YMR031W-A	-0.637	0.000	0.000	0.000	0.000
YMR031C	0.021	0.000	0.000	0.000	0.000
YMR032W	-4.520	0.000	0.000	0.000	0.000
YMR034C	0.333	0.000	0.000	0.000	0.000
YMR036C	0.302	1.000	0.000	0.000	0.000
YMR039C	0.505	0.000	0.000	0.000	0.000
YMR044W	0.368	0.000	0.000	0.000	0.000
YMR153W	-0.469	0.000	0.000	0.000	0.000
YMR153C-A	-0.002	0.000	0.000	0.000	0.000
YMR155W	0.171	0.000	0.000	0.000	0.000
YMR140W	-0.288	0.000	0.000	0.000	0.000
YMR141C	-0.517	0.000	0.000	0.000	0.000
YMR144W	-0.577	0.000	0.000	0.000	0.000
YMR145C	-1.041	0.000	0.000	0.000	0.000
YMR147W	-0.372	0.000	0.000	0.000	0.000
YMR148W	0.059	0.000	0.000	0.000	0.000
YMR156C	0.669	0.000	0.000	0.000	0.000
YMR164C	0.074	0.000	0.000	0.000	0.000
YMR166C	0.165	0.000	0.000	0.000	0.000
YMR167W	0.713	0.000	0.000	0.000	0.000
YMR157C	0.400	0.000	0.000	0.000	0.000
YMR158W-B	0.384	0.000	0.000	0.000	0.000
YMR159C	0.429	0.000	0.000	0.000	0.000
YMR160W	0.856	0.000	0.000	0.000	0.000
YMR161W	0.976	0.000	0.000	0.000	0.000
YMR162C	0.734	0.000	0.000	0.000	0.000
YMR163C	0.276	0.000	0.000	0.000	0.000
YMR169C	0.559	0.000	0.000	0.000	0.000
YMR180C	0.481	0.000	0.000	0.000	0.000
YMR182C	0.148	0.000	0.000	0.000	0.000
YMR170C	0.601	0.000	0.000	0.000	0.000
YMR172C-A	-1.634	0.000	0.000	0.000	0.000
YMR173W-A	0.683	0.000	0.000	0.000	0.000
YMR174C	0.933	0.000	0.000	0.000	0.000
YMR175W	-5.146	0.000	0.000	0.000	0.000
YMR176W	1.291	0.000	0.000	0.000	0.000
YMR177W	-2.896	0.000	0.000	0.000	0.000
YMR178W	0.810	0.000	0.000	0.000	0.000
YMR183C	0.755	0.000	0.000	0.000	0.000
YMR194W	0.042	0.000	0.000	0.000	0.000
YMR193C-A	0.259	0.000	0.000	0.000	0.000
YMR195W	0.130	0.000	0.000	0.000	0.000
YMR184W	0.586	0.000	0.000	0.000	0.000
YMR185W	0.619	0.000	0.000	0.000	0.000
YMR186W	0.182	0.000	0.000	0.000	0.000
YMR187C	0.290	-1.000	0.000	0.000	0.000
YMR188C	NaN	0.000	0.000	0.000	0.000
YMR189W	-5.027	0.000	0.000	0.000	0.000
YMR192W	-0.073	0.000	0.000	0.000	0.000
YMR196W	-2.116	0.000	0.000	0.000	0.000
YMR210W	-2.510	0.000	0.000	-1.000	0.000
YMR214W	-4.448	0.000	0.000	0.000	0.000
YMR215W	0.467	0.000	0.000	0.000	0.000
YMR199W	-5.007	0.000	0.000	0.000	0.000
YMR201C	0.113	0.000	0.000	0.000	0.000
YMR204C	1.159	0.000	0.000	-1.000	0.000
YMR206W	1.025	0.000	0.000	0.000	0.000
YMR206C	0.242	0.000	0.000	-1.000	0.000
YMR232W	0.546	0.000	0.000	0.000	0.000
YMR233W	0.440	0.000	0.000	0.000	0.000
YMR234W	0.497	0.000	0.000	0.000	0.000
YMR219W	0.221	0.000	0.000	0.000	0.000
YMR221C	-4.946	0.000	0.000	0.000	-1.000
YMR222C	-4.599	0.000	0.000	0.000	0.000
YMR223W	0.573	0.000	0.000	0.000	0.000
YMR225C	1.524	0.000	0.000	0.000	0.000
YMR226C	-4.845	0.000	0.000	0.000	0.000
YMR237W	0.697	0.000	0.000	0.000	0.000
YMR247C	-4.938	0.000	0.000	0.000	0.000
YMR250W	-4.701	0.000	0.000	0.000	0.000
YMR251W	0.368	0.000	0.000	0.000	0.000
YMR238W	-4.964	0.000	0.000	0.000	0.000
YMR241W	0.453	0.000	0.000	0.000	0.000
YMR242C	1.084	0.000	0.000	0.000	0.000
YMR243C	0.306	0.000	0.000	0.000	0.000
YMR244W	-5.097	0.000	0.000	0.000	-1.000
YMR245W	-4.930	0.000	0.000	0.000	-1.000
YMR244C-A	-4.836	0.000	0.000	0.000	-1.000
YMR246W	-5.045	0.000	0.000	0.000	0.000
YMR251W-A	-4.887	0.000	0.000	0.000	-1.000
YMR263W	-0.047	0.000	0.000	0.000	0.000
YMR264W	0.415	0.000	0.000	0.000	0.000
YMR265C	0.351	0.000	0.000	0.000	0.000
YMR252C	0.530	0.000	0.000	0.000	0.000
YMR253C	-4.870	0.000	0.000	0.000	0.000
YMR254C	0.892	0.000	0.000	0.000	0.000
YMR255W	0.513	0.000	0.000	0.000	0.000
YMR258C	0.783	0.000	0.000	0.000	0.000
YMR259C	-4.895	0.000	0.000	0.000	0.000
YMR262W	-4.687	0.000	0.000	0.000	0.000
YMR283C	-4.493	0.000	0.000	0.000	0.000
YMR284W	0.320	0.000	0.000	0.000	0.000
YMR285C	0.200	0.000	0.000	0.000	0.000
YMR272C	-0.574	0.000	0.000	0.000	0.000
YMR273C	-5.067	0.000	0.000	0.000	0.000
YMR274C	-5.132	0.000	0.000	0.000	0.000
YMR275C	0.058	0.000	0.000	0.000	0.000
YMR276W	0.831	0.000	0.000	0.000	0.000
YMR278W	0.652	0.000	0.000	0.000	0.000
YMR280C	0.636	0.000	0.000	0.000	0.000
YMR289W	0.222	0.000	0.000	-1.000	0.000
YMR300C	-2.108	0.000	0.000	0.000	-1.000
YMR303C	0.918	0.000	0.000	0.000	0.000
YMR292W	-0.663	0.000	0.000	0.000	0.000
YMR295C	0.476	0.000	0.000	0.000	0.000
YMR299C	0.249	0.000	0.000	0.000	0.000
YNL335W	0.611	0.000	0.000	0.000	0.000
YNL334C	0.459	0.000	0.000	0.000	0.000
