orf	hap a | abundance of a specific protein/peptide (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | number of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | size of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | peroxisome inheritance | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | transport to/from peroxisomes (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010
YAL012W	1.0828801025400305	0.0	0.0	0.0	0.0
YAL024C	0.1199740552881189	0.0	0.0	0.0	0.0
YAL027W	0.08083107685664274	-1.0	0.0	0.0	0.0
YAL039C	0.22886426010778443	0.0	0.0	0.0	0.0
YAL064C-A	0.4881313497789117	0.0	0.0	0.0	0.0
YAR050W	0.7528512392442841	0.0	0.0	-1.0	0.0
YBL001C	0.31853933295848313	0.0	0.0	0.0	0.0
YBL002W	0.4775301522783817	0.0	0.0	0.0	0.0
YBL003C	0.2315214419956074	0.0	0.0	0.0	0.0
YBL005W	0.5759329466701484	0.0	0.0	0.0	0.0
YBL006C	-1.1376162158996204	0.0	0.0	0.0	0.0
YBL007C	-0.5610010048788204	0.0	0.0	0.0	0.0
YBL008W	-0.2720834767777514	0.0	0.0	0.0	0.0
YBL009W	0.4476023534781086	0.0	0.0	0.0	0.0
YBL010C	0.4344155133174481	0.0	0.0	0.0	0.0
YBL012C	0.38776929082940553	0.0	0.0	0.0	0.0
YBL013W	-0.40215741938988103	0.0	0.0	0.0	0.0
YBL015W	0.053670630249044976	0.0	0.0	0.0	0.0
YBL016W	-0.31327122049848105	0.0	0.0	0.0	0.0
YBL017C	0.07119467399949864	0.0	0.0	0.0	0.0
YBL019W	-0.24039235522285465	0.0	0.0	0.0	0.0
YBL021C	-0.5017802678863411	0.0	0.0	0.0	0.0
YBL022C	-1.084847876870958	0.0	0.0	0.0	0.0
YBL024W	0.7114483432569939	0.0	0.0	0.0	0.0
YBL027W	-0.9867243446528396	0.0	0.0	0.0	0.0
YBL028C	-0.09036123075458902	0.0	0.0	0.0	0.0
YBL029W	-0.17663093172422073	0.0	0.0	0.0	0.0
YBL037W	0.3522002423800788	0.0	0.0	0.0	0.0
YBL039C	-0.4529725905031663	0.0	0.0	0.0	0.0
YBL042C	-0.3568442636136689	0.0	0.0	0.0	0.0
YBL043W	1.524271430050818	0.0	0.0	0.0	0.0
YBL047C	-0.8061776696747924	0.0	0.0	0.0	0.0
YBL048W	0.6799326826666269	0.0	0.0	0.0	0.0
YBL049W	0.5909010376604809	0.0	0.0	0.0	0.0
YBL051C	-0.7429665403880652	0.0	0.0	0.0	0.0
YBL052C	0.8386839626062682	0.0	0.0	0.0	0.0
YBL054W	1.0074932352326598	0.0	0.0	0.0	0.0
YBL055C	0.8151941019574575	0.0	0.0	0.0	0.0
YBL056W	-0.17625144005488264	0.0	0.0	0.0	0.0
YBL059W	-0.04224970237269857	0.0	0.0	0.0	0.0
YBL060W	-0.5337618694565709	0.0	0.0	0.0	0.0
YBL061C	0.02865832727268879	0.0	0.0	0.0	0.0
YBL063W	0.4284706874699897	0.0	0.0	0.0	0.0
YBL064C	0.10065807055211203	0.0	0.0	0.0	0.0
YBL065W	-0.11847132334716712	0.0	0.0	0.0	0.0
YBL066C	-0.824684216798077	0.0	0.0	0.0	0.0
YBL067C	0.8478038765778683	0.0	0.0	0.0	0.0
YBL068W	0.6603199632198601	0.0	0.0	0.0	0.0
YBL069W	0.4829388138294135	0.0	0.0	0.0	0.0
YBL070C	0.11990323471381636	0.0	0.0	0.0	0.0
YBL071C	-1.7014788663031362	0.0	0.0	0.0	0.0
YBL072C	-1.5129821890742623	0.0	0.0	0.0	0.0
YBL075C	0.6423724719980497	0.0	0.0	0.0	0.0
YBL078C	0.1380284257536376	0.0	0.0	0.0	0.0
YBL079W	-1.5445713325840331	0.0	0.0	0.0	0.0
YBL083C	-2.014010528403801	0.0	0.0	0.0	0.0
YBL085W	0.6764696604537476	0.0	0.0	0.0	0.0
YBL086C	0.9254405919194417	0.0	0.0	0.0	0.0
YBL087C	-1.4967158872246134	0.0	0.0	0.0	0.0
YBL088C	-0.4831440545684176				
YBL089W	1.1535941409215322	0.0	0.0	0.0	0.0
YBL091C	0.17343456987337058	0.0	0.0	0.0	0.0
YBL091C-A	1.0736941781664673	0.0	0.0	0.0	0.0
YBL093C	-1.1007708878254057	0.0	0.0	0.0	0.0
YBL094C	0.8251927385510217	0.0	0.0	0.0	0.0
YBL095W	0.5061597214363973	0.0	0.0	0.0	0.0
YBL096C	-0.056480739100008996	0.0	0.0	0.0	0.0
YBL098W	1.0045533555060273	0.0	0.0	0.0	0.0
YBL101C	-0.8602759960559297	0.0	0.0	0.0	0.0
YBL102W	-0.9221078833714502	0.0	0.0	0.0	0.0
YBL103C	-1.0366422511513673	0.0	0.0	0.0	0.0
YBL104C	-0.49477294319889437	0.0	0.0	0.0	0.0
YBL106C	0.24234912920776985	0.0	0.0	0.0	0.0
YBL107C	0.6411785969677188	0.0	0.0	0.0	0.0
YBR001C	-0.44459008728688143	0.0	0.0	0.0	0.0
YBR005W	0.3977084609081926	0.0	0.0	0.0	0.0
YBR006W	-2.668934940336963	0.0	0.0	0.0	0.0
YBR007C	0.10916838442662122	0.0	0.0	0.0	0.0
YBR008C	0.19499901647145984	0.0	0.0	0.0	0.0
YBR009C	-0.6199950515393674	0.0	0.0	0.0	0.0
YBR010W	-0.3753101123361453	0.0	0.0	0.0	0.0
YBR012C	0.6863523886702751	0.0	0.0	0.0	0.0
YBR013C	0.5773872400724399	0.0	0.0	0.0	0.0
YBR014C	0.16124316491970386	0.0	0.0	0.0	0.0
YBR015C	-1.2536009607243006	0.0	0.0	0.0	0.0
YBR016W	-0.20486800489942447	0.0	0.0	0.0	0.0
YBR018C	-0.9525887482634693	0.0	0.0	0.0	0.0
YBR019C	-0.23389093362887559	0.0	0.0	0.0	0.0
YBR020W	0.2729426648862595				
YBR021W	-1.5960661417984652	0.0	0.0	0.0	0.0
YBR022W	0.422496633850587	0.0	0.0	0.0	0.0
YBR023C	0.17752362640754676	0.0	0.0	0.0	0.0
YBR024W	0.6568455945832505	0.0	0.0	0.0	0.0
YBR025C	-1.2885889182077641	0.0	0.0	0.0	0.0
YBR026C	-1.4702692664502084	0.0	0.0	0.0	0.0
YBR027C	0.05562253790881221	0.0	0.0	0.0	0.0
YBR028C	-0.12071371035792615	0.0	0.0	0.0	0.0
YBR030W	-0.262681580541409	0.0	0.0	0.0	0.0
YBR031W	-1.917775464783505	0.0	0.0	0.0	0.0
YBR032W	-0.2967814903820503	0.0	0.0	0.0	0.0
YBR033W	0.30036984209402584	0.0	0.0	0.0	0.0
YBR034C	0.28535400159006064	0.0	0.0	0.0	0.0
YBR035C	-1.7763217324349132	0.0	0.0	0.0	0.0
YBR037C	0.6403990063685941				
YBR041W	1.524271430050818	0.0	0.0	0.0	0.0
YBR042C	0.44642177943783246	0.0	0.0	0.0	0.0
YBR043C	0.3926490250855478	0.0	0.0	0.0	0.0
YBR044C	-2.7915643861357577	0.0	0.0	0.0	0.0
YBR045C	0.270256274677514	0.0	0.0	0.0	0.0
YBR046C	-0.0742574411471815	0.0	0.0	0.0	0.0
YBR047W	0.47346530891076594	0.0	0.0	0.0	0.0
YBR048W	-0.7278796284931227	0.0	0.0	0.0	0.0
YBR050C	1.2935234348435125	0.0	0.0	0.0	0.0
YBR051W	0.8598629903389935	0.0	0.0	0.0	0.0
YBR052C	0.6242653588679581	0.0	0.0	0.0	0.0
YBR054W	0.5201763048141734	0.0	0.0	0.0	0.0
YBR056W	0.14419185149755628	0.0	0.0	0.0	0.0
YBR057C	-0.14772018612562815	0.0	0.0	0.0	0.0
YBR058C	0.3442002190462353	0.0	0.0	0.0	0.0
YBR059C	0.03974472649903312	0.0	0.0	0.0	0.0
YBR062C	0.5038513489441515	0.0	0.0	0.0	0.0
YBR063C	0.7382945062897811	0.0	0.0	0.0	0.0
YBR064W	1.0285977710649283	0.0	0.0	0.0	0.0
YBR065C	0.536720471160773	0.0	0.0	0.0	0.0
YBR066C	0.7588256102081278	0.0	0.0	0.0	0.0
YBR067C	0.8344227290383498	0.0	0.0	0.0	0.0
YBR068C	0.9790611721073715	0.0	0.0	0.0	0.0
YBR069C	-0.8416049428170005	0.0	0.0	0.0	0.0
YBR071W	0.5641039954959534	0.0	0.0	0.0	0.0
YBR072W	0.36072462600522226	0.0	0.0	0.0	0.0
