ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YLR228C	0.930
YKL020C	0.930
YIR026C	0.930
YGL109W	0.930
YBR075W	0.960
YLR023C	0.930
YPL236C	0.930
YOL068C	0.930
YOR034C	0.931
YGL110C	0.931
YHL017W	0.931
YDR011W	0.931
YFR049W	0.931
YHR163W	0.931
YNL157W	0.931
YMR214W	0.931
YOR219C	0.931
YGL243W	0.932
YBR213W	0.932
YFL044C	0.932
YCR044C	0.932
YDL203C	0.932
YPL145C	0.932
YOR091W	0.932
YML058C-A	0.932
YLR079W	0.932
YOL065C	0.932
YIL017C	0.933
YBL081W	0.933
YDR209C	0.933
YNL123W	0.933
YLL029W	0.934
YOL081W	0.934
YML032C	0.934
YLR429W	0.934
YDR401W	0.934
YNL236W	0.934
YML041C	0.935
YNL283C	0.935
YIL072W	0.935
YEL011W	0.935
YBR270C	0.935
YGL176C	0.935
YOR041C	0.935
YOR386W	0.935
YDR271C	0.935
YDL033C	0.936
YBL065W	0.936
YJR131W	0.936
YLR064W	0.936
YPR146C	0.936
YDR350C	0.936
YBR134W	0.936
YMR250W	0.936
YBR144C	0.937
YLL032C	0.937
YIL154C	0.937
YHR142W	0.937
YEL065W	0.938
YFL056C	0.938
YOR366W	0.938
YPR002W	0.938
YCL034W	0.938
YNL146W	0.938
YPL208W	0.938
YBL043W	0.938
YLL020C	0.938
YPL025C	0.938
YOR274W	0.938
YHR157W	0.939
YMR182C	0.939
YIL155C	0.939
YJR083C	0.939
YBR206W	0.939
YDL006W	0.939
YCR073W-A	0.939
YLR121C	0.939
YBL013W	0.940
YDR124W	0.940
YOR010C	0.940
YKL034W	0.940
YLR417W	0.940
YNL100W	0.940
YPL048W	0.940
YCL010C	0.940
YOR193W	0.940
YLR003C	0.941
YPL195W	0.941
YJL186W	0.941
YBL075C	0.941
YHR135C	0.941
YER111C	0.941
YDR406W	0.941
YEL012W	0.941
YMR164C	0.941
YEL008W	0.941
YHL021C	0.941
YEL009C	0.941
YGL236C	0.941
YBR182C	0.941
YBR074W	0.942
YOL047C	0.942
YLR381W	0.942
YPL179W	0.942
YHR204W	0.942
YNL219C	0.942
YIL044C	0.942
YCR086W	0.942
YJR146W	0.942
YMR070W	0.942
YHR104W	0.942
YBR177C	0.943
YNL128W	0.943
YBR210W	0.943
YKL053C-A	0.943
YBR233W	0.943
YOR131C	0.943
YMR087W	0.943
YJR091C	0.943
YCR006C	0.943
YLR107W	0.944
YHR046C	0.944
YJL218W	0.944
YJR128W	0.944
YJL065C	0.944
YBL048W	0.944
YJL190C	0.944
YJR102C	0.944
YPL265W	0.945
YOR156C	0.945
YLR225C	0.945
YNL105W	0.945
YJL093C	0.945
YOR292C	0.945
YCL025C	0.946
YPL177C	0.946
YFL040W	0.946
YGL162W	0.946
YLR020C	0.946
YMR053C	0.946
YDL119C	0.946
YPL155C	0.947
YDL231C	0.947
YML019W	0.947
YNL145W	0.947
YHR095W	0.947
YOR132W	0.947
YNR005C	0.947
YLR043C	0.948
YOR024W	0.948
YER164W	0.948
YLR181C	0.948
YBR105C	0.948
YLR049C	0.948
YBR262C	0.948
YOR069W	0.948
YNL104C	0.948
YBR225W	0.948
YNL135C	0.948
YCL044C	0.948
YLR034C	0.949
YOR356W	0.949
YER150W	0.949
YOR275C	0.949
YER072W	0.949
YOL004W	0.949
YBR226C	0.949
YBR137W	0.949
YDL131W	0.949
YGR134W	0.949
YNL130C	0.949
YCL002C	0.949
YPL091W	0.950
YIL097W	0.950
YNL274C	0.950
YDL125C	0.950
YDR513W	0.950
YGR240C	0.950
YPL189W	0.951
YHL027W	0.951
YMR199W	0.951
YBL057C	0.951
YGR243W	0.951
YDL229W	0.951
YDR210W	0.951
YLL039C	0.951
YBR173C	0.951
YLR308W	0.951
YLR286C	0.951
YBR021W	0.951
YOR258W	0.951
YBR216C	0.951
YMR238W	0.951
YER091C	0.951
YBL066C	0.952
YML080W	0.952
YDR266C	0.952
YJR097W	0.952
YBR203W	0.952
YNL276C	0.952
YPL026C	0.952
YOR089C	0.952
YLR173W	0.952
YLR454W	0.952
YJR115W	0.953
YLR217W	0.953
YAR031W	0.953
YPL182C	0.953
YGR018C	0.953
YMR264W	0.953
YBR208C	0.953
YER175C	0.953
YGL151W	0.953
YPL066W	0.953
YPL152W	0.953
YNL294C	0.953
YHR181W	0.953
YKL061W	0.954
YDR474C	0.954
YMR106C	0.954
YFL025C	0.954
YNL187W	0.954
YDR423C	0.954
YOR226C	0.954
YBR230C	0.954
YOR092W	0.954
YAR020C	0.954
YPL064C	0.954
YER047C	0.954
YJR044C	0.954
YHL032C	0.954
YIL002C	0.955
YAL014C	0.955
YOR323C	0.955
YJR060W	0.955
YOR068C	0.955
YLR015W	0.955
YLR443W	0.955
YHL029C	0.955
YBL008W	0.955
YNL332W	0.955
YNL316C	0.955
YJL055W	0.955
YOR385W	0.955
YJL208C	0.955
YJL094C	0.955
YNL122C	0.955
YHL016C	0.955
YBL031W	0.956
YDR456W	0.956
YBR066C	0.956
YLR038C	0.956
YCL060C	0.956
YHR177W	0.956
YBR057C	0.956
YOR374W	0.956
YOR137C	0.956
YOR086C	0.956
YPL099C	0.956
YLR072W	0.956
YCR079W	0.956
YOL017W	0.956
YJR003C	0.956
YBL055C	0.956
YBL017C	0.956
YDR165W	0.956
YJL017W	0.957
YLR369W	0.957
YHR199C	0.957
YML122C	0.957
YFL049W	0.957
YKR095W	0.957
YBR084W	0.957
YJL103C	0.957
YJL082W	0.957
YLL046C	0.957
YOR175C	0.957
YOL163W	0.957
YJR095W	0.957
YDR511W	0.957
YKL183W	0.957
YJR037W	0.958
YMR201C	0.958
YBR175W	0.958
YDR157W	0.958
YJR142W	0.958
YLR408C	0.958
YBL096C	0.958
YER048C	0.958
YER046W	0.958
YGL034C	0.958
YJL121C	0.958
YCL005W	0.958
YJL164C	0.958
YER075C	0.958
YOL045W	0.958
YDR402C	0.958
YKR034W	0.958
YPR179C	0.958
YFR009W	0.958
YLR346C	0.958
YBR169C	0.958
YOR379C	0.959
YJL144W	0.959
YOL016C	0.959
YBR065C	0.959
YOR352W	0.959
YOR163W	0.959
YMR015C	0.959
YBR128C	0.959
YLR179C	0.959
YLR057W	0.959
YJL185C	0.959
YDL226C	0.959
YPR091C	0.959
YJR048W	0.959
YPL120W	0.959
YPL134C	0.959
YGL121C	0.959
YGR247W	0.959
YFR025C	0.959
YNL190W	0.959
YGR155W	0.959
YHR202W	0.959
YGL241W	0.959
YAL045C	0.960
YKL066W	0.960
YCL028W	0.960
YLR410W	0.960
YMR222C	0.960
YGR244C	0.960
YDR133C	0.960
YOR043W	0.960
YAL030W	0.960
YBR176W	0.960
YLR343W	0.960
YBL060W	0.960
YIL027C	0.961
YGL229C	0.961
YLL054C	0.961
YHL014C	0.961
YBL010C	0.961
YNL092W	0.961
YOR378W	0.961
YNR007C	0.961
YEL038W	0.961
YDR122W	0.961
YJR154W	0.961
YJL138C	0.961
YNL154C	0.962
YBL102W	0.962
YML027W	0.962
YIL050W	0.962
YAR043C	0.962
YMR215W	0.962
YMR031W-A	0.962
YGR123C	0.962
YNL129W	0.962
YDR368W	0.962
YLR169W	0.962
YCL027W	0.962
YHR073W	0.962
YNL265C	0.962
YDR144C	0.962
YBR278W	0.962
YML034W	0.962
YDL020C	0.962
YNL168C	0.963
YMR063W	0.963
YDR258C	0.963
YNL281W	0.963
YAL005C	0.963
YNL023C	0.963
YHL036W	0.963
YJL038C	0.963
YGR210C	0.963
YJL048C	0.963
YDR220C	0.963
YGL216W	0.963
YLR097C	0.963
YJR079W	0.963
YJL181W	0.963
YJR147W	0.964
YDL189W	0.964
YDL038C	0.964
YLR360W	0.964
YBL012C	0.964
YER042W	0.964
YOR238W	0.964
YOL031C	0.964
YDR219C	0.964
YER079W	0.964
YNL125C	0.964
YBR271W	0.964
YAR027W	0.965
YBR280C	0.965
YMR297W	0.965
YCR076C	0.965
YBR258C	0.965
YOL003C	0.965
YBR116C	0.965
YLL047W	0.965
YDL082W	0.965
YPR061C	0.965
YKR016W	0.965
YAR050W	0.965
YIL076W	0.965
YBR272C	0.965
YOR172W	0.965
YNL259C	0.965
YBR010W	0.965
YKL075C	0.965
YNL083W	0.966
YML054C	0.966
YPL110C	0.966
YLR083C	0.966
YPL245W	0.966
YHR198C	0.966
YNL296W	0.966
YDL134C-A	0.966
YDR183W	0.966
YAL017W	0.966
YCL026C-A	0.966
YOR140W	0.966
YOL128C	0.966
YOR083W	0.966
YGR121C	0.966
YJL057C	0.966
YDR198C	0.966
YAR035W	0.966
YAR030C	0.966
YCL074W	0.966
YCR067C	0.967
YLR361C	0.967
YPL186C	0.967
YDR493W	0.967
YER092W	0.967
YGL199C	0.967
YPL041C	0.967
YLL014W	0.967
YJR129C	0.967
YDR453C	0.967
YLR189C	0.967
YOR126C	0.967
YPL150W	0.967
YOR377W	0.967
YDL091C	0.967
YOL104C	0.967
YOR382W	0.968
YBR012C	0.968
YLL048C	0.968
YMR074C	0.968
YLL023C	0.968
YDL237W	0.968
YMR247C	0.968
YML013W	0.968
YDR130C	0.968
YPR069C	0.968
YPL018W	0.968
YAR029W	0.968
YGL035C	0.968
YBL011W	0.968
YMR007W	0.968
YER019W	0.968
YMR160W	0.968
YPL181W	0.968
YJL007C	0.968
YPL166W	0.968
YOR338W	0.968
YHL044W	0.968
YGR142W	0.968
YPL258C	0.968
YPL176C	0.968
YGR130C	0.968
YPL065W	0.969
YAL004W	0.969
YDR276C	0.969
YHR140W	0.969
YLR047C	0.969
YEL047C	0.969
YIL130W	0.969
YOR042W	0.969
YGR291C	0.969
YGL209W	0.969
YDR497C	0.969
YOR066W	0.969
YKL162C-A	0.969
YHR193C	0.969
YLR452C	0.969
YBL085W	0.969
YJL070C	0.969
YPL149W	0.969
YOL119C	0.969
YCR073C	0.969
YOR313C	0.969
YDL204W	0.969
YER041W	0.969
YNL314W	0.969
YDR215C	0.970
YOR162C	0.970
YJR127C	0.970
YOL160W	0.970
YEL037C	0.970
YOR090C	0.970
YFR036W	0.970
YBR172C	0.970
YLR025W	0.970
YHR117W	0.970
YCR062W	0.970
YLR027C	0.970
YDR256C	0.970
YDR455C	0.970
YMR008C	0.970
YNL235C	0.970
YHL012W	0.970
YMR135W-A	0.970
YBL094C	0.971
YNL248C	0.971
YDL182W	0.971
YDR334W	0.971
YIL162W	0.971
YJR098C	0.971
YJR024C	0.971
YGL006W	0.971
YJL141C	0.971
YOR173W	0.971
YCL024W	0.971
YNL305C	0.971
YKL037W	0.971
YPR011C	0.971
YHR113W	0.971
YLR421C	0.971
YDR121W	0.971
YNL101W	0.971
YOR015W	0.971
YNL127W	0.971
YNL090W	0.972
YER066C-A	0.972
YBR273C	0.972
YOR177C	0.972
YCL057W	0.972
YDR282C	0.972
YER067W	0.972
YBR071W	0.972
YJL137C	0.972
YIL095W	0.972
YPL053C	0.972
YER011W	0.972
YLR183C	0.972
YDR218C	0.972
YHR029C	0.972
YLR199C	0.972
YNR055C	0.972
YHL005C	0.972
YGL138C	0.972
YNL056W	0.972
YMR123W	0.972
YAL049C	0.972
YLR213C	0.972
YDR222W	0.972
YNL194C	0.973
YBR239C	0.973
YOL050C	0.973
YMR147W	0.973
YHR110W	0.973
YJR133W	0.973
YMR136W	0.973
YPL273W	0.973
YMR244C-A	0.973
YJR074W	0.973
YHR153C	0.973
YOR273C	0.973
YOL129W	0.973
YLR024C	0.973
YGL016W	0.973
YLR037C	0.973
YGL032C	0.973
YLR224W	0.973
YHR125W	0.973
