orf	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YAL002W	0.92
YAL004W	0.9690000000000001
YAL005C	0.963
YAL007C	1.062
YAL008W	1.025
YAL009W	1.072
YAL010C	
YAL011W	1.065
YAL012W	1.125
YAL013W	
YAL014C	0.955
YAL015C	1.008
YAL016W	
YAL017W	0.966
YAL018C	0.996
YAL019W	0.619
YAL020C	1.216
YAL021C	0.757
YAL022C	1.074
YAL023C	0.883
YAL024C	0.92
YAL026C	1.1740000000000002
YAL027W	1.014
YAL028W	1.054
YAL029C	1.0170000000000001
YAL030W	0.96
YAL031C	1.018
YAL034C	1.0190000000000001
YAL035W	
YAL036C	1.0090000000000001
YAL037W	0.988
YAL039C	1.187
YAL040C	1.054
YAL042C-A	0.996
YAL042W	1.023
YAL044C	
YAL045C	0.96
YAL046C	1.015
YAL047C	
YAL048C	1.0270000000000001
YAL049C	0.972
YAL051W	0.9890000000000001
YAL053W	1.037
YAL054C	1.167
YAL055W	1.035
YAL056C-A	1.079
YAL056W	0.988
YAL058W	1.092
YAL059W	1.004
YAL060W	1.004
YAL061W	1.025
YAL062W	1.0659999999999998
YAL064C-A	1.025
YAL065C	1.001
YAL066W	1.141
YAL067C	1.005
YAL068C	0.973
YAR002C-A	1.058
YAR002W	0.631
YAR003W	1.004
YAR014C	1.122
YAR015W	0.695
YAR018C	0.99
YAR020C	0.9540000000000001
YAR023C	1.0
YAR027W	0.965
YAR028W	1.0070000000000001
YAR029W	0.968
YAR030C	0.966
YAR031W	0.953
YAR035W	0.966
YAR042W	0.929
YAR047C	0.9
YAR050W	0.965
YBL001C	1.0290000000000001
YBL002W	1.105
YBL003C	1.022
YBL005W	0.98
YBL006C	1.133
YBL007C	1.188
YBL008W	0.955
YBL009W	0.98
YBL010C	0.961
YBL011W	0.968
YBL012C	0.9640000000000001
YBL013W	0.94
YBL015W	1.022
YBL017C	0.956
YBL019W	1.05
YBL021C	1.035
YBL022C	1.0759999999999998
YBL024W	0.982
YBL027W	1.013
YBL028C	1.036
YBL029W	1.05
YBL031W	0.956
YBL032W	1.047
YBL033C	
YBL036C	0.991
YBL037W	0.985
YBL038W	1.15
YBL039C	1.125
YBL042C	1.145
YBL043W	0.938
YBL044W	1.002
YBL045C	1.344
YBL046W	0.87
