orf	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YAL002W	-0.9838075544985895
YAL004W	-0.4776615743445263
YAL005C	-0.5396386331389025
YAL007C	0.4829828369682864
YAL008W	0.10079097440297223
YAL009W	0.5862779349589116
YAL010C	
YAL011W	0.5139713663654728
YAL012W	1.1337419543092238
YAL013W	
YAL014C	-0.6222747115314026
YAL015C	-0.07481069218108936
YAL016W	
YAL017W	-0.5086501037417149
YAL018C	-0.19876480976983954
YAL019W	-4.0929900040164044
YAL020C	2.073727346023911
YAL021C	-2.6675176517457784
YAL022C	0.6069369545570366
YAL023C	-1.3659994170639025
YAL024C	-0.9838075544985895
YAL026C	1.639887934463288
YAL027W	-0.012833633386714276
YAL028W	0.4003467585757863
YAL029C	0.018154896010474413
YAL030W	-0.57062716253609
YAL031C	0.02848440580953578
YAL034C	0.03881391560859944
YAL035W	
YAL036C	-0.0644811823820257
YAL037W	-0.28140088816233966
YAL039C	1.7741715618510996
YAL040C	0.4003467585757863
YAL042C-A	-0.19876480976983954
YAL042W	0.08013195480484721
YAL044C	
YAL045C	-0.57062716253609
YAL046C	-0.0025041235876529086
YAL047C	
YAL048C	0.12144999400109956
YAL049C	-0.4466730449473399
YAL051W	-0.271071378363276
YAL053W	0.2247450919917224
YAL054C	1.5675813658698492
YAL055W	0.20408607239359738
YAL056C-A	0.658584503552348
YAL056W	-0.28140088816233966
YAL058W	0.7928681309401618
YAL059W	-0.11612873137733942
YAL060W	-0.11612873137733942
YAL061W	0.10079097440297223
YAL062W	0.5243008761645341
YAL064C-A	0.10079097440297223
YAL065C	-0.1471172607745281
YAL066W	1.299014111094224
YAL067C	-0.10579922157827805
YAL068C	-0.43634353514827734
YAR002C-A	0.4416647977720364
YAR002W	-3.969035886427654
YAR003W	-0.11612873137733942
YAR014C	1.1027534249120372
YAR015W	-3.307947259287654
YAR018C	-0.2607418685642146
YAR020C	-0.632604221330464
YAR023C	-0.15744677057358947
YAR027W	-0.5189796135407775
YAR028W	-0.08514020198015072
YAR029W	-0.48799108414358994
YAR030C	-0.5086501037417149
YAR031W	-0.6429337311295277
YAR035W	-0.5086501037417149
YAR042W	-0.8908419663070268
YAR047C	-1.1903977504798398
YAR050W	-0.5189796135407775
YBL001C	0.1421090135992246
YBL002W	0.9271517583279734
YBL003C	0.06980244500578583
YBL005W	-0.36403696655483975
YBL006C	1.2163780327017237
YBL007C	1.784501071650161
YBL008W	-0.6222747115314026
YBL009W	-0.36403696655483975
YBL010C	-0.5602976527370276
YBL011W	-0.48799108414358994
YBL012C	-0.5293091233398388
YBL013W	-0.7772173585173403
YBL015W	0.06980244500578583
YBL017C	-0.6119452017323401
YBL019W	0.35902871937953623
YBL021C	0.20408607239359738
