ORF	het | growth (pooled culture) | macbecin II [200-400 uM], temperature [15 C] | YPD + DMSO | Franzosa EA~McClellan AJ, 2011
YOR126C	0.261
YBR197C	0.317
YGR255C	0.366
YBR133C	0.381
YPL238C	0.423
YNL202W	0.427
YPR146C	0.432
YPR021C	0.435
YER117W	0.451
YNL224C	0.458
YHR139C-A	0.464
YNL037C	0.464
YER095W	0.469
YGL116W	0.470
YML085C	0.482
YNL215W	0.485
YPL207W	0.499
YPR183W	0.513
YOR331C	0.514
YOR027W	0.515
YOR383C	0.516
YLR244C	0.517
YML097C	0.520
YLR347C	0.528
YNL240C	0.531
YPL129W	0.536
YPL131W	0.541
YDR184C	0.542
YER025W	0.544
YGR148C	0.544
YNL302C	0.546
YNL110C	0.549
YFR015C	0.556
YNL241C	0.558
YDL081C	0.560
YNL160W	0.561
YNL247W	0.563
YIL083C	0.564
YBL027W	0.565
YDR385W	0.567
YKL108W	0.567
YGL053W	0.572
YPL235W	0.572
YDR281C	0.575
YNL061W	0.582
YAL023C	0.582
YMR316W	0.585
YLR009W	0.587
YDR167W	0.587
YPL251W	0.588
YOR234C	0.588
YDL082W	0.590
YLR265C	0.591
YOR007C	0.592
YDR124W	0.594
YDR269C	0.595
YOR342C	0.596
YNR015W	0.596
YOR379C	0.599
YBR298C	0.599
YKL002W	0.600
YLR286C	0.601
YOL087C	0.602
YLR076C	0.606
YMR309C	0.610
YBR191W	0.610
YDL010W	0.610
YDR300C	0.611
YIL129C	0.611
YNL113W	0.613
YPL237W	0.614
YJR042W	0.618
YOR298W	0.618
YDL144C	0.619
YBR300C	0.620
YLR262C	0.622
YPR137W	0.622
YBR248C	0.623
YOR372C	0.627
YKL135C	0.628
YGL143C	0.679
YIL117C	0.629
YLR248W	0.632
YDR079W	0.638
YMR093W	0.639
YDR314C	0.640
YLR089C	0.640
YPL079W	0.641
YKL009W	0.644
YMR284W	0.645
YLR304C	0.647
YKL092C	0.647
YML099C	0.648
YOL096C	0.648
YOR128C	0.650
YDR246W	0.650
YER148W	0.651
YDR422C	0.652
YOR333C	0.655
YOL064C	0.655
YLL025W	0.656
YHR105W	0.656
YGR166W	0.656
YBR069C	0.657
YBR156C	0.657
YIL135C	0.657
YPL006W	0.660
YDL174C	0.660
YNR046W	0.660
YBL019W	0.662
YDL125C	0.662
YOR325W	0.664
YOR309C	0.664
YBR267W	0.665
YJR045C	0.665
YJL059W	0.667
YFL044C	0.667
YLR197W	0.668
YBR252W	0.670
YPL154C	0.670
YDR279W	0.671
YDR096W	0.672
YOR098C	0.674
YDR145W	0.674
YMR242C	0.674
YKL025C	0.675
YLR087C	0.676
YKL006W	0.677
YDR382W	0.678
YCR086W	0.678
YBR016W	0.680
YHR076W	0.680
YJL182C	0.681
YKL206C	0.681
YGL103W	0.681
YMR142C	0.682
YCR034W	0.682
YBR086C	0.682
YGR156W	0.683
YJL010C	0.683
YDR270W	0.684
YPR044C	0.685
YNL007C	0.685
YJL039C	0.686
YJL146W	0.687
YFL048C	0.687
YDR288W	0.687
YDR400W	0.689
YOL059W	0.689
YBR006W	0.690
YIL101C	0.691
YDR308C	0.691
YJL164C	0.692
YDR488C	0.692
YLR340W	0.695
YDR286C	0.695
YBL032W	0.695
YCR020W-B	0.697
YBR198C	0.698
YDR257C	0.698
YIL147C	0.699
YPL093W	0.699
YNL254C	0.699
YBR242W	0.699
YDR410C	0.700
YOR345C	0.700
YDR328C	0.701
YBL065W	0.701
YLR252W	0.701
YDR345C	0.702
YHR084W	0.702
YJL078C	0.703
YNL304W	0.704
YDR355C	0.704
YDL061C	0.705
YDR059C	0.706
YIR007W	0.706
YLR061W	0.707
YIL149C	0.707
YKL019W	0.707
YDR447C	0.710
YDR073W	0.710
YBR068C	0.710
YNR034W	0.711
YCR050C	0.711
YBR112C	0.711
YOR322C	0.711
YML073C	0.711
YDR455C	0.712
YBR029C	0.712
YNL313C	0.714
YJR007W	0.715
YJL180C	0.715
YBR052C	0.716
YDR363W	0.716
YLR002C	0.717
YDL130W	0.718
YBR285W	0.719
YJR016C	0.719
YIL153W	0.719
YDR335W	0.720
YNL282W	0.720
YAL002W	0.720
YCR036W	0.721
YLR063W	0.722
YIL146C	0.722
YOL115W	0.722
YMR210W	0.723
YNL231C	0.724
YOR153W	0.724
YLR338W	0.724
YKL180W	0.724
YCR044C	0.724
YOR120W	0.724
YJL027C	0.724
YDL099W	0.725
YLR006C	0.725
YBR004C	0.726
YIL125W	0.727
YLR260W	0.727
YLR257W	0.727
YOR140W	0.728
YKL152C	0.729
YDR015C	0.730
YBR224W	0.730
YMR194W	0.731
YBR222C	0.732
YHR156C	0.732
YDR458C	0.733
YCL036W	0.734
YKR019C	0.735
YLR117C	0.735
YLL038C	0.735
YLR051C	0.736
YNR048W	0.736
YDR024W	0.737
YBR054W	0.737
YGR159C	0.737
YPL098C	0.738
YMR290C	0.738
YGL144C	0.739
YGR185C	0.739
YDR379W	0.739
YIL136W	0.739
YCR084C	0.739
YBR219C	0.740
YDL107W	0.741
YLL040C	0.741
YNL096C	0.742
