orf	het | growth (pooled culture) | macbecin II [200-400 uM], temperature [15 C] | YPD + DMSO | Franzosa EA~McClellan AJ, 2011
YAL001C	1.0746
YAL002W	0.7203
YAL003W	1.0701
YAL004W	1.7355
YAL005C	1.4918
YAL007C	1.0962
YAL008W	1.0165
YAL009W	1.1244
YAL010C	0.97905
YAL011W	1.4587
YAL012W	0.81337
YAL014C	1.1714
YAL015C	0.98906
YAL016W	1.52
YAL017W	1.1027
YAL018C	0.96628
YAL019W	1.0005
YAL020C	0.97422
YAL021C	0.87122
YAL022C	1.0612
YAL023C	0.58219
YAL024C	0.91056
YAL025C	0.88177
YAL026C	1.0943
YAL027W	1.0985
YAL028W	1.1182
YAL029C	1.0534
YAL030W	1.1772
YAL031C	1.0728
YAL032C	1.0759
YAL033W	1.0864
YAL034C-B	1.0201
YAL034W-A	1.0358
YAL035W	0.99294
YAL036C	0.98303
YAL037W	1.2665
YAL038W	1.1135
YAL039C	1.084
YAL040C	1.0556
YAL041W	1.0575
YAL042C-A	1.3111
YAL042W	1.1272
YAL043C	1.0545
YAL044C	2.2961
YAL045C	1.6238
YAL046C	0.99517
YAL047C	0.93304
YAL048C	1.0451
YAL049C	1.1144
YAL051W	1.1434
YAL053W	1.1282
YAL054C	0.94281
YAL055W	1.0319
YAL056C-A	0.959
YAL058W	1.0007
YAL059W	1.4203
YAL060W	0.99824
YAL061W	1.0203
YAL062W	0.99669
YAL064C-A	1.0959
YAL065C	0.97412
YAL067C	1.2818
YAL068C	1.0522
YAR002C-A	0.98048
YAR002W	1.093
YAR003W	1.0403
YAR007C	1.1497
YAR008W	1.1435
YAR014C	1.0451
YAR015W	1.0315
YAR018C	1.4921
YAR019C	0.94139
YAR020C	0.9791
YAR023C	1.099
YAR027W	1.0167
YAR028W	1.1648
YAR029W	1.0578
YAR030C	1.0731
YAR031W	1.0621
YAR035W	1.1867
YAR042W	1.12495
YAR047C	2.3921
YAR050W	0.97588
YBL001C	2.2659
YBL002W	1.065
YBL004W	0.96965
YBL006C	1.1337
YBL007C	1.4515
YBL008W	0.83229
YBL009W	0.93937
YBL010C	1.0205
