ORF	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YHR147C	1.808
YHR161C	0.864
YHR198C	1.230
YOR179C	0.892
YOR364W	1.123
YGR018C	0.801
YHR150W	1.198
YHR163W	1.328
YHR199C	1.061
YOR180C	0.805
YOR054C	0.864
YGR022C	0.908
YHR151C	0.991
YHR167W	0.602
YHR200W	0.599
YER014W	0.749
YBR132C	0.757
YGR025W	0.842
YHR152W	1.903
YHR176W	1.395
YHR202W	2.675
YER028C	1.009
YDR269C	0.893
YOL086C	1.120
YHR153C	1.156
YHR177W	0.725
YHR203C	0.829
YER044C	0.762
YDR271C	0.991
YHR210C	1.436
YHR154W	1.228
YHR178W	0.768
YHR204W	0.742
YER055C	0.621
YDR290W	0.468
YHR209W	1.125
YHR155W	1.518
YHR179W	1.540
YHR206W	0.653
YER087W	1.274
YGL199C	0.944
YHR156C	1.213
YHR182W	1.082
YHR207C	0.763
YIL134W	0.777
YGL214W	0.551
YOR158W	0.973
YHR157W	1.099
YHR183W	1.082
YKL135C	0.995
YGL217C	0.949
YHR158C	1.307
YHR184W	1.261
YEL024W	1.023
YGL218W	0.854
YHR159W	1.309
YHR189W	1.227
YMR038C	1.231
YLR308W	0.837
YGL235W	0.863
YHR160C	1.728
YHR195W	1.406
YOR147W	1.417
YPL006W	1.102
YGR011W	0.859
YAL068C	1.343
YAL067C	1.319
YAL066W	1.031
YAL065C	0.994
YAL062W	0.955
YAL061W	0.937
YAL060W	1.032
YAL059W	1.041
YAL058W	1.096
YAL056W	0.913
YAL055W	0.704
YAL053W	0.726
YAL051W	1.083
YAL049C	1.169
YAL048C	0.407
YAL046C	0.866
YAL045C	1.111
YAL044C	1.303
YAL042W	0.652
YAL043C-A	0.770
YAL040C	0.818
YAL039C	0.619
YAL037W	0.739
YAL036C	0.974
YAL035W	0.180
YAL034C	0.952
YAL031C	1.103
YAL030W	1.086
YAL029C	0.942
YAL028W	1.175
YAL027W	1.208
YAL026C	0.719
YAL023C	0.681
YAL022C	0.814
YAL021C	0.128
YAL020C	0.918
YAL019W	1.130
YAL018C	1.270
YAL017W	1.288
YAL015C	1.084
YAL014C	1.131
YAL013W	0.891
YAL011W	0.953
YAL010C	1.006
YAL009W	0.774
YAL008W	0.790
YAL007C	0.913
YAL004W	0.877
YAL005C	1.113
YAL002W	1.095
YAR002W	0.634
YAR003W	0.792
YAR014C	0.927
YAR015W	0.391
YAR018C	0.980
YAR020C	0.974
YAR023C	0.817
YAR027W	0.740
YAR028W	0.935
YAR029W	1.151
YAR031W	0.769
YAR030C	1.225
YAR035W	1.136
YAR037W	1.346
YAR040C	1.302
YAR042W	1.247
YAR043C	1.217
YAR044W	1.037
YAR047C	0.964
YJL218W	1.169
YJL217W	1.118
YJL216C	1.454
YJL215C	1.068
YJL214W	1.207
YJL212C	1.215
YJL210W	1.076
YJL211C	1.117
YJL209W	0.854
YJL208C	1.196
YJL207C	0.887
YJL206C	0.719
YJL206C-A	1.165
YJL204C	0.196
YJL201W	0.663
YJL200C	1.078
YJL199C	1.214
YJL198W	1.267
YJL197W	1.198
YJL196C	1.059
YJL193W	1.222
YJL192C	1.172
YJL191W	1.117
YJL190C	0.296
YJL189W	0.603
YJL188C	0.388
YJL187C	0.580
YJL186W	1.683
YJL185C	1.613
YJL183W	1.404
YJL181W	1.265
YJL182C	1.111
YJL180C	1.077
YJL179W	0.953
YJL178C	0.834
YJL176C	0.814
YJL172W	0.869
YJL171C	0.867
YJL170C	0.900
YJL169W	1.531
YJL168C	1.252
YJL166W	1.317
YJL165C	1.010
YJL164C	0.860
YJL163C	0.977
YJL162C	0.792
YJL161W	0.878
YJL159W	0.630
YJL158C	0.846
YJL157C	0.827
YJL155C	0.907
YJL154C	1.651
YJL153C	1.167
YJL152W	1.269
YJL151C	1.160
YJL150W	1.062
YJL149W	0.995
YJL148W	0.673
YJL147C	0.776
YJL146W	0.843
YJL145W	0.722
