orf	hap alpha | inositol excretion (inositol excretion) | standard [standard] | Hancock LC~Lopes JM, 2006
YAL002W	7.197695338218907
YAL013W	7.197695338218907
YAL022C	7.197695338218907
YBL047C	7.197695338218907
YBR095C	7.197695338218907
YBR119W	7.197695338218907
YBR126C	7.197695338218907
YBR288C	7.197695338218907
YBR290W	7.197695338218907
YCL005W	7.197695338218907
YCL008C	7.197695338218907
YDL077C	7.197695338218907
YDL096C	7.197695338218907
YDL116W	7.197695338218907
YDR028C	7.197695338218907
YDR080W	7.197695338218907
YDR092W	7.197695338218907
YDR136C	7.197695338218907
YDR137W	7.197695338218907
YDR207C	7.197695338218907
YDR323C	7.197695338218907
YDR359C	7.197695338218907
YDR360W	7.197695338218907
YDR372C	7.197695338218907
YDR495C	7.197695338218907
YDR497C	7.197695338218907
YEL018W	7.197695338218907
YER044C	7.197695338218907
YGL203C	7.197695338218907
YGR157W	7.197695338218907
YGR260W	7.197695338218907
YGR261C	7.197695338218907
YHL020C	7.197695338218907
YHR012W	7.197695338218907
YHR029C	7.197695338218907
YIL044C	7.197695338218907
YJL024C	7.197695338218907
YJL053W	7.197695338218907
YJL096W	7.197695338218907
YJL154C	7.197695338218907
YJR073C	7.197695338218907
YJR102C	7.197695338218907
YKL002W	7.197695338218907
YKL041W	7.197695338218907
YKL170W	7.197695338218907
YKR020W	7.197695338218907
YKR035C	7.197695338218907
YLL040C	7.197695338218907
YLR025W	7.197695338218907
YLR119W	7.197695338218907
YLR148W	7.197695338218907
YLR239C	7.197695338218907
YLR240W	7.197695338218907
YLR262C	7.197695338218907
YLR338W	7.197695338218907
YLR360W	7.197695338218907
YLR370C	7.197695338218907
YLR417W	7.197695338218907
YML001W	7.197695338218907
YML097C	7.197695338218907
YMR100W	7.197695338218907
YMR231W	7.197695338218907
YNL063W	7.197695338218907
YNL097C	7.197695338218907
YNL098C	7.197695338218907
YNL107W	7.197695338218907
YNL136W	7.197695338218907
YNL219C	7.197695338218907
YNL323W	7.197695338218907
YNL330C	7.197695338218907
YNR006W	7.197695338218907
YOL004W	7.197695338218907
YOL032W	7.197695338218907
YOR003W	7.197695338218907
YOR014W	7.197695338218907
YOR039W	7.197695338218907
YOR069W	7.197695338218907
YOR089C	7.197695338218907
YOR132W	7.197695338218907
YPL002C	7.197695338218907
YPL045W	7.197695338218907
YPL065W	7.197695338218907
YPL120W	7.197695338218907
YPL195W	7.197695338218907
YPR023C	7.197695338218907
YPR044C	7.197695338218907
YPR139C	7.197695338218907
YPR173C	7.197695338218907
