orf	hap a | transposable element transposition (Ty3) | standard [standard] | Irwin B~Sandmeyer S, 2005
YAL013W	-5.853196736742624
YAL027W	-5.853196736742624
YAR003W	5.972649731370023
YBL006C	5.972649731370023
YBL007C	-5.853196736742624
YBL094C	5.972649731370023
YBR021W	-5.853196736742624
YBR044C	-5.853196736742624
YBR269C	5.972649731370023
YBR277C	5.972649731370023
YBR284W	5.972649731370023
YCL037C	5.972649731370023
YCL061C	5.972649731370023
YCR020W-B	5.972649731370023
YDL056W	5.972649731370023
YDL074C	5.972649731370023
YDL088C	-5.853196736742624
YDL116W	5.972649731370023
YDL118W	-5.853196736742624
YDL160C	-5.853196736742624
YDR067C	-5.853196736742624
YDR074W	5.972649731370023
YDR139C	-5.853196736742624
YDR159W	5.972649731370023
YDR176W	5.972649731370023
YDR289C	5.972649731370023
YDR290W	5.972649731370023
YDR323C	-5.853196736742624
YDR432W	5.972649731370023
YDR448W	5.972649731370023
YDR493W	-5.853196736742624
YEL004W	5.972649731370023
YEL013W	5.972649731370023
YEL044W	-5.853196736742624
YER057C	5.972649731370023
YER060W-A	5.972649731370023
YER145C	-5.853196736742624
YER151C	-5.853196736742624
YER155C	5.972649731370023
YER173W	-5.853196736742624
YFL001W	-5.853196736742624
YFR009W	-5.853196736742624
YFR012W	-5.853196736742624
YFR019W	-5.853196736742624
YGL057C	-5.853196736742624
YGL058W	5.972649731370023
YGL066W	5.972649731370023
YGL078C	-5.853196736742624
YGL173C	-5.853196736742624
YGL174W	5.972649731370023
YGL212W	-5.853196736742624
YGR056W	5.972649731370023
YGR167W	-5.853196736742624
YGR188C	-5.853196736742624
YGR270W	5.972649731370023
YHL003C	5.972649731370023
YHL030W	5.972649731370023
YHR008C	-5.853196736742624
YHR031C	5.972649731370023
YHR177W	5.972649731370023
YIL009C-A	5.972649731370023
YIL011W	5.972649731370023
YIL015W	5.972649731370023
YIL069C	5.972649731370023
YIL073C	-5.853196736742624
YIL090W	5.972649731370023
YIL134W	-5.853196736742624
YIR021W	5.972649731370023
YJL006C	-5.853196736742624
YJL047C	5.972649731370023
YJL092W	5.972649731370023
YJR032W	-5.853196736742624
YJR102C	-5.853196736742624
YJR120W	-5.853196736742624
YJR121W	-5.853196736742624
YKL041W	5.972649731370023
YKL057C	5.972649731370023
YKL068W	5.972649731370023
YKL135C	5.972649731370023
YKL149C	-5.853196736742624
YKR020W	-5.853196736742624
YKR082W	5.972649731370023
YKR099W	-5.853196736742624
YLL002W	5.972649731370023
YLL030C	5.972649731370023
YLL044W	5.972649731370023
YLR015W	5.972649731370023
YLR025W	-5.853196736742624
YLR235C	5.972649731370023
YLR242C	-5.853196736742624
YLR268W	5.972649731370023
YLR399C	5.972649731370023
YLR417W	-5.853196736742624
YLR423C	-5.853196736742624
YML051W	5.972649731370023
YML073C	-5.853196736742624
YML081C-A	-5.853196736742624
YML097C	-5.853196736742624
YMR048W	5.972649731370023
YMR058W	-5.853196736742624
YMR077C	-5.853196736742624
YMR116C	-5.853196736742624
YMR123W	-5.853196736742624
YMR154C	-5.853196736742624
YMR158W-B	-5.853196736742624
YMR190C	5.972649731370023
YNL059C	-5.853196736742624
YNL136W	-5.853196736742624
YNL138W	5.972649731370023
YNL224C	-5.853196736742624
YNL236W	-5.853196736742624
YNL242W	5.972649731370023
YNR006W	-5.853196736742624
YNR052C	5.972649731370023
YNR059W	-5.853196736742624
YOL083W	-5.853196736742624
YOR039W	5.972649731370023
YOR144C	5.972649731370023
YOR270C	-5.853196736742624
YOR275C	-5.853196736742624
YPL002C	-5.853196736742624
YPL024W	5.972649731370023
YPL042C	-5.853196736742624
YPL065W	-5.853196736742624
YPL084W	-5.853196736742624
YPL125W	-5.853196736742624
YPL225W	-5.853196736742624
YPL256C	5.972649731370023
YPR119W	5.972649731370023
YPR173C	-5.853196736742624
