ORF	hap a | transposable element transposition (Ty3) | standard [standard] | Irwin B~Sandmeyer S, 2005
YBR021W	-1.000
YMR123W	-1.000
YER145C	-1.000
YMR058W	-1.000
YNL136W	-1.000
YEL044W	-1.000
YJL006C	-1.000
YKR099W	-1.000
YNL236W	-1.000
YPL042C	-1.000
YER173W	-1.000
YPL125W	-1.000
YDL088C	-1.000
YGL078C	-1.000
YFL001W	-1.000
YDL160C	-1.000
YGL173C	-1.000
YKL149C	-1.000
YMR116C	-1.000
YFR009W	-1.000
YML073C	-1.000
YBR044C	-1.000
YHR008C	-1.000
YIL134W	-1.000
YJR121W	-1.000
YML081C-A	-1.000
YBL007C	-1.000
YNL059C	-1.000
YGR188C	-1.000
YGL212W	-1.000
YLR423C	-1.000
YOR270C	-1.000
YNR006W	-1.000
YPL065W	-1.000
YLR417W	-1.000
YJR102C	-1.000
YPL002C	-1.000
YMR077C	-1.000
YLR025W	-1.000
YOR275C	-1.000
YPL084W	-1.000
YPR173C	-1.000
YNR059W	-1.000
YFR019W	-1.000
YML097C	-1.000
YDR323C	-1.000
YGR167W	-1.000
YMR154C	-1.000
YKR020W	-1.000
YJR032W	-1.000
YDR139C	-1.000
YER151C	-1.000
YAL013W	-1.000
YIL073C	-1.000
YLR242C	-1.000
YAL027W	-1.000
YDL118W	-1.000
YDR067C	-1.000
YDR493W	-1.000
YFR012W	-1.000
YGL057C	-1.000
YJR120W	-1.000
YNL224C	-1.000
YOL083W	-1.000
YPL225W	-1.000
YMR158W-B	-1.000
YBL006C	1.000
YHL030W	1.000
YIL011W	1.000
YCR020W-B	1.000
YDR448W	1.000
YGL066W	1.000
YGR056W	1.000
YLR015W	1.000
YLR399C	1.000
YDL056W	1.000
YDR176W	1.000
YML051W	1.000
YOR039W	1.000
YPL024W	1.000
YAR003W	1.000
YOR144C	1.000
YCL061C	1.000
YGL058W	1.000
YJL092W	1.000
YMR190C	1.000
YMR048W	1.000
YIL009C-A	1.000
YPL256C	1.000
YPR119W	1.000
YDL074C	1.000
YHR031C	1.000
YDR432W	1.000
YDR159W	1.000
YKR082W	1.000
YDL116W	1.000
YKL057C	1.000
YKL068W	1.000
YNR052C	1.000
YCL037C	1.000
YIL069C	1.000
YIR021W	1.000
YBR269C	1.000
YER155C	1.000
YGL174W	1.000
YNL138W	1.000
YEL013W	1.000
YLR268W	1.000
YKL135C	1.000
YEL004W	1.000
YGR270W	1.000
YNL242W	1.000
YKL041W	1.000
YJL047C	1.000
YDR074W	1.000
YER057C	1.000
YER060W-A	1.000
YHL003C	1.000
YDR289C	1.000
YLL002W	1.000
YIL015W	1.000
YIL090W	1.000
YLL044W	1.000
YBL094C	1.000
YBR284W	1.000
YHR177W	1.000
YLL030C	1.000
YLR235C	1.000
YBR277C	1.000
YDR290W	1.000
