orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YCR048W	-0.045	-0.143	-0.209			
YCR049C	-0.115	-0.167	-0.072			
YCR050C	0.064	0.093	-0.237			
YCR051W	-0.031	-0.059	0.226			
YCR052W				-0.335	0.197	0.727
YCR053W	-0.308	-0.446	-0.104			
YCR054C				-0.029	-0.105	-0.009
YCR057C				-0.348	-0.437	-0.324
YCR059C	0.093	0.032	0.157			
YCR060W	0.052	0.061	0.158			
YCR061W	0.012999999999999998	0.187	0.6745			
YCR063W	-0.257	-0.142	0.074			
YCR065W	-0.084	0.245	1.217			
YCR066W	0.011	0.043	0.4			
YCR067C	0.121	0.095	0.176			
YCR068W	0.232	0.21	0.441			
YCR069W	0.449	0.176	-0.067			
YCR071C	1.873	0.483	0.252			
YCR072C				-0.022	-0.029	-0.363
YCR073C	0.298	0.134	-0.216			
YCR073W-A	0.011	0.302	-0.19			
YCR075C	-0.119	-0.003	-0.189			
YCR076C	-0.06	0.359	-0.067			
YCR077C	0.145	0.297	2.488			
YCR079W	0.114	0.114	0.159			
YCR081W	0.208	0.447	0.751			
YCR082W	-0.507	-0.492	-0.465			
YCR083W	-0.451	-0.096	0.432			
YCR085W	0.102	0.143	0.291			
YCR086W	-0.011	0.281	0.802			
YCR087C-A	0.54	0.094	0.922			
YCR087W	0.242	0.882	0.754			
YCR088W	-0.124	0.117	0.131			
YCR089W	-0.567	-0.159	0.651			
YCR090C	0.01	-0.006	-0.047			
YCR091W	0.077	-0.161	-0.183			
YCR092C	0.044	0.049	-0.131			
YCR093W				0.001	-0.037	-0.191
YCR094W	0.243	-0.04	-0.019			
YCR095C	0.128	0.133	0.196			
YCR098C	-0.071	0.007	0.017			
YCR099C	-0.057	0.253	-0.122			
YCR100C	0.449	0.154	-0.076			
YCR101C	0.041	-0.152	-0.17			
YCR102C	0.153	0.201	0.191			
YCR102W-A	0.037	-0.015	-0.096			
YCR105W	0.131	-0.068	-0.282			
YCR106W	0.086	0.037	-0.19			
YCR107W	-0.238	-0.168	-0.208			
YDL001W	0.025	-0.541	-0.735			
YDL002C	-0.057	0.348	0.399			
YDL003W				-0.123	-0.085	0.022
YDL004W				-0.231	-0.038	-0.332
YDL006W	0.071	-0.098	0.389			
YDL007W				0.228	0.468	0.606
YDL008W				-0.157	-0.25	-0.183
YDL009C	-0.149	0.008	-0.623			
YDL010W	-0.592	-0.236	-1.157			
YDL011C	0.149	0.14	-0.203			
YDL012C	0.163	-0.066	0.166			
YDL013W	0.347	0.742	3.766			
YDL014W				0.096	-0.392	0.133
YDL015C				-0.085	-0.211	-0.13
YDL016C				-0.184	-0.328	0.001
YDL017W				0.328	-0.035	-0.447
YDL018C	0.302	0.458	0.295			
YDL019C	0.186	0.125	-0.175			
YDL020C	-0.101	0.01	0.341			
YDL021W	-0.185	-0.004	0.0			
YDL022W	-0.213	-0.051	-0.272			
YDL023C	0.02	0.056	1.402			
YDL024C	-0.394	-0.393	-0.43			
YDL025C	0.102	0.099	0.169			
YDL026W	0.094	-0.187	-0.062			
YDL027C	-0.018	-0.082	0.029			
YDL028C				0.036	-0.132	0.223
YDL029W				0.124	-0.397	-0.192
YDL030W				0.252	-0.014	0.007
YDL031W				0.012	-0.096	-0.091
YDL032W	0.062	0.168	2.209			
YDL033C	0.04	-0.072	0.858			
YDL034W	0.148	-0.009	-0.166			
YDL035C	0.022	0.061	-0.05			
YDL036C	0.066	-0.076	-0.087			
YDL037C	-0.012	-0.138	0.01			
YDL039C	-0.018000000000000002	-0.128	-0.31699999999999995			
YDL040C	0.022	0.053	0.151			
YDL041W	-0.314	-0.085	-0.151			
YDL043C				0.123	-0.06	0.483
YDL044C	-0.346	-0.406	0.033			
YDL045C				-0.012	-0.355	-0.015
YDL045W-A	-0.005	-0.169	0.106			
YDL046W	0.267	0.302	0.239			
YDL047W	0.456	0.753	4.209			
YDL048C	0.155	-0.014	0.958			
YDL049C	0.031	0.009	0.112			
YDL050C	-0.138	0.095	-0.14			
YDL051W	0.501	0.441	0.178			
YDL052C	0.077	-0.077	0.063			
YDL053C	-0.261	-0.304	-0.331			
YDL054C	0.087	0.114	-0.007			
YDL055C				-0.177	-0.395	-0.151
YDL056W	0.198	-0.14	0.185			
YDL057W	-0.085	0.096	-0.001			
YDL058W				-0.128	-0.424	-0.114
YDL059C	0.026	0.063	-0.073			
YDL060W				0.125	-0.298	0.116
YDL061C	-0.111	0.051	0.998			
YDL062W	0.067	0.086	0.342			
YDL063C	0.043	-0.071	0.164			
YDL064W				-0.103	-0.146	-0.216
YDL065C	0.437	0.178	0.573			
YDL066W	-0.305	0.324	0.527			
YDL067C	0.309	0.076	0.021			
YDL068W	0.138	0.089	1.252			
YDL069C	-0.004	-0.147	1.008			
YDL070W	-0.028	0.21	0.046			
YDL071C	0.0	-0.086	-0.383			
YDL072C	0.128	0.177	0.144			
YDL073W	0.094	0.112	0.244			
YDL074C	-0.053	-0.175	1.034			
YDL075W	-0.151	1.495	0.237			
YDL076C	0.036	-0.092	0.181			
YDL077C	-0.496	0.28	0.866			
YDL078C	0.002	-0.075	0.085			
YDL079C	-0.012	-0.118	-0.095			
YDL080C	-0.043	-0.151	-0.136			
YDL081C	-0.077	-0.059	0.381			
YDL082W	0.02	0.013	0.013			
YDL083C	-0.639	-0.904	-1.123			
YDL084W				0.03	-0.046	-0.172
YDL085W	0.08	0.039	-0.321			
YDL086W	-0.05	0.122	0.128			
YDL087C				-0.251	-0.036	-0.159
YDL088C	0.275	0.145	0.15			
YDL089W	0.039	0.693	1.104			
YDL090C	0.297	0.193	1.432			
YDL091C	-0.042	-0.118	0.02			
YDL092W				-0.108	0.063	0.088
YDL093W	-0.179	-0.351	-0.305			
YDL094C	-0.264	-0.401	-0.102			
YDL095W	-0.107	-0.188	-0.26			
YDL096C	0.551	0.033	-0.191			
YDL097C				0.002	0.198	-0.061
YDL098C				0.153	0.066	0.365
YDL099W	-0.098	0.052	-0.147			
YDL100C	0.909	1.137	3.018			
YDL101C	-0.243	-0.288	0.313			
YDL102W				-0.609	-1.026	-1.141
YDL103C				-0.549	-0.625	-1.12
YDL104C	-0.225	-0.013	1.328			
YDL105W				0.527	0.078	-0.061
YDL106C	0.473	0.893	1.749			
YDL107W	-0.291	-0.295	0.366			
YDL108W				-0.273	-0.168	-0.685
YDL109C	-0.078	0.154	-0.358			
YDL110C	0.033	0.124	-0.456			
YDL111C				0.363	-0.186	-0.259
YDL112W	-0.253	-0.109	-0.64			
YDL113C	0.127	0.446	0.146			
YDL114W	-0.036	0.042	-0.267			
YDL115C	0.575	0.886	4.495			
YDL116W	0.539	-0.509	2.673			
YDL117W	0.078	0.012	0.498			
YDL118W	-0.08	-0.116	-0.019			
YDL119C	0.007	-0.004	0.094			
YDL120W				-0.336	-0.632	-0.71
YDL121C	0.057	0.187	0.046			
YDL122W	-0.071	-0.018	-0.139			
YDL123W	-0.203	-0.149	-0.279			
YDL124W	0.08	-0.025	-0.623			
YDL125C	0.147	0.059	-0.067			
YDL126C				-0.165	-0.299	-0.344
YDL127W	-0.188	-0.226	-0.302			
YDL128W	-0.073	0.083	-0.171			
YDL129W	0.179	0.018	-0.163			
YDL130W	0.122	0.066	0.901			
YDL130W-A	-0.05	0.142	-0.173			
YDL131W	-0.086	0.062	-0.317			
YDL132W				0.207	0.195	0.142
YDL133C-A	0.158	0.0645	-0.009999999999999995			
YDL133W	0.183	-0.021	0.419			
YDL134C	-0.004	0.15	-0.15			
YDL135C	0.221	-0.011	0.108			
YDL136W	-0.041	-0.012	0.699			
YDL137W	0.037	0.305	-0.124			
YDL138W	-0.532	-0.332	-0.679			
YDL139C				-0.221	0.527	-0.276
YDL140C				-0.119	-0.236	0.184
YDL141W				-0.054	-0.361	-0.586
YDL142C	-0.249	-0.111	-0.099			
YDL143W				-0.078	0.017	0.593
YDL144C	-0.073	0.069	0.058			
YDL145C				-0.167	-0.226	-0.581
YDL146W	-0.24	-0.135	0.084			
YDL147W				0.113	0.364	0.219
YDL148C				0.372	0.184	-0.057
YDL149W	-0.141	-0.153	-0.421			
YDL150W				0.326	-1.144	-1.164
YDL152W				0.765	1.626	0.844
YDL153C				-0.161	0.069	-0.366
YDL154W	0.043	-0.056	0.036			
YDL155W	0.117	-0.1	0.045			
YDL156W	-0.077	0.126	-0.113			
YDL157C	0.359	-0.024	0.042			
YDL158C	0.066	-0.007	-0.046			
YDL160C	-0.594	-0.329	-0.4			
YDL161W	0.059	0.069	-0.164			
YDL162C	-0.058	-0.1	-0.053			
YDL163W				-0.249	-0.281	-0.529
YDL164C				-0.274	0.017	-0.031
YDL165W				-0.239	-0.301	-0.666
YDL166C				-0.196	0.458	0.286
YDL167C	-0.171	-0.047	-0.225			
YDL168W	0.34	-0.187	-0.378			
YDL169C	0.438	1.175	0.157			
YDL170W	-0.12	-0.17	-0.47			
YDL171C	-0.046	-0.063	-0.181			
YDL172C	0.368	0.567	-0.086			
YDL173W	-0.04	0.067	0.544			
YDL174C	0.14	0.064	0.076			
YDL175C	-0.578	0.118	-0.581			
YDL176W	0.046	0.077	0.041			
YDL177C	0.068	0.032	0.106			
YDL178W	-0.046	0.005	-0.036			
YDL179W	-0.212	0.045	-0.084			
YDL180W	0.028	0.256	-0.262			
YDL181W	0.455	0.192	0.323			
YDL182W	0.015	-0.102	-0.018			
YDL183C	-0.268	-0.11	-0.237			
YDL184C	0.135	0.059	0.114			
YDL185W	1.484	0.378	2.222			
YDL186W	0.327	-0.014	-0.111			
YDL187C	0.273	-0.103	-0.117			
YDL188C	0.049	-0.009	0.026			
YDL189W	0.078	0.027	-0.183			
YDL190C	0.029	0.297	0.184			
YDL191W	0.185	0.391	0.992			
YDL192W	-0.106	0.29	0.945			
YDL193W				0.07	-0.158	0.546
YDL194W	-0.173	0.214	1.755			
YDL195W				0.019	-0.145	0.034
YDL196W				-0.285	-0.409	-0.77
YDL197C	-0.048	-0.058	-0.146			
YDL198C	-0.071	-0.245	0.234			
YDL199C	0.027	0.103	0.029			
YDL200C	-0.262	-0.099	-0.163			
YDL201W	-0.008	0.221	0.006			
YDL202W	0.113	0.199	0.173			
YDL203C	0.162	0.038	0.153			
YDL204W	-0.035	0.251	0.094			
YDL205C				-0.154	-0.18	-0.048
YDL207W				-0.492	-0.235	-0.573
YDL208W				-0.238	-0.081	0.032
YDL209C				0.023	-0.029	0.131
YDL210W	-0.058	-0.058	0.055			
YDL211C	0.426	0.702	0.353			
YDL212W				0.188	0.141	0.332
YDL213C	0.598	0.0	0.234			
YDL214C	0.225	0.324	0.127			
YDL215C	0.039	-0.129	0.129			
YDL216C	0.074	0.012	0.296			
YDL217C				-0.254	-0.273	-0.057
YDL218W	-0.334	0.183	-0.088			
YDL219W	-0.227	0.107	0.091			
YDL220C				0.358	-0.046	0.527
YDL221W				-0.123	-0.352	-0.181
YDL222C	0.0	0.102	-0.027			
YDL223C	0.363	-0.154	-0.146			
YDL224C	-0.173	0.159	-0.3			
YDL225W	-0.515	-0.388	-0.498			
YDL226C	0.156	0.179	0.038			
YDL227C	0.04716666666666667	0.1708333333333333	-0.137			
YDL229W	0.002	-0.137	-0.234			
YDL230W	0.266	0.448	-0.051			
YDL231C	-0.274	-0.041	-0.132			
YDL233W	-0.259	-0.121	-0.367			
YDL234C	0.472	0.36	0.586			
YDL235C				-0.025	-0.4	-0.213
YDL236W	0.008	0.459	0.028			
YDL237W	0.283	-0.009	-0.298			
YDL238C	0.135	0.237	0.069			
YDL239C	0.067	0.316	0.484			
YDL240W	0.43	-0.088	0.018			
YDL241W	-0.516	0.481	-0.181			
YDL242W	-0.122	-0.082	-0.454			
YDL243C	-0.175	-0.247	-0.154			
YDR001C	0.029	0.498	-0.08			
YDR002W				-0.35	-0.676	-0.512
YDR003W	-0.054	-0.133	0.2			
YDR004W	0.133	0.116	0.95			
YDR005C	0.256	-0.008	-0.079			
YDR006C	0.054	-0.083	-0.296			
YDR007W	0.313	1.039	0.062			
YDR008C	0.42	0.698	0.224			
YDR009W	0.132	-0.154	-0.159			
YDR010C	0.228	0.047	-0.005			
YDR011W	0.014	-0.144	-0.101			
YDR013W				-0.034	-0.143	0.013
YDR014W	0.216	-0.085	0.401			
YDR015C	0.205	0.077	-0.161			
YDR016C				-0.019	0.157	0.037
YDR017C	-0.696	-0.298	1.054			
YDR018C	0.062	0.028	0.06			
YDR019C	0.054	-0.066	-0.248			
YDR020C	0.0	0.085	0.626			
YDR021W				-0.047	0.028	-0.238
YDR022C	0.038	0.262	0.027			
YDR023W				0.009	-0.127	0.102
YDR024W	-0.099	0.481	0.14			
YDR025W	-0.072	-0.001	-0.134			
YDR026C	-0.176	0.312	-0.381			
YDR028C	0.053	0.238	1.795			
YDR029W	-0.039	0.036	-0.045			
YDR030C	-0.01	-0.136	-0.142			
YDR031W	0.044	0.039	0.278			
YDR032C	0.154	-0.004	0.21			
YDR033W	-0.339	-0.547	-0.081			
YDR034C	-0.153	-0.121	-0.222			
YDR035W	0.105	0.09	0.012			
YDR036C	-0.308	-0.199	-0.403			
YDR037W				0.079	-0.274	0.047
YDR041W				0.025	-0.016	0.618
YDR042C	-0.266	-0.322	-0.187			
YDR043C	-0.149	0.331	-0.232			
YDR044W				-0.126	-0.195	-0.227
YDR045C				0.364	0.019	0.471
YDR046C	0.19	0.18	0.201			
YDR047W				0.237	-0.199	1.067
YDR048C	-0.504	-0.601	-0.573			
YDR049W	0.089	0.048	0.634			
YDR050C				0.123	0.19449999999999998	-0.3905
YDR051C	0.004	-0.156	-0.094			
YDR052C				0.037	-0.057	-0.193
YDR053W				-0.003	-0.017	0.095
YDR054C				0.357	0.375	0.581
YDR055W	-0.381	-0.445	-0.663			
YDR056C	0.2	0.17	0.086			
YDR057W	-0.341	-0.382	-0.08			
YDR058C	0.021	0.324	0.351			
YDR059C	-0.001	0.124	-0.047			
YDR060W				0.184	-0.343	-0.063
YDR061W	-0.115	0.31	-0.342			
YDR062W				0.011	0.196	-0.101
YDR063W	-0.247	-0.333	-0.41			
YDR064W				-0.039	-0.125	-0.069
YDR065W	0.082	0.086	0.144			
YDR066C	-0.456	-0.046	-0.279			
YDR067C	0.156	0.248	0.037			
YDR068W	0.033	0.162	-0.042			
YDR069C	0.42	0.377	1.268			
YDR070C	0.064	0.058	-0.469			
YDR071C	0.147	0.472	0.171			
YDR072C	0.261	0.457	0.593			
YDR073W	0.064	0.084	-0.036			
YDR074W	0.172	0.518	1.663			
YDR075W	0.33	0.675	0.019			
YDR076W	-0.041	0.058	0.829			
YDR077W	-0.033	-0.277	-0.435			
YDR078C	0.192	0.64	0.164			
YDR080W	0.041	0.011	0.5			
YDR081C				0.514	0.037	0.174
YDR082W				-0.372	-0.079	-0.741
YDR083W	0.004	0.05	0.042			
YDR084C	0.033	0.059	-0.173			
YDR085C	0.098	-0.08	-0.092			
YDR086C				-0.312	-0.424	-0.231
YDR087C				-0.25	-0.554	-0.387
YDR088C				-0.114	-0.227	-0.071
YDR089W	0.092	-0.177	-0.184			
YDR090C	0.096	-0.004	-0.021			
YDR091C				0.134	-0.281	0.079
YDR092W	-0.054	0.286	-0.126			
YDR093W	0.061	-0.18	-0.122			
YDR094W	-0.076	-0.137	-0.175			
YDR095C	-0.067	-0.212	-0.211			
YDR096W	-0.1	-0.14	-0.181			
YDR097C	0.041	-0.119	0.067			
YDR098C	-0.087	-0.184	-0.053			
YDR099W	0.149	-0.088	-0.039			
YDR100W	-0.062	-0.035	-0.216			
YDR101C	0.02	-0.23	0.013			
YDR102C	-0.017	0.054	0.097			
YDR103W	0.016	-0.112	0.188			
YDR104C	-0.062	-0.058	-0.101			
YDR105C	-0.158	-0.393	-0.252			
YDR107C	-0.133	0.362	-0.319			
YDR108W	-0.121	-0.203	-0.155			
YDR109C	0.09	-0.169	0.118			
YDR110W	-0.229	0.085	-0.113			
YDR111C	-0.308	-0.268	-0.356			
YDR112W	-0.094	-0.053	-0.3			
YDR113C				-0.025	-0.378	-0.086
YDR114C	-0.08	0.093	0.707			
YDR115W	-0.041	-0.226	0.019			
YDR116C	-0.025	0.148	0.492			
YDR117C	-0.032	0.218	-0.184			
YDR118W				0.086	-0.225	-0.012
YDR119W	-0.079	-0.224	-0.263			
YDR120C	0.329	0.803	2.431			
YDR121W	-0.286	-0.403	-0.017			
YDR122W	-0.051	0.098	-0.278			
YDR123C	0.153	0.02	0.268			
YDR124W	0.308	0.222	-0.053			
YDR125C	0.015	-0.087	1.413			
YDR126W	-0.092	-0.06	0.765			
YDR127W	0.317	1.023	0.609			
YDR128W	0.042	0.005	0.184			
YDR130C	0.022	0.173	0.137			
YDR131C	-0.123	-0.019	-0.171			
YDR132C	-0.135	-0.036	-0.184			
YDR133C	0.07	-0.015	0.144			
YDR135C	0.263	0.139	-0.057			
YDR136C	1.236	0.902	3.441			
YDR137W	0.245	0.568	1.314			
YDR138W	0.36	1.813	1.243			
YDR139C	0.113	0.066	0.26			
YDR140W	-0.603	-0.85	-0.869			
YDR141C				0.268	0.177	0.359
YDR142C	0.059	0.072	0.109			
YDR143C	-0.142	-0.142	-0.387			
YDR144C	-0.014	-0.028	-0.123			
YDR145W				-0.091	-0.148	0.132
YDR146C	0.0	0.18	0.009			
YDR147W	-0.017	-0.021	-0.229			
YDR148C	-0.531	-0.161	-0.587			
YDR149C	-0.08	-0.244	-0.079			
YDR150W	-0.134	-0.114	0.01			
YDR151C	-0.066	0.278	0.127			
YDR152W	0.032	0.202	-0.081			
YDR153C	-0.009	-0.167	-0.143			
YDR154C	-0.216	0.046	-0.058			
YDR155C	0.086	-0.01	-0.113			
YDR156W	-0.054	-0.068	0.141			
YDR157W	-0.028	-0.007	-0.123			
YDR158W	0.094	0.503	0.18			
YDR159W	-0.081	0.01	0.458			
YDR160W				0.192	0.014	0.368
YDR161W	0.255	0.2	0.27			
YDR162C	-0.148	0.126	0.308			
YDR163W	0.035	0.144	-0.037			
YDR164C				0.111	0.391	0.066
YDR165W	-0.121	-0.126	0.067			
YDR166C				-0.02	-0.28	-0.285
YDR167W				-0.337	-0.193	-0.167
YDR168W				0.127	-0.056	-0.016
YDR169C	-0.023	0.121	-0.053			
YDR170C				-0.042	-0.169	-0.154
YDR171W	-0.205	-0.281	-0.126			
YDR172W				-0.252	-0.042	0.013
YDR173C	-1.157	0.531	-0.495			
YDR174W	-0.335	-0.491	-0.124			
YDR175C	-0.013	0.605	-0.287			
YDR176W	0.226	0.995	1.529			
YDR177W				0.019	0.252	0.007
YDR178W	0.067	0.173	-0.139			
YDR179C	-0.043	-0.198	-0.038			
YDR179W-A	0.029	0.074	-0.14			
YDR180W				-0.22	-0.299	0.157
YDR181C	-0.21	-0.097	0.056			
YDR182W				0.038	-0.042	0.076
YDR183W	-0.005	-0.022	-0.153			
YDR184C	-0.08	-0.134	-0.051			
YDR185C	-0.136	-0.121	-0.074			
YDR186C	0.021	-0.07	-0.034			
YDR187C				-0.711	-1.086	-0.908
YDR189W				-0.036	-0.103	-0.166
YDR190C				0.256	-0.018	0.12
YDR191W	0.039	-0.053	-0.071			
YDR192C	0.063	0.082	-0.027			
YDR193W	0.048	-0.016	0.007			
YDR195W	-0.009	0.361	1.812			
YDR196C				0.095	0.273	0.061
YDR197W	0.191	-0.167	4.052			
YDR198C	-0.05	-0.267	-0.187			
YDR199W	-0.125	-0.223	-0.329			
YDR200C	-0.015	0.07	1.443			
YDR201W				-0.004	-0.061	-0.074
YDR202C	-0.141	-0.13	-0.127			
YDR203W	0.142	0.724	0.172			
YDR204W	0.325	0.229	2.559			
YDR205W	0.01	-0.013	0.168			
YDR206W	-0.059	-0.295	-0.235			
YDR207C	-0.248	0.067	0.706			
YDR208W				-0.338	-0.164	-0.432
YDR209C	-0.035	-0.073	-0.067			
YDR210W	-0.006	0.098	-0.125			
YDR211W				0.18	0.219	-0.011
YDR212W				-0.085	-0.226	0.071
YDR213W	0.207	0.207	-0.008			
YDR214W	0.017	0.02	-0.077			
YDR215C	0.024	-0.094	-0.059			
YDR216W	-0.09	-0.095	-0.15			
YDR217C	0.172	0.3	-0.154			
YDR218C	0.249	0.409	-0.055			
YDR219C	0.063	0.032	-0.086			
YDR220C	-0.059	0.001	-0.285			
YDR221W	-0.237	-0.043	-0.324			
YDR222W	-0.019	0.002	-0.026			
YDR223W	-0.268	-0.215	-0.277			
YDR224C				0.026	0.249	0.14800000000000002
YDR225W	-0.144	-0.01	0.142			
YDR226W	0.556	0.33	-0.011			
YDR227W	0.103	0.014	0.347			
YDR228C				0.019	0.425	0.043
YDR229W	0.059	0.008	0.079			
YDR230W	0.188	0.296	1.222			
YDR231C	0.405	-0.28	-0.107			
YDR232W				0.31	0.216	-0.098
YDR233C	-0.019	-0.019	0.148			
YDR234W	-0.008	-0.071	0.071			
YDR235W				-0.069	-0.063	-0.268
YDR236C				0.006	-0.007	-0.268
YDR237W	0.625	1.03	1.006			
YDR238C				0.065	-0.104	-0.258
YDR239C	-0.105	0.232	-0.12			
YDR240C				0.066	-0.051	-0.22
YDR241W	0.121	-0.022	1.204			
YDR242W	-0.01	0.26	0.093			
YDR243C				-0.081	-0.001	-0.106
YDR244W	0.314	0.201	0.689			
YDR245W	-0.167	0.317	3.495			
YDR246W				-0.106	-0.308	0.195
YDR247W	0.056	0.146	-0.132			
YDR248C	0.441	0.222	0.172			
YDR249C	0.703	-0.109	-0.209			
YDR250C	0.228	0.358	0.017			
YDR251W	0.129	0.225	-0.049			
YDR252W	0.082	0.252	-0.03			
YDR253C	0.028	0.022	-0.567			
YDR254W	-0.053	0.169	1.107			
YDR255C	0.081	0.164	0.384			
YDR256C	0.113	0.217	-0.076			
YDR257C	0.271	0.168	0.075			
YDR258C	0.006	0.262	-0.222			
YDR259C	0.023	0.362	-0.087			
YDR260C	-0.223	-0.122	-0.079			
YDR261C	0.187	0.065	-0.063			
YDR262W	-0.153	0.043	-0.156			
YDR263C	-0.367	0.12	-0.277			
YDR264C	0.717	0.295	1.201			
YDR265W	0.009	0.154	1.058			
YDR266C	0.121	-0.596	-0.652			
YDR267C				-0.231	-0.042	0.1
YDR268W	0.018	-0.126	-0.285			
YDR269C	-0.145	-0.07	-0.329			
YDR270W	0.166	-0.216	-0.211			
YDR271C	0.499	0.261	-0.447			
YDR272W	0.151	0.378	0.322			
YDR273W	0.15	0.187	-0.147			
YDR274C	-0.061	0.154	-0.101			
YDR275W	-0.097	-0.327	-0.204			
YDR276C	-0.193	0.079	-0.42			
YDR277C	-0.224	-0.048	-0.257			
YDR278C	0.032	0.136	-0.199			
YDR279W	-0.031	0.019	-0.079			
YDR280W				0.386	-0.691	-0.562
YDR281C	-0.056	-0.14	0.063			
YDR282C	0.255	0.115	0.148			
YDR283C	0.214	-0.262	0.117			
YDR284C	0.638	0.682	-0.206			
YDR285W	0.194	-0.136	-0.402			
YDR286C	-0.062	0.421	-0.209			
YDR287W	-0.028	-0.408	-0.463			
YDR288W				-0.285	0.082	-0.329
YDR289C	-0.28	0.318	-0.185			
YDR290W	-0.13	-0.019	-0.38			
YDR291W	0.024	0.012	-0.039			
YDR292C				-0.217	-0.302	-0.295
YDR293C	-0.059	1.56	3.7			
YDR294C	-0.15	-0.068	-0.298			
YDR295C	-0.01	-0.058	-0.204			
YDR296W	-0.234	-0.059	-0.246			
YDR297W	-0.025	0.068	0.02			
YDR298C	0.404	-0.04	0.302			
YDR299W				0.19	-0.017	-0.212
YDR300C	-0.039	-0.228	2.806			
YDR301W				-0.003	-0.135	-0.027
YDR302W				-0.145	-0.306	0.237
YDR303C				0.22	-0.541	-0.12
YDR304C	0.022	-0.211	-0.172			
YDR305C	0.13	0.051	0.063			
YDR306C	-0.086	-0.085	-0.279			
YDR307W	0.094	0.037	0.11			
YDR308C				0.0	-0.051	-0.071
YDR309C	-0.059	0.084	-0.017			
YDR310C	0.046	0.049	0.53			
YDR311W				-0.19	0.361	-0.146
YDR312W	0.077	0.021	0.073			
YDR313C	0.105	0.295	-0.162			
YDR314C	0.124	0.158	0.236			
YDR315C	-0.053	-0.19	0.331			
YDR316W	0.702	0.1	0.726			
YDR317W	-0.048	-0.192	-0.068			
YDR318W	-0.035	0.002	0.707			
YDR319C	-0.005	-0.039	0.208			
YDR320C	-0.818	-0.454	0.282			
YDR321W	0.149	0.164	-0.356			
YDR322W	-0.054	-0.212	0.403			
YDR323C	0.218	-0.175	0.224			
YDR324C				-0.055	-0.139	-0.023
YDR325W				0.29	0.023	0.123
YDR326C	1.04	0.467	-0.026			
YDR327W				-0.015	-0.005	-0.049
YDR328C				-0.208	-0.263	-0.066
YDR329C	-0.081	-0.097	1.221			
YDR330W	-0.163	0.091	0.005			
YDR331W				-0.395	-0.196	-0.508
YDR332W	0.1	0.124	0.197			
YDR333C	0.031	-0.007	-0.137			
YDR334W	-0.254	-0.137	1.15			
YDR335W	0.042	-0.07	0.821			
YDR336W	-0.39	-0.422	-0.825			
YDR337W	0.209	0.096	0.423			
YDR338C	-0.058	0.104	-0.177			
YDR339C				0.099	-0.007	-0.036
YDR340W	0.179	0.696	0.259			
YDR341C				0.067	-0.225	-0.148
YDR344C	0.087	0.676	0.13			
YDR345C	0.274	0.179	-0.199			
YDR346C	-0.138	-0.274	-0.02			
YDR347W	0.401	0.169	0.243			
YDR348C	-0.049	0.055	0.538			
YDR349C	-0.018	-0.03	-0.15			
YDR351W	0.335	0.243	-0.016			
YDR352W	0.535	-0.017	0.317			
YDR353W				0.059	0.084	-0.076
YDR354W	0.56	0.746	-0.297			
YDR355C				0.064	-0.129	0.074
YDR356W				0.05	-0.013	-0.056
YDR357C	0.011	-0.052	-0.423			
YDR358W	0.136	0.242	-0.001			
YDR359C	0.361	2.007	4.035			
YDR360W	-0.006	0.328	-0.08			
YDR361C				-0.155	-0.229	-0.25
YDR362C				-0.149	0.245	0.159
YDR363W	0.141	-0.037	0.918			
YDR363W-A	-0.016	0.0	0.661			
YDR364C	0.033	0.07	0.081			
YDR365C				0.045	0.058	0.206
YDR367W				-0.122	-0.105	0.005
YDR368W	-0.242	-0.067	-0.351			
YDR369C	-0.424	-0.463	1.028			
YDR370C	-0.076	-0.22	-0.22			
YDR371W	-0.026	-0.019	0.254			
YDR372C	0.065	0.031	0.911			
YDR373W				0.163	0.103	-0.16
YDR374C	-0.076	-0.017	-0.01			
YDR375C	0.84	1.968	2.587			
YDR376W				-0.256	-0.34	-0.239
YDR377W	-0.054	0.093	0.949			
YDR378C	-0.282	0.206	3.304			
YDR379W	0.069	0.255	0.058			
YDR380W	0.199	0.128	-0.135			
YDR381W				0.086	0.158	-0.323
YDR383C	-0.15	0.079	0.143			
YDR384C	-0.003	0.442	0.025			
YDR385W	0.054	0.187	0.271			
YDR386W	-0.146	-0.113	0.105			
YDR387C	0.074	0.302	-0.141			
YDR388W	-0.138	-0.097	0.965			
YDR389W	0.074	-0.038	-0.018			
YDR390C				-0.142	-0.747	-0.47
YDR391C	0.129	0.249	-0.048			
YDR392W	0.083	0.154	1.119			
YDR393W	-0.015	-0.036	0.738			
YDR394W				0.005	0.271	0.487
YDR395W	-0.13	0.1	0.867			
