orf	hap a | growth (relative abundance in pooled culture) | geldanamycin [20 ug/ml] | Zhao R~Houry WA, 2005
YAL002W	-5.2139572395395435
YAL026C	-4.083904918477444
YBL007C	-5.801133982314611
YBL024W	-3.972282545150581
YBL027W	-2.6198135365840627
YBL051C	-7.8020561107050685
YBL067C	-3.1248468117476693
YBL072C	-4.298620655893289
YBR126C	-5.2589208513470265
YBR131W	-4.060056814977343
YBR164C	-7.7024405950431865
YBR191W	-4.399726678023927
YBR231C	-2.7626537398398785
YBR245C	-3.7461395914742712
YBR246W	-3.9585367632720496
YBR288C	-2.7288689265480683
YBR290W	-4.810029986506575
YCL008C	-5.469496293016325
YCR002C	-2.6919374884888834
YCR009C	-6.594166229607916
YCR034W	-7.372873053618173
YCR044C	-3.9200320128291777
YCR084C	-5.626661919555189
YCR094W	-4.734676603919449
YDL005C	-6.00624423359847
YDL117W	-3.90015859324576
YDL119C	-6.699909382974686
YDL135C	-4.810112792421506
YDL198C	-2.689867340615611
YDR067C	-2.6416742981258223
YDR073W	-3.103979721185081
YDR080W	-4.184100075543843
YDR126W	-7.696892598742815
YDR136C	-3.9813083898780492
YDR202C	-3.8994961459263124
YDR203W	-2.6707391742665707
YDR295C	-4.083242471157996
YDR297W	-4.032730863050143
YDR310C	-4.017328962872994
YDR320C	-5.2222378310326345
YDR323C	-6.201748998750343
YDR334W	-2.7520545827287224
YDR335W	-6.856992203598617
YDR388W	-3.5892223826802008
YDR389W	-2.7142122796052974
YDR392W	-5.419481520398057
YDR417C	-2.805381591944227
YDR418W	-3.2707508338559292
YDR442W	-5.231512093504897
YDR443C	-3.586241369742688
YDR445C	-2.6964918138100833
YDR448W	-5.561245246759771
YDR461W	-2.7267159727598647
YDR484W	-3.5703426340759536
YEL013W	-2.7838520540621907
YEL053C	-3.3983547487644583
YEL057C	-5.494172455665736
YER056C	-3.4196358689017012
YER151C	-2.7393024718293626
YER177W	-3.4751986378203403
YFL014W	-3.910592138527054
YFL025C	-8.139821437708243
YFR034C	-4.210846386066526
YFR036W	-7.265556587867717
YGL005C	-5.236149224741028
YGL013C	-7.110957944691712
YGL019W	-3.5004544418742674
YGL020C	-3.923427055341345
YGL025C	-4.236516219695107
YGL035C	-5.181911350461283
YGL043W	-3.786714489790416
YGL045W	-4.554822156689518
YGL084C	-3.2038436545917555
YGL124C	-2.9426737988996723
YGL151W	-4.9877314799483035
YGL212W	-9.602422313132866
YGL253W	-3.387921203483164
YGR063C	-2.885454911682415
YGR064W	-2.630164275950426
YGR106C	-5.641152954668097
YGR122W	-2.967267155634152
YGR163W	-2.9818409966619916
YGR178C	-3.1833077876888907
YGR187C	-4.36635589430677
YGR188C	-3.779593181106358
YGR229C	-2.9714074513806974
YGR252W	-4.524349579994943
YGR261C	-5.390665062002101
YHL011C	-4.163150179066323
YHL027W	-6.074062277926884
YHR012W	-3.1168146379993713
YHR167W	-3.8364808446638916
YIL036W	-3.784975565576867
YIL052C	-4.041756707777612
YJL004C	-8.004682184541
YJL024C	-5.373441431696472
YJL053W	-3.099425395863881
YJL117W	-3.4772687856936133
YJL121C	-4.326360637395143
YJL154C	-3.4710583420737953
YJL175W	-2.938036667663541
YJL204C	-4.1503152622520325
YJR011C	-4.9239709254515045
YJR033C	-6.041271135614244
YJR040W	-6.139810174382024
YJR102C	-8.684187522464029
YJR118C	-2.962050382993505
YJR122W	-3.327638497413463
YKL041W	-3.863475572931368
YKL077W	-3.15498816478252
YKL126W	-5.821669849217477
YKL135C	-3.5208246969472707
YKL155C	-6.131778000633727
YKL166C	-2.648381577235226
YKL176C	-3.034008723068464
YKL205W	-3.2558457691683658
YKL212W	-9.02344335593596
YKR001C	-5.028389184179379
YKR007W	-3.616713946437262
YKR019C	-3.4328848152906466
YKR055W	-5.1015068070633705
YLR025W	-5.757578071060954
YLR119W	-3.2728209817292018
YLR216C	-3.533411196016769
YLR261C	-4.440467188169933
YLR330W	-7.384962717198086
YLR334C	-3.1474528265238075
YLR371W	-4.300028356447114
YLR372W	-3.8258816875527355
YLR386W	-4.934570082562661
YLR407W	-6.229240562507405
YLR417W	-3.8892282124748796
YML001W	-3.8474112254347714
YML008C	-7.247422092497848
YML017W	-3.3864306970144074
YML036W	-2.9238768562103563
YML041C	-2.8423958359183428
YML062C	-8.398921145527051
YML071C	-8.490173263780912
YML097C	-5.368307464970756
YML121W	-4.140047328800599
YML123C	-5.623598100702744
YMR015C	-8.329198565155227
YMR031W-A	-5.883525867670865
YMR095C	-2.9280999578718325
YMR154C	-6.38657180087613
YMR202W	-3.7178199685679005
YNL025C	-3.48513534761205
YNL032W	-3.108120016931626
YNL037C	-2.766628423756562
YNL041C	-3.9075283196746105
YNL051W	-5.584430902940425
YNL064C	-2.946482870986494
YNL084C	-2.940272427366676
YNL098C	-4.183603240054257
YNL111C	-5.0988570177855825
YNL197C	-4.426307376716748
YNL229C	-4.990795298800747
YNL235C	-5.045281590825285
YNL288W	-2.9179976362502615
YNL294C	-6.441389316560391
YNL297C	-2.709989177943821
YNL323W	-3.5391248041470016
YNR005C	-4.2792440717994555
YNR006W	-2.846784549409681
YNR051C	-3.9824676726870822
YOL004W	-5.536486278195429
YOL006C	-6.113891923008651
YOL018C	-5.604138710693982
YOL050C	-7.978515515422832
YOL051W	-5.237639731209783
YOL061W	-2.7836864422323293
YOL081W	-3.793338962984889
YOR027W	-6.960582403177184
YOR036W	-3.087749761858623
YOR061W	-5.3626766627554545
YOR068C	-3.136853669412651
YOR089C	-2.8693905641858186
YOR106W	-6.180964714102686
YOR153W	-7.841885755786835
YOR216C	-5.703091779036416
YOR243C	-3.350078900359739
YOR270C	-6.073813860182091
YOR275C	-6.627205789665347
YOR306C	-3.5552719575585283
YOR327C	-3.4368594992073302
YPL002C	-3.5208246969472707
YPL042C	-3.966154907445693
YPL084W	-4.23312117718294
YPL135W	-2.8733652481025027
YPL161C	-5.40606696217925
YPL195W	-3.6764998170173775
YPL225W	-3.389328904036989
YPR024W	-3.4267571775857597
YPR050C	-3.4394264825701883
YPR160W	-7.2582696673537965
YPR170C	-3.2522851148263365
YPR173C	-5.12419562775444
YPR179C	-5.605712023077669
YPR194C	-3.938663343688632
