ORF	hap a | growth (relative abundance in pooled culture) | geldanamycin [20 ug/ml] | Zhao R~Houry WA, 2005
YAL002W	-78.000
YAL026C	-78.000
YBL007C	-78.000
YBL024W	-78.000
YBL027W	-78.000
YBL051C	-78.000
YBL067C	-78.000
YBL072C	-78.000
YBR126C	-78.000
YBR131W	-78.000
YBR164C	-78.000
YBR191W	-78.000
YBR231C	-78.000
YBR245C	-78.000
YBR246W	-78.000
YBR288C	-78.000
YBR290W	-78.000
YCL008C	-78.000
YCR002C	-78.000
YCR009C	-78.000
YCR034W	-78.000
YCR044C	-78.000
YCR084C	-78.000
YCR094W	-78.000
YDL005C	-78.000
YDL117W	-78.000
YDL119C	-78.000
YDL135C	-78.000
YDL198C	-78.000
YDR067C	-78.000
YDR073W	-78.000
YDR080W	-78.000
YDR126W	-78.000
YDR136C	-78.000
YDR202C	-78.000
YDR203W	-78.000
YDR295C	-78.000
YDR297W	-78.000
YDR310C	-78.000
YDR320C	-78.000
YDR323C	-78.000
YDR334W	-89.000
YDR335W	-78.000
YDR388W	-78.000
YDR389W	-78.000
YDR392W	-78.000
YDR417C	-78.000
YDR418W	-78.000
YDR442W	-78.000
YDR443C	-78.000
YDR445C	-78.000
YDR448W	-78.000
YDR461W	-78.000
YDR484W	-78.000
YEL013W	-78.000
YEL053C	-78.000
YEL057C	-78.000
YER056C	-78.000
YER151C	-78.000
YER177W	-78.000
YFL014W	-78.000
YFL025C	-78.000
YFR034C	-78.000
YFR036W	-78.000
YGL005C	-78.000
YGL013C	-78.000
YGL019W	-78.000
YGL020C	-78.000
YGL025C	-78.000
YGL035C	-78.000
YGL043W	-78.000
YGL045W	-78.000
YGL084C	-78.000
YGL124C	-78.000
YGL151W	-78.000
YGL212W	-78.000
YGL253W	-78.000
YGR063C	-78.000
YGR064W	-78.000
YGR106C	-78.000
YGR122W	-78.000
YGR163W	-78.000
YGR178C	-78.000
YGR187C	-78.000
YGR188C	-78.000
YGR229C	-78.000
YGR252W	-78.000
YGR261C	-78.000
YHL011C	-78.000
YHL027W	-78.000
YHR012W	-78.000
YHR167W	-78.000
YIL036W	-78.000
YIL052C	-78.000
YJL004C	-78.000
YJL024C	-78.000
YJL053W	-78.000
YJL117W	-78.000
YJL121C	-78.000
YJL154C	-78.000
YJL175W	-78.000
YJL204C	-78.000
YJR011C	-78.000
YJR033C	-78.000
YJR040W	-78.000
YJR102C	-78.000
YJR118C	-78.000
YJR122W	-78.000
YKL041W	-78.000
YKL077W	-78.000
YKL126W	-78.000
YKL135C	-78.000
YKL155C	-78.000
YKL166C	-78.000
YKL176C	-78.000
YKL205W	-78.000
YKL212W	-78.000
YKR001C	-78.000
YKR007W	-78.000
YKR019C	-78.000
YKR055W	-78.000
YLR025W	-78.000
YLR119W	-78.000
YLR216C	-78.000
YLR261C	-78.000
YLR330W	-78.000
YLR334C	-78.000
YLR371W	-78.000
YLR372W	-78.000
YLR386W	-78.000
YLR407W	-78.000
YLR417W	-78.000
YML001W	-78.000
YML008C	-78.000
YML017W	-78.000
YML036W	-78.000
YML041C	-78.000
YML062C	-78.000
YML071C	-78.000
YML097C	-78.000
YML121W	-78.000
YML123C	-78.000
YMR015C	-78.000
YMR031W-A	-78.000
YMR095C	-78.000
YMR154C	-78.000
YMR202W	-78.000
YNL025C	-78.000
YNL032W	-78.000
YNL037C	-78.000
YNL041C	-78.000
YNL051W	-78.000
YNL064C	-78.000
YNL084C	-78.000
YNL098C	-78.000
YNL111C	-78.000
YNL197C	-78.000
YNL229C	-78.000
YNL235C	-78.000
YNL288W	-78.000
YNL294C	-78.000
YNL297C	-78.000
YNL323W	-78.000
YNR005C	-78.000
YNR006W	-78.000
YNR051C	-78.000
YOL004W	-78.000
YOL006C	-78.000
YOL018C	-78.000
YOL050C	-78.000
YOL051W	-78.000
YOL061W	-78.000
YOL081W	-78.000
YOR027W	-78.000
YOR036W	-78.000
YOR061W	-78.000
YOR068C	-78.000
YOR089C	-78.000
YOR106W	-78.000
YOR153W	-78.000
YOR216C	-78.000
YOR243C	-78.000
YOR270C	-78.000
YOR275C	-78.000
YOR306C	-78.000
YOR327C	-78.000
YPL002C	-78.000
YPL042C	-78.000
YPL084W	-78.000
YPL135W	-78.000
YPL161C	-78.000
YPL195W	-78.000
YPL225W	-78.000
YPR024W	-78.000
YPR050C	-78.000
YPR160W	-78.000
YPR170C	-78.000
YPR173C	-78.000
YPR179C	-78.000
YPR194C	-78.000
