ORF	hap a | growth (spot assay) | expression of alpha-sinuclein [unknown] | Willingham S~Muchowski PJ, 2003	hap a | growth (spot assay) | expression of mutant huntingtin fragment [GAL] | Willingham S~Muchowski PJ, 2003
YAL022C	-1.000	0.000
YAR035W	-1.000	0.000
YBL052C	0.000	-1.000
YBL067C	0.000	-1.000
YBR013C	-1.000	0.000
YBR098W	0.000	-1.000
YBR203W	0.000	-1.000
YBR255W	0.000	-1.000
YBR284W	-1.000	0.000
YBR298C	-1.000	0.000
YBR300C	-1.000	0.000
YCL042W	-1.000	0.000
YCR005C	0.000	-1.000
YCR021C	-1.000	0.000
YCR026C	-1.000	0.000
YCR050C	-1.000	0.000
YCR051W	-1.000	0.000
YCR068W	-1.000	0.000
YCR085W	-1.000	0.000
YDL118W	-1.000	0.000
YDL130W-A	-1.000	0.000
YDL184C	-1.000	0.000
YDL236W	-1.000	0.000
YDR100W	0.000	-1.000
YDR116C	0.000	-1.000
YDR127W	-1.000	0.000
YDR154C	-1.000	0.000
YDR162C	-1.000	0.000
YDR215C	0.000	-1.000
YDR220C	-1.000	0.000
YDR253C	-1.000	0.000
YDR272W	0.000	-1.000
YDR284C	-1.000	0.000
YDR315C	0.000	-1.000
YDR334W	-1.000	0.000
YDR484W	-1.000	0.000
YDR486C	-1.000	0.000
YDR502C	0.000	-1.000
YDR505C	0.000	-1.000
YDR519W	0.000	-1.000
YDR528W	0.000	-1.000
YEL012W	-1.000	0.000
YEL042W	0.000	-1.000
YER037W	0.000	-1.000
YER044C-A	-1.000	0.000
YER054C	-1.000	0.000
YER059W	0.000	-1.000
YFR014C	0.000	-1.000
YFR035C	-1.000	0.000
YGL086W	-1.000	0.000
YGL109W	-1.000	0.000
YGL164C	0.000	-1.000
YGL165C	-1.000	0.000
YGL205W	-1.000	0.000
YGL224C	0.000	-1.000
YGL226W	-1.000	0.000
YGL229C	-1.000	0.000
YGL231C	-1.000	0.000
YGL262W	-1.000	0.000
YGR015C	0.000	-1.000
YGR055W	0.000	-1.000
YGR077C	-1.000	0.000
YGR130C	-1.000	0.000
YGR154C	-1.000	0.000
YGR189C	-1.000	0.000
YGR197C	0.000	-1.000
YGR201C	-1.000	0.000
YGR234W	0.000	-1.000
YGR260W	-1.000	0.000
YGR290W	-1.000	0.000
YHL019C	0.000	-1.000
YHL024W	0.000	-1.000
YHR006W	-1.000	-1.000
YHR008C	-1.000	0.000
YHR025W	-1.000	0.000
YHR038W	0.000	-1.000
YHR199C	-1.000	0.000
YIL117C	0.000	-1.000
YIL124W	0.000	-1.000
YIL125W	0.000	-1.000
YIR030C	0.000	-1.000
YIR038C	-1.000	0.000
YJL118W	-1.000	0.000
YJL122W	-1.000	0.000
YJL126W	-1.000	0.000
YJL135W	-1.000	0.000
YJL172W	0.000	-1.000
YJL210W	-1.000	0.000
YJR059W	-1.000	0.000
YJR073C	-1.000	0.000
YJR107W	0.000	-1.000
YJR126C	0.000	-1.000
YJR154W	-1.000	0.000
YKL041W	-1.000	0.000
YKL098W	-1.000	0.000
YKL100C	-1.000	0.000
YKL157W	-1.000	0.000
YKR017C	0.000	-1.000
YKR023W	-1.000	0.000
YKR035C	-1.000	0.000
YKR064W	0.000	-1.000
YKR084C	-1.000	0.000
YLR128W	0.000	-1.000
YLR144C	-1.000	0.000
YLR237W	-1.000	0.000
YLR303W	-1.000	0.000
YLR365W	-1.000	0.000
YLR376C	-1.000	0.000
YML076C	-1.000	0.000
YML089C	-1.000	0.000
YML100W	-1.000	0.000
YMR153W	-1.000	0.000
YMR160W	0.000	-1.000
YMR161W	0.000	-1.000
YMR175W	0.000	-1.000
YMR226C	-1.000	0.000
YMR289W	-1.000	0.000
YNL041C	-1.000	0.000
YNL077W	0.000	-1.000
YNL293W	-1.000	0.000
YNL296W	0.000	-1.000
YOL018C	-1.000	0.000
YOL049W	0.000	-1.000
YOL108C	-1.000	0.000
YOL151W	0.000	-1.000
YOR032C	0.000	-1.000
YOR040W	-1.000	0.000
YOR188W	0.000	-1.000
YOR292C	0.000	-1.000
YOR300W	0.000	-1.000
YOR337W	0.000	-1.000
YPL029W	-1.000	0.000
YPL051W	-1.000	0.000
YPL065W	-1.000	0.000
YPL067C	0.000	-1.000
YPL123C	-1.000	0.000
YPL136W	-1.000	0.000
