orf	hap a | growth (spot assay) | expression of alpha-sinuclein [unknown] | Willingham S~Muchowski PJ, 2003	hap a | growth (spot assay) | expression of mutant huntingtin fragment [GAL] | Willingham S~Muchowski PJ, 2003
YAL022C	-7.288091593124187	0.0
YAR035W	-7.288091593124187	0.0
YBR013C	-7.288091593124187	0.0
YBR284W	-7.288091593124187	0.0
YBR295W	-7.288091593124187	0.0
YBR298C	-7.288091593124187	0.0
YBR300C	-7.288091593124187	0.0
YCL042W	-7.288091593124187	0.0
YCR021C	-7.288091593124187	0.0
YCR026C	-7.288091593124187	0.0
YCR050C	-7.288091593124187	0.0
YCR051W	-7.288091593124187	0.0
YCR068W	-7.288091593124187	0.0
YCR085W	-7.288091593124187	0.0
YDL118W	-7.288091593124187	0.0
YDL130W-A	-7.288091593124187	0.0
YDL184C	-7.288091593124187	0.0
YDL236W	-7.288091593124187	0.0
YDR127W	-7.288091593124187	0.0
YDR154C	-7.288091593124187	0.0
YDR162C	-7.288091593124187	0.0
YDR220C	-7.288091593124187	0.0
YDR253C	-7.288091593124187	0.0
YDR284C	-7.288091593124187	0.0
YDR334W	-7.288091593124187	0.0
YDR484W	-7.288091593124187	0.0
YDR486C	-7.288091593124187	0.0
YEL012W	-7.288091593124187	0.0
YER044C-A	-7.288091593124187	0.0
YER054C	-7.288091593124187	0.0
YFR035C	-7.288091593124187	0.0
YGL086W	-7.288091593124187	0.0
YGL109W	-7.288091593124187	0.0
YGL165C	-7.288091593124187	0.0
YGL205W	-7.288091593124187	0.0
YGL226W	-7.288091593124187	0.0
YGL229C	-7.288091593124187	0.0
YGL231C	-7.288091593124187	0.0
YGL262W	-7.288091593124187	0.0
YGR077C	-7.288091593124187	0.0
YGR130C	-7.288091593124187	0.0
YGR154C	-7.288091593124187	0.0
YGR189C	-7.288091593124187	0.0
YGR201C	-7.288091593124187	0.0
YGR260W	-7.288091593124187	0.0
YGR290W	-7.288091593124187	0.0
YHR006W	-7.288091593124187	-9.372627905030361
YHR008C	-7.288091593124187	0.0
YHR025W	-7.288091593124187	0.0
YHR199C	-7.288091593124187	0.0
YIR038C	-7.288091593124187	0.0
YJL118W	-7.288091593124187	0.0
YJL122W	-7.288091593124187	0.0
YJL126W	-7.288091593124187	0.0
YJL135W	-7.288091593124187	0.0
YJL210W	-7.288091593124187	0.0
YJR059W	-7.288091593124187	0.0
YJR073C	-7.288091593124187	0.0
YJR154W	-7.288091593124187	0.0
YKL041W	-7.288091593124187	0.0
YKL098W	-7.288091593124187	0.0
YKL100C	-7.288091593124187	0.0
YKL157W	-7.288091593124187	0.0
YKR023W	-7.288091593124187	0.0
YKR035C	-7.288091593124187	0.0
YKR084C	-7.288091593124187	0.0
YLR237W	-7.288091593124187	0.0
YLR303W	-7.288091593124187	0.0
YLR365W	-7.288091593124187	0.0
YLR376C	-7.288091593124187	0.0
YML076C	-7.288091593124187	0.0
YML089C	-7.288091593124187	0.0
YML100W	-7.288091593124187	0.0
YMR153W	-7.288091593124187	0.0
YMR226C	-7.288091593124187	0.0
YMR289W	-7.288091593124187	0.0
YNL041C	-7.288091593124187	0.0
YNL293W	-7.288091593124187	0.0
YOL018C	-7.288091593124187	0.0
YOL108C	-7.288091593124187	0.0
YOR040W	-7.288091593124187	0.0
YPL029W	-7.288091593124187	0.0
YPL051W	-7.288091593124187	0.0
YPL065W	-7.288091593124187	0.0
YPL123C	-7.288091593124187	0.0
YPL136W	-7.288091593124187	0.0
YBL052C	0.0	-9.372627905030361
YBL067C	0.0	-9.372627905030361
YBR098W	0.0	-9.372627905030361
YBR203W	0.0	-9.372627905030361
YBR255W	0.0	-9.372627905030361
YCR005C	0.0	-9.372627905030361
YDR100W	0.0	-9.372627905030361
YDR116C	0.0	-9.372627905030361
YDR215C	0.0	-9.372627905030361
YDR272W	0.0	-9.372627905030361
YDR315C	0.0	-9.372627905030361
YDR502C	0.0	-9.372627905030361
YDR505C	0.0	-9.372627905030361
YDR519W	0.0	-9.372627905030361
YDR528W	0.0	-9.372627905030361
YEL042W	0.0	-9.372627905030361
YER037W	0.0	-9.372627905030361
YER059W	0.0	-9.372627905030361
YFR014C	0.0	-9.372627905030361
YGL164C	0.0	-9.372627905030361
YGL224C	0.0	-9.372627905030361
YGR015C	0.0	-9.372627905030361
YGR055W	0.0	-9.372627905030361
YGR197C	0.0	-9.372627905030361
YGR234W	0.0	-9.372627905030361
YHL019C	0.0	-9.372627905030361
YHL024W	0.0	-9.372627905030361
YIL117C	0.0	-9.372627905030361
YIL124W	0.0	-9.372627905030361
YIL125W	0.0	-9.372627905030361
YIR030C	0.0	-9.372627905030361
YJL005W	0.0	-9.372627905030361
YJL172W	0.0	-9.372627905030361
YJR107W	0.0	-9.372627905030361
YJR126C	0.0	-9.372627905030361
YKR017C	0.0	-9.372627905030361
YKR064W	0.0	-9.372627905030361
YLR128W	0.0	-9.372627905030361
YMR160W	0.0	-9.372627905030361
YMR161W	0.0	-9.372627905030361
YMR175W	0.0	-9.372627905030361
YNL077W	0.0	-9.372627905030361
YNL296W	0.0	-9.372627905030361
YOL049W	0.0	-9.372627905030361
YOL151W	0.0	-9.372627905030361
YOR032C	0.0	-9.372627905030361
YOR188W	0.0	-9.372627905030361
YOR292C	0.0	-9.372627905030361
YOR300W	0.0	-9.372627905030361
YOR337W	0.0	-9.372627905030361
YPL067C	0.0	-9.372627905030361
