orf	hap a | growth (colony size) | fluconazole (fluconazole [64 ug/ml]) | Anderson JB~Kohn LM, 2003
YAR042W	11.746050271035664
YBR147W	11.746050271035664
YER044C	11.746050271035664
YER120W	11.746050271035664
YGR283C	11.746050271035664
YLR056W	35.23815081310699
YLR407W	11.746050271035664
YML008C	23.492100542071327
YML058W	11.746050271035664
YMR099C	23.492100542071327
YMR102C	23.492100542071327
YOR061W	11.746050271035664
YPL056C	23.492100542071327
