ORF	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [48 h] | Thorsen M~Tamas MJ, 2009
YAL002W	-0.187	0.216	1.781	0.329	0.470	0.951	-0.553	1.929	2.532	2.999	1.568	3.405
YAL004W	0.113	-0.123	-0.343	-0.027	-0.218	-0.145	0.157	-0.034	-0.075	0.040	-0.021	-0.237
YAL005C	-0.178	0.019	-0.109	0.161	0.064	0.133	-1.631	-0.024	-0.229	-0.152	0.053	-0.142
YAL007C	-0.061	-0.127	-0.229	-0.275	-0.246	-0.256	0.190	-0.007	0.038	0.147	-0.117	-0.057
YAL008W	0.185	0.113	0.032	-0.048	0.183	0.015	0.069	-0.035	0.049	-0.056	-0.042	0.006
YAL009W	-0.188	-0.129	-0.205	-0.174	-0.054	-0.114	-0.173	-0.115	-0.029	-0.200	-0.083	0.248
YAL010C	0.826	0.072	0.045	0.392	0.006	-0.059	0.219	0.165	0.300	0.361	0.139	0.172
YAL011W	-0.043	0.098	0.292	-0.147	0.084	0.239	0.058	0.216	0.749	0.007	0.204	-0.081
YAL012W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL013W	0.269	0.172	2.594	0.276	0.361	0.936	0.150	0.174	0.186	0.544	0.216	0.198
YAL014C	0.241	0.116	0.340	0.197	0.132	0.196	0.201	0.220	0.214	-0.007	0.251	0.110
YAL015C	0.188	0.190	0.061	0.090	0.107	0.043	0.050	-0.038	0.185	-0.056	-0.006	0.083
YAL016W	0.525	3.336	3.680	1.525	2.429	4.128	1.341	2.524	1.799	0.480	1.604	2.630
YAL017W	0.065	0.010	-0.070	0.140	0.118	0.018	-0.148	0.194	0.451	0.076	-0.021	0.036
YAL018C	0.034	0.101	0.020	0.222	0.112	0.023	-0.115	0.179	0.058	-0.230	-0.150	-0.087
YAL019W	-0.189	-0.035	0.264	0.075	0.161	0.573	0.034	-0.130	-0.249	0.222	-0.042	-0.133
YAL020C	0.155	-0.252	-0.261	-0.065	-0.224	-0.313	0.021	-0.090	0.116	0.067	-0.030	-0.056
YAL021C	-0.017	0.139	0.795	0.028	0.363	0.964	0.884	2.310	0.406	3.171	1.991	2.885
YAL022C	0.227	0.080	0.088	0.044	-0.023	0.019	-0.670	0.004	-0.157	-0.154	-0.034	-0.071
YAL023C	-0.419	-0.351	-0.471	-0.489	-0.438	-0.652	0.138	0.106	1.097	0.240	0.171	0.542
YAL024C	0.117	-0.133	0.361	0.148	-0.048	0.100	-0.364	-0.024	-0.087	-0.013	0.109	0.349
YAL026C	-0.103	0.121	2.511	-0.177	0.088	1.781	-0.163	0.182	0.354	1.207	0.054	0.597
YAL027W	0.132	0.027	0.166	0.078	0.015	0.090	0.149	0.077	-0.018	0.217	0.132	-0.233
YAL028W	-0.046	0.087	0.022	-0.075	0.075	-0.106	-0.039	0.000	0.401	-0.133	0.024	-0.083
YAL029C	0.255	-0.041	-0.085	0.051	-0.055	-0.147	-0.198	-0.054	0.290	-0.396	-0.141	-0.041
YAL030W	0.158	-0.060	-0.008	0.180	0.079	0.135	-0.074	-0.123	-0.245	0.187	-0.067	-0.356
YAL031C	-0.073	-0.078	-0.207	-0.014	0.009	-0.111	-0.211	0.217	0.180	-0.087	0.069	-0.115
YAL034C	-0.116	-0.073	0.118	0.079	-0.029	0.137	-0.382	0.039	0.161	-0.181	-0.156	0.022
YAL035W	-0.441	-1.442	-1.530	-0.341	-0.032	-0.747	-1.753	-1.300	-0.699	1.070	0.695	0.442
YAL036C	0.125	-0.408	0.058	0.107	-0.132	0.209	-0.188	-0.220	-0.319	-0.241	-0.093	-0.088
YAL037W	-0.016	-0.150	-0.162	-0.189	-0.109	-0.072	0.035	-0.174	-0.062	-0.152	-0.154	-0.155
YAL039C	-0.080	-0.276	0.087	0.012	-0.091	0.029	-0.042	-0.138	0.051	0.265	-0.046	0.075
YAL040C	-0.007	-0.098	0.008	-0.063	-0.096	-0.177	-0.877	0.069	0.135	-0.204	-0.072	0.094
YAL042W	0.106	-0.040	-0.320	-0.099	-0.029	-0.371	-0.171	0.309	0.454	0.162	0.064	0.593
YAL043C-A	-0.042	0.040	-0.221	-0.205	-0.095	-0.308	0.049	0.091	0.120	-0.058	-0.053	-0.034
YAL044C	-0.067	0.132	-0.131	-0.051	0.013	-0.112	-0.084	0.317	0.466	0.012	0.142	0.523
YAL045C	-0.142	0.020	-0.068	-0.170	0.156	0.080	0.003	-0.099	0.152	0.036	-0.085	-0.023
YAL046C	0.107	-0.121	-0.059	-0.060	-0.108	-0.140	-0.072	0.082	0.306	-0.037	-0.040	0.391
YAL047C	0.204	0.057	-0.152	-0.010	0.031	0.111	-0.309	0.014	0.045	-0.121	-0.059	-0.075
YAL048C	0.467	0.182	0.202	0.666	0.263	0.534	-0.272	1.337	0.003	0.038	0.248	-0.027
YAL049C	0.047	-0.019	0.062	0.279	0.084	0.237	-0.205	0.414	0.460	-0.266	0.225	0.124
YAL051W	-0.121	-0.087	-0.040	0.083	0.242	0.381	-1.276	-0.234	-0.301	-0.145	-0.025	-0.111
YAL053W	-0.175	-0.058	0.064	-0.195	-0.028	-0.003	0.564	0.135	0.145	0.321	0.143	0.105
YAL054C	0.142	0.003	-0.002	0.107	0.010	0.094	-0.066	0.284	0.030	-0.087	0.222	0.276
YAL055W	-0.390	0.137	0.211	-0.308	0.074	0.195	-0.042	0.094	-0.225	0.559	0.075	0.328
YAL056W	-0.043	0.183	0.412	-0.053	0.295	0.361	1.944	0.065	0.209	0.515	0.010	0.074
YAL058C-A	0.179	0.463	0.722	0.085	0.362	0.629	0.781	0.691	-0.198	0.226	0.222	-0.050
YAL058W	-0.182	0.201	0.283	-0.132	0.088	0.349	-0.003	-0.023	0.050	-0.018	-0.007	-0.030
