Plate,Row,Column,ORF,Name,Thiamethoxam,Actara,Acetamiprid,Mospilan,DMSO+Pyrrolidone,Confidor 
1,2,2,YBR030W,,0.214,-0.01,-0.024,-0.282,-0.025,-0.276
1,2,3,YBR138C,HDR1,0.034,0.414,-0.585,-0.095,0.225,-0.227
1,2,4,YBR028C,,0.346,0.021,0.216,-1.066,0.025,-0.889
1,2,5,YBR137W,,0.314,0.183,0.135,-1.154,0.216,0.317
1,2,6,YBR027C,,-0.01,-0.189,-0.141,-0.916,0.093,-0.825
1,2,7,YBR134W,,0.115,-0.101,0.086,-0.484,0.004,0.934
1,2,8,YBR026C,ETR1,0.374,-0.075,0.13,-0.169,0.141,-0.389
1,2,9,YBR132C,AGP2,-0.361,0.73,0.435,0.744,0.154,-0.509
1,2,10,YBR025C,,0.373,0.331,0.147,-0.774,-0.056,-0.68
1,2,11,YBR131W,CCZ1,0.328,0.342,-0.027,-0.424,-0.004,1.006
1,2,12,YBR024W,SCO2,0.331,-0.122,0.182,-0.242,-0.776,-0.105
1,2,13,YBR130C,SHE3,-0.046,0.284,0.229,-0.21,0.549,0.109
1,2,14,YBR023C,CHS3,-0.421,-0.416,-5.062,-2.496,-0.474,-2.181
1,2,15,YBR129C,OPY1,-0.096,0.029,-0.582,-0.307,-0.218,-0.186
1,2,16,YBR022W,POA1,0.066,0.367,-0.063,-0.97,-0.052,-0.964
1,2,17,YBR128C,ATG14,0.331,-0.229,-0.559,0.053,-0.367,-0.16
1,2,18,YBR020W,GAL1,0.19,-0.076,-0.336,-0.651,-0.204,-0.451
1,2,19,YBR126C,TPS1,0.095,0.16,0.372,0.298,0.565,-0.154
1,2,20,YBR019C,GAL10,0.075,0.102,-0.587,-5.421,0.67,-1.321
1,2,21,YBR125C,PTC4,0.205,-0.488,0.131,-0.108,0.198,-0.167
1,2,22,YBR018C,GAL7,0.06,0.412,0.002,-1.134,0.236,0.269
1,2,23,YBR122C,MRPL36,0.071,-2.587,-0.199,-3.813,-0.059,2.198
1,3,2,YAL017W,PSK1,0.025,0.063,0.251,-0.289,0.378,-0.69
1,3,3,YBL032W,HEK2,0.153,0.27,-0.049,-0.732,-0.019,-0.82
1,3,4,YAL015C,NTG1,0.098,-0.124,0.271,0.272,-0.184,0.422
1,3,5,YBL031W,SHE1,-0.127,-0.043,-0.671,-0.429,0.125,-0.837
1,3,6,YAL014C,SYN8,0.233,-0.108,-0.553,-0.308,0.206,0.204
1,3,7,YBL029W,,0.276,0.089,0.101,-0.288,-0.117,0.575
1,3,8,YAL013W,DEP1,0.271,-3.112,-1.228,-0.861,-0.034,0.839
1,3,9,YBL028C,,0.162,0.248,-0.306,-1.039,-0.016,-0.056
1,3,10,YAL011W,SWC3,0.386,-0.53,-0.224,-0.038,-4.693,-5.25
1,3,11,YBL027W,RPL19B,0.299,-0.309,-1.497,-0.52,-0.438,-5.153
1,3,12,YAL010C,MDM10,-0.59,-0.265,0.248,-0.259,-1.016,-2.455
1,3,13,YBL025W,RRN10,-0.259,-1.945,3.654,0.892,-0.059,0.872
1,3,14,YAL008W,FUN14,-0.273,0.188,-0.203,-0.711,0.076,-0.054
1,3,15,YBL024W,NCL1,0.463,-0.08,-1.985,-0.292,0.226,0.17
1,3,16,YAL007C,ERP2,0.433,0.325,0.124,-0.21,-0.207,0.495
1,3,17,YBL021C,HAP3,0.352,-0.183,-1.17,-0.276,0.217,-0.415
1,3,18,YAL005C,SSA1,-0.113,0.129,0.125,-0.073,-0.139,-0.105
1,3,19,YBL019W,APN2,0.353,-0.124,-0.702,-0.274,-0.214,-0.081
1,3,20,YAL004W,,0.255,0.437,-0.073,-0.284,0.046,0.2
1,3,21,YBL017C,PEP1,0.153,-0.342,-0.592,-0.452,0.261,-0.231
1,3,22,YAL002W,VPS8,0.071,-0.614,-0.572,-3.279,0.037,-0.774
1,3,23,YBL016W,FUS3,0.26,0.096,0.372,-2.606,-0.095,-0.455
1,4,2,YBR045C,GIP1,0.248,0.155,0.166,0.67,-0.213,1.159
1,4,3,YBR156C,SLI15,0.178,0.03,-0.226,0.38,-0.142,0.424
1,4,4,YBR044C,TCM62,-0.014,-0.178,-0.468,-0.022,-0.18,-0.216
1,4,5,YBR151W,APD1,0.129,-0.211,0.076,0.616,-0.385,0.113
1,4,6,YBR043C,QDR3,0.488,-0.157,-1.101,0.061,0.11,-0.844
1,4,7,YBR150C,TBS1,0.259,0.43,-0.277,-0.532,0.24,0.951
1,4,8,YBR042C,,0.42,-0.26,-0.528,-0.68,0.251,0.28
1,4,9,YBR149W,ARA1,0.393,-0.382,0.237,0.483,-0.309,0.067
1,4,10,YBR041W,FAT1,-0.28,0.268,-0.415,-0.264,-0.184,-0.305
1,4,11,YBR148W,YSW1,-0.337,-0.164,-0.061,0.195,-0.657,-0.144
1,4,12,YBR040W,FIG1,-0.104,0.076,0.037,0.555,-0.048,0.621
1,4,13,YBR147W,,0.409,0.117,0.094,0.061,0.524,0.175
1,4,14,YBR036C,CSG2,-0.063,0.173,1.239,0.801,0.632,-1.149
1,4,15,YBR146W,MRPS9,-0.173,0.025,-0.603,-0.134,0.344,-0.617
1,4,16,YBR034C,HMT1,-0.953,0.102,-0.646,-0.551,-0.562,-0.211
1,4,17,YBR145W,ADH5,-0.576,0.359,-0.348,0.056,-0.68,-0.287
1,4,18,YBR033W,EDS1,0.096,-0.02,-0.232,0.09,-0.138,-0.875
