orf	hom | cell cycle progression in G1 phase | YPD [standard] | Hoose SA~Polymenis M, 2012
YAL002W	-0.11930608794735258
YAL004W	-0.14649498905553876
YAL005C	-1.261889520460212
YAL007C	-0.24283211734353483
YAL008W	0.6824844560860958
YAL009W	-0.567540555091005
YAL011W	-0.6118376695296228
YAL013W	-0.3256705266462137
YAL014C	0.5614760335863062
YAL015C	0.2865509273802855
YAL017W	0.42287581496707843
YAL018C	-0.01972947393908867
YAL019W	-0.5957339273936334
YAL020C	-0.05899709430702283
YAL021C	-0.7085186442329368
YAL022C	0.5838310640567717
YAL023C	0.07770720724545348
YAL024C	-1.1103317487157944
YAL026C	-0.4307719031696479
YAL027W	-0.3925298180534651
YAL028W	0.18039952340516976
YAL029C	-0.12924692950020963
YAL030W	-0.21390109205743113
YAL031C	0.42771797981202353
YAL034C	0.09544371365953054
YAL035W	3.1543131964606808
YAL036C	0.9535377401843171
YAL037W	0.7491039689320803
YAL040C	-0.1711254409294959
YAL042C-A	0.21133157888610646
YAL042W	0.30632991505736096
YAL045C	0.28415773990205156
YAL046C	0.4166441841184204
YAL048C	0.7129482879228184
YAL049C	0.25380473661756975
YAL051W	0.5982587797905082
YAL053W	0.35940884418921504
YAL054C	0.49049976298806375
YAL055W	1.3342737419316022
YAL056C-A	-0.9635055672155555
YAL056W	1.4994868632866303
YAL058W	0.1846493587440747
YAL059W	1.0567081956819893
YAL060W	0.6784294072693862
YAL061W	1.022049863630492
YAL062W	0.30599396226768055
YAL064C-A	0.8677007029740771
YAL065C	0.18237163225494227
YAL066W	0.2862694043864482
YAL067C	0.40503159922083126
YAL068C	2.016642324221511
YAR002C-A	-1.5274908837042898
YAR002W	-0.9708836925394655
YAR003W	-0.7200220553985179
YAR014C	-2.0015469345325365
YAR015W	-1.1028856707986392
YAR018C	-1.775573122019644
YAR020C	0.08569234766852668
YAR023C	-0.48621378781108665
YAR027W	-0.8474595417731144
YAR028W	-1.007352221774026
YAR029W	-0.24758402505546
YAR030C	-1.6772578218869143
YAR031W	-0.6138964661394034
YAR035W	-0.6152157706316639
YAR042W	-0.744434447962305
YAR047C	-0.8927075355791733
YAR050W	0.3361144524204518
YBL001C	-0.071889110810787
YBL002W	-0.5644109951908591
YBL003C	-0.3887978723891126
YBL005W	0.7342010139195326
YBL006C	0.48042302862438857
YBL008W	-0.4102787172466584
YBL009W	0.6144206786741504
YBL010C	-0.6718168658126221
YBL011W	-0.534765960717294
YBL012C	0.016316919102683108
YBL013W	0.30128785636918537
YBL015W	-0.47173446390329604
YBL017C	0.14649907168293744
YBL019W	0.8121599160334406
YBL022C	0.02875735158898996
YBL024W	-0.40788351085956226
YBL027W	0.08182386594503363
YBL028C	-0.13057772214254446
YBL029W	-0.4759705508630455
YBL031W	0.14422237680337774
YBL032W	-0.2261930925757992
YBL036C	-0.6993737238619209
YBL037W	-0.48039636684995785
YBL042C	0.3459312340304337
YBL043W	0.09300731766468007
YBL044W	0.27561701504158703
YBL046W	-1.1663441727772652
YBL047C	-1.0229713059043615
YBL048W	-0.3376108306000203
YBL049W	0.35861448121661726
YBL051C	-1.3360306925968963
YBL052C	-0.08694899957630528
YBL053W	-0.09077197578572548
YBL054W	-0.43394488130026276
YBL055C	-1.239673298617161
YBL056W	-0.22709088399372418
YBL057C	0.48725130593639165
YBL058W	-3.041822418841915
YBL059W	0.9013737678490156
YBL060W	-0.31958344887051243
YBL061C	0.2953134382165265
YBL062W	0.4773949224066237
YBL063W	-0.28175832438707266
YBL064C	0.9277716666377889
YBL065W	0.869165364260185
YBL066C	0.6832425141524917
YBL067C	0.9038810733215726
YBL068W	0.5317286604130019
YBL069W	1.1316262362306038
YBL070C	-0.04248898331007819
YBL071C	0.34835827233632477
YBL072C	1.1302655024104624
YBL075C	0.5048029791549999
YBL078C	0.3844148122278912
YBL079W	0.3834225595399092
YBL081W	0.8284730380008279
YBL082C	0.13045019109869974
YBL083C	-0.29394341333881185
YBL085W	0.4440723075707792
YBL086C	-0.29992926926610114
YBL087C	-0.09878905337573665
YBL088C	-0.5151848736226353
YBL089W	0.19129342084807124
YBL091C	0.8928280916539341
YBL091C-A	0.3474638746266847
YBL094C	-0.07003659577233916
YBL095W	-0.5719313781459611
YBL096C	-0.17814326350708365
YBL098W	-0.37365952870758096
YBL099W	1.4029399206087325
YBL101C	-0.9556507885839935
YBL102W	-0.8523739706677244
YBL104C	-0.9920154307576813
YBL106C	-1.2914867862450317
YBL107C	-0.4338386618268645
YBR001C	1.4183020470069456
YBR005W	-0.35522717782672797
YBR006W	-0.2943644241352835
YBR007C	-0.5779767796657488
YBR008C	-0.4327996410865099
YBR009C	0.21623901560656514
YBR010W	-0.03900848229133471
YBR012C	0.07052585071089165
YBR013C	-0.7468257780777771
YBR014C	-0.4029921748791641
YBR015C	-0.7246442441087143
YBR016W	-0.9767484841336761
YBR018C	-0.8981477045053229
YBR019C	-0.6953895493006377
YBR020W	-0.21719340359742187
YBR022W	-0.40789940276624065
YBR023C	-0.5280432766197476
YBR024W	-0.8112706051342683
YBR025C	-0.23350307280225432
YBR026C	3.1758215651653976
YBR027C	-1.1201388143954356
YBR028C	-0.15743402823828298
YBR029C	-1.1776690681387043
YBR031W	0.5615467215523845
YBR032W	-1.1594009071644311
YBR033W	-0.9971229880492796
YBR034C	-0.794975838246674
YBR036C	-1.116323944690739
YBR038W	-0.294435478301381
YBR040W	0.22478048223070765
YBR041W	0.19172917636734924
YBR042C	0.31744926960168085
YBR043C	-0.006237954234088788
YBR044C	0.6594009170886518
YBR045C	1.412951046715392
YBR046C	-0.672198927537852
YBR047W	0.049905909243073567
YBR048W	1.7478649405689666
YBR050C	0.05248824082791443
YBR051W	0.2651379096761298
YBR052C	-0.656613356545926
YBR053C	-0.24606959415123927
YBR054W	0.1042660544762133
YBR056W	0.27443188699160387
YBR057C	0.41743290639807235
YBR058C	-0.8826963696889799
