orf	hap a | mutation frequency (CanR) | standard [standard] | Huang ME~Kolodner RD, 2003
YCR066W	4.147058823529412
YDL162C	1.4705882352941178
YDR004W	9.941176470588237
YDR076W	9.529411764705882
YDR078C	4.117647058823529
YDR097C	7.147058823529411
YDR216W	6.205882352941177
YER095W	9.058823529411766
YGL087C	7.382352941176471
YGL163C	10.147058823529411
YHL006C	5.38235294117647
YHR206W	2.2058823529411766
YIL116W	8.147058823529413
YIL132C	5.176470588235294
YJR104C	5.0
YKL113C	48.14705882352941
YLR032W	5.323529411764706
YLR154C	1.6176470588235294
YLR376C	5.0
YML007W	1.882352941176471
YML021C	1.323529411764706
YML028W	9.441176470588236
YML032C	12.647058823529411
YML060W	4.176470588235294
YML061C	2.5294117647058822
YMR038C	4.0
YMR166C	12.264705882352942
YMR167W	14.588235294117647
YMR224C	8.794117647058822
YNL082W	22.500000000000004
YNL250W	8.705882352941178
YOL090W	18.08823529411765
YOR144C	3.0
