orf	hap a | mutation frequency (CanR) | standard [standard] | Huang ME~Kolodner RD, 2003
YCR066W	4.06736974866047
YDL162C	1.4423296981065494
YDR004W	9.750148759200275
YDR076W	9.34629644373044
YDR078C	4.038523154698337
YDR097C	7.009722332797829
YDR216W	6.0866313260096385
YER095W	8.884750940336346
YGL087C	7.240495084494878
YGL163C	9.95207491693519
YHL006C	5.27892669506997
YHR206W	2.163494547159824
YIL116W	7.990506527510284
YIL132C	5.077000537335054
YJR104C	4.9039209735622675
YKL113C	47.221874316008424
YLR032W	5.221233507145708
YLR154C	1.5865626679172042
YLR376C	4.9039209735622675
YML007W	1.8461820135763836
YML021C	1.2980967282958946
YML028W	9.259756661844047
YML032C	12.404035403716323
YML060W	4.096216342622601
YML061C	2.4808070807432645
YMR038C	3.923136778849814
YMR166C	12.029029682208622
YMR167W	14.30791060521697
YMR224C	8.625131594677164
YNL082W	22.06764438103021
YNL250W	8.538591812790774
YOL090W	17.74065528671056
YOR144C	2.942352584137361
