orf	hap a | vacuolar fragmentation (FM4-64 staining) | sodium chloride [0.4 M] | None | Michaillat L~Mayer A, 2013
YAL068C	-0.25
YAL067C	-1.0
YAL066W	-0.3333333333333333
YAL065C	0.0
YAL062W	0.0
YAL061W	0.0
YAL060W	-0.5
YAL059W	0.0
YAL058W	0.0
YAL056W	0.0
YAL055W	-0.3333333333333333
YAL053W	-0.3333333333333333
YAL051W	-0.3333333333333333
YAL049C	0.0
YAL048C	-1.0
YAL046C	0.0
YAL045C	0.0
YAL044C	0.0
YAL042W	-0.3333333333333333
YAL042C-A	-0.6666666666666666
YAL040C	0.0
YAL039C	0.0
YAL037W	-0.3333333333333333
YAL036C	-0.6666666666666666
YAL035W	-1.0
YAL034C	-0.3333333333333333
YAL031C	-0.3333333333333333
YAL030W	0.0
YAL029C	0.0
YAL028W	-0.3333333333333333
YAL027W	-1.25
YAL026C	0.0
YAL023C	-1.0
YAL022C	0.0
YAL021C	-1.0
YAL020C	-0.6666666666666666
YAL019W	0.0
YAL018C	0.0
YAL017W	0.0
YAL015C	0.0
YAL014C	-0.6666666666666666
YAL013W	0.0
YAL011W	0.0
YAL010C	-0.25
YAL009W	0.0
YAL008W	0.0
YAL007C	0.0
YAL004W	0.0
YAL005C	0.0
YAL002W	-2.0
YAR002W	0.0
YAR003W	0.0
YAR014C	0.0
YAR015W	0.0
YAR018C	0.0
YAR020C	-0.3333333333333333
YAR023C	0.0
YAR027W	0.0
YAR028W	0.0
YAR029W	-0.3333333333333333
YAR031W	0.0
YAR030C	0.0
YAR035W	0.0
YAR042W	-1.0
YAR047C	0.0
YJL218W	0.0
YJL217W	0.0
YJL216C	-1.0
YJL215C	-1.5
YJL214W	-0.3333333333333333
YJL212C	-0.6666666666666666
YJL210W	0.0
YJL211C	0.0
YJL209W	-0.3333333333333333
YJL208C	-1.5
YJL207C	-0.3333333333333333
YJL206C	-0.75
YJL205C	-1.25
YJL204C	-0.6
YJL201W	-0.4
YJL200C	-0.6666666666666666
YJL199C	0.0
YJL198W	-0.3333333333333333
YJL197W	-1.0
YJL196C	-1.0
YJL193W	0.0
YJL192C	-0.75
YJL191W	-0.45
YJL190C	-0.6
YJL189W	-0.75
YJL188C	0.0
YJL187C	0.0
YJL186W	0.0
YJL185C	0.0
YJL183W	0.0
YJL181W	0.0
YJL182C	0.0
YJL180C	0.0
YJL179W	0.0
YJL178C	0.0
YJL176C	-0.3333333333333333
YJL172W	-1.0
YJL171C	0.0
YJL170C	-0.75
YJL169W	-1.0
YJL168C	-0.25
YJL166W	-0.3333333333333333
YJL165C	0.0
YJL164C	-1.5
YJL163C	-0.41666666666666663
YJL162C	-0.3333333333333333
YJL161W	0.0
YJL159W	0.0
YJL158C	0.0
YJL157C	0.0
YJL155C	0.0
YJL154C	-1.25
YJL153C	0.0
YJL152W	-0.75
YJL151C	-0.5
YJL150W	0.0
YJL149W	-0.25
YJL148W	0.0
YJL147C	0.0
YJL146W	0.0
YJL145W	0.0
YJL144W	-0.75
YJL142C	-0.75
YJL140W	0.0
YJL139C	-0.75
YJL138C	-1.5
YJL135W	-1.0
YJL134W	0.0
YJL133W	-1.0
YJL131C	-1.0
YJL130C	-1.0
YJL129C	0.0
YJL127C	-1.6666666666666667
YJL126W	0.0
YJL124C	-1.0
YJL123C	0.0
YJL122W	0.0
YJL120W	-0.5
YJL121C	0.0
YJL118W	0.0
YJL119C	-0.3333333333333333
YJL117W	-1.3333333333333333
YJL116C	-0.3333333333333333
YJL115W	0.0
YJL112W	0.0
YJL110C	0.0
YJL108C	0.0
YJL107C	-1.3333333333333333
YJL106W	0.0
YJL102W	0.0
YJL100W	0.0
YJL099W	0.0
YJL098W	0.0
YJL096W	-0.3333333333333333
YJL095W	-1.0
YJL093C	-0.5
YJL092W	0.0
YJL089W	0.0
YJL088W	-0.3333333333333333
YJL084C	-1.0
YJL083W	-1.0
YJL082W	-1.0
YJL080C	-1.3333333333333333
YJL079C	-0.25
YJL077C	-0.4
YJL075C	-0.5
YJL073W	-0.3333333333333333
YJL071W	-0.3333333333333333
YJL068C	0.0
YJL067W	-0.3333333333333333
YJL066C	-0.3333333333333333
YJL064W	0.0
YJL065C	0.0
YJL063C	-1.0
YJL062W	-0.25
YJL060W	-0.3333333333333333
YJL059W	-0.25
YJL058C	0.0
YJL057C	-0.3333333333333333
YJL056C	-0.3333333333333333
YJL055W	-0.6666666666666666
YJL053W	-0.6666666666666666
YJL052W	-0.3333333333333333
YJL051W	-0.3333333333333333
YJL049W	0.0
YJL048C	0.0
YJL047C	-0.25
YJL046W	-1.25
YJL045W	0.0
YJL044C	-0.6
YJL043W	0.0
YJL038C	0.0
YJL037W	0.0
YJL036W	-1.2
YJL030W	-0.5
YJR073C	0.0
YJR075W	0.0
YJR078W	0.0
YJR079W	0.0
YJR082C	0.0
YJR083C	-0.6
YJR088C	0.0
YJR092W	0.0
YJR102C	0.0
YJR103W	0.0
YJR105W	0.0
YJR108W	-0.2
YJR110W	-1.0
YJR111C	0.0
YJR115W	0.0
YJR127C	-0.3333333333333333
YJR128W	-0.3333333333333333
YJR129C	0.0
YJR130C	0.0
YJR135C	0.0
YJR137C	0.0
YJR146W	0.0
YJR147W	0.0
YJR149W	-0.3333333333333333
YJR152W	0.0
YJR154W	0.0
YLL001W	0.0
YLL002W	0.0
YLL005C	0.0
YLL006W	0.0
YLL009C	0.0
YLL010C	0.0
YLL012W	0.0
YLL013C	0.0
YLL014W	-1.0
YLL015W	-0.8
YLL019C	0.0
YLL020C	0.0
YLL021W	-0.4
YLL023C	0.0
YLL024C	0.0
YLL025W	0.0
YLL026W	0.0
YLL027W	0.0
YLL028W	-0.2
YLL029W	0.0
YLL032C	-0.8
YLL033W	-0.3333333333333333
YLL038C	0.0
YLL039C	-0.3333333333333333
YLL040C	0.0
YLL041C	0.0
YLL042C	-1.5
YLL043W	0.0
YLL045C	0.0
YLL046C	-1.2
YLL047W	-1.0
YLL051C	-1.25
YLL052C	-1.0
YLL053C	-0.75
YLL054C	-0.75
YLL055W	-1.0
YLL056C	-0.75
YLL057C	-0.75
YLL058W	0.0
YLL060C	-0.5
YLL061W	-0.4
YLL062C	0.0
YLL063C	-1.0
YLR001C	-1.3333333333333333
YLR003C	0.0
YLR004C	-0.5
YLR006C	0.0
YLR011W	-1.0
YLR012C	0.0
YLR013W	-0.75
YLR014C	-0.3333333333333333
YLR015W	-0.75
YLR016C	-0.75
YLR017W	-1.5
YLR018C	-1.0
YLR019W	-0.6
YLR020C	-0.6666666666666666
YLR021W	-0.6666666666666666
YLR023C	-0.3333333333333333
YLR024C	0.0
YLR025W	-2.0
YLR027C	0.0
YLR028C	0.0
YML037C	-0.6666666666666666
YML035C	-1.0
YML034W	-0.6666666666666666
YML034C-A	-0.3333333333333333
YML032C	-0.3333333333333333
YML030W	0.0
YML029W	-0.6666666666666666
YML028W	-0.6666666666666666
YML026C	0.0
YML024W	-0.25
YML020W	-0.5
YML019W	-1.0
YML018C	-0.75
YML017W	-0.25
YML016C	-1.6666666666666667
YML014W	-1.0
YML013W	-1.5
YML012C-A	-0.6666666666666666
YML012W	0.0
YML011C	0.0
YML009W-B	0.0
YML009C	-0.3333333333333333
YML008C	-0.3333333333333333
YML007W	0.0
YML006C	0.0
YML005W	-0.3333333333333333
YML004C	-0.3333333333333333
YML003W	-1.0
YML002W	-1.8
YML001W	-1.6
YMR002W	-1.6
YMR003W	-1.8
YMR006C	-1.8
YMR007W	-1.2
YMR008C	-1.6
YMR009W	-1.8
YMR010W	-1.2
YMR011W	0.0
YMR012W	0.0
YMR014W	-1.25
YMR015C	-0.75
YMR016C	0.0
YMR017W	0.0
YMR018W	-0.5
YMR019W	0.0
YMR020W	-0.6666666666666666
YMR021C	-0.3333333333333333
YMR022W	0.0
YMR023C	-1.0
YMR024W	0.0
YMR025W	-0.8
YMR026C	0.0
YMR027W	-1.2
YMR029C	0.0
YMR030W	0.0
YMR031W-A	0.0
YMR031C	-0.3333333333333333
YMR032W	-1.0
YMR034C	0.0
YMR035W	0.0
YMR036C	-0.3333333333333333
YMR039C	-0.3333333333333333
YMR040W	-1.25
YMR041C	0.0
YMR042W	-0.75
YMR044W	-1.4
YMR140W	0.0
YMR141C	-1.0
YMR143W	-1.0
YMR144W	-0.2
YMR145C	-1.0
YMR147W	-1.0
YMR148W	-1.0
YMR151W	-0.4
YMR150C	-0.25
YMR152W	0.0
YMR153W	-1.25
YMR153C-A	-1.2
YMR155W	-0.3333333333333333
YMR156C	-1.0
YMR157C	-1.0
YMR158W-B	-0.5
YMR159C	-1.25
YMR161W	0.0
YMR162C	-0.3333333333333333
YMR163C	0.0
YMR164C	-0.3333333333333333
YMR166C	0.0
YMR167W	-0.4
YMR169C	-0.3333333333333333
YMR170C	0.0
YMR172C-A	0.0
YMR173W-A	0.0
YMR174C	0.0
YMR175W	-0.3333333333333333
YMR176W	-0.3333333333333333
YMR177W	0.0
YMR178W	0.0
YMR179W	-0.3333333333333333
YMR180C	0.0
YMR182C	-0.5
YMR183C	0.0
YMR184W	-0.3333333333333333
YMR185W	-0.3333333333333333
YMR186W	-0.8
YMR187C	0.0
YMR188C	0.0
YMR189W	-0.25
YMR190C	-0.5
YMR191W	0.0
YMR192W	0.0
YMR193W	0.0
YMR194W	-0.6
YMR193C-A	0.0
YMR195W	-0.3333333333333333
YMR196W	-0.4
YMR198W	-0.825
YMR199W	0.0
YMR201C	-0.6666666666666666
YMR202W	-0.4
YMR204C	-0.5
YMR205C	0.0
YMR206W	-0.3333333333333333
YMR207C	-0.3333333333333333
YMR210W	0.0
YMR214W	0.0
YMR215W	-1.0
YMR216C	-0.3333333333333333
YMR219W	0.0
YMR221C	0.0
YMR222C	0.0
YMR223W	0.0
YMR224C	0.0
YMR225C	0.0
YMR226C	0.0
YMR228W	-0.8
YMR230W	-0.3333333333333333
YMR231W	-1.0
YMR232W	0.0
YMR233W	0.0
YMR234W	0.0
YMR237W	0.0
YMR238W	0.0
YMR241W	0.0
YMR242C	0.0
YMR243C	0.0
YMR244W	0.0
YMR245W	0.0
YMR244C-A	0.0
YMR246W	0.0
YMR247C	0.0
YMR250W	0.0
YMR251W	-0.3333333333333333
YMR251W-A	0.0
YMR252C	0.0
YMR253C	0.0
YMR254C	0.0
YMR255W	0.0
YMR256C	0.0
YMR257C	0.0
YMR258C	-0.5
YMR259C	-0.5
YMR261C	0.0
YMR262W	0.0
YMR263W	0.0
YMR264W	0.0
YMR265C	0.0
YMR266W	0.0
YMR267W	-1.0
YMR269W	-1.0
YMR272C	-0.75
YMR273C	-0.5
YMR274C	-0.5
YMR275C	-0.6666666666666666
YMR276W	-0.25
YMR278W	-0.3333333333333333
YMR280C	-0.25
YMR282C	-1.0
YMR283C	0.0
YMR284W	-0.5
YMR285C	0.0
YMR286W	-0.25
YMR287C	-0.5
YMR289W	-0.5
YMR291W	-1.0
YMR292W	-1.0
YMR293C	-1.0
YMR294W	-1.0
YMR294W-A	-1.0
YMR295C	0.0
YMR297W	-0.6
YMR299C	-0.3333333333333333
YMR300C	-0.3333333333333333
YMR302C	-1.5
YMR303C	-1.0
YMR304W	0.0
YMR304C-A	-0.3333333333333333
YMR305C	-1.25
YMR306C-A	-0.3333333333333333
YMR307W	-0.2
YMR310C	0.0
YNL339C	0.0
YNL338W	0.0
YNL336W	0.0
YNL335W	0.0
YNL334C	-1.3333333333333333
YNL333W	0.0
YNL332W	-0.3333333333333333
YNL330C	-1.0
YNL329C	-0.6666666666666666
YNL328C	-0.8
YNL327W	0.0
YNL326C	0.0
YNL324W	-2.8
YNL325C	-2.8
YNL323W	-0.4
YNL322C	0.0
YNL321W	-1.0
YNL320W	-1.5
YNL319W	-0.6
YNL318C	-0.3333333333333333
YNL314W	-0.3333333333333333
YNL311C	-0.4
YNL309W	-0.2
YNL307C	0.0
YNL305C	-0.8
YNL304W	0.0
YNL303W	0.0
YNL302C	0.0
YNL301C	0.0
YNL299W	-1.25
YNL298W	0.0
YNL296W	-1.0
YNL297C	-0.6
YNL295W	0.0
YNL294C	-1.0
YNL293W	-1.0
YNL292W	0.0
YNL291C	-0.25
YNL289W	0.0
YNL288W	0.0
YNL286W	0.0
YNL285W	0.0
YNL283C	0.0
YNL281W	-0.75
YNL280C	-0.3333333333333333
YNL278W	-0.5
YNL277W	-0.5
YNL276C	0.0
YNL275W	-0.3333333333333333
YNL273W	-0.3333333333333333
YNL271C	0.0
YNL270C	0.0
YNL269W	-0.6
YNL268W	-0.41666666666666663
YNL266W	-0.8
YNL265C	-0.5
YNL264C	-0.3333333333333333
YNL259C	0.0
YNL257C	0.0
YNL255C	-1.5
YNL254C	-0.6
YNL253W	-0.8
YNL249C	-0.3333333333333333
YNL248C	-0.8
YNL246W	-1.0
YNL242W	-0.25
YNL241C	-0.8
YNL239W	-1.0
YNL238W	-0.25
YNL237W	-1.0
YNL236W	-1.0
YNL235C	-0.3333333333333333
YNL234W	-0.3333333333333333
YNL233W	-0.3333333333333333
YNL231C	-1.0
YNL230C	0.0
YNL229C	-2.75
YNL228W	-1.75
YNL226W	-1.3333333333333333
YNL227C	-1.0
YNL225C	0.0
YNL224C	0.0
YNL223W	-0.3333333333333333
YNL219C	-0.75
YNL218W	-0.6666666666666666
YNL217W	-0.8
YNL215W	-0.3333333333333333
YNL214W	0.0
YNL213C	-0.3333333333333333
YNL212W	-1.0
YNL211C	-1.0
YNL208W	-0.5
YNL206C	0.0
YNL205C	-0.3333333333333333
YNL204C	-0.5
YNL202W	0.0
YNL203C	0.0
YNL201C	-0.75
YNL200C	0.0
YNL199C	0.0
YNL198C	0.0
YNL197C	-1.5
YNL196C	-0.75
YNL195C	-0.4
YNL194C	-0.8
YNL193W	0.0
YNL192W	-0.3333333333333333
YNL191W	-1.0
YNL190W	0.0
YNL187W	0.0
YNL184C	-0.3333333333333333
YNL183C	-0.2
YNL179C	0.0
YNL177C	-0.8
YNL176C	-0.5
