orf	hap a | vacuolar fragmentation (FM4-64 staining) | sodium chloride [0.4 M] | None | Michaillat L~Mayer A, 2013
YAL068C	-0.38988827262326864
YAL067C	-1.5595530904930746
YAL066W	-0.5198510301643582
YAL065C	0.0
YAL062W	0.0
YAL061W	0.0
YAL060W	-0.7797765452465373
YAL059W	0.0
YAL058W	0.0
YAL056W	0.0
YAL055W	-0.5198510301643582
YAL053W	-0.5198510301643582
YAL051W	-0.5198510301643582
YAL049C	0.0
YAL048C	-1.5595530904930746
YAL046C	0.0
YAL045C	0.0
YAL044C	0.0
YAL042W	-0.5198510301643582
YAL042C-A	-1.0397020603287164
YAL040C	0.0
YAL039C	0.0
YAL037W	-0.5198510301643582
YAL036C	-1.0397020603287164
YAL035W	-1.5595530904930746
YAL034C	-0.5198510301643582
YAL031C	-0.5198510301643582
YAL030W	0.0
YAL029C	0.0
YAL028W	-0.5198510301643582
YAL027W	-1.9494413631163432
YAL026C	0.0
YAL023C	-1.5595530904930746
YAL022C	0.0
YAL021C	-1.5595530904930746
YAL020C	-1.0397020603287164
YAL019W	0.0
YAL018C	0.0
YAL017W	0.0
YAL015C	0.0
YAL014C	-1.0397020603287164
YAL013W	0.0
YAL011W	0.0
YAL010C	-0.38988827262326864
YAL009W	0.0
YAL008W	0.0
YAL007C	0.0
YAL004W	0.0
YAL005C	0.0
YAL002W	-3.119106180986149
YAR002W	0.0
YAR003W	0.0
YAR014C	0.0
YAR015W	0.0
YAR018C	0.0
YAR020C	-0.5198510301643582
YAR023C	0.0
YAR027W	0.0
YAR028W	0.0
YAR029W	-0.5198510301643582
YAR031W	0.0
YAR030C	0.0
YAR035W	0.0
YAR042W	-1.5595530904930746
YAR047C	0.0
YJL218W	0.0
YJL217W	0.0
YJL216C	-1.5595530904930746
YJL215C	-2.339329635739612
YJL214W	-0.5198510301643582
YJL212C	-1.0397020603287164
YJL210W	0.0
YJL211C	0.0
YJL209W	-0.5198510301643582
YJL208C	-2.339329635739612
YJL207C	-0.5198510301643582
YJL206C	-1.169664817869806
YJL205C	-1.9494413631163432
YJL204C	-0.9357318542958447
YJL201W	-0.6238212361972298
YJL200C	-1.0397020603287164
YJL199C	0.0
YJL198W	-0.5198510301643582
YJL197W	-1.5595530904930746
YJL196C	-1.5595530904930746
YJL193W	0.0
YJL192C	-1.169664817869806
YJL191W	-0.7017988907218836
YJL190C	-0.9357318542958447
YJL189W	-1.169664817869806
YJL188C	0.0
YJL187C	0.0
YJL186W	0.0
YJL185C	0.0
YJL183W	0.0
YJL181W	0.0
YJL182C	0.0
YJL180C	0.0
YJL179W	0.0
YJL178C	0.0
YJL176C	-0.5198510301643582
YJL172W	-1.5595530904930746
YJL171C	0.0
YJL170C	-1.169664817869806
YJL169W	-1.5595530904930746
YJL168C	-0.38988827262326864
YJL166W	-0.5198510301643582
YJL165C	0.0
YJL164C	-2.339329635739612
YJL163C	-0.6498137877054477
YJL162C	-0.5198510301643582
YJL161W	0.0
YJL159W	0.0
YJL158C	0.0
YJL157C	0.0
YJL155C	0.0
YJL154C	-1.9494413631163432
YJL153C	0.0
YJL152W	-1.169664817869806
YJL151C	-0.7797765452465373
YJL150W	0.0
YJL149W	-0.38988827262326864
YJL148W	0.0
YJL147C	0.0
YJL146W	0.0
YJL145W	0.0
YJL144W	-1.169664817869806
YJL142C	-1.169664817869806
YJL140W	0.0
YJL139C	-1.169664817869806
YJL138C	-2.339329635739612
YJL135W	-1.5595530904930746
YJL134W	0.0
YJL133W	-1.5595530904930746
YJL131C	-1.5595530904930746
YJL130C	-1.5595530904930746
YJL129C	0.0
YJL127C	-2.5992551508217914
YJL126W	0.0
YJL124C	-1.5595530904930746
YJL123C	0.0
YJL122W	0.0
YJL120W	-0.7797765452465373
YJL121C	0.0
YJL118W	0.0
YJL119C	-0.5198510301643582
YJL117W	-2.0794041206574327
YJL116C	-0.5198510301643582
YJL115W	0.0
YJL112W	0.0
YJL110C	0.0
YJL108C	0.0
YJL107C	-2.0794041206574327
YJL106W	0.0
YJL102W	0.0
YJL100W	0.0
YJL099W	0.0
YJL098W	0.0
YJL096W	-0.5198510301643582
YJL095W	-1.5595530904930746
YJL093C	-0.7797765452465373
YJL092W	0.0
YJL089W	0.0
YJL088W	-0.5198510301643582
YJL084C	-1.5595530904930746
YJL083W	-1.5595530904930746
YJL082W	-1.5595530904930746
YJL080C	-2.0794041206574327
YJL079C	-0.38988827262326864
YJL077C	-0.6238212361972298
YJL075C	-0.7797765452465373
YJL073W	-0.5198510301643582
YJL071W	-0.5198510301643582
YJL068C	0.0
YJL067W	-0.5198510301643582
YJL066C	-0.5198510301643582
YJL064W	0.0
YJL065C	0.0
YJL063C	-1.5595530904930746
YJL062W	-0.38988827262326864
YJL060W	-0.5198510301643582
YJL059W	-0.38988827262326864
YJL058C	0.0
YJL057C	-0.5198510301643582
YJL056C	-0.5198510301643582
YJL055W	-1.0397020603287164
YJL053W	-1.0397020603287164
YJL052W	-0.5198510301643582
YJL051W	-0.5198510301643582
YJL049W	0.0
YJL048C	0.0
YJL047C	-0.38988827262326864
YJL046W	-1.9494413631163432
YJL045W	0.0
YJL044C	-0.9357318542958447
YJL043W	0.0
YJL038C	0.0
YJL037W	0.0
YJL036W	-1.8714637085916894
YJL030W	-0.7797765452465373
YJR073C	0.0
YJR075W	0.0
YJR078W	0.0
YJR079W	0.0
YJR082C	0.0
YJR083C	-0.9357318542958447
YJR088C	0.0
YJR092W	0.0
YJR102C	0.0
YJR103W	0.0
YJR105W	0.0
YJR108W	-0.3119106180986149
YJR110W	-1.5595530904930746
YJR111C	0.0
YJR115W	0.0
YJR127C	-0.5198510301643582
YJR128W	-0.5198510301643582
YJR129C	0.0
YJR130C	0.0
YJR135C	0.0
YJR137C	0.0
YJR146W	0.0
YJR147W	0.0
YJR149W	-0.5198510301643582
YJR152W	0.0
YJR154W	0.0
YLL001W	0.0
YLL002W	0.0
YLL005C	0.0
YLL006W	0.0
YLL009C	0.0
YLL010C	0.0
YLL012W	0.0
YLL013C	0.0
YLL014W	-1.5595530904930746
YLL015W	-1.2476424723944597
YLL019C	0.0
YLL020C	0.0
YLL021W	-0.6238212361972298
YLL023C	0.0
YLL024C	0.0
YLL025W	0.0
YLL026W	0.0
YLL027W	0.0
YLL028W	-0.3119106180986149
YLL029W	0.0
YLL032C	-1.2476424723944597
YLL033W	-0.5198510301643582
YLL038C	0.0
YLL039C	-0.5198510301643582
YLL040C	0.0
YLL041C	0.0
YLL042C	-2.339329635739612
YLL043W	0.0
YLL045C	0.0
YLL046C	-1.8714637085916894
YLL047W	-1.5595530904930746
YLL051C	-1.9494413631163432
YLL052C	-1.5595530904930746
YLL053C	-1.169664817869806
YLL054C	-1.169664817869806
YLL055W	-1.5595530904930746
YLL056C	-1.169664817869806
YLL057C	-1.169664817869806
YLL058W	0.0
YLL060C	-0.7797765452465373
YLL061W	-0.6238212361972298
YLL062C	0.0
YLL063C	-1.5595530904930746
YLR001C	-2.0794041206574327
YLR003C	0.0
YLR004C	-0.7797765452465373
YLR006C	0.0
YLR011W	-1.5595530904930746
YLR012C	0.0
YLR013W	-1.169664817869806
YLR014C	-0.5198510301643582
YLR015W	-1.169664817869806
YLR016C	-1.169664817869806
YLR017W	-2.339329635739612
YLR018C	-1.5595530904930746
YLR019W	-0.9357318542958447
YLR020C	-1.0397020603287164
YLR021W	-1.0397020603287164
YLR023C	-0.5198510301643582
YLR024C	0.0
YLR025W	-3.119106180986149
