orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YOR052C		0.388911016	0.108763275	0.549104721	0.866134922	0.997385654	0.932147137	1.504664119	0.865880846	1.331713367	1.008490398	0.838244418	0.36295930649999997	0.188822723	1.089355301	0.524322581
YOR053W		0.366024625	0.404653428	0.0	0.707262307	0.679451228	0.442700831	0.896065958	0.407068095	0.649719727	0.724449541	0.506718255	0.4311565955	0.291984406	0.828109771	0.327354839
YOR054C		0.311768	0.258059448	0.549104721	1.289098102	1.182794873	1.044153283	2.012525009	0.79255594	1.299883073	2.196863621	0.818249369	0.897590478	1.435019056	1.203527112	0.341225806
YOR055W	1.417573222	0.679876717	0.272921511	0.710255019	0.955696571	0.969157316	0.839008552	1.375725889	0.581997577	0.942129002	1.034931457	0.471764347	0.561621826	0.661045014	1.91784324	0.338451613
YOR058C	9.708714269	3.516221173	3.236444814		0.713677337	0.382335674	1.425997299	1.920654649	0.205322812	0.957777207	1.695586343	0.987868316	0.5353313705	0.379487619	0.852819328	0.0
YOR059C		0.478305003	0.104034437	0.757821886	0.865330096	1.048875076	0.778566271	0.697596036	0.988919344	0.663352938	0.645946	0.69742829	0.7219868974999999	0.584429355	0.814552858	0.754699248
YOR061W		0.469090864	2.007765123	0.532004468	1.167006163	1.093135004	1.31962533	1.308278401	1.147369199	0.703335748	0.896057861	1.145331871	0.963178243	1.696775689	1.140006475	1.562567912
YOR062C	0.671797246	0.364719592	0.337098599	0.41779707	0.910953533	1.028804528	0.824083135	1.173264843	0.987955761	0.743109202	0.798265787	0.872633356	0.6200250045	0.596605412	0.799546974	1.270818943
YOR064C		0.557348379	0.251979514	1.054814144	0.975094971	1.137864959	0.893458471	1.453986482	1.021520656	1.152777955	1.037052641	0.969958848	0.768433307	1.504043864	1.21400653	0.786812758
YOR065W		1.020677161	3.454063604		0.924435329	1.562668686	1.442706938		1.366611891	0.945156939	0.697651012	1.371914385	0.6142307615		0.654877433	0.756113895
YOR066W		0.319706857	1.597360636		0.987147159	0.919064961	0.701010198	0.51002289	0.987252828	0.723852884	0.978734523	0.733024807	0.612892615	1.501311862	1.137862865	
YOR067C		0.598907956	0.382360334	0.483450895	1.028963352	1.074850855	1.319775076	0.785912464	1.524784997	0.956391864	1.241903376	0.816712466	1.1765831115	0.51811113	2.25006276	0.657483871
YOR068C		1.874560724	0.174967008	0.650569723	0.919786164	0.773355004	0.689090147	0.347471735	0.731930804	0.390733865	1.071075088	0.5153812	0.6916378985	0.132636449	2.085396649	1.102890735
YOR069W		0.476427793	1.009269151		0.800315923	0.712781294	1.010888344	0.811264479	0.551639379	0.637172239	1.156596994	0.349991648	0.2305870535	0.309485048	1.107181635	1.342709677
