ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YER056C-A	1.000	1.349	NaN	1.910	0.989	1.136	1.754	1.220	1.376	0.584	1.210	0.808	1.035	1.387	1.640	1.240
YER060W-A	0.500	0.442	1.275	NaN	0.703	0.643	0.598	1.622	0.468	0.597	0.725	0.816	1.067	0.975	NaN	NaN
YER066C-A	0.289	1.154	0.520	1.068	1.013	1.061	1.089	0.100	1.223	0.961	1.136	0.993	0.865	1.405	NaN	NaN
YER068C-A	1.000	0.155	NaN	NaN	1.256	0.710	1.237	1.215	0.696	0.582	1.131	0.323	5.588	NaN	1.645	0.786
YER093C-A	0.788	0.822	0.991	NaN	0.913	0.923	1.369	1.076	1.164	0.637	0.940	1.302	0.658	1.097	1.139	1.399
YER119C-A	0.000	0.715	0.552	0.538	0.817	0.935	0.775	1.053	0.720	0.913	0.798	0.800	0.768	0.922	1.740	3.550
YFL010W-A	NaN	1.052	1.143	1.131	1.034	1.073	0.871	0.740	1.076	1.043	0.783	1.036	0.671	0.625	0.953	NaN
YFL013W-A	0.500	2.670	NaN	2.301	0.931	0.898	1.018	0.713	1.093	1.010	0.922	0.914	1.500	3.559	1.720	1.497
YFL034C-A	NaN	0.538	NaN	2.091	1.009	0.892	0.639	1.091	0.406	1.048	1.052	0.650	0.566	0.531	0.535	0.544
YFR031C-A	4.680	0.499	NaN	0.850	1.115	1.052	2.529	1.145	1.326	5.690	0.738	1.124	1.066	1.616	0.843	0.579
YFR032C-A	NaN	0.888	0.701	4.315	1.146	1.101	0.654	1.208	1.122	1.121	0.890	0.894	0.848	0.871	0.838	0.887
YGL226C-A	2.300	1.124	1.600	0.434	1.027	1.196	0.591	1.338	1.255	0.413	1.036	0.924	1.013	2.240	8.179	8.317
YGR122C-A	NaN	0.946	0.774	0.924	1.083	0.987	0.736	1.037	0.893	1.327	0.793	0.885	0.726	0.744	1.232	NaN
YHR001W-A	1.000	0.373	5.180	NaN	1.814	0.839	2.364	0.584	1.458	0.627	0.619	3.448	1.006	0.467	1.289	0.979
YHR021W-A	0.415	1.642	1.738	3.115	1.674	0.935	1.143	1.007	1.184	1.170	0.863	1.146	0.726	2.093	1.334	0.933
YHR049C-A	0.376	1.219	1.335	0.264	0.909	1.088	1.369	0.000	1.017	1.108	0.971	1.033	0.564	0.957	1.250	2.328
YHR132W-A	NaN	0.561	NaN	0.000	0.875	0.906	0.776	0.653	0.819	0.307	0.884	0.823	0.397	0.548	0.964	0.451
YHR139C-A	0.482	0.618	NaN	0.116	0.778	0.758	0.667	0.376	0.844	0.840	0.712	0.809	0.438	0.586	0.456	0.344
YIL009C-A	0.517	1.167	NaN	0.248	1.112	0.842	0.439	0.567	0.955	0.566	0.965	0.886	3.744	2.124	3.148	2.674
YIL015C-A	0.500	0.912	0.598	0.831	0.786	0.864	1.044	1.347	0.967	1.407	0.911	1.061	0.513	1.353	1.771	1.213
YJL206C-A	0.685	1.331	0.147	0.772	1.580	1.087	1.405	0.631	0.864	6.165	1.376	3.198	1.937	NaN	0.411	0.881
YJR010C-A	0.739	0.918	0.278	0.834	0.981	0.903	0.770	0.195	0.958	0.941	0.769	1.063	0.769	1.008	2.217	0.918
YJR094W-A	NaN	0.845	0.109	1.334	0.774	0.680	1.094	0.503	0.645	0.757	0.745	0.648	0.987	1.243	0.789	1.637
YKL033W-A	NaN	0.605	NaN	2.242	1.500	0.584	0.668	0.452	0.804	0.300	0.693	0.783	0.483	0.540	0.529	0.220
YKL053C-A	NaN	0.609	NaN	0.000	0.655	0.742	0.694	1.036	0.844	NaN	0.802	0.757	0.535	0.489	0.768	0.665
YKL096W-A	NaN	1.242	1.208	0.426	1.038	1.272	1.361	1.687	1.129	1.329	1.037	1.211	0.363	1.006	4.659	5.957
YKL162C-A	NaN	0.799	0.700	0.246	0.710	0.832	0.764	0.680	1.073	0.314	0.897	1.036	0.620	0.884	0.376	0.864
