ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YER110C	NaN	1.930	0.157	1.456	1.468	1.271	0.968	0.539	1.142	1.387	1.246	1.541	1.509	NaN	0.973	5.448
YCL055W	NaN	0.826	0.675	1.821	1.106	0.965	0.852	0.820	1.279	0.356	1.044	1.075	0.692	0.827	1.783	1.981
YMR065W	NaN	0.869	NaN	0.195	0.838	1.071	0.745	0.447	0.940	0.483	1.077	0.879	0.774	1.298	0.833	0.544
YPL269W	0.617	1.084	0.362	1.691	0.928	1.046	0.883	0.754	0.957	0.346	0.956	0.851	0.703	1.047	1.401	0.925
YCL024W	NaN	0.754	1.161	NaN	0.964	0.979	0.950	0.414	1.119	1.471	1.045	0.953	0.504	0.692	1.355	2.225
YHR158C	1.191	1.090	NaN	4.358	1.489	1.410	0.531	27.048	0.981	1.000	0.914	1.096	1.352	1.763	0.818	0.658
YGR238C	NaN	0.988	0.550	0.157	0.749	0.968	1.177	1.044	0.987	0.470	0.759	1.108	0.347	0.758	1.803	1.588
YPL263C	0.281	1.530	0.364	0.728	1.124	1.257	1.160	1.234	1.328	0.357	1.110	1.229	0.678	1.179	2.563	0.349
YGL173C	0.000	0.395	1.020	2.204	1.467	0.860	0.324	0.635	0.876	0.680	1.363	1.009	3.095	0.000	6.013	4.309
YPL145C	NaN	0.958	2.364	NaN	0.953	0.907	1.162	1.640	0.532	1.015	0.978	0.812	0.813	1.243	2.811	0.905
YGL203C	0.242	0.507	NaN	1.406	0.973	0.973	0.701	1.310	0.862	1.466	1.219	0.451	1.132	0.267	0.880	0.719
YIL125W	0.206	1.342	0.649	NaN	0.544	1.037	2.237	1.467	0.864	0.909	0.992	0.791	0.862	1.023	1.832	2.060
YDR148C	NaN	0.516	NaN	NaN	0.883	0.785	0.914	0.855	0.807	NaN	0.968	0.915	0.857	0.975	0.673	0.982
YJL094C	0.500	0.664	NaN	NaN	0.828	0.838	1.165	0.514	1.152	0.903	0.847	1.126	0.387	0.416	0.948	0.681
YDR122W	2.765	1.478	0.870	0.802	0.787	1.014	1.314	1.039	1.233	1.196	0.860	0.884	0.516	1.180	1.274	2.480
YLR096W	NaN	0.712	0.401	0.333	0.886	0.962	0.501	0.804	1.019	0.487	1.251	1.101	1.019	0.646	2.246	0.714
YAR018C	NaN	1.087	NaN	NaN	0.753	0.860	0.880	NaN	0.703	2.112	0.798	1.427	1.961	1.551	1.258	NaN
YOR233W	NaN	0.678	NaN	NaN	1.068	1.501	0.949	1.081	1.243	0.963	1.193	0.980	0.863	0.665	0.894	0.696
YBL063W	NaN	0.867	1.420	1.297	0.631	0.966	0.414	0.836	0.851	NaN	0.818	0.671	0.492	0.832	0.701	0.467
YPL155C	NaN	1.048	1.312	0.773	1.087	1.142	1.014	0.761	1.037	1.470	1.011	1.201	0.997	1.237	1.512	0.352
YGL216W	0.503	1.067	0.293	0.835	0.945	0.930	1.141	1.428	0.704	1.295	0.964	1.026	0.614	1.007	7.329	0.328
YKL168C	0.183	0.779	NaN	0.850	0.861	1.010	0.782	0.905	0.977	0.368	1.052	0.728	0.623	0.948	1.561	1.130
YDL049C	NaN	NaN	NaN	NaN	1.069	0.874	0.816	NaN	0.872	1.329	1.134	0.787	0.526	NaN	1.586	2.548
YNL322C	NaN	0.609	0.236	0.887	0.891	1.053	1.213	2.034	0.845	0.610	1.342	1.626	1.334	1.777	1.533	3.099
YGR166W	NaN	0.597	0.565	NaN	0.979	1.012	0.586	0.948	0.625	0.560	1.083	0.740	1.464	0.898	0.701	0.657
YDR483W	NaN	0.516	1.136	NaN	0.898	0.937	0.700	0.803	0.816	1.005	0.925	0.872	0.617	0.425	0.755	0.955
YIL027C	2.354	1.209	NaN	0.488	1.099	1.062	0.660	0.540	1.056	0.374	0.911	0.782	0.834	1.596	4.451	0.507
YHR082C	0.507	1.508	1.482	0.234	1.076	1.074	1.239	0.000	1.400	1.045	0.796	1.178	0.619	1.337	0.604	4.622
YGR040W	NaN	0.538	NaN	0.203	0.516	0.929	0.628	0.148	0.997	0.132	0.711	0.896	0.194	0.524	1.676	0.655
YKL110C	0.286	1.029	0.875	0.498	1.119	0.830	1.427	0.796	1.145	1.701	0.811	1.167	1.054	1.492	4.287	0.719
YOR099W	0.000	0.773	NaN	NaN	0.917	0.823	1.008	0.497	1.076	1.041	0.805	1.244	0.724	0.692	0.977	0.696
YKR061W	0.500	0.788	NaN	NaN	1.162	1.075	0.961	0.870	1.284	0.501	0.957	1.041	0.681	0.542	1.357	1.441
YBR205W	NaN	0.567	1.420	0.306	0.867	0.960	0.712	0.437	0.953	0.281	1.109	0.827	0.627	0.682	0.751	2.427
YBR199W	NaN	0.565	0.305	0.833	0.768	0.825	0.795	0.612	0.882	0.216	0.886	0.681	0.573	0.619	1.019	0.889
YNL029C	NaN	1.028	8.322	NaN	1.371	1.020	0.148	1.196	1.308	NaN	0.994	0.645	0.644	0.500	1.775	3.395
YPL053C	NaN	1.116	NaN	0.757	0.863	0.933	1.006	1.100	0.722	0.508	0.929	1.017	0.876	0.873	0.996	1.518
YIL085C	0.980	3.394	1.831	0.419	1.138	1.037	0.821	0.127	0.972	0.366	0.725	0.668	1.594	0.607	4.283	5.278
YKL008C	18.077	0.502	0.285	3.095	1.096	0.999	0.956	0.508	0.800	NaN	1.194	0.921	0.908	0.775	1.459	0.718
YHL003C	0.350	0.546	0.502	1.733	1.149	1.033	0.534	2.479	0.919	0.401	1.336	0.967	1.813	1.303	NaN	NaN
YOL025W	NaN	0.994	NaN	0.376	0.916	0.852	0.885	1.211	0.642	0.988	0.901	0.876	0.319	0.563	2.615	NaN
YNL239W	0.440	3.326	NaN	1.265	0.867	1.303	1.546	1.448	1.365	3.581	1.520	1.636	0.426	NaN	0.760	0.485
YKL103C	0.218	0.724	1.550	7.484	1.042	0.655	0.935	0.615	0.718	1.321	0.907	0.798	0.506	0.967	1.805	0.864
YJL062W	36.500	2.725	2.021	8.670	1.887	1.042	0.931	1.092	0.776	0.662	1.508	0.764	5.127	2.420	3.541	0.511
YNL071W	0.000	0.278	0.506	0.273	0.462	0.680	1.803	0.155	0.523	0.816	1.177	0.964	2.019	0.270	1.257	0.991
YOR171C	NaN	1.281	0.939	2.156	1.069	0.924	1.528	1.467	1.048	0.496	0.935	1.458	0.661	1.062	2.364	0.649
YLR260W	3.201	1.182	1.431	NaN	1.394	1.014	2.768	1.028	1.686	1.439	0.993	2.422	1.787	0.892	1.011	1.287
YCL005W	NaN	0.735	0.614	0.627	0.977	1.041	1.045	0.629	1.061	1.331	0.999	1.002	0.972	1.089	1.334	1.816
YLL049W	1.631	1.173	0.419	1.311	1.147	1.069	0.830	0.511	1.211	0.587	1.122	1.103	1.348	1.368	1.518	2.170
YOR322C	NaN	0.679	0.805	NaN	0.790	0.789	1.014	0.975	0.861	1.387	1.091	1.503	1.712	1.500	1.889	1.221
YBL006C	NaN	0.993	0.769	1.984	1.146	0.889	0.991	1.086	1.157	1.531	0.546	1.301	1.712	1.380	2.242	2.992
YPL213W	25.851	0.787	2.979	NaN	1.268	1.012	2.052	1.036	1.083	1.074	1.124	1.188	4.572	1.689	5.816	0.974
YPL054W	NaN	0.696	NaN	1.057	0.866	0.982	0.784	1.251	0.589	0.497	0.947	0.788	0.655	0.846	0.915	1.939
YNL323W	NaN	0.730	5.637	0.621	0.893	0.925	0.623	0.758	1.062	1.380	0.860	1.310	1.149	1.190	1.263	6.560
YOR123C	1.918	2.024	NaN	1.936	1.664	1.250	1.499	1.925	1.305	0.562	1.293	1.554	2.079	1.834	6.417	2.674
YLR451W	NaN	0.860	NaN	4.504	0.823	0.608	0.599	1.702	1.121	1.137	0.802	0.510	0.438	5.116	NaN	0.496
YNL104C	0.164	2.547	0.732	0.654	1.103	1.725	1.459	4.022	1.387	1.647	2.190	1.942	1.105	1.531	5.063	4.500
YOR108W	NaN	1.053	NaN	NaN	0.879	0.867	0.715	1.350	0.609	0.341	1.048	0.729	0.922	1.219	1.431	0.666
YPL055C	NaN	0.731	NaN	0.790	0.945	0.794	0.879	1.148	0.641	0.271	0.991	1.432	0.566	0.104	1.345	2.300
YDL051W	NaN	NaN	NaN	NaN	0.953	0.868	0.485	NaN	0.812	1.210	1.282	0.439	0.569	NaN	1.145	2.507
YKL073W	8.307	0.153	0.512	NaN	1.198	1.384	0.351	1.122	1.879	NaN	1.205	0.911	2.609	NaN	6.110	1.235
YJR070C	NaN	1.391	0.897	1.961	1.224	1.120	1.142	0.667	1.073	1.080	0.954	1.116	1.244	1.397	2.495	3.470
YGL090W	NaN	1.239	0.982	0.272	1.063	1.025	0.487	0.572	1.243	0.432	0.874	1.078	0.800	0.974	1.569	0.375
YHR156C	NaN	0.810	0.000	0.000	1.159	1.298	0.569	2.647	0.954	0.531	1.511	0.920	1.024	NaN	7.730	21.855
YLR239C	NaN	0.407	NaN	0.000	0.468	1.668	0.473	1.344	1.120	0.784	0.460	2.785	0.670	0.069	0.558	0.242
YOR196C	NaN	0.102	NaN	NaN	0.622	0.805	1.040	0.616	1.017	NaN	0.650	4.798	3.095	NaN	1.632	1.886
YFR001W	NaN	1.118	NaN	0.708	1.203	0.568	0.362	1.259	0.794	0.291	1.056	0.408	5.096	1.381	3.025	0.727
YKL205W	NaN	0.576	1.065	NaN	0.904	1.082	0.866	0.541	1.108	0.382	0.810	0.809	0.604	0.609	0.980	0.283
YKL183W	0.319	1.216	NaN	0.368	1.029	1.052	1.379	1.066	1.324	0.721	1.055	1.215	0.860	1.171	4.481	1.020
YLR011W	0.763	1.064	0.438	0.438	0.995	1.116	0.891	0.812	0.994	1.544	0.549	0.298	0.872	0.466	0.128	0.837
YFL018C	7.860	1.563	NaN	0.777	1.375	0.944	0.601	0.271	0.903	0.570	1.173	0.546	4.520	1.409	0.915	0.920
YPL060W	NaN	0.950	3.296	0.000	1.082	1.049	0.824	1.622	0.691	0.629	1.122	0.904	0.685	0.531	0.685	0.872
YDR503C	NaN	0.598	2.382	NaN	0.798	0.883	0.783	0.452	0.839	0.829	0.901	0.868	0.568	0.343	0.694	0.476
YCL051W	0.000	0.950	0.501	1.032	1.065	1.025	1.023	1.906	1.105	0.547	1.170	1.242	1.362	1.138	1.764	2.221
YDL240W	NaN	0.471	0.478	0.943	0.807	0.787	0.413	0.518	0.491	0.795	0.908	0.384	0.761	0.818	1.254	1.396
YNR008W	0.500	1.443	NaN	1.942	1.260	1.088	1.266	1.114	1.009	0.964	0.965	1.133	0.985	2.153	2.021	0.647
YHR081W	2.089	1.159	0.000	2.621	0.966	0.718	0.909	0.763	0.517	0.836	1.097	0.564	2.450	1.879	0.807	0.768
YDR439W	NaN	1.148	NaN	0.756	1.331	1.250	1.306	0.489	1.225	1.291	1.059	1.405	0.987	1.172	2.322	0.754
YGR136W	NaN	2.303	NaN	1.159	1.019	1.039	1.240	0.176	0.734	1.259	0.857	0.937	0.827	1.806	3.461	1.438
YCL034W	NaN	1.054	0.581	0.593	0.914	1.032	1.048	0.564	1.069	1.359	0.875	0.891	0.913	0.863	1.529	1.815
YJL100W	NaN	0.647	NaN	0.217	0.904	0.820	1.019	0.397	0.810	1.642	0.867	0.831	0.592	0.706	1.013	0.000
YOR142W	NaN	0.803	NaN	0.000	1.094	0.882	1.308	0.065	0.907	0.901	0.841	0.335	0.630	0.746	1.226	1.352
YGR244C	NaN	0.641	NaN	0.000	0.948	0.850	0.767	1.060	0.522	1.089	0.984	0.729	0.603	0.743	0.704	0.894
YJL124C	NaN	0.268	NaN	NaN	1.037	0.816	0.613	NaN	1.291	0.833	1.253	1.602	1.808	NaN	0.922	1.526
YHR121W	2.400	0.613	0.634	2.340	1.153	0.967	0.604	0.456	1.011	0.940	0.964	0.872	1.739	1.576	0.703	0.601
YPL004C	1.000	0.751	NaN	NaN	0.953	1.128	0.708	0.941	1.066	1.000	0.927	0.867	0.666	0.482	0.688	0.744
YKL176C	0.405	0.883	1.017	0.315	0.601	0.623	0.899	NaN	0.858	0.752	0.031	0.526	2.228	NaN	5.527	2.020
YGR057C	10.534	2.874	5.548	3.343	1.454	1.252	2.941	0.812	1.640	2.486	1.572	1.562	3.495	4.124	4.403	1.817
YAL024C	0.591	1.670	2.169	0.633	1.144	1.158	1.041	15.189	0.826	0.966	0.855	0.894	1.258	NaN	8.753	0.651
YPR073C	NaN	1.388	NaN	2.157	1.472	1.708	1.004	1.608	1.727	NaN	1.556	1.265	0.722	0.897	0.346	NaN
YKL143W	1.437	0.589	0.808	10.524	1.457	0.798	1.170	0.507	1.155	1.472	0.948	1.688	3.054	1.705	1.125	0.928
YNL268W	0.424	1.546	5.399	0.872	1.012	0.966	1.243	0.000	0.980	1.160	0.504	1.361	0.893	1.728	8.329	3.900
YIR034C	NaN	0.450	4.075	NaN	0.630	0.782	0.724	0.392	0.757	0.947	0.782	0.689	0.267	0.595	1.031	0.845
YIL094C	0.963	0.955	0.911	NaN	1.241	1.224	1.049	0.159	1.236	1.242	1.469	1.845	0.893	1.013	4.809	0.326
YDR034C	NaN	0.547	0.516	0.000	0.785	1.030	0.742	0.183	1.037	0.951	0.985	0.701	0.518	0.671	0.901	0.630
YBR115C	0.500	0.640	NaN	0.764	1.144	1.263	0.692	0.487	1.009	0.908	1.098	0.977	0.462	0.327	1.089	1.525
YDL182W	0.500	0.839	NaN	0.796	1.318	0.862	1.193	0.801	0.878	1.241	1.092	1.135	0.672	0.552	1.792	1.284
YDL131W	NaN	0.610	0.199	0.650	0.784	0.939	0.914	0.251	0.957	0.875	1.026	0.684	0.461	0.671	0.537	0.526
YDR234W	1.506	1.488	NaN	1.140	1.038	1.136	1.306	NaN	0.664	5.576	0.896	1.196	0.844	1.806	NaN	NaN
YGL154C	2.069	0.367	0.424	0.438	0.906	1.159	1.038	0.773	1.135	1.170	0.825	1.082	0.830	0.967	0.825	0.241
YNR050C	NaN	0.316	NaN	1.133	0.932	0.544	0.202	NaN	0.370	0.283	0.798	0.168	3.407	NaN	4.045	1.331
YMR021C	0.500	1.177	0.275	1.584	0.943	1.541	1.542	0.321	1.434	1.207	0.885	1.205	0.651	0.831	1.373	0.482
YGL086W	NaN	1.390	NaN	0.588	1.450	1.469	1.118	1.406	1.372	0.528	1.077	1.175	1.034	1.235	1.882	0.534
YJL030W	NaN	0.609	NaN	0.276	0.713	0.799	0.699	0.810	0.621	0.428	0.787	0.611	0.429	0.860	1.085	0.988
YJL013C	0.152	0.937	2.691	0.992	0.869	1.140	1.087	1.380	1.048	0.469	1.052	0.926	0.824	0.571	2.844	1.955
YKL029C	NaN	1.642	4.514	1.093	0.884	1.417	0.474	1.431	1.783	NaN	1.032	1.911	0.897	1.154	3.945	4.215
YDR005C	NaN	2.118	1.109	7.467	1.659	1.369	0.578	0.263	1.318	1.368	0.880	1.437	1.969	1.874	4.183	3.303
YER142C	0.000	1.063	0.527	0.754	0.915	0.973	1.248	1.489	1.038	0.421	1.093	1.077	0.805	0.000	2.472	4.261
YLR427W	NaN	0.640	0.477	0.231	0.762	0.804	0.317	0.509	0.886	0.267	0.892	0.803	0.390	0.419	1.403	1.572
YEL053C	NaN	0.897	NaN	0.857	0.752	0.856	1.058	0.918	0.920	0.759	0.910	1.047	0.458	0.966	0.951	0.854
YPR051W	9.000	1.299	NaN	NaN	0.894	0.782	1.277	0.976	2.230	NaN	1.148	0.141	2.087	2.976	1.658	0.000
YCR019W	NaN	0.541	7.405	NaN	0.761	0.625	0.439	0.466	0.438	0.822	0.650	0.495	0.719	0.440	0.723	0.640
YGR289C	NaN	1.100	0.810	0.999	1.089	0.936	0.821	0.971	0.908	1.192	0.782	0.920	0.655	0.652	1.238	NaN
YGR292W	NaN	0.771	0.959	0.821	0.897	0.879	0.655	0.624	0.854	0.716	0.854	0.743	0.719	0.417	0.901	NaN
YGR288W	NaN	0.631	1.958	NaN	0.637	0.601	0.398	0.543	0.746	0.515	0.868	0.648	0.464	0.947	0.727	0.447
YBR299W	0.472	1.424	0.394	1.890	0.880	1.104	1.007	18.520	0.686	1.205	1.033	0.956	1.116	NaN	7.914	0.738
YBR297W	NaN	0.663	NaN	0.560	0.763	0.889	0.826	NaN	0.844	0.904	0.901	0.611	0.451	0.673	1.782	2.602
YER106W	0.000	1.355	NaN	1.197	1.021	1.026	0.963	1.224	0.713	1.278	0.971	0.875	0.671	0.000	7.993	0.740
YOL060C	NaN	1.024	0.152	NaN	1.017	1.018	0.170	0.929	1.575	1.434	0.905	0.878	1.244	1.535	1.261	1.174
YIL070C	0.500	0.733	0.544	0.500	0.649	0.717	0.728	1.363	0.527	0.442	0.707	0.702	0.585	0.701	1.620	1.056
YLR244C	NaN	0.569	NaN	0.400	0.649	1.274	0.768	1.321	1.041	0.790	0.621	0.953	0.298	0.686	0.420	4.389
YBL091C	NaN	0.656	0.513	0.578	0.906	0.931	1.121	1.349	0.839	0.589	1.014	0.941	0.476	0.599	1.150	0.577
YBR185C	NaN	0.602	NaN	0.770	0.832	0.845	0.896	0.604	0.974	0.215	0.930	0.964	0.538	0.658	1.416	1.206
YJL199C	12.904	1.133	5.464	1.578	1.334	1.300	0.932	3.854	1.248	0.265	1.353	1.473	1.668	0.485	5.614	7.852
YKL093W	NaN	1.666	2.003	0.513	1.408	1.064	1.730	1.387	1.097	0.792	0.385	1.647	0.740	0.854	4.170	3.913
YOR197W	NaN	0.945	NaN	NaN	1.397	1.689	0.991	1.125	1.335	NaN	1.176	0.895	1.024	0.811	0.948	0.601
YKL221W	NaN	0.703	NaN	0.268	0.898	0.995	0.880	0.516	0.970	0.398	0.683	0.777	0.697	0.686	1.158	0.275
YOL119C	0.500	0.592	0.839	4.666	1.098	0.489	0.705	0.474	0.807	0.365	0.710	0.945	0.454	0.783	0.843	0.412
YOR306C	NaN	0.512	1.092	0.593	0.952	0.787	0.801	0.741	0.901	0.774	0.870	0.949	0.343	0.702	1.038	0.975
YNL307C	1.071	2.087	NaN	2.387	1.163	1.060	1.146	1.031	0.909	1.071	0.803	1.733	3.306	0.660	4.224	1.119
YPR046W	NaN	1.047	1.639	0.534	0.960	1.025	1.298	0.904	0.967	0.432	1.151	1.278	0.615	1.209	1.978	0.000
YDR318W	9.738	0.770	NaN	0.530	0.829	0.990	1.157	1.013	0.966	0.977	0.937	1.058	0.906	0.991	2.520	1.017
YJR135C	NaN	0.903	NaN	0.360	0.852	1.061	1.257	1.044	1.128	0.675	0.881	0.774	0.383	1.003	2.100	1.911
YKL150W	NaN	0.872	NaN	0.485	0.891	0.930	0.646	0.736	0.791	0.462	1.025	0.951	0.562	1.029	1.883	2.142
YOR221C	NaN	0.425	NaN	0.486	0.681	1.448	0.478	0.404	0.871	0.643	0.911	5.729	2.360	0.149	2.861	2.023
YBR227C	1.227	0.749	0.661	0.673	1.087	1.101	0.691	0.709	0.953	0.918	0.623	0.836	1.410	0.922	0.833	0.979
YNL173C	NaN	0.879	2.666	0.717	0.847	1.087	0.695	0.640	1.158	0.502	0.829	0.923	0.622	0.913	1.442	0.373
YKL085W	NaN	1.161	1.201	NaN	0.949	1.109	0.920	0.627	1.196	1.853	0.906	1.149	0.762	1.067	1.350	0.673
YOL126C	0.500	0.534	0.494	4.717	1.184	0.511	0.617	0.604	0.841	0.346	0.898	0.723	0.624	0.602	0.806	0.337
YDL078C	1.526	0.993	NaN	4.104	0.925	1.147	0.602	6.167	0.500	1.256	1.353	0.664	0.467	NaN	1.748	3.920
YFL016C	NaN	0.337	NaN	0.719	1.016	0.790	0.362	NaN	0.810	1.077	1.567	1.237	1.579	NaN	1.117	NaN
YNL328C	0.261	0.523	0.865	0.665	0.911	1.024	0.410	1.136	0.978	1.061	0.981	0.715	0.470	0.314	1.019	0.617
YLR188W	NaN	0.761	1.721	1.377	0.835	0.800	0.913	0.891	0.694	0.752	0.447	1.390	1.216	0.527	1.019	1.105
YPL270W	0.303	1.662	0.253	2.233	1.006	1.000	0.730	0.573	1.000	1.016	0.817	0.673	1.817	1.112	2.336	1.895
YML104C	NaN	0.900	0.446	0.361	0.878	0.949	1.445	1.430	1.280	1.097	0.879	1.243	0.650	0.359	2.928	3.700
YAL010C	0.000	1.050	0.487	NaN	0.839	0.412	0.745	1.533	NaN	1.897	1.276	1.104	1.609	0.359	0.188	2.925
YOL009C	2.219	0.568	1.016	6.879	1.750	0.671	0.476	NaN	0.677	0.564	1.597	0.679	4.399	NaN	0.913	1.514
YOL076W	0.798	1.493	0.469	14.656	1.838	0.364	0.713	NaN	0.565	0.859	1.490	0.902	2.074	1.745	1.748	3.018
YLR368W	4.191	0.881	0.844	0.389	0.883	0.774	0.714	0.104	0.939	0.389	0.901	0.678	1.495	0.714	4.188	1.596
YHR194W	2.183	1.150	2.776	1.366	1.341	0.621	0.587	NaN	0.581	0.668	1.878	0.417	3.494	NaN	6.525	9.645
YOR147W	NaN	0.600	0.553	1.154	1.209	0.907	0.800	0.819	1.461	0.907	0.630	1.078	0.321	0.512	1.569	1.804
YGL219C	NaN	1.055	0.899	0.444	0.910	0.853	1.178	0.333	1.076	0.586	0.552	0.961	0.313	0.651	3.192	1.196
YPR083W	NaN	1.607	NaN	0.535	0.662	1.082	1.805	2.948	0.901	1.566	0.612	1.193	0.581	0.000	2.889	4.178
YOL027C	NaN	NaN	NaN	2.204	0.876	0.793	0.492	1.105	0.436	0.607	0.985	0.532	0.158	0.000	1.262	NaN
YGR100W	NaN	0.718	NaN	NaN	0.870	1.100	0.838	0.507	1.205	0.479	0.846	0.853	0.757	0.868	0.878	0.385
YGL197W	1.241	1.064	0.345	1.340	1.105	1.198	0.741	0.841	1.647	1.857	1.287	1.323	0.779	1.927	5.296	0.280
YJL112W	NaN	0.636	0.931	NaN	0.819	0.874	0.822	0.498	0.762	1.553	0.954	0.765	0.399	0.376	0.505	0.442
YOL111C	0.500	0.613	0.433	0.175	0.876	0.939	1.087	0.754	0.934	0.432	1.040	0.570	0.622	0.681	1.214	0.749
YLR288C	1.404	0.981	0.786	0.355	0.989	0.909	1.394	0.468	1.081	1.156	0.846	1.051	0.889	1.085	6.417	1.808
YPR070W	NaN	0.315	NaN	NaN	0.512	0.447	0.661	0.561	0.560	NaN	0.623	0.636	0.410	0.248	0.164	NaN
YDL005C	NaN	0.220	2.206	NaN	1.555	1.183	NaN	NaN	1.079	1.649	1.613	0.541	2.882	NaN	3.560	7.706
YLR069C	NaN	0.480	1.181	6.179	1.444	0.838	0.868	11.187	0.679	0.703	2.028	0.842	2.442	NaN	1.344	1.339
YJL102W	1.031	1.003	NaN	NaN	0.956	0.988	0.679	0.438	1.178	1.343	1.577	1.453	1.094	NaN	1.123	0.891
YKR007W	NaN	0.579	0.705	1.175	0.727	0.834	1.538	3.854	0.730	0.539	1.073	0.630	2.314	1.292	2.302	2.119
YPL121C	NaN	0.604	0.351	1.715	0.927	1.003	0.753	1.533	0.620	0.760	0.977	0.635	0.515	0.622	1.205	0.261
YOR351C	0.000	1.169	0.116	0.276	1.339	1.386	1.154	0.202	1.776	0.423	1.185	1.367	0.943	0.751	0.951	1.286
YGR121C	NaN	1.504	NaN	0.000	0.678	0.934	1.154	0.425	1.131	0.630	0.893	1.083	0.790	0.846	1.026	1.093
YNL142W	NaN	1.520	NaN	NaN	1.003	1.261	1.144	0.547	1.001	0.377	0.863	0.602	1.147	1.086	2.716	3.011
YNL210W	NaN	0.697	0.686	0.352	0.782	0.869	0.780	0.437	0.854	0.401	0.787	0.601	0.563	0.662	1.048	0.308
YKR069W	NaN	1.685	NaN	2.142	1.042	1.490	0.417	1.931	0.988	0.286	1.214	0.949	0.733	1.455	1.046	0.867
YFR030W	0.500	0.650	NaN	0.000	1.169	1.095	0.701	0.518	0.936	1.066	1.275	0.519	0.538	0.546	0.737	0.297
YPL023C	NaN	0.490	2.856	1.348	0.782	0.762	0.707	1.067	0.476	0.416	0.814	0.642	1.346	0.798	0.586	1.225
YKL001C	NaN	1.025	0.847	1.307	1.183	1.249	1.257	1.137	0.780	NaN	1.347	1.431	1.217	1.070	1.573	1.784
YLR303W	0.403	0.617	1.944	0.423	1.241	1.012	0.548	0.616	1.053	1.105	1.230	0.736	0.883	0.352	6.544	NaN
YIL128W	0.000	0.891	1.224	2.039	1.308	1.400	1.113	3.660	0.907	0.974	1.236	0.965	1.277	4.319	7.681	1.785
YOL064C	0.268	0.835	0.103	0.000	0.983	1.148	1.992	1.542	1.406	0.597	0.904	1.213	0.930	1.300	3.840	4.138
YIR017C	NaN	0.893	NaN	0.481	1.086	0.892	0.582	0.878	0.985	0.740	1.180	0.940	0.514	1.177	1.349	1.151
YJR010W	0.236	1.030	0.306	0.544	1.018	1.017	1.096	0.246	1.222	1.082	0.872	1.246	0.569	0.966	2.108	1.297
YPL038W	NaN	1.134	NaN	0.855	0.803	0.758	1.121	1.024	0.725	0.401	0.947	1.029	1.200	0.934	1.473	2.413
YDR253C	0.500	0.438	NaN	0.000	0.927	0.791	0.654	0.590	0.980	0.316	0.910	0.947	0.423	0.443	1.085	0.626
YER091C	1.055	0.673	NaN	0.600	0.975	0.741	0.866	0.510	0.633	0.303	0.844	0.294	0.939	0.560	1.391	1.180
YOR241W	1.391	0.116	0.641	NaN	0.954	0.668	0.319	NaN	0.536	0.541	1.340	0.499	2.846	NaN	0.689	0.868
YBR213W	0.000	0.800	1.475	4.666	1.203	0.888	0.709	0.552	1.120	0.246	0.928	0.679	0.657	0.913	1.641	1.780
YLR017W	0.273	0.668	0.990	0.266	1.076	1.245	0.348	0.723	1.178	0.391	1.180	1.658	0.841	0.658	1.429	1.127
YPL187W	0.235	1.002	1.645	1.142	1.118	1.110	1.359	2.731	0.703	1.579	1.140	1.056	0.679	0.955	2.922	1.267
YDR461W	0.558	1.927	0.402	2.383	1.091	1.069	1.893	NaN	1.222	1.479	1.029	1.322	0.742	NaN	11.467	2.996
YNL145W	0.500	1.798	NaN	0.715	0.618	1.324	1.528	0.540	1.079	0.664	0.883	1.054	1.465	1.721	3.946	3.180
YDR219C	0.802	1.312	1.123	0.950	0.963	0.950	0.856	0.209	1.245	NaN	0.850	1.244	0.858	1.539	2.952	NaN
YML062C	1.231	2.312	0.132	0.427	1.141	0.607	0.860	0.078	0.590	0.770	1.454	0.826	3.544	1.995	1.432	4.464
YGR249W	NaN	0.832	0.962	0.000	0.856	0.848	0.941	1.035	0.639	0.380	0.907	0.872	0.906	0.580	0.829	0.869
YIR033W	NaN	0.452	NaN	0.397	0.717	0.869	0.547	0.330	0.793	0.868	1.081	0.435	0.420	0.395	1.387	0.979
YOR211C	1.139	0.911	1.327	NaN	1.082	0.710	1.987	NaN	1.164	1.301	1.471	0.989	0.666	NaN	1.693	1.745
YJR144W	NaN	0.864	0.634	0.511	0.769	0.638	1.077	0.383	0.858	0.997	0.734	0.695	0.661	0.694	2.773	4.451
YCL044C	NaN	0.665	0.701	0.963	0.924	0.788	0.843	0.542	0.955	1.619	1.048	0.905	0.760	1.209	0.673	1.612
YPL098C	NaN	1.402	0.440	0.351	0.835	0.982	0.592	0.647	1.210	0.751	0.881	0.620	0.639	1.337	0.940	0.397
