orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YAL004W		0.888397647366132		0.135029245587964	0.7904251737361692	2.2281364269486215	0.05529463057256859	0.46550752573808957	2.5184881049558214	-0.3051863761013038	1.188095843497828	0.638910458519308	-0.023662893930002347	0.0035947929501263555	-0.1434999655145425	-0.09741252370287937
YAL005C		-0.39110740247700254	-0.20469320906244629	-0.12741222994954116	-1.296788556507469	-1.2338842285536544	-0.5846333820880909	-0.1520837844869181	-0.3051312536857507	-0.42180846480774137	-0.6164022351035865	-0.7728368923117385	-0.3358050070525837	-0.6004416134390774	-0.4156409293018299	-0.28615753825159057
YAL007C		-0.1995865741561075	-0.23145136949433778	0.2976100799953098	-0.25688258909171335	0.01732698236380375	0.32197897182437607	-0.06686897148018048	0.5169262517700347	0.13828897157736988	-0.23377384538067383	-0.0989626247083987	-0.32206279858520637	-0.554653788013271	-0.37142515426397277	-0.14980981525258052
YAL008W		-0.12980656962402412	-0.23350968941637698	-0.0076310961874559834	0.14130212557647961	-0.05230709214952736	0.06482763718662939	0.1997838716304415	0.18881538045730734	-0.3140718684399937	0.5178642459578481	-0.02119348698003211	-0.20478781458538564	-0.1670029564669667	-0.3327720090508486	-0.08988120981937572
YAL009W	-0.14196005729358452	1.3210178809317719	-0.22939304957229856	-0.005761647768307851	0.5341208497737386	0.30493110207595353	0.43177656838858425	0.18182314229202987	-0.15406719373581945	-0.3191709696572068	0.6956514257287	0.1961571009939519	4.5431075247722035	0.4000199652579605	0.04320589306822033	0.1802187035665327
YAL010C	-0.14196005729358452	0.41310186670606724	-0.12338956876934007		-0.32008954424109337	-2.207830755996563	-0.266137907149018	0.6445317810313204		0.5785197486273375	0.9471460030321913	0.4335072422905971	0.8780785792671566	-0.33192990994863636	-0.4697029961582424	0.6384277244559473
YAL011W		2.790638395165574			-0.33880954179188133	-0.6957725306820697	-0.9665437231573326	0.29914008163835143	-1.5254131116671341		0.22588468655690103	-0.7726566123133555	-0.6345368619085618	0.11089143218500769		-0.2638511944151931
YAL012W		0.08573152097005948	-0.09055800398144447	-0.012150002340672072	0.43998861264713157	2.1725938394261837	0.613140248154718		1.5422637295008361	-0.24828429492597814	-0.32672603477582307	0.618355427143248	-0.06705991974658607	-0.09402888994542315	1.0185618114228967	1.1717061538354019
YAL013W		-0.23320747769684866	0.1153755523048806	0.53505964961262	0.6655591189618624	-0.2033646601727716	-0.3245563037836256	0.6967896265124349	0.3495660800331949	-0.33051509406889196	0.3150999349412036	2.7743232579717625	0.12974695077701037	-0.36749037324600625		-0.2123563678902571
YAL014C		-0.7037076268255091	-0.02253188825327349	-0.07773291055384643	0.1978622542812484	-0.4253260511480248	-0.5476505162690073	-0.06699751255059651	-0.8157585093351601	-0.4221786934254739	0.3521994164450336	-0.1802445440871344	-0.2905510711218184	-0.6222155829446983	-0.36343778829149626	-0.0017992817746667012
YAL015C		-0.05537622081458062		-0.13002693065544382	0.28864484215989056	0.26754080335506564	0.04988814178548999	0.14640630878195365	-0.11354760337612067	-0.36997642524653185	0.47812601252261855	-0.22361747529922826	-0.26452785470620005	-0.05435771532580884	-0.29782728326395635	-0.21254915371114966
YAL016W		2.0196968954035674	0.22567379697663012	0.1140032590818409	0.7430378088365881	-1.3124699301806229	-0.8482862708517197		-1.0394674025663877	-0.33073215194998146	-1.47928538033668	-1.367638483229888	2.1161312841482505		-0.23708399240341615	-0.11173172939444655
YAL017W		-0.40761350605171687	-0.16970176894239797	0.019664702132775252	0.03703308068204697	-0.2437940145932232	-0.18232333369575557	0.13632772275813518	-0.05588272505663231	-0.41255274323875124	-0.07432110583037169	-0.4734262183262224	-0.3696435977902332	-0.32018862750282856	-0.14730851874948017	-0.21007084696125264
YAL018C		0.33586181157624084	-0.12647704865239887	0.10962921085454909	0.2916988895201829	0.14923911477978796	1.2785832770410452	-0.2532900619355603	2.1563103865469593	-0.3607207036775416	-0.2586012669067177	0.4274744715939837	-0.2082248349989521	1.4724856643738942	0.7995819770568288	-0.0791397026342104
YAL019W		0.6409658085037703	-0.2170431290764755	0.116694281736698	0.32524157500231665	0.0846419912206429	1.058465000944575	0.2004527523773366	1.771687950998835	-0.15753183807957927	0.18526551075494868	0.5505992948167904	0.21162854601419628	-0.06969252816573025	-0.4865107585240317	1.3116316314017082
YAL020C		-0.1327940907757956	-0.23762632926045543	0.1170995393691873	0.3283064307253131	0.21724832370452393	-0.07042556309627153	0.11128217381160213	0.8282216328243873	-0.33138852200576036	0.37163049892458566	-0.2156518704825318	-0.04443931141697344	-0.5125396298102446	-0.37592462063528376	-0.16299016521136928
YAL021C		-0.6292402786742646	-0.20983900934933822	0.12497168037560168	2.81033374297691	0.6190599177727111	1.2203025274341912	0.45023041858132723	-0.9012325523488086	-0.3667074456293436	1.24547683811158	0.47434415756479553	0.5969014657037874	0.08989777124800337	-0.219118952738856	0.013773088175279604
YAL022C		-0.48885315333565965	1.7539678469913715	1.0473052616381353	-0.2370806321072758	-1.0974467954600693	-0.4893250803145467	0.15508732609856088	-1.7793727009246056	0.07853038697750352	0.20170497499867096	-1.125231148861531	0.09588081895342952	-0.3005207656131235	0.761682791245274	-0.05220738268842645
YAL023C		1.3072623945033575	-0.20880984938831865	1.1206720075516678	0.19563758461673078	-0.5143208555441814	0.30535774778965546	0.21804643463768558	0.9272856060114127	-0.2249413348803877	0.6288564340834782	-0.22206674243263524	2.7510880222624077	0.9083188031754241	1.1601133687443332	0.13174802159515395
