orf	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011
YAL001C							0.3168428841477992	0.011792266213525008	-0.34766378764634553	-0.041522482906609516	0.3694855870494847	-0.8385830628381433
YAL002W	-0.8868187591808654	-8.307937797946037	-0.17774318802757144	1.1499916487355812	-1.126046842381559	0.5741243572212748	1.19697841393531	-1.0241490338334966	-0.9415395362021354	0.19138266448638103	2.0538728654495495	3.254770791369009
YAL003W							-1.5344325630877655	1.2953056385795212	-0.056685537437834534	1.833567233068616	0.3058583975971369	-0.730348261494789
YAL004W	-0.25796798044893055	-1.1219895739559345	0.03273529559061615	0.033620433997925955	-0.15201346110937664	-0.2339723522782016	0.6689388184950833	-0.4977496296969391	0.29533617565182385	-0.4066051198102218	-0.14343222725555813	0.6947071152002866
YAL005C	-1.3275939824616987	-0.9878767566955733	-0.5628093144939994	-0.1751566374144044	0.036081947906132096	-0.24021196767779573	-0.37910464130938676	-0.4084615968620584	0.8163361862656355	-2.8054558584255322	-0.8550456094498033	-0.7486945088032837
YAL007C	-0.44993046841576995	0.46630615876692466	-0.47825923925706	-0.17282549065332947	0.16444827481528296	0.03520218125493184						
YAL008W	0.9422117715065742	-0.2246039308968736	-0.2980861617222423	-0.19429012290527303	-0.18449939583759167	-0.8146361343410958	-0.22157429661607878	-0.812145186791215	-0.5969354726142693	0.26645863039564105	0.21238953906067415	1.408325598833431
YAL009W							-1.1269032921200821	-0.21602382984782761	0.6579880616824298	1.1532403290494588	-0.14599989967207302	1.076338680415208
YAL010C							-1.4452657761264314	-0.823744548937482	-0.5204791729557395	-0.16971743247673957	0.8206577282287614	2.6626304054571155
YAL011W							-0.16865466911389476	1.8651380191554858	5.370030797427727	0.5336866696654675	0.22820901239020944	-2.2129719826623644
YAL012W							0.5446246841231364	0.3727044097278314	0.5910039085659909	-0.10676713069169362	0.7205110344618494	0.13310771431997867
YAL013W							1.2601250552561372	0.7668536407710228	0.21415856114293036	0.5637786864232625	0.6867661524694754	0.9929901108479103
YAL014C	1.9910861897523742	1.906265785132069	0.5261794181622874	-0.11119370589836784	0.13847098401839028	-0.08083726274056922	0.5295961357124169	0.06633684524697595	0.30609948583802254	0.8726217997116015	-0.8396687058035575	-1.6021075823336475
YAL015C	0.08134050267442407	0.5011652000569681	0.5700603735544162	-0.16623865619697611	0.3246261601452795	-1.0951862805159898	-2.0981165384822793	-2.0717379913575	0.5758263132741643	0.19485643982406547	2.090552668732049	0.5133356822437124
YAL016W	-2.2726995924762523	-1.2474201983856308	-2.1952024794582807		-1.2869316346357689		-0.6221076689797552	-0.31968140309901816	-0.321222998101275	0.42624562241010433	-0.1727610273648696	0.7152846833123696
YAL017W	0.2473189176347508	-1.2703473798551579	-0.18320631232195864	-0.48849449508885606	-0.06480091056326961	-0.2948537282571997	-0.4073502960414057	-0.6362562778809007	-0.8941238801736038	-1.0519520690134532	0.2237119191604565	-0.3384084659025391
