ORF	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011
YDR096W	-0.073	-0.007	0.053	-0.699	-0.178	-0.604	0.386	-0.427	-1.049	0.275	-1.340	-0.569
YDR097C	0.276	0.014	0.289	-0.102	0.764	0.207	0.483	0.464	0.342	0.062	0.934	-0.219
YDR098C	-0.269	0.307	-0.463	-0.489	-0.131	-0.513	0.239	-0.955	0.222	-0.100	-0.196	0.348
YDR099W	-1.487	-0.644	0.225	-0.217	0.966	0.017	-0.374	0.070	-0.197	-0.295	0.756	-0.181
YDR100W	0.004	-0.489	0.418	-0.062	-0.424	0.234	-0.761	-0.800	0.239	0.375	0.193	2.088
YDR101C	NaN	NaN	NaN	NaN	NaN	NaN	-1.202	0.638	-0.344	-0.104	-0.905	0.592
YDR102C	0.010	-0.032	0.295	0.403	-0.027	-0.204	-0.572	-0.241	-0.081	-2.179	0.335	1.210
YDR103W	NaN	NaN	NaN	NaN	NaN	NaN	0.553	-0.902	-0.682	0.298	0.173	-1.533
YDR104C	-0.161	-0.158	-0.114	0.092	0.072	0.220	0.185	-1.268	0.062	-0.518	0.369	-0.003
YDR105C	-0.573	-0.122	-0.022	-1.301	-0.864	-0.632	-0.029	-0.508	0.683	0.824	1.618	1.158
YDR107C	0.211	0.073	0.523	1.046	0.393	0.362	-0.363	0.858	0.686	0.632	0.024	-0.873
YDR108W	-0.422	-0.008	-1.044	0.232	-0.366	-1.184	1.262	-0.237	0.690	-0.185	-1.433	-0.260
YDR109C	-0.237	-0.772	-0.455	-0.899	-0.275	-0.171	0.749	-0.632	0.170	0.847	-0.552	-0.639
YDR110W	-0.535	-0.230	-0.487	-0.305	-0.439	-0.347	-0.435	-0.405	0.552	-0.171	0.310	0.650
YDR111C	-0.197	-0.033	-0.534	-0.608	-0.367	-0.288	0.718	0.611	-2.860	1.186	0.490	0.312
YDR112W	-0.507	-0.207	-0.330	-0.047	-0.550	-0.189	0.539	-0.816	0.504	-0.035	-0.043	0.382
YDR113C	NaN	NaN	NaN	NaN	NaN	NaN	0.398	-0.436	-0.626	0.038	-0.101	1.619
YDR114C	NaN	NaN	NaN	NaN	NaN	NaN	-0.871	0.106	0.603	-0.166	-0.085	-0.469
YDR115W	NaN	NaN	NaN	NaN	NaN	NaN	-1.349	-1.145	-0.650	-1.328	-0.856	-1.067
YDR116C	1.778	-0.090	1.013	-2.554	-0.139	-1.225	1.245	1.208	0.913	-0.040	0.479	0.680
YDR117C	0.196	0.024	0.553	0.223	0.364	0.166	0.829	1.195	0.810	-0.384	-1.411	2.323
YDR118W	NaN	NaN	NaN	NaN	NaN	NaN	0.388	1.307	-0.379	0.262	-0.200	-0.517
YDR119W	-0.116	0.041	0.133	-0.125	-0.078	0.771	-0.358	-0.774	-0.415	-0.493	0.152	0.658
YDR120C	-1.713	4.438	NaN	-3.126	-0.005	-1.692	1.424	1.132	0.128	-0.336	0.020	-0.455
YDR121W	0.509	-1.914	-0.977	-0.823	-0.726	-1.094	-0.289	-0.333	-0.148	0.419	-0.913	0.561
YDR122W	-0.867	0.059	-0.108	-0.332	0.229	1.231	-0.579	-1.106	-1.626	-1.504	-1.371	0.107
YDR123C	-3.586	-8.257	-7.352	-6.957	-6.046	-6.538	-0.006	-0.026	-0.252	0.246	0.049	-1.122
YDR124W	-0.361	-0.483	-0.141	0.320	-0.118	0.239	-0.395	-0.469	0.378	0.098	-0.785	-0.006
YDR125C	0.982	NaN	1.879	-0.680	0.902	0.083	-0.072	-0.926	0.239	0.229	0.107	-0.485
YDR126W	NaN	NaN	NaN	NaN	NaN	NaN	0.664	-1.481	0.218	0.678	-1.032	-0.749
YDR127W	NaN	NaN	NaN	NaN	NaN	NaN	-0.151	-0.833	-1.195	0.285	0.066	0.328
YDR128W	0.257	NaN	1.273	-1.080	1.312	0.813	-0.475	-0.776	-0.292	-1.236	-1.703	0.108
YDR130C	-0.235	-0.377	-0.383	-0.413	0.023	0.425	0.519	0.032	-1.748	-0.375	-0.152	0.298
YDR131C	0.482	0.384	0.593	-0.231	-0.506	-0.189	-0.261	-0.995	-0.315	-0.920	-0.507	0.506
YDR132C	-0.003	-1.211	-0.152	-0.060	-0.033	-0.058	-0.749	-1.210	-0.092	-2.241	0.882	-0.916
YDR133C	-0.008	0.216	0.010	-0.515	-0.053	-0.132	-0.349	2.062	-0.029	2.252	-0.508	-1.305
YDR134C	0.236	-0.248	0.585	0.037	0.242	0.046	-0.310	-1.237	1.615	0.140	0.018	-0.404
YDR135C	-0.552	0.263	-0.280	-0.707	-0.075	-0.076	0.844	0.919	0.954	0.176	1.139	-0.731
YDR136C	NaN	NaN	NaN	NaN	NaN	NaN	-0.187	0.146	-0.521	-0.473	-2.117	-1.842
YDR137W	NaN	NaN	NaN	NaN	NaN	NaN	-1.033	-0.911	0.130	-0.944	0.133	-0.282
YDR138W	NaN	NaN	NaN	NaN	NaN	NaN	-0.531	-0.663	-0.395	-0.439	0.163	-0.292
YDR139C	0.520	-0.666	-0.416	-0.019	-0.599	-0.141	NaN	0.564	NaN	-0.308	-0.263	-1.562
YDR140W	NaN	NaN	NaN	NaN	NaN	NaN	0.837	-1.734	0.164	-3.283	0.831	0.858
YDR141C	NaN	NaN	NaN	NaN	NaN	NaN	3.823	-0.222	0.859	-0.215	1.260	-0.856
YDR142C	0.158	0.404	-0.394	-1.137	0.548	0.140	0.236	-0.028	0.711	-1.405	1.072	0.921
YDR143C	0.673	-0.243	-0.566	-0.682	-0.723	-0.716	NaN	NaN	NaN	NaN	NaN	NaN
YDR144C	0.399	0.426	-0.393	-1.115	-0.518	-0.114	0.086	-2.969	1.040	-0.240	0.939	-0.494
YDR146C	1.102	-0.540	1.574	0.727	1.104	0.432	-0.703	-0.175	0.385	1.169	2.063	0.340
YDR147W	0.337	1.061	0.545	0.634	0.288	-0.476	NaN	NaN	NaN	NaN	NaN	NaN
YDR148C	0.660	-2.240	1.114	0.246	-2.160	-1.822	NaN	-1.567	-1.958	-2.297	-1.583	0.953
YDR149C	NaN	NaN	NaN	NaN	NaN	NaN	-0.256	-1.124	-0.184	-0.483	-0.419	0.470
YDR150W	NaN	NaN	NaN	NaN	NaN	NaN	-1.015	-0.301	-0.341	-0.598	1.089	-1.105
YDR151C	-0.521	0.092	-0.494	-0.180	-0.050	0.855	NaN	NaN	NaN	NaN	NaN	NaN
YDR152W	-0.492	-0.469	-0.088	-0.864	-0.705	0.296	-0.920	-0.060	-1.020	-1.677	-0.650	0.161
YDR153C	-0.106	-0.035	-0.075	0.734	-0.261	0.139	-0.393	-0.342	0.925	0.157	0.165	-0.832
YDR154C	-0.261	0.263	-2.031	0.616	0.117	0.983	-1.136	0.971	1.422	1.468	0.415	0.454
YDR155C	0.438	0.740	1.105	1.354	0.284	0.547	NaN	NaN	NaN	NaN	NaN	NaN
YDR156W	-2.270	-0.190	-0.669	0.516	0.879	1.074	-0.025	0.489	0.637	1.448	0.335	0.719
YDR157W	-1.209	0.556	-1.178	NaN	-3.829	-0.834	-0.282	-0.031	-0.513	-0.303	-0.030	0.179
YDR158W	NaN	NaN	NaN	NaN	NaN	NaN	0.282	-0.245	1.562	-0.869	0.023	NaN
YDR159W	NaN	NaN	NaN	NaN	NaN	NaN	-0.530	-0.209	-0.155	-0.268	-0.383	0.551
YDR160W	NaN	NaN	NaN	NaN	NaN	NaN	0.915	-0.648	0.526	-0.013	0.282	-0.178
YDR161W	NaN	NaN	NaN	NaN	NaN	NaN	0.110	0.175	-0.823	-0.780	-0.459	-0.289
YDR162C	NaN	NaN	NaN	NaN	NaN	NaN	-0.541	-1.107	-0.898	-1.040	-0.268	-0.491
YDR163W	-0.265	-0.406	0.106	-1.015	-0.736	-0.853	0.518	-1.985	-0.533	-0.962	-0.123	0.039
YDR164C	NaN	NaN	NaN	NaN	NaN	NaN	0.172	-1.017	0.150	-0.889	-0.278	0.928
YDR165W	0.082	-1.480	0.180	-1.135	0.586	0.498	0.521	0.565	-1.405	-1.747	0.508	-2.342
YDR166C	NaN	NaN	NaN	NaN	NaN	NaN	-0.039	0.294	-0.094	-0.444	0.213	-0.173
YDR167W	NaN	NaN	NaN	NaN	NaN	NaN	-1.238	-0.918	-0.149	0.103	-0.249	-0.048
YDR168W	NaN	NaN	NaN	NaN	NaN	NaN	-0.585	-0.804	0.535	-0.994	-0.901	-0.772
YDR169C	0.371	0.478	0.418	0.400	-0.045	-0.007	-0.486	0.142	-0.513	-0.917	-0.465	-0.322
YDR170C	NaN	NaN	NaN	NaN	NaN	NaN	-0.741	-0.592	-0.288	-0.755	-0.609	-1.008
YDR171W	-0.245	-0.495	-0.445	0.541	-0.406	0.264	0.158	-0.046	-0.072	-0.051	-0.334	-0.282
YDR172W	NaN	NaN	NaN	NaN	NaN	NaN	-0.328	-0.189	-0.561	-0.015	-0.585	-0.109
YDR173C	NaN	NaN	NaN	NaN	NaN	NaN	-0.797	-0.133	0.193	-0.550	-0.354	-1.058
YDR174W	NaN	NaN	NaN	NaN	NaN	NaN	0.916	0.363	0.187	0.499	-1.060	-0.532
YDR175C	NaN	NaN	NaN	NaN	NaN	NaN	-0.820	-0.439	-0.642	-0.649	-0.618	0.392
YDR176W	NaN	NaN	NaN	NaN	NaN	NaN	-0.011	-0.293	-1.046	0.364	-1.014	-1.343
YDR177W	NaN	NaN	NaN	NaN	NaN	NaN	0.196	0.071	-0.057	-0.229	-0.253	-0.461
YDR178W	0.292	0.542	-1.185	-0.933	-1.111	-0.622	0.147	-0.054	-0.376	-0.376	-0.128	0.005
YDR179C	-1.336	0.703	-1.135	-1.783	-0.262	0.297	-0.653	-0.741	-0.458	-0.272	-0.476	-1.381
YDR179W-A	-0.125	0.051	-0.521	0.351	0.049	0.185	-1.152	-1.344	-0.205	-0.741	-0.889	-0.740
YDR180W	NaN	NaN	NaN	NaN	NaN	NaN	-0.113	0.150	0.329	-0.298	-0.120	0.179
YDR181C	0.520	-0.137	0.352	0.432	0.229	-0.421	-0.063	0.479	0.340	0.133	-0.224	0.071
YDR182W	NaN	NaN	NaN	NaN	NaN	NaN	0.113	-0.509	0.376	0.506	-0.009	-0.177
YDR183W	-0.006	-0.083	0.707	-0.145	0.202	-0.532	0.108	-0.300	0.379	0.252	-0.014	0.283
YDR184C	1.168	1.927	-0.025	0.399	-0.474	-0.595	0.079	0.580	-0.656	1.002	-0.189	-1.095
YDR185C	-0.120	0.735	0.232	-0.222	0.214	-0.290	-0.401	0.330	-0.888	-0.612	0.226	-0.280
YDR186C	-0.093	-0.330	-3.560	-6.087	-4.899	-5.998	-1.028	-0.277	-0.316	-0.265	-0.351	0.309
YDR187C	NaN	NaN	NaN	NaN	NaN	NaN	1.936	1.060	2.164	1.187	0.277	1.916
YDR188W	NaN	NaN	NaN	NaN	NaN	NaN	0.101	0.216	0.405	1.874	0.867	0.616
YDR189W	NaN	NaN	NaN	NaN	NaN	NaN	0.446	0.135	0.343	-0.026	-0.282	-0.062
YDR190C	NaN	NaN	NaN	NaN	NaN	NaN	-0.448	0.178	-0.161	0.253	0.666	0.746
YDR191W	-0.454	0.251	-0.257	0.360	0.161	-0.255	-1.010	-0.641	-1.183	0.057	-0.449	-0.271
YDR192C	0.558	-0.614	0.394	0.395	0.336	-0.128	-0.349	-0.014	0.015	-0.637	0.013	0.322
YDR193W	0.632	0.842	1.085	0.021	0.518	0.490	0.360	0.470	-0.133	-0.478	0.412	-0.677
YDR194C	NaN	NaN	NaN	NaN	NaN	NaN	-0.134	0.256	0.050	0.110	-0.117	0.389
YDR195W	NaN	NaN	NaN	NaN	NaN	NaN	-0.098	-0.246	0.183	-0.137	0.021	0.212
YDR196C	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.348	0.288	-0.349	-0.043	-0.532
YDR197W	NaN	NaN	NaN	NaN	NaN	NaN	0.413	0.480	0.478	0.764	0.311	0.294
YDR198C	-1.532	-0.822	-1.226	-0.934	-1.048	-1.537	-3.865	-3.214	-2.223	-2.722	-2.748	-2.422
YDR199W	-1.109	1.132	-0.274	-0.572	-1.671	-1.538	-0.165	-0.168	-0.177	0.183	-0.168	-0.098
YDR200C	NaN	NaN	NaN	NaN	NaN	NaN	-0.113	-1.403	-0.502	-0.549	-0.273	-1.078
YDR201W	NaN	NaN	NaN	NaN	NaN	NaN	-0.052	0.087	-0.059	-0.176	0.069	-0.214
YDR202C	0.107	-0.157	-1.170	-0.812	-1.473	-1.484	0.651	0.271	-0.038	-0.265	1.745	-0.133
YDR203W	0.752	2.331	-1.888	-1.984	0.959	-1.870	-0.250	-0.668	0.298	-0.801	-0.513	-0.024
YDR205W	0.402	0.672	0.328	0.773	0.277	0.637	0.361	-0.995	0.109	1.814	0.876	0.712
YDR206W	0.102	0.323	0.643	0.199	0.225	-0.139	0.069	-0.716	0.577	0.050	-0.878	0.211
YDR207C	NaN	NaN	NaN	NaN	NaN	NaN	0.210	0.055	-0.097	-0.032	0.194	-0.004
YDR208W	NaN	NaN	NaN	NaN	NaN	NaN	0.365	0.353	0.018	-0.280	0.386	0.017
YDR209C	0.129	0.790	0.451	0.085	0.543	-0.350	0.403	0.054	0.052	-0.064	-0.227	-0.082
YDR210W	0.614	-0.679	0.224	-0.471	0.779	-0.566	-2.001	1.213	-3.022	-2.566	-1.784	-2.233
YDR211W	NaN	NaN	NaN	NaN	NaN	NaN	0.279	-0.572	-0.246	-0.026	-0.987	-0.300
YDR212W	NaN	NaN	NaN	NaN	NaN	NaN	0.877	0.421	0.393	2.035	0.712	0.737
YDR213W	0.326	0.475	0.034	0.463	0.755	0.024	-0.006	0.312	-0.279	-0.018	0.163	0.243
YDR214W	0.392	0.035	0.193	0.134	0.138	0.500	0.494	0.208	0.461	-0.052	0.394	-0.164
YDR215C	0.429	0.435	0.597	-0.228	0.013	0.361	-0.740	-0.087	-0.147	-0.410	0.275	-0.539
YDR216W	0.442	0.155	-0.300	0.230	0.435	1.061	-0.199	0.337	-0.420	-0.930	-0.159	0.333
YDR217C	0.221	-0.207	-0.216	0.333	1.233	1.056	-1.152	-0.726	0.109	0.011	0.986	-0.671
YDR218C	0.227	0.330	-0.793	0.712	0.125	0.062	-0.039	-0.223	-0.349	-0.131	0.059	0.003
YDR219C	0.542	-0.351	0.153	-1.064	-0.830	0.391	-0.045	-0.415	0.275	0.153	0.016	-0.215
YDR220C	-0.664	-0.136	-0.840	-1.281	0.174	0.620	-0.447	-0.259	-0.676	-0.376	-0.116	-0.447
YDR221W	0.277	-0.652	-1.116	0.707	-0.626	NaN	-1.038	0.139	0.473	-0.184	-0.139	0.411
YDR222W	0.146	0.690	0.139	0.629	0.577	0.470	-0.352	-0.493	-0.550	-0.337	-0.076	-0.042
YDR223W	-0.166	0.277	0.546	-0.107	0.417	0.114	-0.480	0.723	-0.082	-0.739	0.043	0.378
YDR224C	NaN	NaN	NaN	NaN	NaN	NaN	0.232	-0.111	-0.013	-0.174	-0.405	-0.777
YDR225W	NaN	NaN	NaN	NaN	NaN	NaN	-0.239	-0.209	-0.180	0.366	0.276	0.452
YDR226W	NaN	NaN	NaN	NaN	NaN	NaN	-0.226	-0.338	-0.709	-0.289	-0.889	-0.582
YDR227W	NaN	NaN	NaN	NaN	NaN	NaN	0.054	-0.171	1.264	-0.056	0.241	1.203
YDR228C	NaN	NaN	NaN	NaN	NaN	NaN	-1.076	-0.611	-0.967	-1.262	-0.484	-1.446
YDR229W	-0.585	-0.466	-0.112	-0.299	0.038	-0.242	-0.237	-0.078	-0.570	-0.046	-0.208	-0.398
YDR230W	NaN	NaN	NaN	NaN	NaN	NaN	-0.825	-0.486	-0.114	-0.343	-0.588	-0.202
YDR231C	NaN	NaN	NaN	NaN	NaN	NaN	-0.576	-0.679	-0.195	-0.489	-0.186	-0.651
YDR232W	NaN	NaN	NaN	NaN	NaN	NaN	-0.009	-0.864	-0.651	-0.611	-0.387	-0.687
YDR233C	0.168	-0.026	0.350	-0.449	-0.180	-0.802	0.071	-0.616	-0.627	-0.463	-0.446	0.033
YDR234W	NaN	NaN	NaN	NaN	NaN	NaN	0.394	-0.369	0.610	-0.074	0.515	0.263
YDR235W	NaN	NaN	NaN	NaN	NaN	NaN	0.065	0.062	-0.399	-0.054	0.100	-0.244
YDR236C	NaN	NaN	NaN	NaN	NaN	NaN	0.373	-0.567	-0.018	-0.951	1.185	-0.188
YDR237W	NaN	NaN	NaN	NaN	NaN	NaN	-0.185	-0.431	-0.134	0.056	-0.044	-0.159
YDR238C	NaN	NaN	NaN	NaN	NaN	NaN	-0.179	-0.408	-0.115	-0.338	0.489	-0.682
YDR239C	0.275	0.407	0.386	-0.295	1.090	0.098	0.029	-0.350	0.074	-0.342	0.110	-0.634
YDR240C	NaN	NaN	NaN	NaN	NaN	NaN	0.167	0.444	-0.830	-0.144	0.244	-0.388
YDR241W	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.180	0.299	0.680	0.207	-0.083
YDR242W	0.481	0.552	-0.071	0.352	0.776	0.584	0.861	-0.440	0.216	-0.206	-0.298	-0.483
YDR243C	NaN	NaN	NaN	NaN	NaN	NaN	-1.925	-0.151	1.042	0.042	-1.266	2.015
YDR244W	1.128	NaN	-0.582	4.317	0.955	NaN	-0.160	0.686	0.162	-0.801	0.048	-0.338
YDR245W	NaN	NaN	NaN	NaN	NaN	NaN	-0.111	-0.515	-0.297	-0.927	-0.080	-0.020
YDR246W	NaN	NaN	NaN	NaN	NaN	NaN	-1.050	0.115	-0.277	-0.400	-0.765	0.680
YDR247W	0.150	0.465	0.200	0.388	0.907	0.260	-1.066	0.536	-0.484	0.387	0.730	-0.749
YDR248C	-0.741	0.057	-0.481	0.551	-0.027	0.697	-0.075	-1.447	-0.467	0.641	-0.568	-0.128
YDR249C	-0.734	-0.353	-0.567	0.746	-0.397	0.962	-1.125	-0.478	0.637	-0.182	0.840	-0.517
YDR250C	0.260	-0.327	-0.418	0.753	0.102	1.591	-0.386	-1.012	0.039	-1.499	-0.892	0.337
YDR251W	-0.554	0.266	0.047	0.133	0.114	0.116	-1.036	-0.961	0.543	-1.019	0.666	1.618
YDR252W	-0.649	0.043	0.664	-0.127	0.284	0.224	0.374	0.372	0.288	0.449	0.059	-0.392
YDR253C	-0.914	-0.282	-0.548	0.325	-0.081	0.322	-1.650	-0.231	0.362	-0.688	-1.032	-0.685
YDR254W	-0.019	0.950	0.775	0.644	-0.482	0.873	0.156	-0.037	-1.041	-1.031	-0.339	0.195
YDR255C	-2.222	1.093	1.391	-2.050	-1.634	-1.561	-0.487	0.560	0.792	0.524	0.402	-0.456
YDR256C	0.347	0.097	0.610	1.221	0.198	1.072	-0.817	0.744	1.363	-0.279	0.171	2.300
YDR257C	-0.001	-0.451	0.451	0.633	0.254	0.145	-0.030	-0.347	0.436	0.056	1.051	-0.903
YDR258C	0.143	-1.061	0.022	-0.258	0.110	0.137	-0.279	1.048	0.562	1.035	0.895	-0.462
YDR259C	-0.619	-0.125	0.455	0.042	0.544	0.387	1.955	0.911	-1.445	-0.757	0.852	0.199
YDR260C	0.852	-0.099	0.606	0.172	0.177	0.365	-0.268	2.157	0.716	1.387	1.931	2.017
YDR261C	-0.013	0.239	-0.047	0.371	0.321	-0.327	-0.825	0.128	0.350	0.108	0.338	0.177
YDR262W	0.427	0.011	0.006	-0.526	0.938	-0.032	0.053	0.319	0.176	1.094	-0.121	0.405
YDR263C	0.365	0.799	0.302	0.238	0.023	-0.148	-1.308	-0.323	0.015	-0.302	-0.021	-0.654
YDR264C	NaN	NaN	NaN	NaN	NaN	NaN	1.144	1.801	-0.349	-0.236	-0.453	-0.971
YDR265W	0.747	1.135	1.173	2.575	1.139	0.568	1.420	-1.190	1.769	1.627	0.234	-0.797
YDR266C	-1.164	0.221	-1.346	0.185	0.218	0.047	-3.891	0.064	0.157	2.028	-0.456	-2.036
YDR267C	NaN	NaN	NaN	NaN	NaN	NaN	-0.616	-1.533	-1.259	-0.669	-0.214	-0.709
YDR268W	NaN	NaN	NaN	NaN	NaN	NaN	-0.057	-0.052	-0.316	1.295	-0.234	-0.792
YDR269C	0.509	1.036	0.447	1.409	0.952	0.156	-0.500	1.156	0.872	0.919	1.840	0.973
YDR270W	-0.199	1.501	0.297	0.405	0.680	0.390	-0.214	0.456	1.264	0.775	0.191	-2.002
YDR271C	0.237	-0.101	-0.209	0.806	0.457	0.418	-1.610	0.150	-1.844	0.392	0.873	-0.209
YDR272W	-1.778	0.096	-0.411	0.010	0.146	0.788	-0.103	-0.092	-0.274	0.043	0.253	0.509
YDR273W	-1.276	-0.369	-1.211	-0.386	-0.441	-1.063	-1.875	-1.183	-1.130	-0.237	-1.527	-1.748
YDR274C	-0.669	-0.323	-1.147	-0.049	-0.667	0.857	-0.816	-0.740	1.445	1.493	-0.746	0.264
YDR275W	-0.730	-0.452	-0.509	0.570	0.389	1.005	-0.226	-0.048	-0.207	-0.993	-0.210	-1.330
YDR276C	NaN	NaN	NaN	NaN	NaN	NaN	0.700	0.719	0.257	0.557	-0.451	-2.267
YDR277C	-0.118	-0.032	0.445	-0.266	-0.239	-0.114	-0.242	-0.134	-0.104	-0.372	-0.353	-0.552
YDR278C	-1.011	0.359	-0.530	-0.247	-0.919	-0.172	-0.216	-0.068	-0.206	0.061	-0.958	-0.903
YDR279W	0.610	-0.723	0.589	0.952	0.810	0.796	0.198	-0.656	0.137	0.270	-0.715	1.311
YDR280W	NaN	NaN	NaN	NaN	NaN	NaN	-0.820	-0.275	-1.802	0.446	-0.949	0.334
YDR281C	NaN	NaN	NaN	NaN	NaN	NaN	0.435	-0.357	-1.163	-0.112	0.203	-1.377
YDR282C	0.483	-0.851	0.062	0.331	0.900	0.212	0.539	0.652	0.499	-0.361	-0.717	-0.148
YDR283C	-4.177	-0.688	-4.209	-1.805	-2.119	-1.220	-0.446	-0.011	0.530	0.265	-0.418	-0.687
YDR284C	-1.216	-0.172	-0.122	0.305	0.320	0.354	-1.704	1.000	0.602	-0.393	1.178	-0.582
YDR285W	-0.912	-0.979	-1.329	0.961	-1.186	1.181	-1.088	0.317	-0.102	0.790	-0.696	-1.287
YDR286C	0.609	0.341	0.722	-0.031	0.526	1.308	0.267	0.569	0.608	0.308	0.612	0.937
YDR287W	0.177	0.612	1.233	0.623	1.001	-0.511	0.829	0.631	-1.378	1.536	1.654	1.101
YDR288W	NaN	NaN	NaN	NaN	NaN	NaN	0.872	-1.424	0.110	-0.308	-0.878	0.460
YDR289C	0.639	2.709	-5.798	1.231	-1.085	NaN	0.375	-0.555	1.428	-2.091	-0.988	0.348
YDR290W	-0.562	-1.006	1.169	-0.891	1.432	0.773	0.983	-0.536	0.830	1.538	1.034	-0.555
YDR291W	-0.116	0.116	-0.471	-0.326	0.183	0.131	-0.135	-0.226	-0.648	0.884	-0.029	0.017
YDR292C	NaN	NaN	NaN	NaN	NaN	NaN	1.011	-0.313	-0.419	0.074	0.338	-0.404
YDR293C	NaN	NaN	NaN	NaN	NaN	NaN	-0.104	-1.145	-0.589	-0.179	0.033	-0.073
YDR294C	-0.642	-1.127	-0.131	-0.427	-0.815	0.545	0.358	-1.274	-0.172	-1.540	-1.154	-0.352
YDR295C	0.502	-0.065	0.698	-0.416	0.611	0.056	0.728	0.241	-0.258	1.185	0.413	0.480
YDR296W	NaN	NaN	NaN	NaN	NaN	NaN	0.387	-0.876	-0.072	0.238	0.063	0.433
YDR297W	-0.469	-0.261	-0.654	-0.324	-0.271	-1.066	1.293	-0.169	0.772	2.297	1.392	0.237
YDR298C	NaN	NaN	NaN	NaN	NaN	NaN	-0.219	0.515	-0.665	0.051	0.601	0.370
YDR299W	NaN	NaN	NaN	NaN	NaN	NaN	0.332	0.759	1.357	0.368	0.496	0.576
YDR300C	NaN	NaN	NaN	NaN	NaN	NaN	0.228	0.942	-0.407	-1.396	-1.631	-2.774
YDR301W	NaN	NaN	NaN	NaN	NaN	NaN	-0.160	0.156	0.617	-2.266	-0.823	-1.157
YDR302W	NaN	NaN	NaN	NaN	NaN	NaN	-0.256	0.688	0.478	0.430	1.176	-0.577
YDR303C	NaN	NaN	NaN	NaN	NaN	NaN	-0.158	-0.358	0.327	-0.243	0.371	-0.688
YDR304C	0.845	-0.023	-0.171	-0.326	0.459	0.420	0.022	0.187	-0.651	-0.339	0.143	0.381
YDR305C	-0.725	-0.281	-0.363	-0.622	-1.390	0.217	-0.901	-0.411	0.521	0.834	-1.642	-0.182
YDR306C	0.089	-0.525	0.162	-0.130	0.148	0.291	-1.749	-0.322	0.132	-0.205	-0.533	-0.401
YDR307W	0.111	0.202	0.325	-0.473	-0.182	0.052	0.864	0.349	1.051	-0.034	-0.459	1.218
YDR308C	NaN	NaN	NaN	NaN	NaN	NaN	-0.142	0.364	0.778	-0.462	-0.074	-0.838
YDR309C	0.281	0.176	1.108	0.075	0.615	0.001	-0.232	1.487	0.253	-0.069	0.631	-1.594
YDR310C	0.944	0.415	0.383	-0.800	0.133	-0.031	0.742	-0.368	-0.121	-0.205	-0.299	-0.683
YDR311W	NaN	NaN	NaN	NaN	NaN	NaN	1.081	0.920	1.113	0.724	0.429	1.302
YDR312W	0.047	-0.521	-0.350	0.084	0.004	0.781	1.135	-0.181	-0.005	0.916	-0.688	-0.803
YDR313C	-0.365	0.621	0.127	-0.468	0.347	0.481	-0.457	0.796	0.943	0.630	-0.152	0.783
YDR314C	-0.142	-0.284	-0.981	1.896	0.443	1.935	-0.236	0.156	-0.156	0.276	-0.383	-0.295
YDR315C	NaN	NaN	-0.660	-0.868	-1.507	-0.921	NaN	NaN	NaN	NaN	NaN	NaN
YDR316W	0.341	-2.439	0.092	-1.014	-0.375	0.302	-0.741	0.048	-0.508	-0.169	-0.406	-0.576
YDR317W	0.248	0.195	1.157	0.532	-2.525	1.225	0.166	-0.842	0.364	-0.171	-0.644	-0.712
YDR318W	-1.466	NaN	NaN	-3.162	1.567	NaN	-0.204	-0.277	-0.457	-0.510	-0.119	-0.162
YDR319C	0.439	-0.599	0.206	0.208	0.253	0.269	-0.065	0.954	0.145	0.514	-0.486	-0.951
YDR320C	NaN	NaN	NaN	NaN	NaN	NaN	-0.470	0.032	0.312	-0.511	0.110	-0.697
YDR321W	-0.230	-0.013	0.021	-0.246	0.597	0.949	0.906	0.693	-0.192	-0.101	-0.326	0.250
YDR322W	NaN	NaN	NaN	NaN	NaN	NaN	0.889	0.146	0.829	0.629	0.903	0.544
YDR323C	NaN	NaN	NaN	NaN	NaN	NaN	-1.628	-1.476	-1.828	-1.481	-1.276	-0.942
