orf	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YAL002W	-1
YAL005C	-1
YAL010C	1
YAL016C-B	1
YAL027W	1
YAL037C-A	1
YAL044C	-1
YAL045C	1
YAL046C	1
YAL049C	1
YAL053W	1
YAL054C	1
YAL056W	-1
YAL059W	1
YAL061W	1
YAL064C-A	1
YAR023C	1
YAR029W	-1
YAR035C-A	1
YAR050W	1
YBL008W-A	1
YBL012C	1
YBL021C	-1
YBL038W	-1
YBL042C	-1
YBL044W	-1
YBL045C	-1
YBL071C-B	1
YBL080C	1
YBL090W	-1
YBL091C-A	1
YBL098W	1
YBL099W	-1
YBL103C	1
YBL104C	1
YBR005W	1
YBR008C	1
YBR012C	1
YBR018C	1
YBR020W	1
YBR021W	-1
YBR022W	1
YBR023C	1
YBR024W	1
YBR025C	1
YBR026C	-1
YBR031W	1
YBR032W	1
YBR033W	1
YBR035C	-1
YBR036C	-1
YBR037C	-1
YBR040W	1
YBR046C	1
YBR047W	1
YBR048W	1
YBR050C	1
YBR051W	1
YBR056W	1
YBR056W-A	1
YBR057C	1
YBR058C-A	-1
YBR062C	1
YBR063C	1
YBR066C	1
YBR067C	1
YBR068C	1
YBR071W	1
YBR072C-A	1
YBR073W	1
YBR074W	-1
YBR078W	-1
YBR081C	-1
YBR084C-A	1
YBR085C-A	1
YBR085W	-1
YBR089C-A	1
YBR094W	1
YBR099C	1
YBR103W	1
YBR104W	1
YBR106W	-1
YBR112C	-1
YBR115C	1
YBR120C	-1
YBR122C	1
YBR126C	-1
YBR132C	1
YBR139W	1
YBR141C	1
YBR145W	1
YBR147W	1
YBR151W	1
YBR157C	-1
YBR162C	1
YBR162W-A	1
YBR163W	-1
YBR165W	1
YBR168W	1
YBR171W	-1
YBR173C	1
YBR181C	1
YBR182C	1
YBR182C-A	1
YBR186W	1
YBR188C	1
YBR189W	1
YBR191W	-1
YBR194W	-1
YBR199W	1
YBR201W	1
YBR209W	1
YBR210W	1
YBR212W	1
YBR213W	-1
YBR214W	1
YBR215W	1
YBR216C	1
YBR217W	1
YBR221W-A	1
YBR223C	1
YBR224W	1
YBR225W	1
YBR226C	1
YBR227C	1
YBR232C	1
YBR235W	1
YBR238C	-1
YBR240C	1
YBR241C	1
YBR246W	1
YBR248C	1
YBR249C	1
YBR255W	1
YBR259W	1
YBR260C	1
YBR261C	1
YBR262C	1
YBR264C	1
YBR266C	1
YBR268W	1
YBR269C	1
YBR272C	1
YBR275C	1
YBR278W	1
YBR280C	1
YBR284W	1
YBR290W	1
YBR293W	1
YBR300C	1
YCL001W-A	1
YCL005W	1
YCL021W-A	1
YCL022C	1
YCL023C	1
YCL024W	1
YCL026C-A	1
YCL027W	1
YCL028W	1
YCL029C	1
YCL030C	1
YCL039W	-1
