ORF	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YKL046C	1.000
YHR021W-A	1.000
YHR132C	1.000
YJR106W	1.000
YLR436C	1.000
YKR076W	1.000
YCR089W	1.000
YDR534C	1.000
YOL030W	1.000
YFR024C-A	1.000
YML117W	1.000
YLR054C	1.000
YKL164C	1.000
YGR199W	1.000
YDR055W	1.000
YGL028C	1.000
YGR279C	1.000
YGL228W	1.000
YER150W	1.000
YNL066W	1.000
YPL163C	1.000
YBR067C	1.000
YOR009W	1.000
YNL300W	1.000
YBR225W	1.000
YFL052W	1.000
YJL160C	1.000
YJL171C	1.000
YKR100C	1.000
YLR194C	1.000
YGL259W	1.000
YIR039C	1.000
YDR349C	1.000
YMR120C	1.000
YGR061C	1.000
YJR105W	1.000
YIL079C	1.000
YDL175C	1.000
YDR530C	1.000
YOR094W	1.000
YOR141C	1.000
YDL197C	1.000
YCL029C	1.000
YGL174W	1.000
YKL092C	1.000
YLR074C	1.000
YOR078W	1.000
YCR047C	1.000
YFL023W	1.000
YJR092W	1.000
YKL005C	1.000
YOR276W	1.000
YNL278W	1.000
YPL178W	1.000
YML036W	1.000
YGL029W	1.000
YJL099W	1.000
YER030W	1.000
YJL006C	1.000
YML112W	1.000
YDR163W	1.000
YDR482C	1.000
YIR027C	1.000
YIR029W	1.000
YIR028W	1.000
YIR031C	1.000
YPL119C	1.000
YLR270W	1.000
YLR437C	1.000
YJL065C	1.000
YMR287C	1.000
YDR446W	1.000
YGL222C	1.000
YER035W	1.000
YEL015W	1.000
YGR200C	1.000
YMR219W	1.000
YOR051C	1.000
YER056C	1.000
YER032W	1.000
YPL141C	1.000
YOR280C	1.000
YNL255C	1.000
YML006C	1.000
YFL031W	1.000
YGL237C	1.000
YKL017C	1.000
YDL125C	1.000
YDR399W	1.000
YNR032C-A	1.000
YNL215W	1.000
YER092W	1.000
YEL044W	1.000
YNL157W	1.000
YOR304W	1.000
YGL133W	1.000
YDR532C	1.000
YPL213W	1.000
YHR156C	1.000
YFR001W	1.000
YHR081W	1.000
YDR378C	1.000
YDR253C	1.000
YIR033W	1.000
YIR025W	1.000
YPL184C	1.000
YKL074C	1.000
YBR057C	1.000
YNL200C	1.000
YML118W	1.000
YDL002C	1.000
YBR089C-A	1.000
YGR010W	1.000
YHR077C	1.000
YLR363C	1.000
YLR285W	1.000
YDR432W	1.000
YEL016C	1.000
YGL151W	1.000
YIL071C	1.000
YBL080C	1.000
YLR016C	1.000
YGL037C	1.000
YLR209C	1.000
YBR022W	1.000
YNR052C	1.000
YOL141W	1.000
YPR042C	1.000
YGL014W	1.000
YPL212C	1.000
YOR243C	1.000
YDR314C	1.000
YGL246C	1.000
YLR107W	1.000
YLR453C	1.000
YNL072W	1.000
YJR063W	1.000
YDR156W	1.000
YDR083W	1.000
YGR056W	1.000
YPL273W	1.000
YER047C	1.000
YGL224C	1.000
YJL089W	1.000
YKR101W	1.000
YDR227W	1.000
YLR398C	1.000
YOR076C	1.000
YGR271W	1.000
YGR081C	1.000
YOR290C	1.000
YOR308C	1.000
YGL127C	1.000
YMR019W	1.000
YFL049W	1.000
YOR166C	1.000
YGL243W	1.000
YGL232W	1.000
YOR337W	1.000
YPL157W	1.000
YER063W	1.000
YDR457W	1.000
YNL299W	1.000
YLR435W	1.000
YOR006C	1.000
YOR295W	1.000
YGR072W	1.000
YDR400W	1.000
YPL253C	1.000
YOR359W	1.000
YNL197C	1.000
YGL173C	1.000
YCL074W	1.000
YER184C	1.000
YMR106C	1.000
YOR239W	1.000
YJR083C	1.000
YDL239C	1.000
YGL160W	1.000
YBR151W	1.000
YNL020C	1.000
YHR129C	1.000
YOR134W	1.000
YJL020C	1.000
YER114C	1.000
YPR171W	1.000
YKL007W	1.000
YIL034C	1.000
YDR402C	1.000
YKL048C	1.000
YDR420W	1.000
YOR284W	1.000
YGR136W	1.000
YJL100W	1.000
YKL129C	1.000
YMR109W	1.000
YDR488C	1.000
YNL289W	1.000
YDR183W	1.000
YLR018C	1.000
YIL095W	1.000
YBR260C	1.000
YNL090W	1.000
YOR216C	1.000
YOR367W	1.000
YGL056C	1.000
YDL225W	1.000
YNL032W	1.000
YBR266C	1.000
YGR080W	1.000
YDL162C	1.000
YNR065C	1.000
YIR026C	1.000
YGL021W	1.000
YKL114C	1.000
YPL194W	1.000
YDR440W	1.000
YBR278W	1.000
YDR121W	1.000
YOR033C	1.000
YDR317W	1.000
YBR272C	1.000
YML058W-A	1.000
YFR038W	1.000
YGL090W	1.000
YDL200C	1.000
YPL164C	1.000
YHR120W	1.000
YDR386W	1.000
YOL043C	1.000
YGL094C	1.000
YKL025C	1.000
YFR023W	1.000
YOR386W	1.000
YJR043C	1.000
YDR075W	1.000
YML095C	1.000
YGR258C	1.000
YEL037C	1.000
YER173W	1.000
YDR030C	1.000
YDR419W	1.000
YER162C	1.000
YLR032W	1.000
YDL059C	1.000
YDR014W	1.000
YDR217C	1.000
YPL167C	1.000
YJL047C	1.000
YHR154W	1.000
YLL002W	1.000
YAL027W	1.000
YBR223C	1.000
YKL023W	1.000
YKR021W	1.000
YJL084C	1.000
YPL259C	1.000
YJL024C	1.000
YGR068C	1.000
YDL088C	1.000
YNL051W	1.000
YKL179C	1.000
YKR035W-A	1.000
YLR083C	1.000
YIL005W	1.000
YGR284C	1.000
YDR519W	1.000
YDL226C	1.000
YGL020C	1.000
YER083C	1.000
YHR108W	1.000
YNL153C	1.000
YML121W	1.000
YIL041W	1.000
YPL249C	1.000
YDL234C	1.000
YEL059W	1.000
YHL002W	1.000
YIL090W	1.000
YIL002C	1.000
YDR122W	1.000
YKL176C	1.000
YPR079W	1.000
YDR128W	1.000
YGR206W	1.000
YMR004W	1.000
YDR192C	1.000
YJL053W	1.000
