orf	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YAL002W	-10.143772202602804
YAL004W	-7.869224352268205
YAL005C	4.1560979115922905
YAL007C	-3.2195171063621046
YAL008W	-2.279358321124306
YAL010C	-22.009271228122394
YAL011W	-5.813389856434981
YAL013W	-26.743704546543547
YAL014C	1.3523496285547196
YAL015C	-5.432196938132577
YAL017W	-0.6520529063237461
YAL018C	1.8217352406018605
YAL019W	-6.73521902810441
YAL020C	3.3970255148421913
YAL022C	-6.367056287675581
YAL023C	-6.19067500366576
YAL024C	-2.496212692279151
YAL026C	-3.5086546541594004
YAL027W	-7.178525933815585
YAL028W	-3.7202007048104306
YAL029C	-1.5186118317907784
YAL030W	-1.8168418954215042
YAL031C	-2.0628481907259086
YAL034C	7.828461028655724
YAL036C	-10.116505013178369
YAL037W	4.043602555655752
YAL040C	3.7303599347634915
YAL042C-A	8.668666499155833
YAL042W	6.258039642326949
YAL045C	-2.522770526328003
YAL046C	-3.637630285591584
YAL048C	-5.4768516419443785
YAL049C	-2.8996702341993768
YAL051W	-14.193058005912107
YAL053W	3.3643688223928763
YAL054C	1.3535907529972206
YAL055W	-9.878553349805685
YAL056C-A	-4.19783632897564
YAL056W	-12.23053204463497
YAL058W	-6.352746748596644
YAL059W	2.580073701383256
YAL060W	3.2451339494392997
YAL061W	-6.319489649301808
YAL062W	0.4741909941202209
YAL064C-A	1.7860503834434382
YAL065C	-6.467754604458648
YAL066W	-3.2034395207272865
YAL067C	-8.567114192211285
YAL068C	-2.6956131982928895
YAR002C-A	-3.8009071077044325
YAR002W	-13.908052392113348
YAR003W	-31.907796339074707
YAR014C	-4.332114482321586
YAR015W	-27.938922362488114
YAR018C	-0.9564377320222661
YAR020C	-0.17508533731276543
YAR023C	2.3560466605511436
YAR027W	-0.8174023047583034
YAR028W	3.336251227331843
YAR029W	0.6014249814154908
YAR030C	4.145328781418058
YAR031W	-6.127999909449635
YAR035W	-1.9071464793571096
YAR042W	-2.8943905923131794
YAR047C	8.560712145678778
YAR050W	8.056867309401923
YBL001C	1.8882132471695314
YBL003C	0.9638738382488086
YBL005W	1.9385334150352094
YBL007C	-25.512776856960027
YBL008W	-1.3380515247704494
YBL009W	-5.438934822054634
YBL010C	-3.64349664990079
YBL011W	3.5350898862365057
YBL013W	4.036494874379528
YBL015W	1.710478249380074
YBL016W	-10.265523526687666
YBL017C	-9.871239993080593
YBL019W	-6.622136502160487
YBL021C	-4.987442088667535
YBL024W	-10.329995603100272
YBL025W	
YBL027W	-16.720885200988732
YBL028C	-5.132190932376368
YBL029W	-12.471804813013776
YBL031W	-7.031945095631151
YBL032W	-18.298863623609606
YBL036C	-11.939205348149308
YBL037W	-3.985068018830326
YBL039C	-7.326563486793503
YBL042C	0.9010621807912571
YBL043W	-9.72250103831648
YBL046W	-7.38173978310401
YBL047C	-14.577968142903984
YBL048W	-12.421076054719357
YBL049W	-9.597473773397368
YBL051C	-19.17846214515218
YBL052C	-8.835056574919506
YBL053W	-9.613370479941558
YBL054W	-7.407992296774864
YBL055C	-4.169665756199812
YBL056W	-3.194010628198761
YBL057C	-2.7160061176403048
YBL059W	-12.222324341164018
YBL060W	-4.641724803936128
YBL061C	-8.97670437557155
YBL062W	-10.82504179128064
YBL063W	-7.891687370694683
YBL064C	-8.120814258501085
YBL065W	-16.032295395769978
YBL066C	-10.4028651679901
YBL067C	-8.842573868456185
YBL068W	-7.798023084668515
YBL069W	-6.055077336330399
YBL070C	-12.387685628357417
YBL071C	-3.4399709676570467
YBL072C	-14.648474801362553
YBL075C	-12.712872656711262
YBL078C	-5.034452684673369
YBL079W	
YBL081W	-13.027893021651266
YBL082C	-10.612743862942601
YBL083C	-10.702774918624343
YBL085W	-7.422290275127224
YBL086C	-3.6551824647856392
YBL087C	-10.468412543876624
YBL088C	-8.398374442881462
YBL089W	-8.963957814079656
YBL091C	-8.961076365626141
YBL091C-A	-14.021860196192208
YBL094C	-7.714465934553971
YBL095W	-5.181826819436914
YBL096C	-3.389572131562126
YBL098W	-5.301014590881124
YBL100C	-4.509447448946574
YBL101C	-6.811163427734506
YBL102W	-13.333692054332872
YBL103C	-17.15835455617422
YBL104C	-10.866303169681927
YBL106C	-9.081533220202559
YBL107C	4.671477190116931
YBR001C	-7.809853709287452
YBR005W	-4.2297968786034374
YBR006W	-1.1803130475904027
YBR007C	6.679070142101665
YBR008C	5.040485243566295
YBR009C	-7.577292981013414
YBR010W	-5.871039143483642
YBR012C	-4.327370950501958
YBR013C	-6.81787785886754
YBR014C	-3.0800584652065197
YBR015C	-7.312727879798118
YBR016W	-2.0298699998636636
YBR018C	-4.095260618632359
YBR019C	-6.072776847200018
YBR020W	3.6928429011080617
YBR022W	-5.053673091277503
YBR023C	-4.873233292365953
YBR024W	-5.374218266231168
YBR025C	-4.970114225903565
YBR026C	-39.75073980381374
YBR027C	-6.471826708096458
YBR028C	-16.869248669663058
YBR030W	-7.597163966919439
YBR031W	-1.1170548268336944
YBR032W	4.618303362645861
YBR033W	3.280629523406745
YBR034C	-16.063338175757252
YBR036C	-29.12360065156961
YBR040W	0.7409767755359695
YBR041W	-15.630099884952571
YBR042C	-2.4731442583650534
YBR043C	-1.9089395763434993
YBR044C	-4.96195259306657
YBR045C	-6.8386891037669955
YBR046C	-4.042122622075169
YBR047W	-2.28670171723725
YBR048W	-13.652001719156303
YBR050C	-1.784016959170998
YBR051W	-8.964212632988456
YBR052C	-2.255826102600416
YBR053C	-8.34567881650591
YBR054W	-10.458299637721801
YBR056W	
YBR057C	-13.609635952098394
YBR058C	-15.083245720625015
YBR059C	-6.969817831264983
YBR061C	-3.2285319524147695
YBR062C	-2.730805470549697
YBR063C	2.324400431135686
YBR064W	-0.9856593577563046
YBR065C	-1.3614437791703864
YBR066C	-6.106575146045515
YBR067C	-25.56328164332274
YBR068C	-48.24689755530427
YBR069C	-7.322456258990087
YBR071W	-6.5616939560056835
YBR072W	-12.064200003360796
YBR073W	-6.020975993463303
YBR074W	-5.597303447110664
YBR076W	-32.06498172664974
YBR077C	-34.62167238284294
YBR078W	-30.506433650045963
YBR082C	-5.357627948366087
YBR083W	0.6839787784577425
YBR084C-A	-13.175712279973581
YBR084W	-0.35167443513659435
YBR085W	3.21626880673292
YBR086C	-5.229045504583802
YBR089C-A	-2.4428128121012307
YBR090C	-11.24166365008557
YBR092C	-3.6297135666358713
YBR093C	-11.152695474807928
YBR094W	-3.813555656671909
YBR095C	-5.970633107660742
YBR098W	-13.664510431549957
YBR099C	-7.234181210488195
YBR101C	-3.2094766540033675
YBR103W	-21.429501522271416
YBR104W	-12.042615706061326
YBR105C	-9.293432129604682
YBR106W	
YBR107C	-3.7156812226173486
YBR108W	-7.063207338476801
YBR111C	-15.224612691991851
YBR113W	-1.1096954486484876
YBR114W	-8.490946067942069
YBR115C	
YBR116C	-7.481701234236439
YBR118W	-1.8443814428371041
YBR119W	-6.725468794912587
YBR121C	-1.3559514994625843
YBR122C	-0.5391272571130088
YBR125C	-10.059944703598816
YBR126C	-26.580708166417438
YBR128C	0.16486138315441679
YBR129C	1.4584931055709873
YBR130C	-1.5958946669990155
YBR131W	-13.185548197126394
YBR132C	-5.124169739763033
YBR134W	-25.9313894398569
YBR137W	-3.460762643819791
YBR138C	-1.1432949175452123
YBR139W	-0.6357858768201226
YBR141C	-2.804103604659666
YBR144C	-0.6825004099660248
YBR145W	6.344535796108424
YBR146W	-5.894817948664709
YBR147W	-8.874446386456981
YBR148W	2.101389578097425
YBR149W	-6.102574353841874
YBR150C	-10.19438647925319
YBR151W	-1.7412936341989678
YBR156C	-4.411174414471191
YBR157C	-8.530648774716894
YBR158W	-2.3982449997034365
YBR159W	-5.822209727151133
YBR161W	1.3436751363336796
YBR162C	2.076432526908647
YBR162W-A	-2.9401813187480315
YBR164C	-3.667363935859953
YBR165W	-1.4419424803017087
YBR166C	-2.914543542301047
YBR168W	-13.735537794045598
YBR169C	3.352868366996759
YBR170C	3.0435674538145037
YBR171W	-30.167964531211922
YBR172C	0.16525272636619093
YBR174C	-24.819994653976387
YBR175W	-27.289008700882924
YBR176W	-5.395431804789737
YBR177C	-3.5584643046480124
YBR178W	-2.0952323709601615
YBR180W	-15.568154164947778
YBR181C	-15.93143805578962
YBR182C	-4.5193520509646135
YBR183W	0.06564086959362925
YBR184W	-5.122784631824345
YBR185C	-4.568210327365293
YBR186W	3.4346247372905268
YBR187W	-12.836211514285324
YBR188C	-0.28217814345190106
YBR189W	-20.290350032673544
YBR194W	-16.975449269776906
YBR195C	-13.699593461857688
YBR197C	-2.333647973421108
YBR199W	-4.874184247521427
YBR200W	
YBR201W	-5.054580266744985
YBR203W	-0.4356620472832873
YBR204C	-3.6043360589396514
YBR205W	0.4772210753462005
YBR206W	-5.2648254556559095
YBR207W	-5.293954675722574
YBR208C	-2.4465176086893194
YBR209W	-10.918407354957324
YBR210W	-1.7596352339373382
YBR212W	-12.560290391684205
YBR213W	-4.452141710677395
YBR214W	2.4362042085105173
YBR215W	-8.115720744345857
YBR216C	-7.2809210426375515
YBR217W	-2.577455299880505
YBR218C	-2.8107574781976723
YBR219C	-6.121545134160826
YBR220C	-5.3946642352774745
YBR221C	-38.20972373438845
YBR222C	3.6909424226371144
YBR223C	-7.543410631024983
YBR224W	-0.29432428514648024
YBR225W	1.8352003383038777
YBR226C	6.342501273829903
YBR227C	6.465340579978495
YBR228W	3.6280197566937673
YBR229C	0.12188354090041287
YBR230C	3.3288836666178696
YBR231C	-9.0264175635983
YBR232C	-3.0660574440218866
YBR233W	-2.1155851881227576
YBR235W	2.5082198006629355
YBR238C	2.479103824669032
YBR239C	-1.7523241267819998
YBR240C	-4.8575992379753075
YBR241C	4.009363133347144
YBR242W	2.373518756474141
YBR244W	0.34537863014106307
YBR245C	12.941254808333731
YBR246W	8.097604860121074
YBR248C	-33.65653369589244
YBR249C	-3.8955902502538677
YBR250W	-11.391189567751205
YBR255W	-4.289705385520811
YBR258C	-1.3050254815947682
YBR259W	5.655689535168769
YBR260C	5.057126149977343
YBR261C	10.582626960887673
YBR262C	0.06948218507378812
YBR263W	-0.015498078519819103
YBR264C	3.0988556254590165
YBR266C	9.383933061458414
YBR267W	6.695719581657961
YBR269C	-3.2957207969593654
YBR270C	-8.119356872011956
YBR271W	0.6621913468957601
YBR272C	5.619445366779566
YBR273C	6.185306507054499
YBR274W	1.4201180134253022
YBR275C	2.025982778333365
YBR276C	-5.306664055643601
YBR277C	-11.091820567567247
YBR278W	-6.887372077145855
YBR280C	-7.706896310674161
YBR281C	2.3453871767920376
YBR283C	0.913769088864079
YBR284W	3.0051922160036852
YBR285W	3.3784533217121293
YBR286W	2.409997542923854
YBR287W	0.20797300426720966
YBR288C	-0.36086755058708064
YBR289W	
YBR290W	5.424171228439896
YBR291C	3.2844943041622443
YBR292C	2.452926955863596
YBR293W	-4.503750724851891
YBR294W	-0.8731633978210596
YBR295W	5.567551123505474
YBR296C	-1.2774896196711936
YBR297W	0.037578883307766375
YBR298C	-0.16198857713192183
YBR299W	5.973975537369597
YBR300C	-5.471436048912317
YBR301W	3.6587083436157783
YCL001W	-3.3651209109168647
YCL001W-A	2.5088196211730818
YCL002C	-0.07968180760200738
YCL009C	-1.3184065599044672
YCL010C	-9.253325476273218
YCL011C	-13.829210858733425
YCL014W	-3.5257809738538626
YCL016C	-40.80238711298054
YCL022C	3.24466942374341
YCL023C	-0.826409802293874
YCL024W	-8.01236942000903
YCL025C	-6.848097318866273
YCL026C-A	4.5666803227252615
YCL027W	-0.3697949166945591
YCL028W	2.596983701854242
YCL029C	-18.5450878345641
YCL030C	
YCL032W	-13.395471676709946
YCL033C	-10.435551646891199
YCL034W	0.05980341321827609
YCL035C	1.4624658594367617
YCL036W	-14.280174751033627
YCL037C	18.423325177648152
YCL038C	-10.484798873516667
YCL039W	0.5957628579321437
YCL040W	-5.046890602982188
YCL042W	5.114788974569407
YCL044C	-10.18568805405998
YCL045C	5.130602870308763
YCL046W	-7.513889970027975
YCL047C	6.277032726443281
YCL048W	5.2113533062236
YCL049C	1.685327310303819
YCL050C	-8.763834942699162
YCL051W	-1.5570012054747053
YCL055W	7.115604560194882
YCL056C	4.932996856201328
YCL057W	3.373992367638671
YCL061C	-24.49507919548161
YCL063W	3.2402999239051624
YCL064C	0.6950399119376485
YCL069W	-1.6028673459321965
YCL076W	-3.8744079495212773
YCR001W	-0.22171251693454508
YCR005C	4.530538087103224
YCR006C	-15.828734706454952
YCR007C	6.314668177626238
YCR008W	-2.0419442744679372
YCR009C	-33.90996278639892
YCR010C	-5.265381416911225
YCR011C	-2.95069997050944
YCR014C	2.2028864386542466
YCR015C	3.595579451909913
YCR016W	2.8495006362518325
YCR017C	-2.0760001756158886
YCR019W	-11.555841779898472
YCR020C	-2.7664153144179195
YCR020C-A	6.852330376202062
YCR021C	5.434031422764761
YCR022C	3.554136736197698
YCR023C	1.330775160762684
YCR024C-A	2.65476600975051
YCR025C	3.5262624174376924
YCR026C	6.449180150459107
YCR027C	5.168951513451219
YCR028C-A	-4.6239740803214175
YCR030C	-6.503945584545093
YCR031C	7.446928288455453
YCR032W	6.879825843936757
YCR033W	-13.351629882526694
YCR034W	-23.465108417299675
YCR036W	-0.16984233516937053
YCR037C	-4.460371942218472
YCR043C	1.1656224600491143
YCR044C	-1.7313537057548132
YCR045C	4.228150497680893
YCR048W	4.963650768690826
YCR049C	3.0949673775402573
YCR050C	2.2032050786717363
YCR051W	3.6472808085805255
YCR053W	-35.03162069970729
YCR059C	1.9085889448886633
YCR060W	4.669384853538993
YCR061W	-2.147549342187613
YCR063W	-19.54882152521344
YCR065W	-23.14120531139568
YCR067C	-4.9790605959691305
YCR068W	-0.6581757532992327
YCR069W	-7.3456123446671455
YCR071C	-4.397502008791264
YCR073C	-4.800107163279989
YCR073W-A	-13.603829571710705
YCR075C	-4.464393466203141
YCR076C	-5.961951490565895
YCR077C	-13.77135672650222
YCR079W	-9.331646279817178
YCR081W	7.48726035091093
YCR082W	-1.9784910896066918
YCR083W	-4.776633109678414
YCR085W	-1.4397014218098576
YCR086W	-8.074843407093041
YCR087C-A	-2.3451263889815195
YCR087W	-9.67754416348842
YCR088W	0.02679097786813145
YCR089W	-13.356211461596544
YCR090C	5.037286292988952
YCR091W	-3.596590744365045
YCR092C	-7.065782307163602
YCR095C	-16.32949640039599
YCR098C	-2.3920045571365662
YCR099C	-4.043007658548447
YCR100C	-0.8324080647874865
YCR101C	-3.5020027473104847
YCR102C	-2.226150247007638
YCR102W-A	-3.625163500328206
YCR105W	-7.514410273355679
YCR106W	-1.9663773211557398
YCR107W	1.1927605737679698
YDL001W	0.6182998946504057
YDL002C	-8.064307164322102
YDL006W	14.501977043519531
YDL010W	-2.7503291950331885
YDL011C	-3.1769769047790817
YDL012C	-8.905210357880122
YDL013W	-35.37379833565537
YDL018C	-9.406070676556027
YDL019C	-1.2746313617323963
YDL020C	-12.822613467349441
YDL023C	1.8697764295322798
YDL024C	-3.0028450972866096
YDL025C	-10.068983124907092
YDL026W	-4.780246815267304
YDL027C	-6.613509432632583
YDL033C	-4.302833253070084
YDL034W	-2.2297153329894
YDL035C	-30.597617163448717
YDL036C	-2.4772913870582016
YDL037C	-6.170338409364582
YDL039C	-3.559381253139243
YDL040C	0.023306138761242323
YDL041W	
YDL042C	
YDL046W	-0.3884117800698448
YDL048C	-2.866218453978007
YDL050C	-7.916134519571344
YDL051W	-7.7884087698658675
YDL052C	-3.191487307154752
YDL053C	1.6631710522413314
YDL054C	-1.4720496329623316
YDL056W	-14.403631249937007
YDL059C	-16.256279105741186
YDL061C	-22.087306399181898
YDL062W	3.6306559369391778
YDL065C	-13.679764305042454
YDL066W	-3.903436154927334
YDL070W	0.3364544789207571
YDL071C	2.6943679562977536
YDL074C	-36.57240855143621
YDL076C	-9.913839177707132
YDL077C	-18.324830119258607
YDL078C	0.12547666633970067
YDL079C	-0.880916422423887
YDL080C	7.689630246777824
YDL081C	-19.137172815866826
YDL082W	2.3130521223364937
YDL083C	-2.283754211558204
YDL085W	3.568488083585166
YDL086W	2.0059982640025638
YDL088C	2.3020511358812428
YDL089W	3.218990753397634
YDL090C	
YDL091C	2.4234102677590315
YDL093W	-2.620392051568871
YDL094C	0.32680020331807924
YDL095W	-1.2219665273993314
YDL096C	2.3414254926027525
YDL099W	-0.28299348783344414
YDL100C	-7.8399187563703165
YDL104C	-4.869316962256775
YDL106C	-2.121907864866344
YDL109C	0.8151639483363269
YDL110C	-4.211011099018791
YDL112W	3.3891364672287807
YDL113C	-3.8307557501961895
YDL114W	-1.42617143698385
YDL117W	-20.97916426984233
YDL118W	-7.575065497709957
YDL119C	-3.9902341779530985
YDL121C	1.3865941871313083
YDL122W	2.4607898527668794
YDL123W	-4.849650862163514
YDL124W	0.6742203607983583
YDL125C	-14.884510611869182
YDL127W	-1.2729341953274513
YDL128W	-0.15706651963367335
YDL129W	-9.067627439355974
YDL130W	5.810077748463463
YDL130W-A	5.966508578157459
YDL131W	-6.197342090848217
YDL133C-A	-8.501167512235074
YDL133W	-8.637435438958818
YDL134C	-8.253040478885048
YDL135C	2.112956992102383
YDL136W	0.2220114670735711
YDL137W	-0.6121263117298952
YDL138W	0.7503814810422966
YDL142C	-2.7487217414725222
YDL144C	-0.6946022044998728
YDL146W	0.16058952636176116
YDL149W	-5.161423818179458
YDL154W	0.8998110855847443
YDL155W	-15.759743414469135
YDL156W	3.504777898657892
YDL157C	-12.202590326449496
YDL159W	
YDL160C	
YDL161W	-3.7213804486466557
YDL162C	-9.641589165130036
YDL167C	5.3258393788852985
YDL168W	1.8928022782107803
YDL169C	1.333279786254998
YDL170W	1.742724636752314
YDL171C	1.4540239728724274
YDL172C	-7.313702338553888
YDL173W	-7.7412573211502576
YDL174C	-2.854029639892289
YDL175C	3.440124969155562
YDL176W	-1.5271118737154268
YDL177C	0.9764097641039768
YDL178W	-0.2110534168678555
YDL179W	1.8073318384455277
YDL180W	-3.0300582773897986
YDL181W	-4.147708091865525
YDL182W	4.584799729486676
YDL183C	-2.3385586810282177
YDL184C	-0.891487188585792
YDL185W	-2.8116440602921173
YDL186W	1.0790769834555363
