orf	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YAL002W	-1.220054597293854
YAL004W	-0.9896031751700795
YAL005C	0.22877199191891787
YAL007C	-0.5185066242135232
YAL008W	-0.4232521194343255
YAL010C	-2.4222368790326176
YAL011W	-0.7813112356770567
YAL013W	-2.901917660872329
YAL014C	-0.05529667650151114
YAL015C	-0.7426897355343458
YAL017W	-0.25837766009272906
YAL018C	-0.007739716200680651
YAL019W	-0.8747086304758297
YAL020C	0.15186470095986895
YAL022C	-0.8374073149232337
YAL023C	-0.8195368103611508
YAL024C	-0.44522325458500583
YAL026C	-0.5478013075807979
YAL027W	-0.9196233623612907
YAL028W	-0.569234617154842
YAL029C	-0.34617521365861703
YAL030W	-0.37639112768023425
YAL031C	-0.40131586188442403
YAL034C	0.6008465133486031
YAL036C	-1.217291954784814
YAL037W	0.2173742476357709
YAL040C	0.18563729936986362
YAL042C-A	0.685974001664332
YAL042W	0.4417353995684216
YAL045C	-0.4479140270056365
YAL046C	-0.5608687915989892
YAL048C	-0.7472140369230511
YAL049C	-0.4861005499509401
YAL051W	-1.6303179697794954
YAL053W	0.14855600766695964
YAL054C	-0.05517092891929832
YAL055W	-1.1931832954691237
YAL056C-A	-0.617627447769356
YAL056W	-1.4314798144667318
YAL058W	-0.8359575086990246
YAL059W	0.06909321422657698
YAL060W	0.13647543260459852
YAL061W	-0.832587983706583
YAL062W	-0.14426948317424465
YAL064C-A	-0.01135521546539492
YAL065C	-0.8476098131053293
YAL066W	-0.5168776839943426
YAL067C	-1.060311604573733
YAL068C	-0.46542600836585346
YAR002C-A	-0.5774115853020195
YAR002W	-1.60144192349033
YAR003W	-3.4251303501070045
YAR014C	-0.6312321698657389
YAR015W	-3.023014100057628
YAR018C	-0.28921715900448075
YAR020C	-0.2100525151328943
YAR023C	0.04639536236720789
YAR027W	-0.2751304419746089
YAR028W	0.14570720421463293
YAR029W	-0.13137845812486623
YAR030C	0.22768089094985153
YAR031W	-0.8131867286991084
YAR035W	-0.38554055919876423
YAR042W	-0.48556563001913944
YAR047C	0.6750363402387524
YAR050W	0.6239880586945146
YBL001C	-0.0010043330997185345
YBL003C	-0.09465605877323813
YBL005W	0.004093978744741736
YBL007C	-2.7772031878159256
YBL008W	-0.3278813010791041
YBL009W	-0.7433724008525163
YBL010C	-0.5614631567593237
YBL011W	0.16585303307069452
YBL013W	0.21665411538712753
YBL015W	-0.01901199251023434
YBL016W	-1.23239013280553
YBL017C	-1.1924423247053968
YBL019W	-0.8632513956160346
YBL021C	-0.6976283016583398
YBL024W	-1.2389222801482962
YBL025W	
YBL027W	-1.8864310130390007
YBL028C	-0.7122938875586607
YBL029W	-1.455924959722505
YBL031W	-0.9047721634248831
YBL032W	-2.0463077865789003
YBL036C	-1.4019633321039335
YBL037W	-0.5960703019618291
YBL039C	-0.9346221519477426
YBL042C	-0.10101997667670837
YBL043W	-1.17737247086805
YBL046W	-0.940212474415748
YBL047C	-1.669316089096522
YBL048W	-1.4507852505315981
YBL049W	-1.164705025335692
YBL051C	-2.1354264789632516
YBL052C	-1.087458847544796
YBL053W	-1.1663156393439462
YBL054W	-0.9428723125496796
YBL055C	-0.614773276749267
YBL056W	-0.5159223725059819
YBL057C	-0.4674921672572463
YBL059W	-1.43064823075792
YBL060W	-0.6626011027768556
YBL061C	-1.1018102436238746
YBL062W	-1.2890791049723318
YBL063W	-0.9918790712523768
YBL064C	-1.0150936266788595
YBL065W	-1.8166648395776461
YBL066C	-1.2463052397355967
YBL067C	-1.0882204806692848
YBL068W	-0.9823892432350136
YBL069W	-0.8057983984523823
YBL070C	-1.4474022171787073
YBL071C	-0.540842450580343
YBL072C	-1.676459644994272
YBL075C	-1.4803493425290593
YBL078C	-0.7023912960718611
YBL079W	
YBL081W	-1.5122664073152299
YBL082C	-1.2675696170570807
YBL083C	-1.2766913353863347
YBL085W	-0.944320947470379
YBL086C	-0.5626471338994364
YBL087C	-1.2529463336951319
YBL088C	-1.0432153209338235
YBL089W	-1.1005187943265722
YBL091C	-1.1002268532738522
YBL091C-A	-1.6129726416921473
YBL094C	-0.973923444606212
YBL095W	-0.717322869806625
YBL096C	-0.535736168270323
YBL098W	-0.7293986726634614
YBL100C	-0.6491990964978362
YBL101C	-0.8824031245241819
YBL102W	-1.543249190093435
YBL103C	-1.930754299103629
YBL104C	-1.293259603232663
YBL106C	-1.112431236416466
YBL107C	0.280988913911417
YBR001C	-0.9835878921302856
YBR005W	-0.6208656096363397
YBR006W	-0.3118996384447336
YBR007C	0.4843931424760037
YBR008C	0.31837587443635024
YBR009C	-0.9600254286925484
YBR010W	-0.787152115297519
YBR012C	-0.630751567246822
YBR013C	-0.8830834136652225
YBR014C	-0.5043770282250167
YBR015C	-0.9332203633208015
YBR016W	-0.39797459518732836
YBR018C	-0.6072347368310093
YBR019C	-0.8075916680247058
YBR020W	0.18183616862711513
YBR022W	-0.7043386589444726
YBR023C	-0.6860569559410482
YBR024W	-0.7368154834756072
YBR025C	-0.6958726865299374
YBR026C	-4.2197574997708776
YBR027C	-0.8480223883229624
YBR028C	-1.9014628235776028
YBR030W	-0.9620387066107822
YBR031W	-0.30549047587984907
YBR032W	0.27560147650988254
YBR033W	0.14007175417624365
YBR034C	-1.8198100153512358
YBR036C	-3.143042701099294
YBR040W	-0.11723942411410335
YBR041W	-1.7759154100037489
YBR042C	-0.44288601934025595
YBR043C	-0.3857222312398508
YBR044C	-0.6950457705809673
YBR045C	-0.8851919562410756
YBR046C	-0.6018509297268363
YBR047W	-0.4239961337126785
YBR048W	-1.5754995184052842
YBR050C	-0.3730653883518932
YBR051W	-1.1005446119324354
YBR052C	-0.4208678947086245
YBR053C	-1.0378763336550274
YBR054W	-1.2519217196801573
YBR056W	
YBR057C	-1.5712071262859346
YBR058C	-1.7205095323718254
YBR059C	-0.8984775864944672
YBR061C	-0.5194199855625745
YBR062C	-0.4689916001770591
YBR063C	0.04318904662732377
YBR064W	-0.2921778200458333
YBR065C	-0.33025134499458103
YBR066C	-0.8110160259836573
YBR067C	-2.7823202047384896
YBR068C	-5.080566665043394
YBR069C	-0.9342060180386914
YBR071W	-0.8571275100639644
YBR072W	-1.4146274737033817
YBR073W	-0.8023433368413916
YBR074W	-0.7594179084722309
YBR076W	-3.4410559751047
YBR077C	-3.7000933910744784
YBR078W	-3.283147834966528
YBR082C	-0.7351345945266536
YBR083W	-0.12301431668580805
YBR084C-A	-1.5272430798405616
YBR084W	-0.22794407486379606
YBR085W	0.13355088951990926
YBR086C	-0.7221069472844034
YBR089C-A	-0.4398129140962662
YBR090C	-1.331290175552941
YBR092C	-0.5600666897036037
YBR093C	-1.3222761455717849
YBR094W	-0.5786931042188136
YBR095C	-0.7972427232731572
YBR098W	-1.57676686943491
YBR099C	-0.9252622139053497
YBR101C	-0.5174893510334946
YBR103W	-2.3634960821757893
YBR104W	-1.4124406074180789
YBR105C	-1.1339002967446592
YBR106W	
YBR107C	-0.5687767146761118
YBR108W	-0.9079395746189359
YBR111C	-1.7348324755396403
YBR113W	-0.30474484233844956
YBR114W	-1.0525944433120964
YBR115C	
YBR116C	-0.9503403152381056
YBR118W	-0.37918136481050013
YBR119W	-0.8737207615660754
YBR121C	-0.329694881137741
YBR122C	-0.2469363195858513
YBR125C	-1.2115614076009193
YBR126C	-2.8854032808404626
YBR128C	-0.1756099751940441
YBR129C	-0.04454248848829229
YBR130C	-0.3540053146067574
YBR131W	-1.5282396300320311
YBR132C	-0.71148120065713
YBR134W	-2.819615953514963
YBR137W	-0.5429490105014
YBR138C	-0.3081490553510335
YBR139W	-0.2567295259010091
YBR141C	-0.4764179813113037
YBR144C	-0.2614625239760937
YBR145W	0.4504989705982618
YBR146W	-0.789561323558218
YBR147W	-1.0914497233949845
YBR148W	0.020594152339149956
