ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YEL047C	0.136
YEL043W	0.705
YEL042W	0.504
YEL040W	0.648
YEL039C	0.195
YEL038W	0.571
YEL037C	0.087
YEL065W	0.348
YEL060C	0.518
YEL059W	0.997
YEL056W	0.057
YEL053C	0.067
YEL052W	0.298
YER010C	0.172
YER007W	0.988
YER005W	0.175
YER004W	0.328
YER002W	0.052
YER001W	0.309
YEL071W	0.086
YEL066W	0.525
YER032W	0.182
YER031C	0.095
YER030W	0.380
YER028C	0.783
YER027C	0.961
YER024W	0.574
YER020W	0.092
YER019C-A	0.774
YER011W	0.258
YER046W	0.145
YER045C	0.589
YER044C-A	0.852
YER042W	0.426
YER039C-A	0.069
YER041W	0.436
YER039C	0.912
YER038W-A	0.230
YER035W	0.976
YER034W	0.272
YER033C	0.344
YDR439W	0.142
YDR438W	0.303
YDR436W	0.716
YDR435C	0.051
YDR431W	0.384
YDR430C	0.273
YDR428C	0.697
YDR426C	0.113
YDR425W	0.209
YDR423C	0.898
YDR459C	0.960
YDR458C	0.544
YDR453C	0.353
YDR452W	0.192
YDR451C	0.116
YDR447C	0.791
YDR446W	0.196
YDR445C	0.358
YDR441C	0.090
YDR440W	0.212
YDR480W	0.870
YDR479C	0.388
YDR476C	0.136
YDR475C	0.156
YDR474C	0.305
YDR471W	0.681
YDR467C	0.196
YDR466W	0.169
YDR465C	0.390
YDR494W	0.709
YDR492W	0.168
YDR491C	0.105
YDR490C	0.465
YDR486C	0.157
YDR485C	0.147
YDR483W	0.347
YDR482C	0.098
YDR481C	0.286
YDR512C	0.054
YDR511W	0.111
YDR508C	0.057
YDR506C	0.869
YDR505C	0.503
YDR504C	0.688
YDR503C	0.843
YDR501W	0.256
YDR500C	0.062
YDR528W	0.221
YDR525W-A	0.193
YDR524C	0.356
YDR522C	0.198
YDR520C	0.600
YDR517W	0.497
YDR516C	0.624
YDR514C	0.215
YDR513W	0.467
YDR541C	0.345
YDR540C	0.155
YDR539W	0.535
YDR538W	0.103
YDR537C	0.066
YDR536W	0.712
YDR535C	0.200
YDR534C	0.427
YDR533C	0.700
YDR532C	0.198
YDR530C	0.108
YER158C	0.093
YER156C	0.259
YER153C	0.513
YER152C	0.097
YER150W	0.475
YER149C	0.112
YER145C	0.831
YER144C	0.879
YER143W	0.473
YER176W	0.054
YER175C	0.755
YER173W	0.095
YER170W	0.356
YER166W	0.102
YER164W	0.939
YER163C	0.571
YER187W	0.966
YER186C	0.752
YER185W	0.706
YER184C	0.159
YER183C	0.849
YER182W	0.113
YER181C	0.449
YER180C	0.560
YER179W	0.163
YER177W	0.818
YFL021W	0.688
YFL020C	0.430
YFL019C	0.323
YFL018C	0.056
YFL014W	0.438
YFL011W	0.259
YFL006W	0.200
YFL035C-B	0.059
YFL034W	0.351
YFL034C-A	0.056
YFL030W	0.585
YFL028C	0.135
YFL027C	0.051
YFL051C	0.602
YFL050C	0.238
YFL048C	0.309
YFL047W	0.459
YFL046W	0.731
YFL043C	0.051
YFL041W	0.710
YFL040W	0.221
YFR011C	0.191
YFR010W	0.098
YFR009W	0.129
YFR008W	0.291
YFR006W	0.544
YFL056C	0.073
YFL055W	0.143
YFL054C	0.218
YFL053W	0.107
YFL052W	0.580
YER056C	0.070
YER053C	0.285
YER052C	0.738
YER051W	0.824
YER049W	0.786
YER047C	0.970
YER046W-A	0.444
YER066C-A	0.084
YER065C	0.135
YER064C	0.468
YER063W	0.422
YER062C	0.080
YER060W	0.094
YER059W	0.387
YER079W	0.998
YER078C	0.054
YER075C	0.498
YER073W	0.225
YER072W	0.869
YER067W	0.476
YER067C-A	0.322
YER092W	0.127
YER091C-A	0.148
YER091C	0.051
YER087C-A	0.226
YER085C	0.480
YER080W	0.971
YER113C	0.067
YER109C	0.199
YER108C	0.890
YER106W	0.486
YER098W	0.717
YER097W	0.729
YER093C-A	0.294
YER124C	0.182
YER123W	0.789
YER121W	0.483
YER119C	0.327
YER118C	0.972
YER117W	0.955
YER114C	0.056
YER142C	0.083
YER140W	0.289
YER137C	0.140
YER134C	0.687
YER132C	0.611
YER128W	0.415
YGL083W	0.079
YGL082W	0.579
YGL081W	0.081
YGL080W	0.861
YGL078C	0.808
YGL077C	0.282
YGL067W	0.312
YGL062W	0.751
YGL109W	0.290
YGL108C	0.189
YGL104C	0.062
YGL101W	0.912
YGL090W	0.275
YGL089C	0.406
YGL087C	0.858
YGL086W	0.421
YGL085W	0.188
YGL131C	0.104
YGL126W	0.597
YGL124C	0.375
YGL121C	0.180
YGL118C	0.614
YGL117W	0.138
YGL115W	0.122
YGL114W	0.146
YGL110C	0.555
YGL146C	0.194
YGL141W	0.960
YGL140C	0.367
YGL138C	0.338
YGL133W	0.205
YGL132W	0.808
YGL161C	0.586
YGL160W	0.249
YGL159W	0.714
YGL158W	0.289
YGL157W	0.084
YGL156W	0.139
YGL153W	0.502
YGL149W	0.132
YGL175C	0.072
YGL170C	0.077
YGL166W	0.153
YGL165C	0.053
YGL164C	0.378
YGL162W	0.121
YGL199C	0.233
YGL198W	0.286
YGL197W	0.065
YGL196W	0.876
YGL195W	0.146
YGL181W	0.053
YGL180W	0.079
YGL179C	0.522
YGL177W	0.250
YGL176C	0.092
YFR022W	0.883
YFR021W	0.169
YFR020W	0.501
YFR018C	0.095
YFR017C	0.736
YFR016C	0.110
YFR015C	0.391
YFR014C	0.508
YFR013W	0.548
YFR012W	0.357
YFR034C	0.589
YFR033C	0.338
YFR032C-A	0.089
YFR032C	0.166
YFR030W	0.828
YFR026C	0.193
YFR024C-A	0.121
YFR024C	0.815
YFR048W	0.201
YFR047C	0.470
YFR046C	0.378
YFR045W	0.671
YFR044C	0.739
YFR043C	0.870
YFR041C	0.072
YFR038W	0.623
YGL006W	0.345
YGL005C	0.050
YGL004C	0.094
YGL002W	0.058
YFR057W	0.130
YFR056C	0.332
YFR055W	0.096
YFR054C	0.330
YFR049W	0.234
YGL021W	0.386
YGL020C	0.155
YGL016W	0.074
YGL015C	0.088
YGL013C	0.997
YGL010W	0.323
YGL009C	0.881
YGL041C	0.827
YGL039W	0.557
YGL034C	0.077
YGL028C	0.451
YGL027C	0.320
YGL059W	0.587
YGL058W	0.114
YGL057C	0.144
YGL056C	0.684
YGL054C	0.097
YGL053W	0.792
YGL051W	0.828
YGL050W	0.228
YGL043W	0.078
YGR049W	0.812
YGR044C	0.966
YGR043C	0.193
YGR042W	0.062
YGR041W	0.319
YGR040W	0.321
YGR039W	0.125
YGR038W	0.119
YGR077C	0.095
YGR072W	0.065
YGR070W	0.237
YGR066C	0.197
YGR058W	0.747
YGR054W	0.504
YGR053C	0.434
YGR052W	0.237
YGR088W	0.154
YGR084C	0.450
YGR080W	0.092
YGR079W	0.076
YGR110W	0.058
YGR108W	0.326
YGR107W	0.318
YGR106C	0.181
YGR101W	0.125
YGR100W	0.113
YGR097W	0.235
YGR096W	0.343
YGR093W	0.944
YGR129W	0.538
YGR127W	0.759
YGR125W	0.067
YGR118W	0.934
YGR117C	0.969
YGR141W	0.263
YGR139W	0.176
YGR138C	0.317
YGR136W	0.051
YGR135W	0.095
YGR133W	0.418
YGR132C	0.308
YGR131W	0.907
YGR157W	0.112
YGR154C	0.099
YGR151C	0.214
YGR148C	0.127
YGR146C	0.384
YGR144W	0.263
YGR143W	0.559
YGL214W	0.055
YGL212W	0.058
YGL211W	0.063
YGL210W	0.372
YGL209W	0.095
YGL208W	0.134
YGL205W	0.205
YGL203C	0.991
YGL226W	0.404
YGL226C-A	0.593
YGL222C	0.058
YGL221C	0.592
YGL217C	0.063
YGL216W	0.108
YGL243W	0.116
YGL242C	0.585
YGL241W	0.053
YGL237C	0.695
YGL236C	0.219
YGL235W	0.290
YGL232W	0.897
YGL231C	0.403
YGL230C	0.365
YGL229C	0.834
YGL257C	0.331
YGL256W	0.401
YGL254W	0.431
YGL253W	0.642
YGL251C	0.103
YGL250W	0.323
YGL248W	0.058
YGR008C	0.144
YGR004W	0.740
YGR003W	0.224
YGR001C	0.453
YGL263W	0.087
YGL262W	0.143
YGL261C	0.861
YGL260W	0.770
YGL259W	0.229
YGL258W	0.529
YGR021W	0.093
YGR019W	0.364
YGR017W	0.227
YGR016W	0.437
YGR015C	0.576
YGR012W	0.437
YGR010W	0.699
YGR037C	0.348
YGR034W	0.163
YGR032W	0.448
YGR031W	0.659
YGR027C	0.240
YGR026W	0.355
YGR025W	0.267
YGR023W	0.082
YHL006C	0.068
YHL005C	0.183
YHL003C	0.584
YHL002W	0.229
YGR295C	0.494
YGR290W	0.372
YGR288W	0.070
YGR287C	0.137
YGR286C	0.182
YGR284C	0.061
YGR283C	0.502
YHL017W	0.058
YHL016C	0.646
YHL014C	0.329
YHL013C	0.327
YHL010C	0.146
YHL009C	0.229
YHL008C	0.421
YHL030W	0.093
YHL029C	0.158
YHL028W	0.116
YHL027W	0.126
YHL026C	0.090
YHL024W	0.132
YHL021C	0.414
YHL042W	0.259
YHL041W	0.201
YHL040C	0.150
YHL039W	0.170
YHL037C	0.245
YHL036W	0.448
YHL035C	0.182
YHL034C	0.782
YHL033C	0.083
YHL032C	0.277
YHR012W	0.234
YHR009C	0.150
YHR006W	0.155
YHR003C	0.093
YHR001W-A	0.227
YHL047C	0.158
YHL046C	0.634
YHL045W	0.101
YHL044W	0.470
YHR029C	0.269
YHR028C	0.092
YHR022C	0.509
YHR021W-A	0.077
YHR016C	0.311
YHR015W	0.553
YHR014W	0.287
YHR044C	0.545
YHR043C	0.091
YHR039C	0.218
YHR037W	0.107
YHR035W	0.057
YHR033W	0.337
YHR032W	0.340
YHR030C	0.087
YGR178C	0.050
YGR177C	0.565
YGR174C	0.434
YGR169C	0.231
YGR166W	0.084
YGR164W	0.058
YGR193C	0.373
YGR189C	0.158
YGR184C	0.720
YGR182C	0.762
YGR181W	0.250
YGR209C	0.630
YGR207C	0.766
YGR203W	0.089
YGR201C	0.082
YGR200C	0.904
YGR227W	0.709
YGR226C	0.157
YGR225W	0.408
YGR224W	0.116
YGR223C	0.107
YGR221C	0.181
YGR217W	0.068
YGR214W	0.263
YGR213C	0.429
YGR212W	0.242
YGR238C	0.361
YGR236C	0.059
YGR235C	0.405
YGR233C	0.842
YGR232W	0.186
YGR228W	0.317
YGR250C	0.082
YGR248W	0.089
YGR244C	0.231
YGR243W	0.098
YGR239C	0.485
YGR282C	0.414
YGR281W	0.171
YGR279C	0.233
YGR275W	0.092
YGR269W	0.725
YGR268C	0.304
YGR263C	0.305
YGR261C	0.057
YHR181W	0.096
YHR180W	0.129
YHR179W	0.705
YHR178W	0.063
YHR176W	0.492
YHR171W	0.709
YHR167W	0.073
YHR163W	0.050
YHR162W	0.149
YHR161C	0.520
YHR160C	0.141
YHR199C	0.188
YHR198C	0.171
YHR195W	0.522
YHR193C	0.319
YHR189W	0.835
YHR185C	0.273
YHR184W	0.162
YHR182W	0.873
YIL006W	0.086
YIL005W	0.459
YIL002C	0.524
YIL001W	0.239
YHR210C	0.728
YHR209W	0.568
YHR207C	0.314
YHR206W	0.620
YHR204W	0.056
YHR203C	0.235
YHR202W	0.742
YIL016W	0.787
YIL015W	0.129
YIL015C-A	0.123
YIL014W	0.256
YIL011W	0.069
YIL010W	0.162
YIL007C	0.989
YIL034C	0.054
YIL032C	0.546
YIL030C	0.733
YIL029C	0.326
YIL028W	0.730
YIL027C	0.299
YIL025C	0.364
YIL023C	0.056
YIL045W	0.592
YIL044C	0.081
YIL043C	0.186
YIL042C	0.356
YIL041W	0.848
YIL039W	0.690
YIL038C	0.203
YIL037C	0.096
YIL036W	0.051
YIL035C	0.066
YIL059C	0.210
YIL058W	0.442
YIL057C	0.274
YIL056W	0.768
YIL055C	0.241
YIL054W	0.882
YIL053W	0.784
YIL052C	0.317
YIL050W	0.111
YIL049W	0.177
YHR066W	0.143
YHR061C	0.088
YHR049W	0.437
YHR048W	0.303
YHR046C	0.109
YHR045W	0.700
YHR082C	0.612
YHR080C	0.423
YHR079C-B	0.090
YHR079C	0.165
YHR078W	0.554
YHR077C	0.179
YHR076W	0.106
YHR073W	0.078
YHR105W	0.484
YHR104W	0.248
YHR103W	0.060
YHR097C	0.062
YHR096C	0.197
YHR095W	0.772
YHR094C	0.413
YHR093W	0.692
YHR087W	0.154
YHR086W	0.204
YHR117W	0.228
YHR116W	0.152
YHR114W	0.241
YHR112C	0.072
YHR110W	0.108
YHR108W	0.116
YHR106W	0.116
YHR132W-A	0.297
YHR131C	0.174
YHR130C	0.241
YHR127W	0.062
YHR126C	0.192
YHR125W	0.674
YHR124W	0.215
YHR123W	0.328
YHR121W	0.163
YHR143W	0.725
YHR142W	0.191
YHR140W	0.809
YHR139C	0.408
YHR138C	0.764
YHR137W	0.933
YHR135C	0.091
YHR133C	0.607
YHR157W	0.504
YHR156C	0.191
YHR153C	0.997
YHR152W	0.075
YHR151C	0.327
YHR150W	0.440
YIR020C	0.529
YIR019C	0.676
YIR018W	0.842
YIR017C	0.559
YIR016W	0.212
YIR014W	0.283
YIR013C	0.234
YIR009W	0.242
YIR007W	0.243
YIR003W	0.254
YIR033W	0.090
YIR032C	0.336
YIR031C	0.323
YIR030C	0.280
YIR029W	0.219
YIR028W	0.331
YIR027C	0.420
YIR025W	0.137
YIR024C	0.089
YIR023W	0.078
YIR020W-B	0.626
YJL007C	0.853
YJL004C	0.289
YIR044C	0.154
YIR043C	0.614
YIR042C	0.595
YIR039C	0.307
YIR038C	0.084
YIR037W	0.315
YIR036C	0.171
YIR035C	0.093
YIR034C	0.526
YJL028W	0.578
YJL027C	0.212
YJL024C	0.266
YJL023C	0.051
YJL022W	0.251
YJL021C	0.247
YJL020C	0.177
YJL017W	0.520
YJL013C	0.065
YJL012C	0.551
YJL048C	0.967
YJL045W	0.115
YJL044C	0.273
YJL043W	0.271
YJL042W	0.799
YJL038C	0.092
YJL037W	0.219
YJL030W	0.448
YJL065C	0.948
YJL064W	0.193
YJL060W	0.210
YJL059W	0.175
YJL058C	0.247
YJL057C	0.882
YJL055W	0.258
YJL053W	0.951
YJL051W	0.059
YJL049W	0.290
YJL084C	0.112
YJL083W	0.199
YJL078C	0.915
YJL077C	0.133
YJL073W	0.365
YJL070C	0.733
YJL068C	0.816
YJL067W	0.604
YJL066C	0.836
YIL073C	0.293
YIL072W	0.246
YIL071C	0.666
YIL067C	0.832
YIL066C	0.892
YIL065C	0.231
YIL064W	0.343
YIL060W	0.269
YIL095W	0.898
YIL093C	0.335
YIL092W	0.949
YIL089W	0.872
YIL088C	0.125
YIL087C	0.163
YIL086C	0.873
YIL084C	0.056
YIL079C	0.699
YIL110W	0.601
YIL108W	0.146
YIL107C	0.832
YIL103W	0.441
YIL101C	0.600
YIL099W	0.645
YIL097W	0.060
YIL096C	0.331
YIL130W	0.484
YIL120W	0.359
YIL117C	0.934
YIL116W	0.234
YIL114C	0.234
YIL146C	0.227
YIL145C	0.322
YIL140W	0.125
YIL139C	0.124
YIL138C	0.097
YIL137C	0.062
YIL135C	0.166
YIL132C	0.693
YIL161W	0.717
YIL159W	0.345
YIL157C	0.587
YIL155C	0.169
YIL152W	0.502
YIL148W	0.134
YIR001C	0.715
YIL173W	0.452
YIL170W	0.447
YIL168W	0.655
YIL167W	0.909
YIL166C	0.645
YIL163C	0.306
YJL215C	0.054
YJL214W	0.137
YJL212C	0.467
YJL211C	0.244
YJL210W	0.376
YJL208C	0.315
YJL207C	0.239
YJL206C-A	0.095
YJL206C	0.159
YJR010W	0.249
YJR010C-A	0.504
YJR009C	0.391
YJR008W	0.203
YJR005W	0.265
YJR003C	0.920
YJR001W	0.121
YJL217W	0.677
YJL216C	0.098
YJR032W	0.066
YJR031C	0.288
YJR030C	0.118
YJR026W	0.757
YJR024C	0.341
YJR021C	0.886
YJR020W	0.436
YJR019C	0.095
YJR015W	0.068
YJR014W	0.098
YJR050W	0.902
YJR049C	0.111
YJR048W	0.461
YJR047C	0.772
YJR040W	0.734
YJR038C	0.160
YJR037W	0.256
YJR036C	0.763
YJR070C	0.849
YJR069C	0.704
YJR062C	0.655
YJR061W	0.103
YJR060W	0.539
YJR059W	0.120
YJR058C	0.657
YJR054W	0.170
YJR053W	0.604
YJR052W	0.101
YJR051W	0.393
YJR084W	0.742
YJR083C	0.425
YJR082C	0.804
YJR080C	0.798
YJR079W	0.393
YJR078W	0.155
YJR077C	0.121
YJR073C	0.234
YJR099W	0.051
YJR098C	0.689
YJR097W	0.571
YJR096W	0.497
YJR095W	0.549
YJR094W-A	0.714
YJR094C	0.795
YJR092W	0.999
YJR091C	0.918
YJR088C	0.092
YJL110C	0.087
YJL108C	0.287
YJL105W	0.434
YJL100W	0.190
YJL099W	0.211
YJL098W	0.544
YJL095W	0.219
YJL094C	0.218
YJL093C	0.154
YJL089W	0.411
YJL131C	0.175
YJL126W	0.829
YJL124C	0.096
YJL122W	0.064
YJL116C	0.330
YJL112W	0.633
YJL142C	0.194
YJL139C	0.283
YJL138C	0.403
YJL137C	0.862
YJL136C	0.063
YJL135W	0.582
YJL133W	0.087
YJL132W	0.917
YJL155C	0.207
YJL154C	0.817
YJL153C	0.809
YJL152W	0.287
YJL151C	0.230
YJL150W	0.929
YJL149W	0.095
YJL148W	0.097
YJL147C	0.268
YJL146W	0.393
YJL145W	0.162
YJL169W	0.687
YJL168C	0.215
YJL162C	0.597
YJL161W	0.217
YJL160C	0.482
YJL159W	0.084
YJL158C	0.303
YJL186W	0.128
YJL181W	0.397
YJL178C	0.603
YJL172W	0.245
YJL171C	0.062
YJL170C	0.116
YJL201W	0.462
YJL198W	0.970
YJL196C	0.101
YJL193W	0.631
YJL192C	0.245
YJL191W	0.451
YJL190C	0.245
YKL073W	0.487
YKL072W	0.448
YKL071W	0.658
YKL070W	0.401
YKL068W	0.674
YKL067W	0.442
YKL066W	0.652
YKL065C	0.727
YKL064W	0.348
YKL063C	0.715
YKL091C	0.572
YKL090W	0.837
YKL086W	0.444
YKL085W	0.727
YKL084W	0.853
YKL081W	0.198
YKL079W	0.203
YKL077W	0.156
YKL076C	0.426
YKL075C	0.214
YKL103C	0.202
YKL102C	0.806
YKL100C	0.422
YKL098W	0.297
YKL097C	0.077
YKL096W-A	0.374
YKL096W	0.104
YKL094W	0.579
YKL093W	0.421
YKL092C	0.233
YKL120W	0.324
YKL117W	0.305
YKL116C	0.988
YKL115C	0.535
YKL114C	0.715
YKL110C	0.799
YKL109W	0.207
YKL107W	0.394
YKL106W	0.184
YKL105C	0.574
YKL136W	0.221
YKL133C	0.183
YKL132C	0.184
YKL131W	0.937
YKL130C	0.925
YKL129C	0.552
YKL128C	0.770
YKL127W	0.221
YKL124W	0.393
YKL123W	0.177
YKL121W	0.781
YKL156W	0.160
YKL151C	0.180
YKL150W	0.145
YKL149C	0.496
YKL148C	0.422
YKL147C	0.557
YKL146W	0.177
YKL142W	0.861
YKL140W	0.261
YKL137W	0.311
YKL168C	0.115
YKL167C	0.475
YKL166C	0.110
YKL164C	0.163
YKL163W	0.084
YKL162C	0.212
YKL161C	1.000
YKL159C	0.741
YKL158W	0.474
YKL157W	0.260
YJR117W	0.170
YJR116W	0.450
YJR115W	0.878
YJR110W	0.412
YJR109C	0.441
YJR108W	0.994
YJR107W	0.490
YJR106W	0.240
YJR103W	0.127
YJR100C	0.552
YJR130C	0.945
YJR129C	0.544
YJR128W	0.195
YJR125C	0.950
YJR121W	0.227
YJR120W	0.062
YJR119C	0.592
YJR118C	0.057
YJR147W	0.411
YJR146W	0.641
YJR142W	0.086
YJR140C	0.583
YJR137C	0.603
YJR135C	0.796
YJR134C	0.799
YJR133W	0.755
YJR131W	0.167
YKL008C	0.298
YKL007W	0.063
YKL005C	0.739
YKL001C	0.645
YJR154W	0.345
YJR153W	0.089
YJR152W	0.423
YJR150C	0.309
YJR149W	0.131
YJR148W	0.701
YKL030W	0.647
YKL029C	0.722
YKL026C	0.421
YKL025C	0.881
YKL023W	0.357
YKL020C	0.338
YKL017C	0.289
YKL015W	0.206
YKL010C	0.597
YKL009W	0.057
YKL044W	0.815
YKL043W	0.757
YKL041W	0.543
YKL040C	0.328
YKL039W	0.346
YKL038W	0.202
YKL037W	0.192
YKL034W	0.128
YKL033W-A	0.094
YKL031W	0.570
YKL062W	0.903
YKL061W	0.253
YKL056C	0.153
YKL053C-A	0.829
YKL050C	0.120
YKL047W	0.901
YKR058W	0.251
YKR056W	0.207
YKR055W	0.060
YKR053C	0.245
YKR052C	0.682
YKR051W	0.999
YKR050W	0.579
YKR049C	0.516
YKR076W	0.474
YKR072C	0.074
YKR070W	0.073
YKR069W	0.354
YKR067W	0.573
YKR066C	0.185
YKR065C	0.874
YKR064W	0.335
YKR060W	0.431
YKR091W	0.068
YKR090W	0.426
YKR089C	0.615
YKR088C	0.306
YKR087C	0.804
YKR084C	0.085
YKR080W	0.096
YKR078W	0.467
YKR077W	0.154
YKR103W	0.433
YKR102W	0.180
YKR101W	0.097
YKR100C	0.609
YKR099W	0.699
YKR095W	0.981
YKR094C	0.155
YKR093W	0.878
YLL013C	0.074
YLL012W	0.305
YLL010C	0.298
YLL009C	0.182
YKR106W	0.236
YKR105C	0.589
YLL026W	0.511
YLL025W	0.853
YLL023C	0.055
YLL021W	0.115
YLL020C	0.305
YLL017W	0.117
YLL015W	0.105
YLL014W	0.152
YLL045C	0.120
YLL042C	0.537
YLL041C	0.138
YLL040C	0.512
YLL039C	0.934
YLL038C	0.838
YLL032C	0.434
YLL029W	0.284
YLL028W	0.256
YKL187C	0.221
YKL185W	0.562
YKL183W	0.936
YKL179C	0.641
YKL178C	0.443
YKL177W	0.489
YKL174C	0.332
YKL171W	0.643
YKL201C	0.814
YKL199C	0.269
YKL198C	0.120
YKL191W	0.318
YKL190W	0.435
YKL188C	0.265
YKL218C	0.635
YKL217W	0.333
YKL215C	0.110
YKL214C	0.584
YKL211C	0.053
YKL208W	0.065
YKL207W	0.220
YKR012C	0.084
YKR011C	0.078
YKR009C	0.367
YKR007W	0.640
YKR005C	0.415
YKR003W	0.397
YKL222C	0.064
YKL221W	0.877
YKL220C	0.133
YKR023W	0.297
YKR021W	0.335
YKR020W	0.053
YKR019C	0.470
YKR018C	0.486
YKR017C	0.810
YKR016W	0.355
YKR015C	0.285
YKR014C	0.123
YKR013W	0.589
YKR035C	0.257
YKR034W	0.195
YKR033C	0.354
YKR032W	0.074
YKR031C	0.247
YKR030W	0.611
YKR029C	0.180
YKR028W	0.154
YKR048C	0.053
YKR046C	0.118
YKR045C	0.081
YKR044W	0.194
YKR043C	0.079
YKR042W	0.992
YKR041W	0.381
YKR040C	0.256
YKR039W	0.097
YKR036C	0.580
YLR098C	0.973
YLR096W	0.214
YLR094C	0.967
YLR093C	0.072
YLR092W	0.375
YLR091W	0.245
YLR114C	0.212
YLR112W	0.079
YLR111W	0.133
YLR110C	0.221
YLR109W	0.089
YLR108C	0.129
YLR107W	0.111
YLR099C	0.245
YLR128W	0.203
YLR126C	0.103
YLR124W	0.907
YLR123C	0.080
YLR120C	0.096
YLR118C	0.970
YLR146C	0.353
YLR142W	0.061
YLR138W	0.427
YLR137W	0.183
YLR135W	0.276
YLR134W	0.075
YLR133W	0.072
YLR131C	0.257
YLR170C	0.388
YLR164W	0.444
YLR154C	0.189
YLR152C	0.132
YLR150W	0.461
YLR149C	0.706
YLR183C	0.597
YLR181C	0.168
YLR180W	0.850
YLR179C	0.117
YLR178C	0.482
YLR177W	0.361
YLR176C	0.120
YLR173W	0.186
YLR199C	0.192
YLR194C	0.474
YLR192C	0.076
YLR191W	0.572
YLR189C	0.701
YLR188W	0.084
YLR187W	0.349
YLL057C	0.379
YLL056C	0.267
YLL055W	0.592
YLL054C	0.319
YLL053C	0.108
YLL052C	0.705
YLL051C	0.506
YLL048C	0.082
YLL047W	0.697
YLL046C	0.276
YLR011W	0.520
YLL063C	0.225
YLL062C	0.983
YLL061W	0.893
YLL060C	0.318
YLL059C	0.602
YLL058W	0.104
YLR023C	0.073
YLR021W	0.745
YLR020C	0.806
YLR019W	0.474
YLR018C	0.431
YLR016C	0.130
YLR012C	0.079
YLR037C	0.367
YLR036C	0.134
YLR035C	0.280
YLR034C	0.400
YLR031W	0.825
YLR028C	0.123
YLR053C	0.494
YLR050C	0.062
YLR049C	0.255
YLR048W	0.092
YLR044C	0.848
YLR042C	0.413
YLR041W	0.747
YLR040C	0.254
YLR065C	0.860
YLR063W	0.110
YLR062C	0.200
YLR059C	0.497
YLR058C	0.271
YLR056W	0.129
YLR054C	0.617
YLR085C	0.303
YLR084C	0.886
YLR081W	0.642
YLR080W	0.190
YLR077W	0.454
YLR073C	0.160
YLR072W	0.813
YLR070C	0.370
YLR329W	0.707
YLR328W	0.435
YLR327C	0.138
YLR326W	0.408
YLR325C	0.511
YLR324W	0.661
YLR345W	0.190
YLR343W	0.224
YLR342W	0.346
YLR341W	0.139
YLR335W	0.949
YLR333C	0.146
YLR360W	0.052
YLR356W	0.985
YLR352W	0.162
YLR350W	0.494
YLR349W	0.244
YLR348C	0.786
YLR346C	0.651
YLR372W	0.283
YLR371W	0.276
YLR368W	0.711
YLR367W	0.671
YLR366W	0.166
YLR363C	0.108
YLR361C	0.684
YLR387C	0.502
YLR385C	0.207
YLR381W	0.424
YLR380W	0.475
YLR376C	0.993
YLR400W	0.447
YLR398C	0.568
YLR395C	0.723
YLR393W	0.053
YLR392C	0.837
YLR391W	0.138
YLR390W	0.084
YLR389C	0.051
YLR388W	0.066
YLR413W	0.307
YLR412W	0.964
YLR406C	0.284
YLR404W	0.071
YLR402W	0.257
YLR401C	0.367
YLR217W	0.115
YLR216C	0.080
YLR214W	0.102
YLR213C	0.819
YLR211C	0.297
YLR210W	0.268
YLR209C	0.127
YLR206W	0.410
YLR205C	0.492
YLR234W	0.068
YLR228C	0.226
YLR224W	0.714
YLR220W	0.342
YLR219W	0.306
YLR251W	0.769
YLR250W	0.946
YLR248W	0.228
YLR247C	0.327
YLR246W	0.344
YLR237W	0.089
YLR236C	0.277
YLR262C-A	0.471
YLR261C	0.653
YLR258W	0.267
YLR257W	0.928
YLR255C	0.951
YLR254C	0.204
YLR253W	0.409
YLR252W	0.688
YLR281C	0.144
YLR280C	0.794
YLR279W	0.744
YLR278C	0.240
YLR271W	0.172
YLR269C	0.623
YLR267W	0.870
YLR266C	0.075
YLR265C	0.219
YLR294C	0.082
YLR290C	0.299
YLR289W	0.492
YLR287C-A	0.377
YLR287C	0.271
YLR285W	0.793
YLR284C	0.188
YLR283W	0.808
YLR282C	0.634
YLR313C	0.413
YLR312C	0.056
YLR311C	0.397
YLR309C	0.062
YLR307W	0.186
YLR306W	0.355
YLR303W	0.053
YLR300W	0.222
YLR299W	0.250
YLR297W	0.194
YLR296W	0.200
YML057W	0.050
YML056C	0.075
YML055W	0.456
YML054C	0.113
YML053C	0.902
YML052W	0.249
YML081C-A	0.417
YML076C	0.356
YML075C	0.155
YML074C	0.087
YML072C	0.693
YML071C	0.938
YML070W	0.057
YML067C	0.106
YML066C	0.996
YML101C	0.154
YML100W-A	0.089
YML100W	0.054
YML099C	0.055
YML096W	0.975
YML095C	0.391
YML090W	0.195
YML118W	0.455
YML117W-A	0.263
YML117W	0.132
YML113W	0.280
YML109W	0.888
YML108W	0.052
YML104C	0.234
YML103C	0.945
YMR003W	0.906
YMR002W	0.484
YML128C	0.121
YML124C	0.056
YML123C	0.157
YML120C	0.176
YML119W	0.553
YMR018W	0.126
YMR017W	0.376
YMR016C	0.680
YMR015C	0.568
YMR012W	0.051
YMR011W	0.094
YMR010W	0.111
YMR009W	0.349
YMR008C	0.139
YMR007W	0.165
YMR031C	0.926
YMR030W	0.094
YMR029C	0.955
YMR026C	0.856
YMR023C	0.076
YMR021C	0.973
YMR020W	0.203
YMR019W	0.132
